t,B00_z_0000_00,B00_z_0000_01,B00_z_0001_00,B00_z_0001_01,B00_z_0002_00,B00_z_0002_01,B00_z_0003_00,B00_z_0003_01,B00_z_0004_00,B00_z_0004_01,B00_z_0005_00,B00_z_0005_01,B00_z_0006_00,B00_z_0006_01,B00_z_0007_00,B00_z_0007_01,B00_z_0008_00,B00_z_0008_01,B00_z_0009_00,B00_z_0009_01,B01_z_0000_00,B01_z_0000_01
0.68,(-0.4600066908386079+0.23567268539289266j),(1.4793732153249475-1.807371198320897j),(-0.15127297926411268-0.4642450093531669j),(-3.50241275875137-0.8789314926204053j),(2.2381270296930182-2.3994482612561683j),(2.3935909173454153-2.063680303063325j),(-0.560174287155346+0.10704492184077452j),(0.17160781097954494+0.5591432457515259j),(-3.128735263627359-1.2396985773475722j),(13.022317882283401+1.2624128494640718j),(0.6825959719913267-2.020876515298622j),(0.45253784954825504-0.803749298489106j),(2.039277596659668-0.2342660041225244j),(-1.941964527495949+0.12558214143536633j),(0.33319204172920963-0.9880195569012419j),(0.07481725581837557+0.3144485881302076j),(0.25145234388773874-3.4270287938928736j),(-2.6152630864346804-1.5540595153069772j),(-0.14967874111449836+0.6571318550465614j),(-1.2103539283043097+1.3407216752530335j),(-0.4600066908386079+0.23567268539289266j),(1.4793732153249475-1.807371198320897j)
0.6900000000000001,(-0.4847057166748192+0.22046536889482837j),(1.5016696856890683-1.839306592711862j),(-0.1710331610616257-0.4344286832585835j),(-3.564619184627619-0.7341786450853283j),(2.285175934437019-2.4345706712995114j),(2.438284866946807-2.0966663727657258j),(-0.5541696046307386+0.10014253749615727j),(0.16671308514588257+0.5546183398556567j),(-2.9514982328552213-1.598124703980918j),(12.730974624419282+2.197679581044354j),(0.6663026922795948-2.042390041453039j),(0.4424177727901527-0.8206636226603754j),(2.03260296311635-0.2639003264256369j),(-1.9390003652923964+0.14269081573203496j),(0.3346543059061376-0.9861950244922574j),(0.06414571631296884+0.3035744068448237j),(0.1364488649767141-3.4536883936430662j),(-2.7190806131356875-1.5063692276464569j),(-0.13260073906409842+0.6606078933865382j),(-1.1674382299923454+1.3414569827265062j),(-0.4847057166748192+0.22046536889482837j),(1.5016696856890683-1.839306592711862j)
0.7000000000000001,(-0.5108676081401512+0.2039513644030371j),(1.52634543050292-1.8724230112376623j),(-0.18949990692981106-0.40168598408333445j),(-3.617851485559406-0.5796760088188727j),(2.3371504729125734-2.4705777172945056j),(2.4875269789628245-2.130299429958586j),(-0.5479534861793213+0.09321085695572712j),(0.1617482314537839+0.5498472184723587j),(-2.715529760704774-1.9254725541293605j),(12.281458817339262+3.090739772707657j),(0.6495936023597746-2.064765635788285j),(0.4316758327037289-0.8384079024276805j),(2.024937288293073-0.29382189688381194j),(-1.9355587634488682+0.159899825483888j),(0.3360634310088862-0.9843248124801318j),(0.05330890898552129+0.2922392048034606j),(0.013911096718451046-3.475514205467154j),(-2.8266309010538184-1.4493553417666596j),(-0.1152851493821907+0.6636490878848822j),(-1.124629035102405+1.340222172869223j),(-0.5108676081401512+0.2039513644030371j),(1.52634543050292-1.8724230112376623j)
0.71,(-0.53859195538062+0.18597541717373342j),(1.5536416810239249-1.9067524923689394j),(-0.20623676432869265-0.36602410431497906j),(-3.6603703247168196-0.4160148588775262j),(2.3945785539594207-2.5073576737055228j),(2.5417975458732065-2.1644510028721884j),(-0.5415278964622307+0.0862568960953504j),(0.15671292282150534+0.5448228927673087j),(-2.429325400865339-2.207802134456055j),(11.68611687014408+3.9043946712489235j),(0.6324162600554428-2.0880688564076184j),(0.42026716516343665-0.8570261019622224j),(2.0162333149715974-0.32398763174822703j),(-1.9316186718351205+0.17719142085247272j),(0.3374080451725553-0.9824122722715187j),(0.04230970103190014+0.28043461786965007j),(-0.11640100709554849-3.4913315874693285j),(-2.9372938769923462-1.3817934504920044j),(-0.0977732160912165+0.6662455320757146j),(-1.0820386289512753+1.3370235891708806j),(-0.53859195538062+0.18597541717373342j),(1.5536416810239249-1.9067524923689394j)
0.72,(-0.5679803988947312+0.16636159065403067j),(1.5838236037015352-1.942317298645119j),(-0.220778088243338-0.3275320131476613j),(-3.6904199723353046-0.24414452777351486j),(2.4580421245483333-2.544746512648588j),(2.6016240091060947-2.1989412601306815j),(-0.5348963827090966+0.07928837586751436j),(0.15160714839451692+0.5395391621460528j),(-2.1056535515060064-2.4343466253700465j),(10.96914642323432+4.606272732967039j),(0.6147111725495986-2.112367869590018j),(0.408143623727646-0.8765625935519854j),(2.0064460114576805-0.35434713960665054j),(-1.9271599576056635+0.19454512145673952j),(0.3386758548674849-0.9804614637259975j),(0.031151970707879215+0.268154231462433j),(-0.2545761444473097-3.4997895100897543j),(-3.0501880118470885-1.3024086982041827j),(-0.08010985093259046+0.6683904972572797j),(-1.0397813911156655+1.3318789910776434j),(-0.5679803988947312+0.16636159065403067j),(1.5838236037015352-1.942317298645119j)
0.73,(-0.5991357207027127+0.14491014022328214j),(1.6171834977271833-1.9791268593401892j),(-0.2326462365181572-0.2863930868589153j),(-3.706311942616342-0.06540232880312152j),(2.528181608741571-2.582514033957977j),(2.6675842593865333-2.2335260193418582j),(-0.5280640521785565+0.07231365015517749j),(0.14643123884131035+0.5339906433755653j),(-1.760084579692189-2.5990347158893887j),(10.164151739282286+5.173164478128921j),(0.5964111914723688-2.137733476020787j),(0.395253291586868-0.8970621598872414j),(1.9955334847098705-0.3848428021254157j),(-1.9221637658996114+0.21193775706606285j),(0.33985373145931314-0.9784771374955773j),(0.01984046746065065+0.25539360445132425j),(-0.4004958659839478-3.4993657009238306j),(-3.164124296829111-1.2099200904586314j),(-0.06234293662740372+0.6700808378771534j),(-0.9979719873657329+1.3248178152209982j),(-0.5991357207027127+0.14491014022328214j),(1.6171834977271833-1.9791268593401892j)
0.74,(-0.6321605244440403+0.12139392439463981j),(1.6540443011281958-2.0171739583074526j),(-0.24137368151100955-0.242893714794917j),(-3.7065234563536262+0.11847846643351201j),(2.605699568434988-2.6203467066317154j),(2.740309041996542-2.267880778120175j),(-0.5210375364522896+0.06534162681317282j),(0.14118589002856363+0.528172796591462j),(-1.4088852834610368-2.70119135234624j),(9.309689706838641+5.593949535913671j),(0.5774408391502768-2.1642391205793037j),(0.3815399328350246-0.9185699758496222j),(1.983457915369834-0.4154099798551788j),(-1.9166128820449886+0.2293435539868962j),(0.3409278041287618-0.976464708035286j),(0.008380660779683594+0.24215028167071448j),(-0.5537709371545788-3.4883864960567124j),(-3.277563681350904-1.1031034912458588j),(-0.04452257894587702+0.671317286548091j),(-0.9567235574906506+1.3158811405066495j),(-0.6321605244440403+0.12139392439463981j),(1.6540443011281958-2.0171739583074526j)
0.75,(-0.667155370703115+0.09555429994787236j),(1.6947633874890828-2.056429978287377j),(-0.246529004012034-0.19742590412764582j),(-3.6898042308080496+0.3053892536463837j),(2.6913628976198165-2.6578265485424493j),(2.820482798416352-2.3015811869079608j),(-0.513824942645057+0.05838168269533585j),(0.1358721847019118+0.5220819479561838j),(-1.0668567438823593-2.745165364202373j),(8.443982555615532+5.870097792448585j),(0.5577155558317439-2.191960878400931j),(0.36694237761875625-0.9411315638373388j),(1.9701864967582192-0.4459773512387431j),(-1.9104920886463186+0.24673426899333384j),(0.3418835579138683-0.9744302171812723j),(-0.0032214202089104974+0.22842379520188394j),(-0.7136729310575309-3.46506649696102j),(-3.3885843265299167-0.9808756710029145j),(-0.02670033033116463+0.6721046327391972j),(-0.916145954918679+1.305121365941344j),(-0.667155370703115+0.09555429994787236j),(1.6947633874890828-2.056429978287377j)
0.76,(-0.7042161950559046+0.06709645060834644j),(1.739736608420039-2.096838968929944j),(-0.2477448800754821-0.15048219498371146j),(-3.655282023415243+0.492899817044978j),(2.786002546681248-2.6944053094693303j),(2.908841982979942-2.33407934330265j),(-0.5064357918081652+0.051443573586032666j),(0.13049161180537047+0.5157153087446814j),(-0.745675075410558-2.7390431329394134j),(7.6001774845853+6.013758246444767j),(0.537140856507943-2.2209774081298295j),(0.3513938352132971-0.9647927154823843j),(1.9556923575493008-0.47646739015158723j),(-1.9037885103918502+0.26407937158414396j),(0.3427059355528155-0.9723802883568055j),(-0.014959354171482803+0.21421565477807478j),(-0.8790667339092265-3.427573003307305j),(-3.4948672134522503-0.8423997801543274j),(-0.008928408256979242+0.6724517837973937j),(-0.8763440903542025+1.292601620910614j),(-0.7042161950559046+0.06709645060834644j),(1.739736608420039-2.096838968929944j)
0.77,(-0.7434307871677154+0.035684108645018205j),(1.7894024959524244-2.138310253541232j),(-0.24474540462763814-0.10264189071337926j),(-3.6025551146667976+0.6783459628649345j),(2.8905093426990396-2.7293732108793836j),(3.0061694971224924-2.364675300309665j),(-0.49888094499610425+0.04453734006029658j),(0.1250460830875263+0.5090709906516884j),(-0.4531080961833251-2.692907403267713j),(6.803349444677835+6.044213311554524j),(0.5156113846918228-2.2513698610809j),(0.3348211285413677-0.9895993711412447j),(1.9399554459603456-0.5067969838897699j),(-1.8964919390641246+0.2813462741247647j),(0.34337944176688634-0.9703220716320169j),(-0.026826499623531+0.19952932787422506j),(-1.0483526104982126-3.374118873682235j),(-3.593710339760161-0.6872093598994933j),(0.0087410691820928+0.6723717115170974j),(-0.8374164255981225+1.2783949371890269j),(-0.7434307871677154+0.035684108645018205j),(1.7894024959524244-2.138310253541232j)
