t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B01_A_0000
0.0,(0.0009765625-1.338966143268822e-19j),(-2.09222023507305e-20-3.801928890446853e-21j),(1.1452288191546036e-26-1.0085389458024328e-26j),(1.9772344840269758e-26-1.5451017957135523e-26j),(-3.8006797765350896e-24+2.02549178341234e-24j),(7.011395725604351e-27-1.7035451248247746e-27j),(-6.285773115293284e-29-1.5897704281741097e-28j),(6.952221913249043e-30+1.664966436922765e-30j),(-1.1120935796474101e-28-2.3922938804206045e-29j),(3.4896682092080846e-25+3.9032585154845986e-24j),(0.0009765625+0j)
0.01,(0.0008073096958850301-0.00022309245309374456j),(1.8336180199377232e-07+1.0838622452626022e-08j),(-4.0127213585932985e-13+4.497329705962803e-13j),(-5.4374514131130156e-12+3.974614769110062e-12j),(-1.5936422760188093e-10+1.3269156279173201e-10j),(-8.079218987029686e-13+9.701779394700985e-13j),(3.4803784636740346e-14+5.4470290526115406e-14j),(-6.799713854952633e-16+6.066276429888074e-16j),(1.7627060519145738e-14+2.774387848489966e-15j),(9.424740374257007e-11-1.2244094027897166e-11j),(0.0008076159277173482-0.00022372815004072187j)
0.02,(0.0006118088483840273-0.00036844444272057596j),(2.8257705376815225e-07-1.2823691023284082e-08j),(-2.963179106080951e-13+9.371971814131936e-13j),(-1.2617836823040729e-11+1.2202188273329775e-11j),(-1.698562951691072e-10+2.1811410227870242e-10j),(-8.965077137677166e-13+2.4100183520850365e-12j),(1.8064155589444748e-14+1.0323765746417634e-13j),(-1.053203575561539e-15+2.3278560418357297e-15j),(3.314038884141995e-14+1.0706400065255624e-14j),(1.2789911785843164e-10+1.8207112676590774e-11j),(0.0006120160832979736-0.00036962465801603785j)
0.03,(0.0004144520597249443-0.0004415489871009803j),(3.200046178543374e-07-4.6693607841522705e-08j),(1.3905224905463862e-13+1.1873601210620766e-12j),(-2.0951046323288723e-11+2.6997327592782725e-11j),(-1.1603171217826002e-10+2.459589138047823e-10j),(-9.87300993722325e-14+3.902746766560921e-12j),(-2.870604106399088e-14+1.2394006143413558e-13j),(-9.370089559427274e-17+5.341242348802782e-15j),(4.4735468190196935e-14+2.2773524430924143e-14j),(1.1906487878187499e-10+5.499526191621653e-11j),(0.00041429397725526487-0.0004430581070104353j)
0.04,(0.0002342830334506113-0.00045387701675506087j),(3.1611662516976646e-07-7.708318568199546e-08j),(6.602988827005744e-13+1.1028920633153543e-12j),(-2.8910547423875712e-11+5.1294631702644606e-11j),(-4.968648572634402e-11+2.2865511792016311e-10j),(1.5362600104053872e-12+5.005655100324088e-12j),(-8.111197064164253e-14+1.1049861324445073e-13j),(3.654581793110375e-15+9.160942666381675e-15j),(5.1140091697434987e-14+3.737624641388188e-14j),(8.675840357687538e-11+7.999192436125777e-11j),(0.00023364461395294057-0.0004554510644424082j)
0.05,(8.403895660993563e-05-0.0004203288113007682j),(2.8776371659383003e-07-9.785869321871386e-08j),(1.0575290890611393e-12+7.372537882735422e-13j),(-3.355666681834137e-11+8.852642105524377e-11j),(3.4871622504906158e-12+1.8570689472118626e-10j),(3.763164915320274e-12+5.351821915038858e-12j),(-1.1946234517585659e-13+6.965042864606853e-14j),(1.175540264094736e-14+1.2214372560545241e-14j),(5.178825206456594e-14+5.259704918990626e-14j),(4.703189799514372e-11+8.755604174413269e-11j),(8.293957325831872e-05-0.00042172026393486403j)
0.06,(-2.9834810273370988e-05-0.00035678695494438246j),(2.4760535452877775e-07-1.0771012969026391e-07j),(1.213444909709268e-12+2.2978277816995275e-13j),(-2.9917504552817016e-11+1.4227261611648112e-10j),(3.546364146161569e-11+1.3471998816683656e-10j),(6.2019901661243944e-12+4.727155559236594e-12j),(-1.3293315145995063e-13+1.5333276020114678e-14j),(2.5240725086230105e-14+1.1516196615032926e-14j),(4.6894727871444826e-14+6.650101848177799e-14j),(1.1148621253556262e-11+7.958380773244932e-11j),(-3.1277678318281155e-05-0.00035780994638598006j)
0.07,(-0.00010639341402696799-0.00027808617896228253j),(2.043179207423853e-07-1.0801148159083232e-07j),(1.1138964498483476e-12-2.6451609654702065e-13j),(-1.0407699355011433e-11+2.1560853696195307e-10j),(4.810774794198535e-11+8.767195748117676e-11j),(8.42524976040928e-12+3.106271971424595e-12j),(-1.2018392179584776e-13-3.725739757254345e-14j),(4.366711286437772e-14+2.6920030781114116e-15j),(3.736098388350003e-14+7.743516272916506e-14j),(-1.4734968017007262e-11+6.153695840955872e-11j),(-0.00010800881514765403-0.0002786390061374931j)
0.08,(-0.00014890075677710397-0.0001965897934932098j),(1.6323567571351724e-07-1.0128138009309075e-07j),(8.23025841200428e-13-6.277588935889958e-13j),(3.565031037677512e-11+3.1009985961905437e-10j),(4.731054277097022e-11+5.056690758414396e-11j),(1.0045087061629196e-11+6.441220980897042e-13j),(-8.728228550229051e-14-7.618559572981872e-14j),(6.40613022587263e-14-1.945715479665987e-14j),(2.4580646498983428e-14+8.424800627912317e-14j),(-2.8820833350653096e-11+3.9591204243007504e-11j),(-0.00015050722621065115-0.00019665650415700577j)
0.09,(-0.00016333093527286048-0.00012142950724352765j),(1.271557652155412e-07-9.020207700216757e-08j),(4.423490683088243e-13-8.038856775854173e-13j),(1.222585239236029e-10+4.2439914200101773e-10j),(3.933027204277833e-11+2.4799547115328537e-11j),(1.0781389634662724e-11-2.3674040587963183e-12j),(-4.428554266504082e-14-9.517116707904059e-14j),(8.003873841471778e-14-5.975053105500858e-14j),(1.0192079577344688e-14+8.640324016783377e-14j),(-3.2390672685950507e-11+1.8887727729183293e-11j),(-0.00016477057523355413-0.00012106570977244902j)
0.1,(-0.00015692090290391047-5.835121004643388e-05j),(9.712299855153536e-08-7.708868833689017e-08j),(7.169297006806169e-14-7.971776682124006e-13j),(2.665133440763481e-10+5.524687209830455e-10j),(2.902138051823744e-11+8.99966042645929e-12j),(1.0500125956313165e-11-5.56325005466787e-12j),(-1.7110512661534904e-15-9.388082458430228e-14j),(8.145213011256621e-14-1.2082297813035447e-13j),(-4.17778238168376e-15+8.398197859933446e-14j),(-2.841736018082271e-11+2.726812912726683e-12j),(-0.00015808086028975274-5.766078096323404e-05j)
0.11,(-0.00013696155819893895-1.0030870930574674e-05j),(7.309244443055197e-08-6.367664491107682e-08j),(-2.1698984655887598e-13-6.539226127678417e-13j),(4.876848551176403e-10+6.815434231482455e-10j),(1.9369355339590046e-11+6.397951206826497e-13j),(9.219326514285528e-12-8.573031728621837e-12j),(3.2183121231608175e-14-7.662331113636167e-14j),(5.491978473413925e-14-2.009568640728079e-13j),(-1.7131945471147266e-14+7.758811666843642e-14j),(-2.035538750728815e-11-7.528005998230801e-12j),(-0.00013778246131306552-9.140115362490696e-06j)
