t,B00_A_0000,B00_A_0001
0.63,(-0.0009243278025180873+0.001036801372866716j),(0.0038339889048209946+0.049577301907917266j)
0.64,(-0.0007197422952023135+0.001275837825478706j),(0.01591371086519009+0.04852983972798467j)
0.65,(-0.00044970766544827605+0.0014806683304523518j),(0.027848240129386248+0.04450531239853695j)
0.66,(-0.00011725255699334531+0.0016334000027599597j),(0.03889945828308493+0.037473892309612046j)
0.67,(0.00026994927559022654+0.001715057342570898j),(0.04829416706840214+0.027588091375053032j)
0.68,(0.0006987087124347986+0.0017066441517530452j),(0.05526818816701936+0.015201909363947223j)
0.6900000000000001,(0.001149620625326288+0.0015906065485000506j),(0.05911893256083422+0.0008799168240634339j)
0.7000000000000001,(0.0015966822292721441+0.001352707616684911j),(0.059264462826351685-0.014607065913671436j)
0.71,(0.0020074083096357047+0.0009842918408934352j),(0.055305954797484944-0.030302991801199722j)
0.72,(0.0023436505372317106+0.00048482145937917367j),(0.04708868630922477-0.04510672067134899j)
0.73,(0.00256330717963913-0.00013549237376413463j),(0.03475593246989867-0.05783255717082481j)
0.74,(0.0026230887101263457-0.0008532418262412922j),(0.018788890850819986-0.06729087296319586j)
0.75,(0.002482430199173268-0.0016299418580466762j),(2.5176908485794423e-05-0.07238613673817419j)
0.76,(0.0021085166791855025-0.002411189240204204j),(-0.02035135712393829-0.0722269535609981j)
0.77,(0.001482210450167894-0.003127390000186792j),(-0.040855551997253915-0.06623978024548415j)
0.78,(0.000604443737017636-0.003696580584616995j),(-0.05978434829379366-0.0542751911951457j)
0.79,(-0.0004976164282223042-0.004029775453755973j),(-0.0753388253983849-0.03669338032821029j)
0.8,(-0.0017655793356225237-0.004039066595291778j),(-0.08578034399956218-0.01441453045787243j)
0.81,(-0.0031071714183317327-0.003648363386998205j),(-0.08961081709169484+0.011079706372539171j)
0.8200000000000001,(-0.004397154749003391-0.0028061983789902803j),(-0.08576152177383572+0.03780466111097851j)
0.8300000000000001,(-0.005482986792142371-0.0014994678069788093j),(-0.07376990983697762+0.0633970411720447j)
0.84,(-0.006196060468247866+0.00023360894284534016j),(-0.05392055618739193+0.08530402587528751j)
0.85,(-0.006368742053749094+0.0022935347473026077j),(-0.02732578804134265+0.1010267517594774j)
0.86,(-0.0058566086360261095+0.00451511277769188j),(0.004075918222894306+0.10839880608105643j)
0.87,(-0.004564148912566823+0.006671077678672407j),(0.03761901771288463+0.10587075470535222j)
0.88,(-0.002470965968337257+0.008485746163411035j),(0.07011159616990986+0.09276492673424966j)
0.89,(0.00034536576363646205+0.009659668357359654j),(0.09812945223980195+0.06946309489708821j)
0.9,(0.003694441186254739+0.009904701243080266j),(0.11838002373686884+0.03749123496704822j)
0.91,(0.007270849176611224+0.008986957888818464j),(0.12809860324886063-0.0005256149451368861j)
0.92,(0.010668582371741437+0.006772979822614283j),(0.1254285252609206-0.04105103011153046j)
0.93,(0.013414192530595594+0.003272601653304337j),(0.10973199277882717-0.07996128398056286j)
0.9400000000000001,(0.015018213950929771-0.001329231876011719j),(0.08178080574494108-0.11297896016472692j)
0.9500000000000001,(0.015041109431945986-0.006659545343046124j),(0.043787241217956574-0.13616967989971532j)
0.96,(0.013166571442001646-0.012169848496456753j),(-0.0007459201228658821-0.14644074902491216j)
0.97,(0.009272070650310982-0.01717779807590206j),(-0.04735288720959711-0.1419736559690331j)
0.98,(0.00348477688960527-0.02093755500475836j),(-0.09108008612199944-0.12252552300295592j)
0.99,(-0.0037890086017624853-0.022733410520708205j),(-0.1270550598356016-0.08954836589957205j)
1.0,(-0.011870575705848449-0.02198628608788186j),(-0.15107732971301463-0.04609810848870077j)
1.01,(-0.019857059091281493-0.018358665505175602j),(-0.16015174621937905+0.0034657422824939717j)
1.02,(-0.026710903356607228-0.011841027138936769j),(-0.15288810219114313+0.053959100029241036j)
1.03,(-0.031382596380789496-0.0028040691768846035j),(-0.12971028246763014+0.09997084308255885j)
1.04,(-0.03295314627173428+0.007996797345028606j),(-0.0928396235739704+0.13650270662574224j)
1.05,(-0.030776964097264388+0.01947173462674079j),(-0.046051499952672686+0.1595652678364684j)
1.06,(-0.02460354264760569+0.03030059800370337j),(0.005763438783480857+0.1666499158020319j)
1.07,(-0.014657390961953787+0.03908125150910686j),(0.05717424499979845+0.1570146739941121j)
1.08,(-0.001660306164522965+0.044504546541808326j),(0.10284327382357311+0.13174889005621976j)
1.09,(0.01321228832860671+0.04553282854976812j),(0.13813447915290442+0.0936135932979668j)
1.1,(0.028439693036686538+0.041556662298170705j),(0.15961886731744976+0.04668548207679277j)
1.11,(0.04231790290414674+0.032506268704499665j),(0.16541709320171466-0.004141880107122036j)
1.12,(0.05315566910357286+0.018899779353364947j),(0.15534444795066332-0.05372971109782524j)
1.1300000000000001,(0.05947947687951473+0.0018189796143909566j),(0.13085204529679803-0.09726332633012039j)
1.1400000000000001,(0.060220389249774284-0.01718665950981576j),(0.09478523564814169-0.13074977924272718j)
1.1500000000000001,(0.054857965295539754-0.03625690358010482j),(0.05100204566643651-0.15138959301668978j)
1.16,(0.04350231941393329-0.05341967784735333j),(0.003908130054716352-0.15778936341730776j)
1.17,(0.026902564268593512-0.06680633031405243j),(-0.04202874988046292-0.15000337056608223j)
1.18,(0.006382039309019573-0.07485776613965629j),(-0.08272882823086443-0.12941823097639774j)
1.19,(-0.016291415480645426-0.07649571065289958j),(-0.11486675419415406-0.09850944416049279j)
1.2,(-0.03908317223539358-0.0712400211395374j),(-0.13612407735764678-0.06051154869828508j)
1.21,(-0.05989561062263308-0.05926040906149474j),(-0.1453145938326532-0.019047795475202804j)
1.22,(-0.07677426790504607-0.041359433139638115j),(-0.14238560671625916+0.022236695357718484j)
1.23,(-0.08809391144553023-0.018891852537769115j),(-0.12831148902071246+0.060001226497250995j)
1.24,(-0.0927060404188466+0.006367726758624251j),(-0.10490508859825468+0.09146832566628316j)
1.25,(-0.09003508113193857+0.03239225192613621j),(-0.07457710763419514+0.11459958992637662j)
1.26,(-0.08011715580897052+0.05708573250521243j),(-0.04007394244931803+0.1281842370297633j)
1.27,(-0.0635818452741136+0.07846404786413283j),(-0.00422139494813617+0.1318455444749863j)
1.28,(-0.0415830569071377+0.09481641426673088j),(0.030303757099736067+0.12597746773092516j)
1.29,(-0.015689247156653693+0.1048344374124683j),(0.06115891175451636+0.11162798935578036j)
1.3,(0.012253902143483368+0.1077001335244508j),(0.08646892295439812+0.09034774299221829j)
1.31,(0.04027301054830476+0.10312969290808799j),(0.10490568758897413+0.06402304331914002j)
1.32,(0.0664170274298492+0.09137304098384118j),(0.11571648606999128+0.034707729829725364j)
1.33,(0.08889495457247015+0.07317427030017964j),(0.11870827985837781+0.0044675710294556255j)
1.34,(0.10619248003177613+0.049699728244299815j),(0.11419662887096411-0.02475391361609767j)
1.35,(0.1171613273177318+0.022442257178620185j),(0.10292895318296895-0.05124262595670572j)
1.36,(0.1210779921177079-0.006889308172951657j),(0.08599176154464437-0.07359162409951965j)
1.37,(0.11767119019567382-0.03648651494014225j),(0.06471059316251737-0.09074960747644073j)
1.3800000000000001,(0.10711956768349003-0.06455553402899375j),(0.04055006215144028-0.10204230697501779j)
1.3900000000000001,(0.09002293257580966-0.08942255815869976j),(0.015019805463439239-0.10717025156947714j)
1.4000000000000001,(0.06735142942479402-0.1096251640708866j),(-0.01040948467756535-0.1061871121276223j)
1.41,(0.0403777288859651-0.12398602441847469j),(-0.03437726853727492-0.09946306608730753j)
1.42,(0.010597508244440987-0.13166685796608527j),(-0.05569023109672018-0.08763750010594411j)
1.43,(-0.02035654909533107-0.13220176542845913j),(-0.07336485046812542-0.07156504823307855j)
1.44,(-0.05080244813264642-0.12551035767299668j),(-0.08665595883333427-0.05225840083291032j)
1.45,(-0.07909490293736329-0.1118925126957634j),(-0.09507260431159657-0.030830258407313488j)
1.46,(-0.10370519809038169-0.09200557223082037j),(-0.09838198298084604-0.008437264300650137j)
1.47,(-0.12329290160798174-0.06682680724636737j),(-0.09660319092638837+0.013772872316793095j)
1.48,(-0.1367671183870655-0.03760340773391073j),(-0.0899921612013672+0.034709710743937174j)
1.49,(-0.14333568655818704-0.005792498832078302j),(-0.07901917473907853+0.053382977422123445j)
1.5,(-0.14254122468666744+0.02700629384640888j),(-0.06434023993284253+0.06893941764157999j)
1.51,(-0.1342833444083666+0.0591232592063821j),(-0.04676351683589175+0.08069317583563065j)
1.52,(-0.11882667506743455+0.08889360368167065j),(-0.02721185152175247+0.0881493955371187j)
1.53,(-0.09679461785525055+0.11473272820575789j),(-0.0066824028084875725+0.09102079023241302j)
1.54,(-0.06914897606437546+0.1352095246918331j),(0.013795699737158482+0.08923695965451584j)
1.55,(-0.037155818409758186+0.14911546753071017j),(0.033204723337024365+0.08294623249118746j)
1.56,(-0.002338149084902298+0.15552727304014183j),(0.05058172790681943+0.07250982675589854j)
1.57,(0.033583793141607386+0.15386087038100565j),(0.06506089259316232+0.058488153951210056j)
1.58,(0.06876348431532542+0.1439144077981837j),(0.07591354548138192+0.04161916807718159j)
1.59,(0.10130886888404868+0.12589819847028344j),(0.08258458391556989+0.022788757811323654j)
1.6,(0.1293707505226135+0.1004483177324467j),(0.08472334799978007+0.0029936520540771623j)
1.61,(0.15123658180327376+0.06862296118828645j),(0.08220777021521225-0.01670290257423801j)
1.62,(0.1654262951257081+0.031878765589934195j),(0.07515966732299059-0.035221505281042016j)
1.6300000000000001,(0.17078612102951185-0.0079744734093471j),(0.06394944342698641-0.05152147736344753j)
1.6400000000000001,(0.16657572281493072-0.048841432985799196j),(0.04918866404066835-0.06465823708364257j)
1.6500000000000001,(0.1525433055061191-0.08843115630792606j),(0.03170923815490487-0.07384056075847256j)
1.6600000000000001,(0.12898285755111222-0.12436787060345889j),(0.01252847260851523-0.07848456199485239j)
1.67,(0.09676745076100388-0.1543198526200057j),(-0.007199990155859622-0.07826075063870022j)
1.68,(0.05735268343055373-0.17614167183151233j),(-0.026248374579126817-0.07313022793092698j)
1.69,(0.012745032038193549-0.18802318692448872j),(-0.04338798271779481-0.06336602384059319j)
1.7,(-0.03456880588187554-0.1886366966647605j),(-0.057469997402114614-0.04955587657068796j)
1.71,(-0.08173345950216132-0.17727185243073096j),(-0.06750915054896782-0.032583471270910734j)
1.72,(-0.12567642821898517-0.1539465788942607j),(-0.07276432951477105-0.0135863464027706j)
1.73,(-0.1632952708488046-0.11948161090050247j),(-0.07280927824482047+0.006109651360349411j)
1.74,(-0.19167212822758886-0.07552663762934436j),(-0.06758610901387244+0.0250773847418979j)
1.75,(-0.20830309395031446-0.02452771863800107j),(-0.05743456353390593+0.04189254454988378j)
1.76,(-0.21132598757369256+0.03037121735334547j),(-0.04309100374691857+0.055248023306468205j)
1.77,(-0.19972688344517767+0.08549565817702592j),(-0.02565298351685413+0.06406936859975117j)
1.78,(-0.17350360708005183+0.13687197712313057j),(-0.006508447613551958+0.06762065483524426j)
1.79,(-0.13376485429734547+0.18051318477148473j),(0.01276828577523096+0.06558899693057908j)
1.8,(-0.08274611290803757+0.21274071637971717j),(0.0305473770092554+0.058136671608034256j)
1.81,(-0.023728644507945516+0.2305168176635823j),(0.04529076412826255+0.04591166061264934j)
1.82,(0.039144347072113034+0.23175720581848896j),(0.05570220177498831+0.030010721077707928j)
1.83,(0.10115020825136123+0.215590583095444j),(0.060864007232893425+0.011893878810723381j)
1.84,(0.15735241508034098+0.18253212948552808j),(0.06034392609966336-0.00674506385403751j)
1.85,(0.20302212078043824+0.13454274948029898j),(0.05425710560807038-0.02414142930994867j)
1.86,(0.23407842794134393+0.0749547573013552j),(0.04327201747760327-0.038639963157106896j)
1.87,(0.24750308509743263+0.008257408802908872j),(0.02855510644519351-0.04887254418459976j)
1.8800000000000001,(0.24168282053414225-0.06024888649159688j),(0.011656373949817321-0.05391164541697178j)
1.8900000000000001,(0.21663568398162641-0.12490444168137332j),(-0.005653895184903219-0.05337910404139491j)
1.9000000000000001,(0.17408695501084284-0.18020782492867893j),(-0.0215796707518654-0.04749406485796247j)
1.9100000000000001,(0.11737490557323826-0.2213469351535075j),(-0.034501862666962486-0.03705105033617243j)
1.92,(0.051185549164865465-0.2446854521519342j),(-0.0431634604345228-0.023328150069086607j)
1.93,(-0.018863806554142333-0.2481474511940282j),(-0.046812499686152816-0.00793506405210579j)
1.94,(-0.08675239718593891-0.23145172642319767j),(-0.0452831512085442+0.007380389849609898j)
1.95,(-0.14663970284912073-0.19616440587818357j),(-0.0390033504524054+0.020942463964240706j)
1.96,(-0.1934409521690953-0.14555697125177222j),(-0.02892733629013664+0.03134604763315332j)
1.97,(-0.22332804778873055-0.08428243878597812j),(-0.01640262604597745+0.03761697644904134j)
1.98,(-0.23409780409411693-0.01790446393304688j),(-0.0029903095627977208+0.039312785143766196j)
1.99,(-0.22536493557826848+0.047667084824568724j),(0.009735766146209579+0.03655145880627863j)
2.0,(-0.19855882099012712+0.106768745893375j),(0.020382722112936177+0.02996650004048662j)
