N,E [H]
1,-15.407362332576076
2,-15.41295937348762
3,-15.421239514420936
4,-15.424292089739494
5,-15.429650427929207
6,-15.430654000262258
7,-15.431698075018094
8,-15.43255315192885
9,-15.434116580478278
10,-15.438478198174392
11,-15.438966718771043
12,-15.440728556362341
13,-15.44152185383422
14,-15.443580536719248
15,-15.445771776868412
16,-15.446291928065492
17,-15.446845967299712
18,-15.44721308546924
19,-15.449305402924146
20,-15.449965093655758
21,-15.450624939214311
22,-15.450990847764945
23,-15.451001923836795
24,-15.451404043481057
25,-15.451488873867834
26,-15.451678824376069
27,-15.453763220974635
28,-15.45453025291799
29,-15.454829659137669
30,-15.455141051576991
31,-15.456094652716
32,-15.456266411446734
33,-15.457085329867356
34,-15.45778445099301
35,-15.45798649552082
36,-15.458066690708556
37,-15.458174263705764
38,-15.458616297404141
39,-15.458891166203339
40,-15.459343812757794
41,-15.45948267792999
42,-15.459615934007308
43,-15.460117284991878
44,-15.460501351159664
45,-15.4607284495994
46,-15.461029877183512
47,-15.461144594061015
48,-15.461575067183464
49,-15.461727635327918
50,-15.461878565607503
51,-15.462028792518245
