N,E [H]
1,-15.247902072192796
2,-15.248014252242852
3,-15.250210493843195
4,-15.256987518284511
5,-15.257655748632493
6,-15.272953122132487
7,-15.273101329989808
8,-15.273304550292032
9,-15.273747612299701
10,-15.275206267133315
11,-15.276863556707639
12,-15.279108439365043
13,-15.27938489389161
14,-15.281832207865717
15,-15.281891578745022
16,-15.282043154430799
17,-15.282156182686942
18,-15.282341026426895
19,-15.282670102259644
20,-15.282716425911877
21,-15.283099810206592
22,-15.283165100664485
23,-15.283237227850234
24,-15.284980565862263
25,-15.289685207697167
26,-15.29014192696168
27,-15.290470830163544
28,-15.290784609199687
29,-15.290900985307513
30,-15.291116612926343
31,-15.291403998956639
32,-15.291891794700664
33,-15.292181623765867
34,-15.293170400918212
35,-15.293829528512537
36,-15.293876762278863
37,-15.2939485856617
38,-15.294697746910437
39,-15.29647651132251
40,-15.300249285641462
41,-15.300628076818372
42,-15.300696862641312
43,-15.30134756921817
44,-15.302546573926847
45,-15.303214577979542
46,-15.303678463497931
47,-15.305028448117808
48,-15.305804398511407
49,-15.306229790965464
50,-15.306665807839995
51,-15.30727954546455
52,-15.307828637894257
53,-15.308121507332219
54,-15.308446833500962
55,-15.30888261569984
56,-15.309437368885709
57,-15.311530648743465
58,-15.313763631951177
59,-15.316070322577072
60,-15.316259293832008
61,-15.316297740906794
62,-15.316834477221082
63,-15.31693646337426
64,-15.317422871911266
65,-15.31909466690165
66,-15.322195496962284
67,-15.325712210828375
68,-15.326750164717186
69,-15.327306583596611
70,-15.327341858464692
71,-15.327645534898712
72,-15.327663386051434
73,-15.327809270378454
74,-15.32836359917493
75,-15.328659342361025
76,-15.328797935913812
77,-15.329363618001222
78,-15.329617005408142
79,-15.329690147954029
80,-15.329716379258482
81,-15.331895946713933
82,-15.3325184538157
83,-15.33279391893692
84,-15.332839768414841
85,-15.334369694640019
86,-15.33445099686242
87,-15.334609561457805
88,-15.334640984844667
89,-15.334784145523434
90,-15.335637298333872
91,-15.335765544292343
92,-15.338066092739798
93,-15.338067072131244
94,-15.338156034928806
95,-15.338164564023277
96,-15.338991034296575
97,-15.33899419851703
98,-15.34001847786735
99,-15.341887695844857
100,-15.341990944043268
101,-15.343385798066443
