N,E [H]
1,-14.61996133408772
2,-14.631833555551474
3,-14.63390563632455
4,-14.639549013496403
5,-14.640106278258983
6,-14.64422954559097
7,-14.645792342298767
8,-14.647148753377099
9,-14.649279558298236
10,-14.649286409048383
11,-14.65025139032858
12,-14.650493619702281
13,-14.650709573330756
14,-14.651175406666532
15,-14.65149358311873
16,-14.65170231158706
17,-14.65172548032803
18,-14.651776658082404
19,-14.651776710727514
20,-14.651788465109648
21,-14.65195884800032
22,-14.65209421503506
23,-14.652096340175444
24,-14.652162078859714
25,-14.652182084547489
26,-14.652234248836448
27,-14.652351300310617
28,-14.652746944404653
29,-14.652817685526928
30,-14.652822856122294
31,-14.652845908802448
32,-14.652893095880009
33,-14.65301104546828
34,-14.653018537982481
35,-14.65304365516172
36,-14.653054370478715
37,-14.653062737717066
38,-14.653064357743904
39,-14.653066044509176
40,-14.653070453007727
41,-14.653077064197019
42,-14.653083389834684
43,-14.653083767582096
44,-14.653085142735748
45,-14.653108047441176
46,-14.653111014667891
47,-14.653145976236276
48,-14.653154376274378
49,-14.653157092354853
50,-14.6531595534313
51,-14.65319236514612
