t,S_00,S_01
0.0,0.77588787927429,0.22411212072570935
0.01,0.7633412334041796,0.23668767511758104
0.02,0.7505629900142213,0.24945920640536215
0.03,0.7375870378950723,0.2624062853484649
0.04,0.7245989547315722,0.27554314720067574
0.05,0.7114758517229525,0.28877138317605777
0.06,0.6980788681436328,0.3020396891591861
0.07,0.6846264266292171,0.315376248681335
0.08,0.6713380650944536,0.3287724995915938
0.09,0.6580843046374569,0.3421491690604202
0.1,0.6447159382420925,0.3554290739168547
0.11,0.6313705759063554,0.36864117353636716
0.12,0.6182737474932937,0.38179044718370736
0.13,0.6053460851382991,0.3948181337645209
0.14,0.5924734159371619,0.40764194443706026
0.15,0.5797265688180049,0.4202789119238041
0.16,0.5672838860719688,0.4327517294840618
0.17,0.5550944021194867,0.4450103587599477
0.18,0.5430821892196456,0.45698688028951306
0.19,0.5312950341050957,0.46869587277713975
0.2,0.5198507449014855,0.48016596973820336
0.21,0.5087094882357345,0.4913533702603134
0.22,0.4978197559522587,0.502209304765202
0.23,0.487223365482138,0.5127551065083515
0.24,0.4769847777309983,0.5230175374590873
0.25,0.46707284839160157,0.5329612261538256
0.26,0.45744741630878794,0.5425539964308851
0.27,0.4481422533040884,0.5518252794496573
0.28,0.4391890204157494,0.5608001926102091
0.29,0.4305605715397887,0.5694533544382615
0.3,0.4222214042927922,0.5777639421151651
0.31,0.4141915670373541,0.5857652248480473
0.32,0.40648836273217587,0.5934869100909379
0.33,0.39908600294113195,0.6009129517566645
0.34,0.39195033751356373,0.6080284833945796
0.35000000000000003,0.3850827270633042,0.6148628713267847
0.36,0.3785000501434368,0.6214591540115799
0.37,0.3721757349558851,0.6278096037488659
0.38,0.36607758652539274,0.6339016973610959
0.39,0.36018788388340334,0.6397531019105914
0.4,0.35452188611176405,0.6454176244774095
0.41000000000000003,0.3490602089376715,0.6509074378472623
0.42,0.34377208427183137,0.6562086991606755
0.43,0.3386287411364244,0.6613245373912652
0.44,0.33362475531670244,0.6662949701268551
0.45,0.3287654340292185,0.6711718764461968
0.46,0.32402033367975913,0.6759500492383056
0.47000000000000003,0.31935709669098,0.6806149987254968
0.48,0.3147527765917552,0.6851810564292397
0.49,0.31020523233206776,0.6896965679481892
0.5,0.305715365750658,0.6942119990993666
0.51,0.3012511783477439,0.6987147926463999
0.52,0.2967798700846464,0.7031850711828659
0.53,0.29228218873855905,0.707638395131939
0.54,0.2877576516829835,0.7121240916228618
0.55,0.28321023245540866,0.716694469941684
0.56,0.2786121847590622,0.7213377250259326
0.5700000000000001,0.27393067691769696,0.726022474648396
0.58,0.26914951017509886,0.730757656660924
0.59,0.2642723231401395,0.7355892873588881
0.6,0.2593085152192965,0.7405681781473114
0.61,0.25423877280704066,0.7456844232862713
0.62,0.24903307351945672,0.7508948729115537
0.63,0.24368084796676648,0.7562016093489399
0.64,0.23819375701488282,0.7616462455864692
0.65,0.2325869867310646,0.7672705626256395
0.66,0.22684640832436576,0.7730507326230024
0.67,0.22095071526791019,0.7789387080569984
0.68,0.21490268063116125,0.7849408278023992
0.6900000000000001,0.20872659370988306,0.7910953251153192
0.7000000000000001,0.2024368396149411,0.7974180046887378
0.71,0.19602010295737202,0.803850260167118
0.72,0.18947467006393776,0.810363794366299
0.73,0.18282692929309213,0.8169827919137547
0.74,0.17610576375662207,0.8237252393050649
0.75,0.16931081246351554,0.8305370818831264
0.76,0.1624461614682646,0.8373752176358766
0.77,0.15554456934469701,0.8442558826354203
0.78,0.1486389319613873,0.8511840965996212
0.79,0.14173530680777613,0.8580920688916154
0.8,0.13485107942957686,0.864948902405282
0.81,0.12802879677042966,0.8717709782961849
0.8200000000000001,0.1212935681513404,0.8785248990911937
0.8300000000000001,0.11465820499539998,0.8851436955148659
0.84,0.10815939810157148,0.891629252637008
0.85,0.10183443152869213,0.8979725775986982
0.86,0.09569901192353651,0.9041001902552253
0.87,0.08978413053217457,0.9099990822905419
0.88,0.08412933505150792,0.9156693169260259
0.89,0.07875216760462254,0.9210413223566646
0.9,0.07368038730227845,0.9260988339241185
0.91,0.06894964810656977,0.9308436831613265
0.92,0.064575707826744,0.9352106034118142
0.93,0.06058362426086383,0.9391928519320345
0.9400000000000001,0.05700100330822158,0.9427883905363523
0.9500000000000001,0.05383893972247121,0.9459394334711588
0.96,0.051118674670434225,0.9486569935375887
0.97,0.048856591125470056,0.9509282788072501
0.98,0.04705796503284688,0.9527129144740554
0.99,0.045737741354458926,0.9540387519480887
1.0,0.0448995455493889,0.9548790652363843
1.01,0.0445431940874371,0.9552230596947812
1.02,0.044673562133093016,0.9551033098266121
1.03,0.045283102321246,0.9544873829555547
1.04,0.046366123849314524,0.9533995782356833
1.05,0.04791554671789708,0.9518605849104331
1.06,0.049915176756026865,0.9498480478157605
1.07,0.05235315250581596,0.9474137401278266
1.08,0.0552118175814208,0.9445610870825739
1.09,0.05846884384783724,0.9412888260544456
1.1,0.06210591289728434,0.9376628215082393
1.11,0.06609795116087336,0.9336727133935675
1.12,0.07041841833639248,0.9293350882753539
1.1300000000000001,0.07504408907947566,0.9247277292391681
1.1400000000000001,0.07994595075806972,0.9198302290607595
1.1500000000000001,0.08509463320717515,0.9146556185921844
1.16,0.0904649008701362,0.9093033082390292
1.17,0.09602706240735526,0.9037653200889302
1.18,0.10175089610424917,0.8980103766389519
1.19,0.10761056152304428,0.8921361971278448
1.2,0.11358006072276007,0.886225151457424
1.21,0.11962979869363419,0.8801905812929843
1.22,0.12573478224135376,0.8740257948902107
1.23,0.131873327758118,0.8678703124080243
1.24,0.1380238672526017,0.8618220888412171
1.25,0.14416007533990258,0.8557444704031081
1.26,0.15026330360494025,0.8495674439347635
1.27,0.15631990237149004,0.8434200218372525
1.28,0.16231443431216958,0.8374902851006308
1.29,0.16823197465067158,0.831766976739211
1.3,0.1740525241815944,0.8260151672434904
1.31,0.17976957109804373,0.8201710004316902
1.32,0.1853816839310129,0.8144039076219305
1.33,0.19088019815040236,0.8089249940018417
1.34,0.19626512745659097,0.8037928427392224
1.35,0.20152116140775683,0.7987359506165345
1.36,0.20664458922957038,0.7935600291427517
1.37,0.21164478074409512,0.7883357242428909
1.3800000000000001,0.21653055549303615,0.7833043447307056
1.3900000000000001,0.2213038052084749,0.7786284435537325
1.4000000000000001,0.2259733728421718,0.7742442437512013
1.41,0.23052991331631173,0.7698507546654335
1.42,0.23497870404484392,0.7652980316432504
1.43,0.23933856802794345,0.7606937080367839
1.44,0.2436282123584445,0.7562729648566381
1.45,0.24786190822929266,0.7521661660651259
1.46,0.2520504495408587,0.7482547659127776
1.47,0.256188272672862,0.7442451145146675
1.48,0.2602857086573146,0.7400184852709226
1.49,0.26436758517652575,0.735697371014857
1.5,0.2684594322615902,0.731497602346402
1.51,0.2725851162227594,0.727532969722548
1.52,0.27675055599086745,0.7236370596328808
1.53,0.28095040016124045,0.7195217008707632
1.54,0.2851993945041049,0.7151097254856924
1.55,0.2895273202095842,0.7105542717749675
1.56,0.29396165001846547,0.7060516008098863
1.57,0.29853197994173003,0.7017005053302301
1.58,0.3032302778950186,0.6972578071191157
1.59,0.3080500318997555,0.6924516394628432
1.6,0.31301286932165634,0.6872768319829551
1.61,0.31815335148764,0.6819389937652455
1.62,0.32349614420474687,0.6766093701428353
1.6300000000000001,0.32906777439815205,0.6713314581828331
1.6400000000000001,0.33483594325957894,0.6657554596426953
1.6500000000000001,0.34079978494729024,0.6596836489058004
1.6600000000000001,0.3469942900393941,0.6532400831556139
1.67,0.35345179167130686,0.6466712655326307
1.68,0.3601963167377498,0.6401098557201805
1.69,0.3672145382568944,0.6333887388374458
1.7,0.3744630888668608,0.6261442342462494
1.71,0.3819691406745314,0.6183915197247382
1.72,0.3897782974584423,0.6104127337602933
1.73,0.39790286425466953,0.6023898522574773
1.74,0.40634476031878036,0.5942677305386316
1.75,0.4150234368560334,0.5856316610247834
1.76,0.42395878534852777,0.5764506759757458
1.77,0.43320680616854035,0.5670355550871536
1.78,0.4427742825729892,0.5575960716336202
1.79,0.45263907797659314,0.5480221882565355
1.8,0.4627013361353466,0.5379214829904008
1.81,0.47300092152189177,0.5273645194600118
1.82,0.4835846118075524,0.5166975056286446
1.83,0.49446360451216737,0.5060697188825833
1.84,0.5055203197769118,0.49515606321943056
1.85,0.5167102678167571,0.48376641453194963
1.86,0.5281119917789989,0.47219796129998703
1.87,0.5397381301790088,0.46071947318515966
1.8800000000000001,0.5515046821725457,0.4491472642149799
1.8900000000000001,0.5633010172231102,0.43720565498839603
1.9000000000000001,0.5752062324072086,0.425121615469945
1.9100000000000001,0.5872511523955718,0.413199012477314
1.92,0.5993393291030903,0.4012795138531785
1.93,0.61134908129383,0.3891227900234368
1.94,0.6233665751508787,0.37696243969601234
1.95,0.6354272200498248,0.36505398179891657
1.96,0.6473856030279725,0.3531900686618635
1.97,0.6591648964703665,0.34123627075180546
1.98,0.6708608526257491,0.32947011576333074
1.99,0.6824211655848867,0.31792270851715987
2.0,0.6937887101985857,0.306534366642292
