t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
0.21,(0.1504902468773473+0.37019172174072573j),(-0.04260704472198233+0.04112824641944496j),(-4.6788613059324314e-05+2.008611907815978e-06j),(-4.6518857034363047e-07+6.497346165095455e-07j),(-4.311663167921988e-06-1.0575681925253928e-05j),(0.025156822023819275+0.40185448869990603j)
0.22,(0.3739710386457419+0.1160818201017175j),(-0.0008241124187005032+0.05921942010338724j),(-7.227391113838945e-05+1.9503632645256314e-05j),(-2.219532862052847e-07+9.092105024962154e-07j),(-1.008459084706223e-05-1.0609490456637645e-05j),(0.30243573611919855+0.23684994397328277j)
0.23,(0.32078493830354127-0.21211552074162063j),(0.04209713751575358+0.04206703804097101j),(-0.00010323369818405769+5.351967946726689e-05j),(1.883537604888064e-07+1.0659493017285085e-06j),(-1.711946796440179e-05-7.589275012821734e-06j),(0.3608454133211638-0.06574517639030965j)
0.24,(0.03800810042232883-0.377444658209275j),(0.0599774500144864-0.0010543195628966023j),(-0.00012658761355685043+0.00011230529044873554j),(7.255669240914492e-07+1.0087336530477421e-06j),(-2.3940364633898018e-05-4.907478902358547e-07j),(0.18183536614048032-0.2997610477717647j)
0.25,(-0.2659313878669844-0.2660577582427379j),(0.041126961059884296-0.044028893249723j),(-0.0001160738587240264+0.00019561240876058594j),(1.280095019182984e-06+6.442952127708884e-07j),(-2.8934544322697157e-05+1.1076630517428123e-05j),(-0.09933029576869126-0.320515243685162j)
0.26,(-0.37271352702522104+0.03680784591012243j),(-0.0030817434089244096-0.059778588551167654j),(-4.204496713810341e-05+0.0002765717370608043j),(1.6772398374057667e-06-6.730241464473654e-08j),(-3.069231136950713e-05+2.7455618696500127e-05j),(-0.2930686671810796-0.13226981042050526j)
0.27,(-0.20821905057494544+0.31041031897346966j),(-0.044268581965906335-0.03828883858290978j),(9.17714016442767e-05+0.0003011830445820456j),(1.6941340118754423e-06-1.0795164550221563e-06j),(-2.7687336545769667e-05+4.9804661801151064e-05j),(-0.28129459935964335+0.12655834851783754j)
0.28,(0.10582687434312738+0.358308927463326j),(-0.05593152292675643+0.005544948137612268j),(0.00023158295740020646+0.00023070845286732905j),(1.0856995951533339e-06-2.2042091625654284e-06j),(-1.727409348725354e-05+8.114593337133821e-05j),(-0.08785816184621727+0.282944338770812j)
0.29,(0.3431895370952454+0.14871176278549086j),(-0.03210949782056945+0.04210481900878656j),(0.0003039508976935897+8.203025041900788e-05j),(-3.1778897981202094e-07-3.046229614240559e-06j),(5.9854029435060095e-06+0.00012786125640167902j),(0.14796064587710428+0.24356613726364862j)
0.3,(0.335395767534342-0.16731924726168257j),(0.008723068074070674+0.04807683224040302j),(0.00027290422454259445-7.450620625441443e-05j),(-2.444175701278951e-06-3.0103508360929326e-06j),(5.488967914953586e-05+0.0002040031938475177j),(0.2702733205867084+0.048587455860380636j)
0.31,(0.08872761360676831-0.3650701538248645j),(0.037590843894210274+0.022934165651138986j),(0.00016809797607528687-0.00016997560215017423j),(-4.7551280612940395e-06-1.425750877249018e-06j),(0.00016348038745027556+0.0003413118613542595j),(0.20794554124951292-0.16446025299979636j)
0.32,(-0.22142343054542227-0.3046561434832443j),(0.03678321786039491-0.011746715038527483j),(5.175601443696299e-05-0.00018444858358365677j),(-6.028139241867559e-06+2.0526201237856085e-06j),(0.0004283342255398875+0.0006106482445598393j),(0.014017393913034915-0.2560763474746801j)
0.33,(-0.3765700677956228-0.03012834959272257j),(0.012442326484345602-0.030268960370987603j),(-2.9515184278896732e-05-0.00014370176916716316j),(-4.579198022227248e-06+6.673406355775397e-06j),(0.00113551387152395+0.0011719930721153246j),(-0.17694999371954212-0.17452026586936542j)
0.34,(-0.270216097766154+0.2649143789380437j),(-0.012520666317278564-0.02321688858989644j),(-6.43058881899013e-05-8.71780570600624e-05j),(6.289958893631375e-07+1.0034159666861786e-05j),(0.003209833418741469+0.0023668574315267553j),(-0.240710343446534+0.01650288482399527j)
0.35000000000000003,(0.0188992698603003+0.37487971153820965j),(-0.019214003594446263-0.003916225279470727j),(-6.623339919633308e-05-4.146202089850145e-05j),(8.162943901814919e-06+8.70522164081064e-06j),(0.009697931463301815+0.004203762715537139j),(-0.1430625318035226+0.1860093481650581j)
0.36,(0.2833665464528582+0.22713515757806482j),(-0.01100590981577209+0.00737868742297999j),(-5.4378737850894804e-05-1.3975769002644286e-05j),(1.3120131249627994e-05+1.367318637808865e-06j),(0.025957899977131715+0.0014154781485129528j),(0.04337645023728335+0.22454750187228456j)
0.37,(0.3373614371743939-0.06772760165182709j),(-0.002852111217260013+0.008388918197666628j),(-4.105645518978937e-05-6.261107459264882e-08j),(1.1208202232827095e-05-7.860491965064147e-06j),(0.04365534124987903-0.019677429093081643j),(0.19233006264852565+0.1136431825113164j)
0.38,(0.1470131131199406-0.2968383205815809j),(0.001553661360225213+0.0061372831141861825j),(-3.0027814205186687e-05+6.533408009516109e-06j),(3.46178891619483e-06-1.3411602592414168e-05j),(0.03677331332472605-0.05602221173839938j),(0.20815322767677968-0.0672071387239996j)
0.39,(-0.14790670018054755-0.2946138117416701j),(0.0035020359484096253+0.0033273131672574546j),(-2.1561657342176838e-05+9.38183986912606e-06j),(-6.0036644997625176e-06-1.2536685739716851e-05j),(-0.004734693694094698-0.08060217892674093j),(0.08607723126575353-0.19663755535665206j)
0.4,(-0.33091164765705816-0.06287188833762802j),(0.003790378838787181+0.0007042812270777275j),(-1.522284536541501e-05+1.0303915783096326e-05j),(-1.260943326353137e-05-5.843137148933102e-06j),(-0.06137738956804086-0.06622939951749152j),(-0.08861276836440846-0.19159022996725109j)
0.41000000000000003,(-0.26372625773354885+0.22956625591953045j),(0.002898146477072854-0.0012723608317261421j),(-1.0462211625245701e-05+1.0236097311864357e-05j),(-1.3475160090236241e-05+3.360222129040547e-06j),(-0.09645519598141045-0.009976166084663854j),(-0.199215612228333-0.05986147656416002j)
0.42,(0.013353592714385354+0.36555208013398355j),(0.0013543838089792768-0.0022719526948911583j),(-6.8503440715627236e-06+9.625605339167837e-06j),(-8.521708624511472e-06+1.0961111910750947e-05j),(-0.0815670118843037+0.060594101692445224j),(-0.17475282844898551+0.10799404653231887j)
0.43,(0.30443944138946083+0.2334933939520232j),(-0.0002297546877595663-0.002221367150926212j),(-4.111401523070429e-06+8.695309793217606e-06j),(-1.2056032179206868e-07+1.3895104058280664e-05j),(-0.018197370791731563+0.1031199009505745j),(-0.034807256434043164+0.2003586604430841j)
0.44,(0.3931848772202134-0.08627298050061166j),(-0.0013091823342710135-0.0013703560554918824j),(-2.0761720362184306e-06+7.587544438744925e-06j),(8.211127574541575e-06+1.126359929679633e-05j),(0.05958756686245297+0.08845143302077578j),(0.12581956571738717+0.15780334673541085j)
0.45,(0.19977037210457033-0.37207429592082325j),(-0.0015974451065621448-0.0002124963726178495j),(-6.242468760072778e-07+6.414731414141682e-06j),(1.3329969462267135e-05+4.352660763363269e-06j),(0.10555092124149745+0.021761040161584602j),(0.20051424036791482+0.010582380619232529j)
0.46,(-0.1572433896876873-0.4136934860914199j),(-0.0011629867174325962+0.0007252250931204389j),(3.462335814163776e-07+5.270956143249693e-06j),(1.35080648059166e-05-4.137198848457152e-06j),(0.09075391723808386-0.05903775882628883j),(0.1405983403563717-0.14256120526760674j)
0.47000000000000003,(-0.4337599186140747-0.1611865692491431j),(-0.00035754411689327257+0.0011078821850404943j),(9.353945646151585e-07+4.228955678288687e-06j),(8.858716820848151e-06-1.114328382477758e-05j),(0.022534669804478616-0.10585549770699818j),(-0.013331415332714827-0.19965410294386013j)
0.48,(-0.425501637257796+0.22791995607087662j),(0.0003822767138178654+0.0009096257937668639j),(1.2418460395732932e-06+3.3311963229176297e-06j),(1.1395198465676178e-06-1.4292620688695739e-05j),(-0.05878879908010656-0.09034207182832935j),(-0.15843821332518826-0.12271404945610037j)
0.49,(-0.11728100577337092+0.48905879151079995j),(0.0007489509967896155+0.0003666920859467396j),(1.3524094809625825e-06+2.5922668870220152e-06j),(-6.9499410144472496e-06-1.2636978990871677e-05j),(-0.1048602736041471-0.02192060079259739j),(-0.19770402893567357+0.037210317673387075j)
0.5,(0.2978147142208246+0.4302464121271217j),(0.0006769531958303377-0.00018618099487793251j),(1.3389834721230684e-06+2.008084234832574e-06j),(-1.2737161267731482e-05-6.868233355738967e-06j),(-0.08877010592103766+0.058471536806400125j),(-0.10403246226374085+0.17368947318075256j)
0.51,(0.5388990882359006+0.0683226303683693j),(0.00031954734019648995-0.0004937528072740458j),(1.2567963839767324e-06+1.5614111158725822e-06j),(-1.4442329887721884e-05+1.0357187257296614e-06j),(-0.02083805665188497+0.10319489418706804j),(0.061418669285977626+0.19481559907696058j)
0.52,(0.4264167797455069-0.36715983777991834j),(-7.662368273029995e-05-0.00048395874800547775j),(1.1428894951135992e-06+1.228373701611424e-06j),(-1.1659330423758082e-05+8.506862655864852e-06j),(0.0578728500214477+0.08657340143993561j),(0.18861191931277566+0.08425570226738478j)
0.53,(0.014734600119254593-0.5821842356127519j),(-0.0003157539216263794-0.00025462333952984786j),(1.020099454008716e-06+9.855840080059965e-07j),(-5.4500253790567234e-06+1.322404607178895e-05j),(0.10106093006040426+0.019872656486282614j),(0.19069683976916577-0.08641169271047563j)
0.54,(-0.4351053718168633-0.41609069874023974j),(-0.0003325280457730745+2.008137808325955e-05j),(9.023392379619928e-07+8.120753204404455e-07j),(2.0847873075126444e-06+1.3914642791536455e-05j),(0.08451703816304663-0.056848155293966335j),(0.0627468590484383-0.20315584340241627j)
0.55,(-0.6195957690816701+0.04300796239287055j),(-0.00018817101207749+0.0001950589023504988j),(7.964219406773469e-07+6.902009868031536e-07j),(8.593978119413127e-06+1.0676603019364525e-05j),(0.01933700612187838-0.09880131469367384j),(-0.1124262627953405-0.18490964467468218j)
0.56,(-0.39746657947452424+0.5010283607360958j),(-3.894299094519798e-06+0.0002183259876978132j),(7.043939265782497e-07+6.068234302904304e-07j),(1.2232252628167332e-05+4.8415713513156065e-06j),(-0.05540509393349816-0.08265850648907608j),(-0.21726593177842546-0.039200343503062784j)
0.5700000000000001,(0.10384980815942108+0.6498636341188293j),(0.0001177598048328929+0.00012829349848123158j),(6.267106784095557e-07+5.527774755050857e-07j),(1.2304741793665912e-05-1.5636443959586303e-06j),(-0.0965195294823388-0.019408650924851667j),(-0.1773067997966935+0.1397596527407498j)
0.58,(0.5643441873047774+0.3730516667590005j),(0.00013731248062625852+7.228664672682378e-06j),(5.626878407191878e-07+5.209919238548287e-07j),(9.347930311627066e-06-6.628149323293241e-06j),(-0.08143024848437827+0.05357412949402297j),(-0.013184704837061467+0.2310108118308251j)
0.59,(0.6734350047423627-0.16754884492105734j),(7.940132400040755e-05-7.299978719886547e-05j),(5.105061280693175e-07+5.067263780948259e-07j),(4.724390137617778e-06-9.160557839180299e-06j),(-0.020094969438952844+0.09442280376947473j),(0.16873233386478753+0.16731596211202485j)
0.6,(0.34089251979675-0.6236888045078661j),(4.39025061022607e-07-8.456090567358957e-05j),(4.688694994018552e-07+5.075011113847836e-07j),(7.250137195908582e-08-9.025582704781354e-06j),(0.051472274628722246+0.08068194427568974j),(0.24395202526071633-0.016049895349399948j)
0.61,(-0.23233454126362152-0.6894974643570975j),(-4.9852648977554886e-05-4.410605917460592e-05j),(4.3829132629543025e-07+5.223327975052342e-07j),(-3.3672361934107576e-06-7.0026411840221245e-06j),(0.09256260511419304+0.021396381818989577j),(0.15413473133252958-0.19936113736899314j)
0.62,(-0.679003772751201-0.3038738597147078j),(-5.234674330596309e-05+8.36357371689354e-06j),(4.181181808538576e-07+5.511253042909778e-07j),(-5.0999357963054984e-06-4.1137790839519735e-06j),(0.0805851130702922-0.049166818210096594j),(-0.04885953941441604-0.25564351385024187j)
0.63,(-0.6978389177081014+0.29829236621343636j),(-2.0637287701540108e-05+3.777915780005591e-05j),(4.0796236618038436e-07+5.945359805239828e-07j),(-5.270797671720329e-06-1.309435407718394e-06j),(0.02309770445605813-0.09098658905177659j),(-0.2317243085919411-0.13734267191560784j)
0.64,(-0.2602105100190916+0.7282302809898928j),(1.527590792220786e-05+3.2332735585984676e-05j),(4.1098303072184944e-07+6.546160662568545e-07j),(-4.4079570832444396e-06+7.906329871387906e-07j),(-0.04683627570653273-0.0808819190498803j),(-0.2658340404853113+0.08570425805050583j)
0.65,(0.36321783806059227+0.6987398040538726j),(3.0320692995509977e-05+4.881324865355106e-06j),(4.317616547342393e-07+7.372092976090532e-07j),(-3.0525013323478842e-06+1.9785885351176457e-06j),(-0.08977829802542564-0.02507718089809867j),(-0.11612556246886334+0.26583338889761776j)
0.66,(0.7720185913133155+0.21241175836130421j),(1.8390158583232177e-05-2.0287433944179185e-05j),(4.749405871328816e-07+8.45780121073494e-07j),(-1.6897179303755565e-06+2.3964459142891406e-06j),(-0.08161240024860389+0.04481494766758319j),(0.127209507498104+0.27358315832057306j)
