t,S_00,S_01
0.0,0.019607843137254905,0.9803921568627446
0.01,0.022852666803238966,0.9783523537426833
0.02,0.026762953137270073,0.9753263307704965
0.03,0.03127805669913211,0.969627509766419
0.04,0.0363701466604293,0.9650112209995392
0.05,0.042017126304558026,0.960646946403761
0.06,0.0481385918959948,0.9539287079187094
0.07,0.05468364032645934,0.9468478228088321
0.08,0.06164764106851084,0.9409247044911888
0.09,0.06896180045508372,0.934101855039115
0.1,0.07650651250692739,0.9256774458288191
0.11,0.08430561113330533,0.9178591501138073
0.12,0.092334182108156,0.9107784607814529
0.13,0.10047856721484592,0.9027947447261329
0.14,0.1086404903606783,0.893853635730565
0.15,0.1168817401266007,0.8856071482344308
0.16,0.12517698192765211,0.8780870835816278
0.17,0.13340684655700769,0.870100188814698
0.18,0.1414757523205352,0.8614102663099895
0.19,0.1494491854873674,0.8531590227178306
0.2,0.15735190774350882,0.8457918220973923
0.21,0.16508912075879734,0.8385400479723272
0.22,0.17254789923817973,0.8308070557869288
0.23,0.1797412796639032,0.8230537716248693
0.24,0.1867684671468739,0.8161098815817462
0.25,0.1936002577041347,0.8098266604697123
0.26,0.20013227255100563,0.8035429169955316
0.27,0.2062982392457756,0.7970011262039516
0.28,0.21215714168939415,0.7906899321015235
0.29,0.21780561004583068,0.785186603110503
0.3,0.22320831354564363,0.7802779290563272
0.31,0.22826933686264106,0.7754235998325144
0.32,0.2329415515229227,0.7704101986192604
0.33,0.23729127185649287,0.7656195432872034
0.34,0.24142379299777025,0.7615716631357325
0.35000000000000003,0.2453208754569807,0.7581325502593205
0.36,0.24889245162585402,0.7548225990742279
0.37,0.25208832729779324,0.7513655801544132
0.38,0.254966856540494,0.7480242128165464
0.39,0.2576425165048375,0.7453223619256095
0.4,0.2601262768462092,0.7432506721250245
0.41000000000000003,0.2623343136817654,0.7413826117968068
0.42,0.2642054945355791,0.739361658642286
0.43,0.2657807522773996,0.7373186703088899
0.44,0.26717427615568,0.735766639720148
0.45,0.2684317212523785,0.7348489639691465
0.46,0.26948160526525433,0.7342070743285883
0.47000000000000003,0.2702515899592222,0.7334166669986778
0.48,0.2707608648617529,0.7324701784183393
0.49,0.2711131747015772,0.7318293831121485
0.5,0.2713842023044318,0.7318011159267405
0.51,0.2715237418698172,0.7321086326192933
0.52,0.27145278495439573,0.7322908973211295
