t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B01_A_0005,B01_A_0006,B01_A_0007,B01_A_0008,B01_A_0009,B02_A_0000,B02_A_0001
1.6500000000000001,(0.016362373851449806-0.013149095249714847j),(-1.158498967481905e-09-3.09010946767596e-09j),(9.701916972225993e-09+1.7702708624055676e-08j),(-7.503011566756322e-07-2.8340482553741825e-07j),(2.599899505213556e-09+6.983151433589784e-09j),(-3.803661864548523e-07-1.1637746514567575e-07j),(0.00014195863556726486+3.0175073352875255e-05j),(0.01664877831384428-0.024005400845578097j),(-1.50461030667748e-09-2.0380222648379078e-09j),(0.00556234121641133+0.01309043812220093j),(-0.001509390088983008+0.0007275911285466953j),(-0.001888968280798759+0.0038316623465164236j),(0.00017427799551309825-7.698290553476362e-05j),(0.008511240615480935-0.00870653122644072j),(-0.0007768381201510731-0.0004296966188917882j),(0.0006327034660518361+0.0003153701509581088j),(0.00031168777875787215-0.001889263711984914j),(0.018186013998796415-0.014039900282142382j),(-1.244136566958284e-09-2.0913085162459226e-09j)
1.6600000000000001,(0.015059965825560313-0.014623755294448409j),(-1.180879678725356e-09-2.6198536574977505e-09j),(8.966726316338378e-09+2.2731180496699162e-08j),(-6.395912341534189e-07-4.2763966649504474e-07j),(1.9131940118302496e-09+5.874695527972122e-09j),(-4.2301971685781447e-07-4.257681164363854e-08j),(0.0001494048147564714+4.346471329760056e-05j),(0.014189014021305813-0.025492794690186598j),(-1.4122534308021499e-09-1.6890640110917875e-09j),(0.0068644796626796695+0.012466036327936771j),(-0.001453668543174718+0.0008989844703067999j),(-0.002177335767859431+0.003796572317636963j),(0.00016788871526352494-5.670554653281965e-05j),(0.00901142588217597-0.008623234052586241j),(-0.0007062384888543057-0.00036922472508822864j),(0.0006141183329256047+0.00022960464081701475j),(0.0003177384742579873-0.0020372949591781248j),(0.016783081184215353-0.015690900803758654j),(-1.192841675140964e-09-1.7481769546655602e-09j)
1.67,(0.013582757944777115-0.01600631620368576j),(-1.1761260803675404e-09-2.2043704807620058e-09j),(7.3251635431362665e-09+2.8912441756704552e-08j),(-5.021006437436622e-07-5.458715537860073e-07j),(1.3700939570266642e-09+4.919960680092987e-09j),(-4.542567550066363e-07+4.647478491940655e-08j),(0.00015672880908047403+5.854836827414728e-05j),(0.011527401091015575-0.026756422006745804j),(-1.3144084556248825e-09-1.387033804020504e-09j),(0.008126414439529661+0.01169015406982517j),(-0.0013769075209497104+0.0010716448840201451j),(-0.0024822978054318576+0.0037385418044957206j),(0.0001601819628073034-3.7424173763429284e-05j),(0.00954171459269382-0.00850295752340686j),(-0.0006379691355164004-0.0003161096792342299j),(0.0005870183976464688+0.00015001513563477683j),(0.00032341065031812226-0.002200304311905905j),(0.015185122287101139-0.017242738980671843j),(-1.1307902477590716e-09-1.4490326859755e-09j)
1.68,(0.011931715339789473-0.017273399875434213j),(-1.1497203037176046e-09-1.8394460761931769e-09j),(4.355133970689548e-09+3.64540536157309e-08j),(-3.422610992102925e-07-6.322593834779024e-07j),(9.461536660783722e-10+4.1022217947444795e-09j),(-4.6947790862822356e-07+1.5032362782273394e-07j),(0.00016380410673267004+7.563672839102746e-05j),(0.008679950836971154-0.027763734177987737j),(-1.2137853803543856e-09-1.1272016002518094e-09j),(0.009328839876872563+0.010760769485582043j),(-0.0012775333545188344+0.001243161645767414j),(-0.002803198583251828+0.0036540308471384128j),(0.00015116992613119633-1.9296874288154663e-05j),(0.010101702678394033-0.0083405290159839j),(-0.00057251480918092-0.0002698108469865776j),(0.0005523738502124203+7.753260573585064e-05j),(0.0003285681166342276-0.002379995650618724j),(0.0133929951335827-0.018669466069858927j),(-1.0611656973119358e-09-1.1897733185938732e-09j)
1.69,(0.0101109281353611-0.0183998417229236j),(-1.1065277614825646e-09-1.5209342922018331e-09j),(-5.266706741717399e-10+4.557105499078982e-08j),(-1.6599588921108246e-07-6.813984757320723e-07j),(6.200484594966016e-10+3.4057226113808125e-09j),(-4.6345210786574963e-07+2.6744510954209746e-07j),(0.0001704732668748391+9.495785185467265e-05j),(0.005668165102873707-0.02848187025649971j),(-1.1126713610952042e-09-9.051246828048671e-10j),(0.01045077056714237+0.009678328476127505j),(-0.0011541690743983113+0.0014106796078912265j),(-0.0031388787602092258+0.003539215814249477j),(0.00014089221934194542-2.493446465360326e-06j),(0.01069032730988613-0.00813037693659909j),(-0.0005102929075038248-0.00022976634174569978j),(0.0005112939671319055+1.2959918697252654e-05j),(0.00033303903891032893-0.0025782429412845626j),(0.011411011889224321-0.019943140193359486j),(-9.86714372580008e-10-9.664982777904768e-10j)
1.7,(0.008128183742198345-0.019359050984002514j),(-1.0508180383707198e-09-1.2447695939204648e-09j),(-8.1180787527169e-09+5.6467202205901484e-08j),(1.9205202391542056e-08-6.886859308172492e-07j),(3.733767772964176e-10+2.815758585892041e-09j),(-4.304503700260674e-07+3.949043947409068e-07j),(0.00017654197094342728+0.00011675654617078344j),(0.0025195814123286807-0.02887862080897549j),(-1.0129579342969296e-09-7.166375109518512e-10j),(0.011469851976970025+0.008446288790329234j),(-0.0010057305227148838+0.0015709055459956107j),(-0.0034875760793419805+0.0033900647710727603j),(0.00012942060750889816+1.2807909697458551e-05j),(0.011305764622294818-0.007866691643134284j),(-0.0004516643903198002-0.0001953956952057994j),(0.0004650177640078803-4.305903664921724e-05j),(0.00033661386452969613-0.002797098322942857j),(0.009247574361041037-0.021034223859995756j),(-9.097696493930888e-10-7.755051807058214e-10j)
1.71,(0.005995522081240347-0.020123506839216064j),(-9.862865239295988e-10-1.006987360757312e-09j),(-1.950116858253467e-08+6.93035974162488e-08j),(2.0424752932551633e-07-6.507659647090659e-07j),(1.9041083136332077e-10+2.3187511469164618e-09j),(-3.644885984050622e-07+5.279844766517388e-07j),(0.0001817732068953211+0.00014129096074169903j),(-0.0007318515237298671-0.028923433186811263j),(-9.161664622063603e-10-5.578504259255435e-10j),(0.012362712404433396+0.00707156322151564j),(-0.0008315336362346453+0.0017201021809570354j),(-0.00384686799553413+0.0032023533733931677j),(0.00011686440863658365+2.6429613030895436e-05j),(0.011945336438289643-0.007543318892098825j),(-0.0003969079153632234-0.0001661238677980859j),(0.0004148796016401587-9.006690746417195e-05j),(0.0003390435727745186-0.003038800540110021j),(0.006915791881902261-0.02191213331095675j),(-8.322771887589532e-10-6.13294014882976e-10j)
1.72,(0.003729747808580519-0.02066540170724754j),(-9.160845909731458e-10-8.037455981880725e-10j),(-3.6128985372179266e-08+8.41442937199048e-08j),(3.7855220447609394e-07-5.661111265672041e-07j),(5.7848472786445233e-11+1.902221744019192e-09j),(-2.5970992980804904e-07+6.598002553246454e-07j),(0.0001858867087381938+0.00016883104410501297j),(-0.004045581652276831-0.028588637619377882j),(-8.234795740722666e-10-4.2515135671153053e-10j),(0.013105510120559362+0.005564952598625884j),(-0.0006314060138183113+0.0018541181771681275j),(-0.004213567392066342+0.0029717404874155407j),(0.00010337109347729098+3.8201111069465415e-05j),(0.012605382267497299-0.007153859566075095j),(-0.00034621604324642596-0.0001413794668419512j),(0.0003622771576156211-0.0001278197930341292j),(0.00034003060215190826-0.0033057854281174125j),(0.00443404980678659-0.022545950377730665j),(-7.558225666325132e-10-4.765754646249322e-10j)
1.73,(0.0013528660251167564-0.020957436126476058j),(-8.428526065132497e-10-6.313638236942668e-10j),(-5.993063040795239e-08+1.0087874660337675e-07j),(5.303558008508056e-07-4.355345643651183e-07j),(-3.536461877662032e-11+1.5548647157115593e-09j),(-1.1093364769788717e-07+7.809379758395548e-07j),(0.0001885495661228079+0.0001996568767719031j),(-0.007374460951832116-0.0278508538994993j),(-7.357749821935463e-10-3.152086492431851e-10j),(0.013674623826251134+0.0039415354026536625j),(-0.00040580173238517+0.0019684535131497855j),(-0.004583623552485334+0.002693894795607818j),(8.912755298199269e-05+4.796551631539641e-05j),(0.013281153279155517-0.006691869932608955j),(-0.00029970437811949863-0.00012059881524396195j),(0.0003086360580690074-0.0001563057017511414j),(0.00033922339767903785-0.003600691342860755j),(0.0018264910585395143-0.022905301596045063j),(-6.816616030994132e-10-3.622803968034624e-10j)
1.74,(-0.0011076002506393685-0.020973761577725843j),(-7.687580519237378e-10-4.863494901048055e-10j),(-9.343998150498032e-08+1.1910683131266198e-07j),(6.471298970224187e-07-2.627432513773597e-07j),(-9.830398917176168e-11+1.2665483417810617e-09j),(8.559801881349286e-08+8.791621474147439e-07j),(0.00018937034700156887+0.00023405443898132542j),(-0.010665029934750728-0.026692458007014204j),(-6.536601442914809e-10-2.249730130208469e-10j),(0.01404743930610109+0.0022209253759317826j),(-0.00015591508034485085+0.0020583437959371034j),(-0.004952046536503586+0.0023646242852397937j),(7.43605002200327e-05+5.5588523469207106e-05j),(0.013966721666000643-0.0061510041879395076j),(-0.0002574126713871752-0.0001032375139730416j),(0.000255364353213737-0.00017575321163601704j),(0.00033621142965939454-0.003926361973590106j),(-0.0008766315692981216-0.022961401396665256j),(-6.107530667729466e-10-2.6756823084179613e-10j)
1.75,(-0.0036184502441017267-0.020691059806491715j),(-6.95537449405682e-10-3.6542118524115765e-10j),(-1.3994889026570905e-07+1.3797497929029065e-07j),(7.162014285983436e-07-5.487008174089391e-08j),(-1.383274908556774e-10+1.0282881705178542e-09j),(3.3125550346401837e-07+9.392574817281955e-07j),(0.00018789375213015748+0.00027231014354830405j),(-0.013858113297644675-0.025103099094176937j),(-5.775080821075907e-10-1.5167675690575615e-10j),(0.014203245164847715+0.00042738751623594244j),(0.00011621380281017879+0.0021188745794979624j),(-0.005312846203252609+0.0019800309406164344j),(5.933481669837489e-05+6.0968037869042296e-05j),(0.014654905810598732-0.00552518511955053j),(-0.00021930858348256552-8.878096013036798e-05j),(0.00020380421868960226-0.00018662971327100729j),(0.0003305207267772515-0.00428584544394132j),(-0.0036387779021495965-0.02268824631236232j),(-5.437930002349592e-10-1.898326230946656e-10j)
1.76,(-0.006140845328039066-0.02008973653034051j),(-6.24541078835663e-10-2.6552724682966333e-10j),(-2.0368570844243666e-07+1.5594862093364753e-07j),(7.256025041856219e-07+1.7707614007797348e-07j),(-1.6132247824068636e-10+8.3219811258897e-10j),(6.238338683891533e-07+9.430900410316716e-07j),(0.00018359592371263643+0.00031470405954728877j),(-0.01688976119022886-0.023081202910828193j),(-5.074932428839191e-10-9.282949940976026e-11j),(0.014124214082652851-0.0014102226865766905j),(0.0004076089264061425+0.002145126244722415j),(-0.005658992174120674+0.0015366902121767023j),(4.434950838390431e-05+6.404409754281334e-05j),(0.015337217877628588-0.004808802433824506j),(-0.0001852937895346511-7.67533158871168e-05j),(0.00015518348257334753-0.000189628332334553j),(0.00032161028512477726-0.0046823888290015514j),(-0.006417164329984565-0.022063935494394157j),(-4.812496848474735e-10-1.267035456671731e-10j)
1.77,(-0.008630589359400994-0.019155195687686744j),(-5.567791892653076e-10-1.8385870945028882e-10j),(-2.900186222409856e-07+1.7050317476996462e-07j),(6.651644214354618e-07+4.179202102127124e-07j),(-1.7193572043396324e-10+6.714234163056122e-10j),(9.561574275793757e-07+8.69989442003723e-07j),(0.00017588080661905093+0.00036150176909978063j),(-0.01969255807139372-0.02063538452423613j),(-4.4362631378937136e-10-4.621011834799888e-11j),(0.013796435545552217-0.0032587289025134934j),(0.0007142923989263538+0.0021323481094368407j),(-0.005982401554465519+0.0010318534279154033j),(2.9731017848630106e-05+6.480854334403119e-05j),(0.016003840983592504-0.003996936837741168j),(-0.00015521200464448128-6.672453310077757e-05j),(0.00011056988129771745-0.00018564332603528632j),(0.0003088697912961055-0.005119427166675435j),(-0.009163074160284524-0.021072079827295045j),(-4.2339820540470796e-10-7.604539718761132e-11j)
1.78,(-0.011038685563652548-0.017879147986460304j),(-4.929682954914558e-10-1.178561810747664e-10j),(-4.056813329960306e-07+1.777128062666566e-07j),(5.278499107122109e-07+6.482845771417965e-07j),(-1.7378289179283381e-10+5.400603964200531e-10j),(1.3145251724444788e-06+6.975683095620492e-07j),(0.0001640780355575543+0.00041294485884774124j),(-0.022197304182368826-0.017785682147191992j),(-3.8578703624471424e-10-9.855145907523419e-12j),(0.013210955479433139-0.005081138577905867j),(0.001031250935879668+0.00207615816975148j),(-0.006273961475538176+0.0004636696424398616j),(1.5823763328893452e-05+6.331377468688633e-05j),(0.016643643336078175-0.0030856062505520863j),(-0.00012885842346877662-5.831517243336235e-05j),(7.083105287524331e-05-0.00017573455197900887j),(0.0002916191727389682-0.005600566022775586j),(-0.011822474165098419-0.019703248222309577j),(-3.7035365703729437e-10-3.5951227633349874e-11j)
1.79,(-0.013312197935709917-0.0162608952360232j),(-4.3357621762982426e-10-6.521079497348965e-11j),(-5.590160120235701e-07+1.7171302572236988e-07j),(3.112875211200332e-07+8.449169777535921e-07j),(-1.6963541639780402e-10+4.3306792480688093e-10j),(1.6770869987767765e-06+4.031024582438512e-07j),(0.0001474428935983726+0.00046924012671693024j),(-0.02433505354650045-0.014564516449124359j),(-3.337542729561757e-10+1.7955882054468654e-11j),(0.012364768513313864-0.006837399229299592j),(0.0013524432015601475+0.001972762339720074j),(-0.006523593378863422-0.00016857846552636958j),(2.9779437211322756e-06+5.9679836816126114e-05j),(0.017244236594646876-0.002072028601254933j),(-0.00010599002303971841-5.119890401237404e-05j),(3.660314357290858e-05-0.0001610824594117216j),(0.000269110556066515-0.006129556691211845j),(-0.01433696863325178-0.017956386707792156j),(-3.221027727451922e-10-4.733715335696343e-12j)
1.8,(-0.01539543314676128-0.0143085207915662j),(-3.7886471237180895e-10-2.3859785068498646e-11j),(-7.602249401256882e-07+1.4400985022115772e-07j),(1.9432116288229995e-08+9.814970325804142e-07j),(-1.615836294373928e-10+3.4617533719047765e-10j),(2.012291987807905e-06-3.440896194288409e-08j),(0.00012515895048646042+0.0005305476850260348j),(-0.026039467807881668-0.011017277345456862j),(-2.872328158374687e-10+3.871743731151787e-11j),(0.011261700747289893-0.008485410441226963j),(0.001670855167982984+0.0018191844277810224j),(-0.006720365353270541-0.0008642320554487514j),(-8.46514334304587e-06+5.409903522132888e-05j),(0.017792085096027702-0.0009548936193285147j),(-8.633617023361074e-05-4.5102727347267576e-05j),(8.270514463262085e-06-0.00014293587663398967j),(0.00024053326633325083-0.006710263183739561j),(-0.01664510692879474-0.0158401297992384j),(-2.785308951829296e-10+1.908696642245183e-11j)
1.81,(-0.017231442831182886-0.01203991042667286j),(-3.289297807538618e-10+8.023095453506655e-12j),(-1.0216131726069627e-06+8.26347793767121e-08j),(-3.358271858747759e-07+1.0300350224804367e-06j),(-1.5116985797340942e-10+2.7579104274559936e-10j),(2.277606684978497e-06-6.31409160708023e-07j),(9.633635142254491e-05+0.0005969731422189842j),(-0.02724941834636622-0.007202444291586801j),(-2.458766564465509e-10+5.37166158684318e-11j),(0.00991311601295407-0.009982279887442977j),(0.0019786087295421105+0.0016134955987828236j),(-0.006852657672203713-0.001621016395787783j),(-1.8189784674246696e-05+4.6837279626890625e-05j),(0.018272671433095578+0.0002653660398402504j),(-6.960900554832244e-05-3.980508926477098e-05j),(-1.4041608144164472e-05-0.00012255558157184344j),(0.00020502252828729283-0.007346620297733007j),(-0.01868404367724991-0.01337392227041928j),(-2.394476734065322e-10+3.679795062731079e-11j)
1.82,(-0.01876383206769869-0.00948351443568748j),(-2.8373736875837136e-10+3.2038845108661e-11j),(-1.3578764835391226e-06-2.8890247613076133e-08j),(-7.331900387178423e-07+9.62755312917635e-07j),(-1.3951195900888e-10+2.1892384842437121e-10j),(2.418750144700779e-06-1.3961178762397994e-06j),(6.0011284990559043e-05+0.0006685406504814634j),(-0.027911741650831788-0.0031911576276624897j),(-2.0930864989314236e-10+6.405261642299659e-11j),(0.008338377784659182-0.011285793641658342j),(0.0022671259976221885+0.0013550300014521634j),(-0.006908384914035054-0.002434815308546783j),(-2.5923796827558277e-05+3.82314379335984e-05j),(0.018670722130614312+0.0015863159361813942j),(-5.551313889426672e-05-3.513219889890001e-05j),(-3.0460556392955983e-05-0.0001011571622469865j),(0.00016167252422965087-0.008042582253612129j),(-0.020391532175782663-0.010588856597206573j),(-2.0460912871257442e-10+4.950950920848946e-11j)
1.83,(-0.01993882459661765-0.006678764768370095j),(-2.4315254133039074e-10+4.9580205895989264e-11j),(-1.7863502969563913e-06-2.1286351665450195e-07j),(-1.140646831544977e-06+7.548276532820403e-07j),(-1.2740554883857318e-10+1.7308790199049894e-10j),(2.3697794168568844e-06-2.3240131616778228e-06j),(1.5165151732241932e-05+0.0007451788914946782j),(-0.027984024236083323+0.0009338395362956629j),(-1.7713660729061149e-10+7.0656506748399e-11j),(0.0065649917202112-0.012356067683083399j),(0.002527347299416797+0.0010445680910980129j),(-0.006875267888186953-0.0032994612749132593j),(-3.145657064449673e-05+2.8681914556320827e-05j),(0.01897048126333019+0.003003263886011338j),(-4.375398983735512e-05-3.095176854832509e-05j),(-4.134600903061948e-05-7.98569693513459e-05j),(0.00010953809732290663-0.008802059800258123j),(-0.021708203762646257-0.0075281318060017j),(-1.7373572813421983e-10+5.817157158918799e-11j)
1.84,(-0.020707523323280234-0.0036760760763627684j),(-2.069660583148712e-10+6.184916414082228e-11j),(-2.3272095007271804e-06-4.989262749259202e-07j),(-1.514926448018086e-06+3.8786671836778573e-07j),(-1.1539678657840537e-10+1.3622520039077408e-10j),(2.0543941562981744e-06-3.39258599690009e-06j),(-3.926447348829497e-05+0.0008267153890156277j),(-0.02743727556484194+0.005079941797432487j),(-1.4896608525085024e-10+7.431068495545034e-11j),(0.004628354197770065-0.013157333885086395j),(0.0027499993519552054+0.0006844611754617778j),(-0.006741184793473829-0.004206512093298445j),(-3.465517664063117e-05+1.864078133927413e-05j),(0.01915611855830463+0.004508920764785703j),(-3.4045750527975594e-05-2.7165268478964932e-05j),(-4.725777673165687e-05-5.9624890746802446e-05j),(4.760439716489594e-05-0.009628851416034043j),(-0.022580061057991815-0.004247047483593686j),(-1.4652733130172018e-10+6.359036008567802e-11j)
1.85,(-0.021028280002762408-0.0005363571406943694j),(-1.7491682236209918e-10+6.987384800818132e-11j),(-3.0036580712996114e-06-9.258612934075625e-07j),(-1.801830025625274e-06-1.4600818872712788e-07j),(-1.0384557504177614e-10+1.066415801676599e-10j),(1.3888436952242502e-06-4.5555881817736065e-06j),(-0.00010436810676280376+0.0009128617193109867j),(-0.02625833870295003+0.009146908973239918j),(-1.2441075313391548e-10+7.566663834323965e-11j),(0.0025711930797239187-0.013659571931175077j),(0.002925899161854175+0.00027873415252128737j),(-0.006494644731116336-0.005145221532629787j),(-3.548118001894711e-05+8.597187892476593e-06j),(0.01921229190271343+0.006093400592376166j),(-2.6118671143907888e-05-2.3709657054725857e-05j),(-4.8910102323986596e-05-4.124615781935378e-05j),(-2.5088696177108516e-05-0.010526581079522266j),(-0.022961087160721313-0.0008124593972094451j),(-1.2267523110938978e-10+6.644467522544616e-11j)
1.86,(-0.020869062286826175+0.0026700141041557414j),(-1.4671063642677826e-10+7.45259297882409e-11j),(-3.842100617429654e-06-1.5436845005627486e-06j),(-1.9377264185422997e-06-8.396604531494437e-07j),(-9.2975130709786e-11+8.294900792014762e-11j),(2.868148493578832e-07-5.737140296569487e-06j),(-0.00018124453677550615+0.0010031987729661872j),(-0.024451808708114014+0.013029873359329966j),(-1.0309930903768151e-10+7.526270465897155e-11j),(0.00044247526923242575-0.013840191806253037j),(0.0030462619208042646-0.0001669035449735274j),(-0.006125155284773462-0.006102502961595729j),(-3.40028066979287e-05-9.458039309691691e-07j),(0.01912443710464836+0.007744167757744837j),(-1.972012039338204e-05-2.0544492407273276e-05j),(-4.7120457010079366e-05-2.529652921800304e-05j),(-0.00010950029909957562-0.01149859144165287j),(-0.022815849358003158+0.002698355641157008j),(-1.018715758642202e-10+6.730146514046591e-11j)
1.87,(-0.020209690833507172+0.005864774279803957j),(-1.2203548391499399e-10+7.653792894442406e-11j),(-4.8723196857001905e-06-2.4160577632767746e-06j),(-1.852482811252661e-06-1.666223621516606e-06j),(-8.291024539348159e-11+6.401475428079293e-11j),(-1.3333810740952867e-06-6.826227133120883e-06j),(-0.0002709766807732788+0.0010971624123230785j),(-0.022041382452651952+0.01662277171732774j),(-8.468065588640439e-11+7.35398966353867e-11j),(-0.0017040374588089182-0.013685451672112627j),(0.003103024678876286-0.0006451065260852458j),(-0.005623687694512066-0.007062973674847319j),(-3.0401371098578783e-05-9.4966757246828e-06j),(0.018879250706855498+0.009446039860491397j),(-1.461815563067052e-05-1.7646051808778405e-05j),(-4.275419484230614e-05-1.2132276291777568e-05j),(-0.00020658577958700738-0.012547841645484715j),(-0.022121957043581403+0.006199449402376411j),(-8.381649674042114e-11+6.663041321982174e-11j)
1.8800000000000001,(-0.019043808213398183+0.008963907576182248j),(-1.0057364429251286e-10+7.651994159710978e-11j),(-6.1277066811382085e-06-3.623062333768595e-06j),(-1.4740710072170443e-06-2.5745468072534163e-06j),(-7.370637709669927e-11+4.891744620374222e-11j),(-3.5391188748608046e-06-7.672267053711171e-06j),(-0.0003746029677421032+0.0011940298916972094j),(-0.019070494176998423+0.01982214215908501j),(-6.882730899797625e-11+7.08562203692885e-11j),(-0.0038115694043918498-0.013191557747844833j),(0.003089160324909315-0.0011470107659210032j),(-0.004983165638840471-0.008009102392901967j),(-2.497159858485148e-05-1.66034136161788e-05j),(0.018465209759500147+0.011181296164485413j),(-1.0603663712881587e-05-1.5002300926589557e-05j),(-3.666976736332316e-05-1.894931972217694e-06j),(-0.0003172835539161406-0.013676799785385326j),(-0.02087222173799961+0.009598555054320843j),(-6.822327513213352e-11+6.481736983511233e-11j)
1.8900000000000001,(-0.017380438730345515+0.011880282624499026j),(-8.201101281375621e-11+7.497544765532645e-11j),(-7.645628487209221e-06-5.26439410631164e-06j),(-7.350256679978914e-07-3.4852640665491634e-06j),(-6.537144648275258e-11+3.690962194414406e-11j),(-6.371241944870772e-06-8.082582074074693e-06j),(-0.000493084220758942+0.0012929074190870414j),(-0.015602129291094769+0.02253113488342043j),(-5.523732143292268e-11+6.749950318613269e-11j),(-0.005822383032497535-0.012365365817667565j),(0.00299896276725638-0.0016624180262502974j),(-0.004198948795782555-0.00892146406405792j),(-1.8114714697695604e-05-2.1882650611423147e-05j),(0.017873091924687078+0.01292989268763628j),(-7.491036723870599e-06-1.2608219772300322e-05j),(-2.9668707133264648e-05+5.4701759441623175e-06j),(-0.000442502787840306-0.014887330361508987j),(-0.01907636452474283+0.012799992223854742j),(-5.482187603362025e-11+6.217653292182437e-11j)
1.9000000000000001,(-0.015245002693582975+0.014526709145584567j),(-6.60437064407873e-11+7.231589498612126e-11j),(-9.467792182203164e-06-7.462993159014815e-06j),(4.1906079818363995e-07-4.288122777704387e-06j),(-5.788163540073935e-11+2.7385110693655328e-11j),(-9.829511947967814e-06-7.822726084031411e-06j),(-0.0006272597505863429+0.0013927378332343784j),(-0.01171775153251+0.024663543523655133j),(-4.363503994393733e-11+6.3698734664671e-11j),(-0.007680003908019734-0.01122461263716672j),(0.0028282864337127794-0.002180038179094539j),(-0.0032692869401549428-0.00977910609353387j),(-1.032359816473368e-05-2.5048043669169953e-05j),(0.017096472641508674+0.014669788396783373j),(-5.11774308368045e-06-1.0461804569800193e-05j),(-2.2453941470296105e-05+1.018375620641954e-05j),(-0.0005831130339063791-0.016180579337777584j),(-0.016762124535067067+0.01570803170721586j),(-4.33611517259034e-11+5.896134667573541e-11j)
1.9100000000000001,(-0.012679677186442723+0.016819289982432723j),(-5.238259484023824e-11+6.887410641225063e-11j),(-1.164054102175189e-05-1.0368556736366887e-05j),(2.0193265691587454e-06-4.841733089000367e-06j),(-5.119128942808825e-11+1.98522862339002e-11j),(-1.3856300265335556e-05-6.620699232998907e-06j),(-0.0007778300016706955+0.001492335118919877j),(-0.007515327822379763+0.02614764456837899j),(-3.3770967786503656e-11+5.96339747656222e-11j),(-0.009331499910852034-0.009797632011276654j),(0.0025747263735751286-0.0026877752381604648j),(-0.0021957182351468726-0.010560024389309319j),(-2.159842473530863e-06-2.5935618998764723e-05j),(0.016132174132065785+0.01637738154877324j),(-3.3431411380755796e-06-8.560936775899012e-06j),(-1.5599151482834242e-05+1.2593842109332873e-05j),(-0.0007399369132089261-0.0175568598894211j),(-0.01397564225067217+0.0182305867079259j),(-3.36099898986793e-11+5.5374137528259823e-11j)
1.92,(-0.009743016941897574+0.01868092743268135j),(-4.0757441771080215e-11+6.491603532231041e-11j),(-1.4216358868360017e-05-1.4161736422172616e-05j),(4.062736453085275e-06-4.975524718566733e-06j),(-4.524315136972481e-11+1.3915424602981987e-11j),(-1.8319462492658183e-05-4.17576752149662e-06j),(-0.0009453359618624165+0.0015903571709050307j),(-0.003106490178714276+0.02692962657126244j),(-2.5420970972866275e-11+5.544491775745364e-11j),(-0.010729683641867788-0.008122542891940029j),(0.002237730079427759-0.003173039005213938j),(-0.0009833847120601386-0.01124174108848906j),(5.776749122847825e-06-2.452365820967442e-05j),(0.014980640430913579+0.01802804909557524j),(-2.0468385943424584e-06-6.901192577863872e-06j),(-9.530793097779264e-06+1.3132248854061385e-05j),(-0.0009137469522296879-0.019015542328936083j),(-0.010781023293319696+0.020283061634211185j),(-2.5357646012031476e-11+5.157454297405662e-11j)
1.93,(-0.006508768601727476+0.02004479539013192j),(-3.0918675056469694e-11+6.06511215666907e-11j),(-1.725494114751054e-05-1.9058798582956862e-05j),(6.4999268328846354e-06-4.494769303745297e-06j),(-3.9975008263015085e-11+9.255186188482604e-12j),(-2.2995465453480462e-05-1.7278945047217504e-07j),(-0.0011300939552399097+0.0016853483632058206j),(0.001387069161643227+0.0269764004346208j),(-1.8385025038190187e-11+5.123822232800203e-11j),(-0.011835104061907502-0.006245933057221437j),(0.0018186382614226568-0.003623062045941253j),(0.0003587610205480988-0.011801968892346151j),(1.2884945772957838e-05-2.094474924054424e-05j),(0.013646213609487375+0.01959677561200547j),(-1.1268387238900918e-06-5.474566655417168e-06j),(-4.523168736485251e-06+1.2270145574511392e-05j),(-0.0011052675962351724-0.02055495199270547j),(-0.007259030978012962+0.021792161884196744j),(-1.8413454603257222e-11+4.768682220125844e-11j)
1.94,(-0.0030639003028918466+0.02085758375700237j),(-2.2638467098416365e-11+5.6241813358168156e-11j),(-2.0825068472707808e-05-2.531632248266891e-05j),(9.223374671773973e-06-3.189437775185099e-06j),(-3.532333593726852e-11+5.614335127657642e-12j),(-2.7554467624634518e-05+5.697640583800334e-06j),(-0.0013321678874595839+0.001775771652549869j),(0.005837819258293824+0.026277607428688537j),(-1.2485662238582213e-11+4.7093729511428974e-11j),(-0.012617701289826741-0.004221098723071307j),(0.0013206585854492405-0.004025201682481867j),(0.0018178808682169142-0.012219340068077802j),(1.8603078851158016e-05-1.548792747316459e-05j),(0.012137289077726814+0.021058851848823924j),(-4.976448759589787e-07-4.269007944483901e-06j),(-7.057192520551036e-07+1.0476512211264232e-05j),(-0.001315183228184802-0.022172279022362643j),(-0.0035049079801792206+0.02269945228924916j),(-1.260598465628774e-11+4.3806229621986606e-11j)
