t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B01_A_0005,B01_A_0006,B01_A_0007,B01_A_0008,B01_A_0009,B02_A_0000,B02_A_0001
1.45,(0.013546189001552583+0.016048946650472413j),(2.571992450556302e-08-3.573529601417402e-08j),(7.413114294127428e-10-1.1782569419725632e-09j),(2.7936405871077644e-06+9.97977846712748e-07j),(1.4229803423414882e-07+1.0746172691008502e-07j),(1.8056406720208187e-07+6.233839464408504e-08j),(2.2786287584287166e-05-5.1053253341396175e-05j),(0.022787897865058866+0.01852444403168084j),(1.0370878894603954e-08-3.467796027232007e-08j),(-0.013281336872570406+0.0035849686834710124j),(-0.0003534103078761161-0.0011662764794375358j),(0.001263576323392026+0.0026597012867992384j),(6.622170287907118e-05-0.0006160721745897188j),(0.002851620995474628-0.007244658419760658j),(-0.0016194664877424284-0.0038383383316976847j),(-0.0012502426738166261+0.0016564573593806366j),(0.00016075679407539937-0.0005093363341622561j),(0.014241451913576147+0.018000587302073698j),(1.37003763849639e-08-3.120671224354058e-08j)
1.46,(0.014691448786738217+0.015005421530447939j),(2.107128260060852e-08-3.196493463472269e-08j),(9.513103561941846e-10-1.2287069966946842e-09j),(2.440146649431229e-06+1.2338116552461156e-06j),(1.2044355389108195e-07+9.484605051900764e-08j),(1.9215985049062232e-07+3.464749638883109e-08j),(2.7373820646393343e-05-5.121735878338456e-05j),(0.024191063555176227+0.01668037560691018j),(7.774548209586628e-09-3.034650978549033e-08j),(-0.012979251663097189+0.004674562585689573j),(-0.00045650673472836763-0.0011520077778333715j),(0.0011713334091244757+0.0027543616217274914j),(8.337680694658095e-05-0.00057983664658851j),(0.00304734680805266-0.007363200815883717j),(-0.0016541134796066608-0.003539006302559337j),(-0.001056740859206354+0.0016754972264498564j),(0.00017004268537892969-0.0005439796162706528j),(0.015541469299309031+0.016893070066810977j),(1.076259566780171e-08-2.7501677573497454e-08j)
1.47,(0.015745829487931243+0.013892748429608519j),(1.7226699142940207e-08-2.8630472795976167e-08j),(1.1887559249526955e-09-1.2636178941458178e-09j),(2.0934733331284827e-06+1.413759053946427e-06j),(1.0199439852516659e-07+8.383050359991224e-08j),(1.9969410300369088e-07+5.4335190093067015e-09j),(3.2059460661605594e-05-5.1097585535718655e-05j),(0.02543159611375835+0.014748916789250551j),(5.702240151287333e-09-2.6612020313619468e-08j),(-0.012590461897944731+0.00572773735455736j),(-0.0005581634129092316-0.0011288930534395422j),(0.0010763338615275017+0.002845623808124729j),(9.864477043947423e-05-0.000545376068978814j),(0.003242758525464199-0.007480376302967419j),(-0.001674741680823677-0.003257292506576713j),(-0.0008724280001018029+0.0016780147853237874j),(0.00017909783117837504-0.0005803067092024555j),(0.016743330854731724+0.015704908857580493j),(8.382505380087131e-09-2.4281758529147177e-08j)
1.48,(0.016708788603298892+0.012716091753343116j),(1.403167141023105e-08-2.5669121840029777e-08j),(1.455932817687122e-09-1.2787949019038116e-09j),(1.7567883091127946e-06+1.5437219944327632e-06j),(8.636822899023708e-08+7.416250653941821e-08j),(2.030558109127586e-07-2.4839448790052858e-08j),(3.684603191382398e-05-5.06900332404149e-05j),(0.026508428335037294+0.012740068000123748j),(4.043977918566351e-09-2.337561070680578e-08j),(-0.012118556641397441+0.006740270127742273j),(-0.0006579265022805919-0.0010971124331551419j),(0.0009782005008686849+0.002933815644940601j),(0.00011225438420605838-0.000512491709495479j),(0.0034390519041161945-0.007596211964133638j),(-0.0016826828620794191-0.0029921906283443944j),(-0.0006977091102334514+0.0016656378228750073j),(0.00018791193729366022-0.0006184767409252986j),(0.017846059956028053+0.014441918043967505j),(6.446813962059564e-09-2.1469917928775478e-08j)
1.49,(0.017579610483983887+0.011479876008910489j),(1.1365300936036257e-08-2.3028003053167213e-08j),(1.755336873399699e-09-1.2691349365361285e-09j),(1.432601624157619e-06+1.6288624753816662e-06j),(7.309326008121719e-08+6.563737488286457e-08j),(2.0214778460593386e-07-5.572537185131548e-08j),(4.173919025016491e-05-4.998751072533494e-05j),(0.027420310033792344+0.010662918523159357j),(2.715284008582344e-09-2.0556874320989564e-08j),(-0.011566792310339427+0.0077081696571184195j),(-0.0007553759523857311-0.0010568047523565511j),(0.0008764612602061856+0.0030192106933117626j),(0.00012439639296169078-0.0004809988774313988j),(0.0036375447687073546-0.00771062887252521j),(-0.001679131854989428-0.0027427918581174543j),(-0.0005328915366285792+0.001639842124816633j),(0.00019648142672975391-0.0006586755509581725j),(0.01884853447710829+0.013109105272301672j),(4.867878298807192e-09-1.90028392711477e-08j)
1.5,(0.01835725696529725+0.010187914848669292j),(9.132510439060335e-09-2.0662756162950646e-08j),(2.0896558899831872e-09-1.228380021011441e-09j),(1.1229565817030575e-06+1.673690047733065e-06j),(6.178631577754393e-08+5.808859463130265e-08j),(1.9687699695029075e-07-8.678425777848434e-08j),(4.674703941074394e-05-4.897893111562601e-05j),(0.028165614339125+0.008525882628546389j),(1.65089743292024e-09-1.8090330090193664e-08j),(-0.010938124152321534+0.008627521394313099j),(-0.000850106944822226-0.0010080647756412885j),(0.0007705543867170493+0.003102021105413995j),(0.0001352280252936329-0.00045072861769891904j),(0.003839671337816479-0.007823439583056861j),(-0.0016651736999893224-0.002508297025102573j),(-0.0003782192026485413+0.0016019705626429026j),(0.00020480994374793627-0.0007011183958130892j),(0.019749316615099478+0.011710807342239631j),(3.57752427093686e-09-1.6828478687215357e-08j)
1.51,(0.019040240853537227+0.008843556273799761j),(7.258132238877714e-09-1.8536288325181246e-08j),(2.461718931274266e-09-1.1488086624303097e-09j),(8.295845288269603e-07+1.6821554088203169e-06j),(5.2135263999126896e-08+5.138021330017563e-08j),(1.8714890656281153e-07-1.1756780705919818e-07j),(5.1879711632572676e-05-4.764870327724581e-05j),(0.028742172595773517+0.006336946129161484j),(8.000919518117663e-10-1.5922561764375577e-08j),(-0.01023525041331909+0.009494341306941937j),(-0.0009417092974878109-0.00095094306882316j),(0.0006598287872502549+0.0031823889687692002j),(0.00014487748042429693-0.0004215277610746979j),(0.004046985182044323-0.007934335852104577j),(-0.0016417956558292047-0.0022880148879667528j),(-0.0002338981705128456+0.0015532474737056j),(0.00021290974472717373-0.000746053302191241j),(0.020546507675333513+0.010250845308526498j),(2.5224109316288013e-09-1.4904041997715025e-08j)
1.52,(0.019626522364899812+0.00744984217066974j),(5.6823960698315854e-09-1.6617670781590683e-08j),(2.8743995072816955e-09-1.0208507254672454e-09j),(5.540283895966869e-07+1.6577479644061154e-06j),(4.388494264315663e-08+4.54008337423122e-08j),(1.7286607316347244e-07-1.4760329312074212e-07j),(5.7148908389974206e-05-4.597610657786922e-05j),(0.02914717055869156+0.004103865482883354j),(1.231716220744946e-10-1.400990421846932e-08j),(-0.009460641503648825+0.010304496673053467j),(-0.0010297474787429582-0.0008854416014752898j),(0.000543553329397835+0.0032603647383035684j),(0.0001534432082379759-0.00039325449500289577j),(0.004261140765867217-0.008042871082994996j),(-0.001609894494616456-0.0020812940317866233j),(-0.000100097610905037+0.0014948000359553259j),(0.00022079536064611-0.0007937645643255072j),(0.021237628102385175+0.00873269668035869j),(1.6605360498465019e-09-1.3194318022442875e-08j)
1.53,(0.020113428971528007+0.006009680791399949j),(4.357467956389152e-09-1.4881176462926201e-08j),(3.3304519785314772e-09-8.326081363839087e-10j),(2.9773864291921743e-07+1.603595982804414e-06j),(3.682586892220235e-08+4.005882986885004e-08j),(1.539314393225755e-07-1.7637621603406907e-07j),(6.256739336089435e-05-4.3934636230717954e-05j),(0.02937710211409824+0.0018345006158397396j),(-4.1116202376094546e-10-1.2316589909693632e-08j),(-0.008616671909474538+0.01105356953195583j),(-0.0011137436767677867-0.0008115249845605242j),(0.0004209256235774123+0.0033359010512023068j),(0.0001609979470393356-0.00036578314357499397j),(0.004483880839214453-0.008148460285285123j),(-0.0015703150350459827-0.0018875647104094572j),(2.3024225176763508e-05+0.001427687499967952j),(0.0002284850371190322-0.0008445760303485998j),(0.021819523405496147+0.007159683077152005j),(9.585895269686377e-10-1.1670306369496244e-08j)
1.54,(0.020497599589243184+0.0045260310552788586j),(3.244782823009861e-09-1.3305445274069324e-08j),(3.83225209688007e-09-5.692600864067648e-10j),(6.214437800873029e-08+1.5225684149342356e-06j),(3.078517131185937e-08+3.5278501170853213e-08j),(1.3025675286645602e-07-2.0331231230348527e-07j),(6.814842585760149e-05-4.149130715672658e-05j),(0.02942776212637761-0.00046289782975145275j),(-8.278000532604126e-10-1.0813242446004676e-08j),(-0.007705736195593035+0.01173676745742065j),(-0.0011931600216671-0.0007291297382794523j),(0.00029107931901347435+0.0034088395470338877j),(0.0001675912006655128-0.0003390046292491613j),(0.00471702512881364-0.008250367402994402j),(-0.0015238657089007381-0.0017063292773998105j),(0.00013531386696851857+0.0013529228520395911j),(0.00023599978039520243-0.0008988550508707746j),(0.022288297129293953+0.005535171997351074j),(3.8994013629549634e-10-1.0308086544402974e-08j)
