t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00,B01_z_0001_00
0.38,(1.0000412024447587-9.498116584972908e-05j),(0.07330826583639108-0.45454351183413316j),(-1.495295481984767-0.06890558694019226j),(0.9711553886757122-0.6012848879097277j),(0.2298009615676319-0.6852798572157676j),(0.4297524840292833+0.20187611989579446j),(-0.7612921231597831-2.5228806774637924j),(-1.0747146896918716-0.47959800920526074j),(-0.4247482026753603+0.11620396379563355j),(1.0000412024447587-9.498116584972908e-05j),(0.07330826583639108-0.45454351183413316j)
0.39,(1.0000423940894778-9.64884177228156e-05j),(0.07635284132237376-0.46160854360796666j),(-1.4966663953234771-0.05616835267382j),(0.9777312659185704-0.6050422958053454j),(0.23369072748009537-0.6934990467332581j),(0.42756927535191636+0.19893068992054783j),(-0.8007190573660067-2.558083328523826j),(-1.0818371338302524-0.4784313570370583j),(-0.424837626533933+0.10844355415700033j),(1.0000423940894778-9.64884177228156e-05j),(0.07635284132237376-0.46160854360796666j)
0.4,(1.000043565568987-9.796974613984186e-05j),(0.07941018166887723-0.468458600337048j),(-1.497731672057235-0.043635671468737536j),(0.9841244919134817-0.6087315403213797j),(0.23752553887277805-0.7015041138599676j),(0.42544917170870034+0.19615488801617434j),(-0.84110266873074-2.5922138205934546j),(-1.088796747089099-0.47709494851554446j),(-0.4249403434467486+0.10085163123629676j),(1.000043565568987-9.796974613984186e-05j),(0.07941018166887723-0.468458600337048j)
0.41000000000000003,(1.0000447184698955-9.9427807005975e-05j),(0.08247878203711946-0.47510974763522895j),(-1.4985115397433133-0.03129976500416873j),(0.9903471356912968-0.6123619880975879j),(0.24130648970447244-0.7093129523377918j),(0.42338678557656007+0.19353508838550937j),(-0.8824354578832672-2.6252839814210596j),(-1.0956037163436585-0.47559792184242j),(-0.425052232919516+0.09341451188894188j),(1.0000447184698955-9.9427807005975e-05j),(0.08247878203711946-0.47510974763522895j)
0.42,(1.000045854717951-0.0001008651982392225j),(0.08555745195571861-0.48157932515239377j),(-1.4990242654202097-0.019150546399163127j),(0.9964130556218549-0.6159428532002681j),(0.24503542340630055-0.7169451339624221j),(0.4213769842166538+0.19105706969382685j),(-0.9247198726970897-2.6573174823112677j),(-1.1022696420024334-0.4739484650401502j),(-0.4251695436150186+0.08611805078025117j),(1.000045854717951-0.0001008651982392225j),(0.08555745195571861-0.48157932515239377j)
0.43,(1.000046976564824-0.00010228445171144493j),(0.08864531931824941-0.4878858829616148j),(-1.499286036864865-0.00717590413119301j),(1.00233782905315-0.6194831694461834j),(0.24871491752640854-0.7244218403500533j),(0.4194148879838798+0.18870606339543672j),(-0.9679697869023342-2.68834906798235j),(-1.1088074124899796-0.4721537457934654j),(-0.4252888838064632+0.07894768119516438j),(1.000046976564824-0.00010228445171144493j),(0.08864531931824941-0.4878858829616148j)
0.44,(1.0000480865740229-0.00010368802577077919j),(0.09174183236995939-0.49404911177527044j),(-1.4993108725166995+0.004638014452264312j),(1.008138675428995-0.6229917664331451j),(0.2523482638015858-0.7317657875128527j),(0.41749586919114334+0.18646680499672932j),(-1.0122118791414347-2.7184235446504568j),(-1.115231072640134-0.47021985082150153j),(-0.4254072125470778+0.0718884582596231j),(1.0000480865740229-0.00010368802577077919j),(0.09174183236995939-0.49404911177527044j)
0.45,(1.0000491876060316-0.00010507829813240143j),(0.09484675981991231-0.5000897680332864j),(-1.4991105568366625+0.016306521969978047j),(1.013834374342166-0.6264772480821535j),(0.2559394444076269-0.7390011446624537j),(0.4156155517845083+0.18432358809459004j),(-1.0574868982524053-2.747594543107159j),(-1.1215556873664667-0.4681517337474122j),(-0.42552183167626145+0.06492510436960035j),(1.0000491876060316-0.00010507829813240143j),(0.09484675981991231-0.5000897680332864j)
0.46,(1.0000502828027595-0.00010645755892965637j),(0.09796018924078277-0.5060295949473943j),(-1.498694598022733+0.027846113477427596j),(1.01944517995528-0.6299479724105206j),(0.2594931052000415-0.7461534487148713j),(0.4137698120564183+0.18226032101003173j),(-1.1038508057708187-2.775923074080575j),(-1.1277972017833888-0.46595317034148176j),(-0.4256303787743723+0.05804205659902981j),(1.0000502828027595-0.00010645755892965637j),(0.09796018924078277-0.5060295949473943j)
0.47000000000000003,(1.000051375571366-0.00010782800372169155j),(0.10108252393939224-0.5118912406042115j),(-1.4980702052646142+0.039274193297464136j),(1.0249927331734356-0.6334120312088712j),(0.2630145267949981-0.7532495159953161j),(0.4119547805897454+0.18026058581847118j),(-1.1513757911423423-2.8034758918849243j),(-1.1339722987452994-0.4636267199780028j),(-0.4257308211668091+0.05122351583644969j),(1.000051375571366-0.00010782800372169155j),(0.10108252393939224-0.5118912406042115j)
0.48,(1.0000524695675161-0.00010919172626996179j),(0.10421447849656779-0.5176981742284926j),(-1.4972422830668892+0.050608806476808314j),(1.0304999728825275-0.6368772282846832j),(0.26650959435772753-0.7603173526393041j),(0.41016684558592326+0.17830769956008302j),(-1.200151158501172-2.830323679416196j),(-1.140098254558958-0.46117369216277204j),(-0.42582145106343927+0.04445349738197137j),(1.0000524695675161-0.00010919172626996179j),(0.10421447849656779-0.5176981742284926j)
0.49,(1.0000535686781091-0.00011055071091119428j),(0.10735707318494699-0.5234746016880146j),(-1.4962134405804959+0.06186837477615732j),(1.0359910474764933-0.6403510549572536j),(0.2699847669634365-0.7673860651598534j),(0.40840265768638256+0.17638477739587685j),(-1.2502840857139088-2.856539063177819j),(-1.1461927934115603-0.4585941170532752j),(-0.42590088190187303+0.03771588272112407j),(1.0000535686781091-0.00011055071091119428j),(0.10735707318494699-0.5234746016880146j)
0.5,(1.0000546770035057-0.00011190682437793763j),(0.11051162747807151-0.529245381285547j),(-1.4949840143377489+0.07307143684614593j),(1.0414912277870303-0.6438406615389275j),(0.27344704737619435-0.7744857726025833j),(0.40665913634862283+0.1744747974574006j),(-1.3019002563848632-2.8821944615240978j),(-1.1522739408487221-0.45588671900305255j),(-0.42596804594294957+0.030994472180127006j),(1.0000546770035057-0.00011190682437793763j),(0.11051162747807151-0.529245381285547j)
0.51,(1.0000557988392698-0.00011326180694180398j),(0.11367975286382397-0.5350359408337316j),(-1.4935521032687546+0.084236392086344j),(1.0470268224017178-0.6473528236097705j),(0.2769039530569334-0.7816475216447515j),(0.40493347778733746+0.17256066712016013j),(-1.3551443633888236-2.907359763051849j),(-1.158359876436893-0.45304889231056705j),(-0.4260221931446144+0.02427303815812666j),(1.0000557988392698-0.00011326180694180398j),(0.11367975286382397-0.5350359408337316j)
0.52,(1.0000569386574243-0.00011461726278585105j),(0.11686334517043834-0.5408721969481071j),(-1.4919136153708807+0.09538124762690531j),(1.0526250962122783-0.6508939019820259j),(0.2803634891657078-0.7889032059144129j),(0.4032231644380064+0.17062529041294014j),(-1.4101804780054796-2.932099825465704j),(-1.16446878555732-0.4500766785362523j),(-0.4260628913167624+0.017535378625853547j),(1.0000569386574243-0.00011461726278585105j),(0.11686334517043834-0.5408721969481071j)
0.53,(1.0000581010872116-0.0001159746495433027j),(0.12006457660456507-0.5467804774245953j),(-1.490062325892996+0.10652336790886772j),(1.0583141928750144-0.6544697953510864j),(0.28383412426898036-0.7962854907157563j),(0.40152597584634586+0.16865163625727933j),(-1.467192271678171-2.956471778761387j),(-1.1706187101068077-0.44696474496456334j),(-0.4260900275353318+0.010765370576953339j),(1.0000581010872116-0.0001159746495433027j),(0.12006457660456507-0.5467804774245953j)
0.54,(1.0000592908953343-0.00011733526697474572j),(0.12328588768889907-0.552787447493061j),(-1.4879899473682368+0.11767922646550845j),(1.0641230616913742-0.6580858847360809j),(0.28732476940333185-0.8038277442499553j),(0.39984000083311066+0.16662280721356482j),(-1.5263830676486299-2.980522110761165j),(-1.1768273977272254-0.44370636402633296j),(-0.42610381076974596+0.003947023117904303j),(1.0000592908953343-0.00011733526697474572j),(0.12328588768889907-0.552787447493061j)
0.55,(1.0000605129656432-0.00011870024479262427j),(0.12652997927245893-0.5589200406604152j),(-1.4856862122690735+0.1288641597193586j),(1.0700813892291268-0.6617469689208074j),(0.29084476108593216-0.8115639763210111j),(0.39816365073123244+0.16452210839284534j),(-1.5879756871199495-3.004283508546709j),(-1.1831121490540943-0.4402933937565j),(-0.42610477565451343-0.002935470115061939j),(1.0000605129656432-0.00011870024479262427j),(0.12652997927245893-0.5589200406604152j)
0.56,(1.0000617722782263-0.00012007052967944465j),(0.12979980477054054-0.5652053947772726j),(-1.4831389694523522+0.14009212290281117j),(1.0762195358046536-0.6654571902106824j),(0.2944038488025378-0.8195287854162111j),(0.39649567344243575+0.16233311617690935j),(-1.6522120391441681-3.02777142695624j),(-1.1894896623678488-0.436716259639707j),(-0.42609378731420344-0.009897679518265857j),(1.0000617722782263-0.00012007052967944465j),(0.12979980477054054-0.5652053947772726j)
0.5700000000000001,(1.000063073887848-0.00012144687158456705j),(0.1330985627744669-0.5716707938831996j),(-1.4803342958952885+0.15137544857926194j),(1.0825684767351798-0.6692199499206053j),(0.29801218744858365-0.8277573149537027j),(0.3948351680146297+0.16003974637391466j),(-1.7193523852295847-3.05098035601338j),(-1.1959758749531026-0.43296393848809467j),(-0.4260720471318387-0.016954889360123414j),(1.000063073887848-0.00012144687158456705j),(0.1330985627744669-0.5716707938831996j)
0.58,(1.0000644229016744-0.00012282980942313434j),(0.13642969015429865-0.5783436163086104j),(-1.4772566254810895+0.16272460867973515j),(1.089159748046927-0.6730378131002083j),(0.3016803351507208-0.8362852193975964j),(0.3931815994008414+0.1576263214234744j),(-1.7896741890542531-3.073879764114984j),(-1.2025858004255316-0.4290239452988883j),(-0.4260410993346237-0.02412204918483017j),(1.0000644229016744-0.00012282980942313434j),(0.13642969015429865-0.5783436163086104j)
0.59,(1.0000658244562242-0.00012421965633876682j),(0.13979685576139042-0.5852512894375549j),(-1.473888896759504+0.17414798146844088j),(1.0960253960915716-0.6769124020860791j),(0.3054192568571532-0.8451486408557876j),(0.391534813026501+0.15507763625423682j),(-1.863470439349167-3.096409704432957j),(-1.2093333612774655-0.4248823243512005j),(-0.42600283825836666-0.03141372705306438j),(1.0000658244562242-0.00012421965633876682j),(0.13979685576139042-0.5852512894375549j)
0.6,(1.0000672836934734-0.0001256164847292684j),(0.1432039548227345-0.5924212514658627j),(-1.470212721667386+0.1856516253986867j),(1.1031979302791541-0.6808442785456957j),(0.30924033405723395-0.8543841966987015j),(0.38989504876568376+0.15237902238934112j),(-1.9410473111916173-3.1184760898919004j),(-1.2162312159272932-0.42052364611883836j),(-0.42595951614330246-0.03884406487560878j),(1.0000672836934734-0.0001256164847292684j),(0.1432039548227345-0.5924212514658627j)
0.61,(1.000068805736051-0.0001270201112687169j),(0.1466551041060072-0.5998809204239239j),(-1.4662085771318558+0.19723906240384648j),(1.1107102778806195-0.6848328137467449j),(0.313155380975542-0.8640289786693092j),(0.38826295390949855+0.14951640989138829j),(-2.022721009560002-3.1399456689940015j),(-1.223290579640337-0.41593101189537246j),(-0.42591375130945364-0.046426736075841746j),(1.000068805736051-0.0001270201112687169j),(0.1466551041060072-0.5998809204239239j)
0.62,(1.0000703956614605-0.00012843008219496618j),(0.15015463792359027-0.6076576706731117j),(-1.4618560212792686+0.20891107376866258j),(1.1185957395871193-0.6888760468513143j),(0.3171766675842882-0.8741205638965402j),(0.3866395947020389+0.14647638673942565j),(-2.1088136219072875-3.1606407723157846j),(-1.2305210388265797-0.4110860683450395j),(-0.42586853655915086-0.0541749057940934j),(1.0000703956614605-0.00012843008219496618j),(0.15015463792359027-0.6076576706731117j)
0.63,(1.0000720584752787-0.00012984565915910394j),(0.1537071050359557-0.6157788170295739j),(-1.4571339356244888+0.22066551232174061j),(1.1268879442355795-0.6929705311016402j),(0.32131694979133774-0.8846970381756949j),(0.3850264660218092+0.14324625523653403j),(-2.199647797672543-3.180333948924206j),(-1.2379303584207024-0.4059690345028085j),(-0.42582724765764407-0.06210119382090169j),(1.0000720584752787-0.00012984565915910394j),(0.1537071050359557-0.6157788170295739j)
0.64,(1.000073799083289-0.00013126580596306987j),(0.15731726650991698-0.6242716066187192j),(-1.452020794107589+0.2324971352537928j),(1.1356208008202529-0.6971111678384907j),(0.32558950719010477-0.8957970318403773j),(0.3834254987996656+0.1398140850584711j),(-2.295540077189248-3.1987426735558464j),(-1.2455242823197465-0.4005587440420819j),(-0.42579365174943534-0.07021764041723277j),(1.000073799083289-0.00013126580596306987j),(0.15731726650991698-0.6242716066187192j)
0.65,(1.0000756222625315-0.000132689176531803j),(0.16099009458549068-0.633163218517964j),(-1.4464949591745613+0.24439746236662174j),(1.1448284456075397-0.7012910283821864j),(0.33000818880260285-0.9074597685202178j),(0.3818390647881237+0.13616876257186072j),(-2.3967927164834197-3.2155243778745484j),(-1.2533063272007678-0.3948327058999124j),(-0.4257719155774394-0.07853567514776777j),(1.0000756222625315-0.000132689176531803j),(0.16099009458549068-0.633163218517964j)
0.66,(1.0000775326312696-0.00013411410448692512j),(0.16473077260647706-0.6424807712037945j),(-1.4405350042667682+0.25635466495958315j),(1.1545451818560697-0.7055011639184297j),(0.334587467308471-0.9197251270563434j),(0.380269978331115+0.13230003607487562j),(-2.5036839045722736-3.2302721387568893j),(-1.2612775704720018-0.38876718658564235j),(-0.42576661338354044-0.08706608881844403j),(1.0000775326312696-0.00013411410448692512j),(0.16473077260647706-0.6424807712037945j)
0.67,(1.0000795346179077-0.00013553859469844976j),(0.16854469607422712-0.652251337781495j),(-1.4341200611005915+0.26835349082495613j),(1.1648054093163216-0.7097304036767249j),(0.3393425023311984-0.9326337168310063j),(0.37872149482731193+0.128198556644266j),(-2.6164563521091897-3.2425114364201955j),(-1.2694364336320505-0.38233731768493473j),(-0.42578273438165015-0.09581900857163433j),(1.0000795346179077-0.00013553859469844976j),(0.16854469607422712-0.652251337781495j)
0.68,(1.0000816324289228-0.0001369603172002543j),(0.17243747489115782-0.6625019689414472j),(-1.427230189003533+0.2803752309115075j),(1.1756435403452934-0.7139651418799481j),(0.34428921344844365-0.9462269667575534j),(0.3771973056330284+0.12385591430976946j),(-2.7353043484415513-3.251698464606679j),(-1.2777784629262305-0.3755172321893951j),(-0.425825689706982-0.10480387615175203j),(1.0000816324289228-0.0001369603172002543j),(0.17243747489115782-0.6625019689414472j)
0.6900000000000001,(1.0000838300159165-0.0001383766038527312j),(0.17641493687003132-0.6732597235541389j),(-1.4198467623562192+0.29239773308772277j),(1.187093899124773-0.7181891141926839j),(0.3494443637067273-0.9605472281702753j),(0.3757015292111594+0.11926466931995983j),(-2.8603595379337716-3.257220519586805j),(-1.2862961098983134-0.3682802333111027j),(-0.4259013187569079-0.1140294293108208j),(1.0000838300159165-0.0001383766038527312j),(0.17641493687003132-0.6732597235541389j)
0.7000000000000001,(1.000086131041932-0.00013978444812917816j),(0.18048313259632684-0.6845517067862952j),(-1.4119528709132192+0.30439546805753426j),(1.1991906001215225-0.7223831647178695j),(0.3548256545524219-0.9756378918485652j),(0.374238698399057+0.11441837831179652j),(-2.991675848725187-3.2583989975122387j),(-1.2949785152361004-0.3605989993566168j),(-0.4260158948484441-0.12350368627785008j),(1.000086131041932-0.00013978444812917816j),(0.18048313259632684-0.6845517067862952j)
0.71,(1.000088538847231-0.00014118050838607496j),(0.18464834174361522-0.6964051155921638j),(-1.4035337264926722+0.3163396518238494j),(1.2119674015818136-0.7265250050018249j),(0.3604518332415858-0.9915435194037997j),(0.3728137437387995+0.10931161524861034j),(-3.1292142024113354-3.2544954736989813j),(-1.3038113001917153-0.35244582800860724j),(-0.4261761301241966-0.13323393316799004j),(1.000088538847231-0.00014118050838607496j),(0.18464834174361522-0.6964051155921638j)
0.72,(1.000091056414773-0.000142561114953982j),(0.18891708095500254-0.7088472914062185j),(-1.3945770682992609+0.32819842814132805j),(1.2254575295224768-0.7305889670236713j),(0.3663428139616521-1.0083099892475211j),(0.371431972885938+0.10393998704688437j),(-3.272827730788696-3.2447212180685376j),(-1.3127763708062317-0.3437929229649719j),(-0.42638917964170087-0.14322671415779778j),(1.000091056414773-0.000142561114953982j),(0.18891708095500254-0.7088472914062185j)
0.73,(1.0000936863356928-0.00014392228135275497j),(0.19329611341668845-0.7219057798355785j),(-1.3850735580492308+0.3399371131465443j),(1.239693467381674-0.734545752783624j),(0.3725198140893541-1.025984657342295j),(0.3700990461852964+0.09830014386966189j),(-3.422248731036449-3.2282502765456282j),(-1.3218517411586812-0.33461272528382796j),(-0.4266626445799212-0.15348782420205379j),(1.0000936863356928-0.00014392228135275497j),(0.19329611341668845-0.7219057798355785j)
0.74,(1.000096430775118-0.00014525971989136363j),(0.19779246026169475-0.7356083971214252j),(-1.375017155177012+0.3515185028152476j),(1.2547067062462294-0.7383621838827186j),(0.37900550722278775-1.0446165329077308j),(0.3688209485724939+0.09238978412229705j),(-3.5770780877282795-3.204235987879764j),(-1.331011382856947-0.32487829094747994j),(-0.4270045744908644-0.16402230401614018j),(1.000096430775118-0.00014525971989136363j),(0.19779246026169475-0.7356083971214252j)
0.75,(1.0000992914387234-0.00014656886186384965j),(0.2024134139520356-0.7499833031076966j),(-1.3644054617979875+0.36290324210723884j),(1.270527450406388-0.7420009554198087j),(0.38582419486251723-1.0642564692081538j),(0.36760395802530965+0.0862076542430613j),(-3.7367782366130813-3.1718305038684385j),(-1.3402251089464405-0.31456371506194264j),(-0.4274234685137158-0.1748344369969271j),(1.0000992914387234-0.00014656886186384965j),(0.2024134139520356-0.7499833031076966j)
0.76,(1.0001022695404673-0.0001478448824902832j),(0.20716655379522808-0.765059080421357j),(-1.3532400268532943+0.3740502526748724j),(1.2871842729388439-0.7454203996331475j),(0.39300199887856185-1.0849573694785781j),(0.36645461084768094+0.07975354343532405j),(-3.9006704329005397-3.130206568493563j),(-1.3494585012736018-0.30364460172983365j),(-0.4279282754537564-0.18592774770558004j),(1.0001022695404673-0.0001478448824902832j),(0.20716655379522808-0.765059080421357j)
0.77,(1.0001053657719874-0.00014908273068337926j),(0.21205976375530208-0.7808648195305393j),(-1.3415265990309877+0.38491721390768185j),(1.304703716128894-0.7485742659916362j),(0.4005670771882651-1.1067744079433683j),(0.3653796641190964+0.07302827353821473j),(-4.0679368823450535-3.0785805394357117j),(-1.3586728910347892-0.29209857696279795j),(-0.42852839260896736-0.19730500148908922j),(1.0001053657719874-0.00014908273068337926j),(0.21205976375530208-0.7808648195305393j)
0.78,(1.0001085802741827-0.00015027716364560424j),(0.21710125271864628-0.7974302093036947j),(-1.3292753186863986+0.39546108995770174j),(1.3231098318660433-0.7514115258957292j),(0.40854986538548044-1.1297652657364305j),(0.36438605568176374+0.06603368427758041j),(-4.237627969617771-3.016235441317636j),(-1.3678254026855967-0.2799058400392284j),(-0.4292336632042585-0.2089682047753121j),(1.0001085802741827-0.00015027716364560424j),(0.21710125271864628-0.7974302093036947j)
0.79,(1.0001119126115252-0.0001514227862151913j),(0.22229957737046008-0.8147856326434209j),(-1.316500840092315+0.4056386933464406j),(1.3424236577473019-0.7538762117702206j),(0.41698334740462717-1.1539903813291044j),(0.36348086206595087+0.05877261417763358j),(-4.408674389891294-2.942542771067623j),(-1.376869071491011-0.267049746487704j),(-0.4300543722673926-0.22091860554079826j),(1.0001119126115252-0.0001514227862151913j),(0.22229957737046008-0.8147856326434209j)
0.8,(1.0001153617496665-0.00015251409479050617j),(0.22766366782766395-0.8329622667115996j),(-1.3032223769276314+0.4154072739114261j),(1.362662625570605-0.7559073020962642j),(0.42590335867334406-1.179513214794432j),(0.3626712547695034+0.05124887744518807j),(-4.579903160937532-2.856982157882852j),(-1.3857530446686686-0.2535174134343763j),(-0.4310012407527192-0.23315669342372378j),(1.0001153617496665-0.00015251409479050617j),(0.22766366782766395-0.8329622667115996j)
0.81,(1.0001189260369074-0.00015354552556775058j),(0.23320285615828107-0.851992187196555j),(-1.2894636659210519+0.4247251203237875j),(1.3838399002766932-0.7574386657943822j),(0.4353489256023298-1.2064005248616578j),(0.3619644553104507+0.04346723716238446j),(-4.750056553731203-2.7591582656807105j),(-1.3944228752230199-0.23930033547011775j),(-0.43208541768955777-0.24568219893807972j),(1.0001189260369074-0.00015354552556775058j),(0.23320285615828107-0.851992187196555j)
0.8200000000000001,(1.0001226031900936-0.0001545115067287483j),(0.23892690789495402-0.8719084759966641j),(-1.275252845932695+0.4335521603051766j),(1.4059636492848273-0.7583990812658278j),(0.44536264567555267-1.2347226572139347j),(0.36136768946209846+0.035433375140230705j),(-4.917815994773248-2.648811335780962j),(-1.4028209161045757-0.22439499657839349j),(-0.4333184701021888-0.25849409124200257j),(1.0001226031900936-0.0001545115067287483j),(0.23892690789495402-0.8719084759966641j)
0.8300000000000001,(1.0001263902854711-0.00015540651411808217j),(0.24484605662076792-0.8927453316065714j),(-1.2606222523802992+0.44185054508074917j),(1.4290362446487257-0.7587123472287162j),(0.4559911128294442-1.264553841818824j),(0.3608881410589389+0.027153858794392353j),(-5.081822330262219-2.5258270927645796j),(-1.410886820192309-0.2088034611572347j),(-0.43471237041847133-0.27159057392482855j),(1.0001263902854711-0.00015540651411808217j),(0.24484605662076792-0.8927453316065714j)
0.84,(1.000130283755005-0.00015622512985219406j),(0.2509710416681275-0.9145381813899628j),(-1.2456081296740389+0.44958520358650256j),(1.4530534036084266-0.7582975041151857j),(0.4672853932313925-1.2959724962091184j),(0.3605329057305373+0.018636105407008337j),(-5.2406979830545835-2.3902415103280017j),(-1.4185581487564032-0.19253392493760121j),(-0.43627948105450426-0.28496907830580653j),(1.000130283755005-0.00015622512985219406j),(0.2509710416681275-0.9145381813899628j)
0.85,(1.000134279388605-0.00015696210321258783j),(0.2573131489251014-0.93732379480443j),(-1.2302502670748594+0.4567243525321684j),(1.4780032769871074-0.7570691860551966j),(0.4793015569631146-1.3290615304924744j),(0.36030894488128784+0.009888344134656965j),(-5.393070602197589-2.2422395404718944j),(-1.4257710875228853-0.17560120483837455j),(-0.43803253583371227-0.29862625378367896j),(1.000134279388605-0.00015696210321258783j),(0.2573131489251014-0.93732379480443j)
0.86,(1.000138372342631-0.00015761241308824502j),(0.26388425468710835-0.9611403965065141j),(-1.2145915659901863+0.46323994959592635j),(1.50386549950291-0.7549381241495474j),(0.49210127144900295-1.3639086483892346j),(0.3602230401890497+0.0009195761138516348j),(-5.537592392584958-2.082152440952033j),(-1.4324612652945783-0.15802714571080442j),(-0.4399846178703611-0.31255795484121085j),(1.000138372342631-0.00015761241308824502j),(0.26388425468710835-0.9611403965065141j)
0.87,(1.000142557154976-0.00015817133115841598j),(0.27069687242342627-0.9860277781051675j),(-1.1986775490275505+0.46910807874703087j),(1.5306102214096633-0.7518118215787406j),(0.5057524626929366-1.4006066366873309j),(0.36028174884805836-0.00826046699749181j),(-5.672955726785037-1.9104552046160603j),(-1.4385646654089104-0.13984092171605272j),(-0.4421491335198955-0.3267592243922157j),(1.000142557154976-0.00015817133115841598j),(0.27069687242342627-0.9860277781051675j)
0.88,(1.0001468277669117-0.00015863448494323154j),(0.2777642022456311-1.0120274071454047j),(-1.1825558230169022+0.4743092588739971j),(1.5581971468550915-0.7475954198232553j),(0.5203300504264106-1.4392536330482195j),(0.3604913597342496-0.017641365720490732j),(-5.7979118078709435-1.7277555990560756j),(-1.4440186153227603-0.12107921093152356j),(-0.4445397819718102-0.3412242732599647j),(1.0001468277669117-0.00015863448494323154j),(0.2777642022456311-1.0120274071454047j)
0.89,(1.0001511775517815-0.00015899791980097627j),(0.2851001827661214-1.0391825316859173j),(-1.166275509587647+0.4788286694264526j),(1.586574610771601-0.7421927725846796j),(0.5359167630225689-1.4799533589597702j),(0.36085785062741677-0.0272120563946138j),(-5.911282250245102-1.5347875185538615j),(-1.4487628345616141-0.10178622383566041j),(-0.4471705200354598-0.35594645569368355j),(1.0001511775517815-0.00015899791980097627j),(0.2851001827661214-1.0391825316859173j)
0.9,(1.0001555993505027-0.00015925815891947647j),(0.2927195449161782-1.0675382785789453j),(-1.1498866576815319+0.4826562895240564j),(1.6156787327083484-0.7355077396011257j),(0.5526040373492999-1.5228153006429594j),(0.3613868465874893-0.036960875474435995j),(-6.011970323853034-1.332401988656252j),(-1.4527405164632263-0.0820135696530106j),(-0.4500555216461198-0.37091824096213716j),(1.0001555993505027-0.00015925815891947647j),(0.2927195449161782-1.0675382785789453j)
0.91,(1.0001600855137072-0.00015941226033608933j),(0.3006378671508138-1.097141743260986j),(-1.1334396525697201+0.4857869498010772j),(1.6454326923691107-0.7274457061867161j),(0.5704930074181463-1.5679548156793317j),(0.36208357955437964-0.046875604226427586j),(-6.098971350372086-1.121555466663238j),(-1.455899414930107-0.061819949142800354j),(-0.45320913159914006-0.386131181207656j),(1.0001600855137072-0.00015941226033608933j),(0.3006378671508138-1.097141743260986j)
0.92,(1.0001646279502248-0.0001594578700278233j),(0.30887163129766604-1.1280420685112884j),(-1.116984635532724+0.48822029899555414j),(1.6757461772078066-0.7179153258154365j),(0.5896955834577966-1.6154931368034884j),(0.36295284922448146-0.056943513595179476j),(-6.171380058363348-0.9033006981640088j),(-1.4581929041376276-0.041270668175696426j),(-0.456645813006246-0.40157587589770344j),(1.0001646279502248-0.0001594578700278233j),(0.30887163129766604-1.1280420685112884j)
0.93,(1.0001692181814745-0.00015939327014213183j),(0.31743827810448416-1.16029050922316j),(-1.1005709474025394+0.4899606898236242j),(1.7065150566032536-0.7068304723657616j),(0.6103356195272779-1.6655572364395779j),(0.36399898525347274-0.06715140903854497j),(-6.228397298276726-0.6787772406022751j),(-1.4595809771627561-0.020436973147630835j),(-0.46038008796273955-0.41724193337152043j),(1.0001692181814745-0.00015939327014213183j),(0.31743827810448416-1.16029050922316j)
0.9400000000000001,(1.0001738474012036-0.00015921742148778168j),(0.3263562612988801-1.1939404797519364j),(-1.0842466077354322+0.4910169908887874j),(1.737621339146062-0.6941123758800734j),(0.6325501624856501-1.718279505878056j),(0.36522581084520384-0.07748567516513011j),(-6.2693361873471405-0.4492012895880888j),(-1.4600311490847702+0.0006047833953382112j),(-0.46442647092106043-0.43311793014395417j),(1.0001738474012036-0.00015921742148778168j),(0.3263562612988801-1.1939404797519364j)
0.9500000000000001,(1.0001785065398892-0.00015892999947666884j),(0.33564509868899456-1.2290475798439688j),(-1.068057839582613+0.4914023331758294j),(1.7689334686397284-0.6796919012449878j),(0.6564907673981362-1.7737971912258566j),(0.3666366078098103-0.08793232004591599j),(-6.293627541851332-0.21585595526036688j),(-1.4595192314565495+0.021774131012046165j),(-0.4687993942890357-0.44919136879496807j),(1.0001785065398892-0.00015892999947666884j),(0.33564509868899456-1.2290475798439688j)
0.96,(1.0001831863330057-0.0001585314227972549j),(0.34532541849814274-1.265669594504167j),(-1.0520486477699804+0.4911338010140661j),(1.8003070097932694-0.6635119137165858j),(0.6823248534444795-1.8322515142185403j),(0.3682340832095466-0.09847701911480655j),(-6.300824986895353+0.01991806937114696j),(-1.4580299482265502+0.04298760031902482j),(-0.4735131258148081-0.46544863543951387j),(1.0001831863330057-0.0001585314227972549j),(0.34532541849814274-1.265669594504167j)
0.97,(1.0001878773922654-0.00015802287420930316j),(0.3554189987335987-1.303866462417596j),(-1.0362604564073636+0.49023207824098014j),(1.83158576564204-0.6455296596466698j),(0.7102370590583633-1.8937863896032616j),(0.37002033775604-0.10910515862038812j),(-6.2906100824553945+0.2567319175520996j),(-1.4555573681411884+0.06415994294292535j),(-0.47858167738977464-0.4818749579365713j),(1.0001878773922654-0.00015802287420930316j),(0.3554189987335987-1.303866462417596j)
