t,S_00,S_01
0.0,0.24242424242424254,0.7575757575757579
0.01,0.24254221830378556,0.7574667875585369
0.02,0.24288304965172405,0.7571262494769025
0.03,0.24344229054844385,0.7565535109468083
0.04,0.24426184711274956,0.7558045334470886
0.05,0.24533746500019982,0.7548858008594662
0.06,0.2465769427696707,0.753703593631355
0.07,0.24794023624608771,0.7522254211868792
0.08,0.24948061288560242,0.7505308597509184
0.09,0.2512720620846459,0.7487299104786864
0.1,0.25328890782632635,0.7468143097846274
0.11,0.25547203243513633,0.7447410561015528
0.12,0.25774940445629035,0.7424506473104251
0.13,0.26011062591222534,0.7399557338093269
0.14,0.2626203358878259,0.7373614742406748
0.15,0.2652919013344775,0.7347132479078594
0.16,0.26809575883378817,0.7320060825209447
0.17,0.27097889645517326,0.7292081032457332
0.18,0.27388325733010743,0.7262782794624981
0.19,0.27680266101153084,0.7232360353109633
0.2,0.27979580935593923,0.7201805519058977
0.21,0.28285183064847036,0.7171259612042289
0.22,0.28595798780530013,0.7140841211797327
0.23,0.2890832590100811,0.7110441798454752
0.24,0.29217844377491464,0.7079702465569073
0.25,0.2952188306734727,0.7048531604342848
0.26,0.2982324637995066,0.7017462009920822
0.27,0.30125242242634687,0.6987083344879333
0.28,0.30424673355367704,0.6957166399997633
0.29,0.3072232450141082,0.6927959807748257
0.3,0.3101602065943878,0.6899333008291109
0.31,0.313025709052037,0.6871006608092562
0.32,0.31580011357666593,0.6842822449125074
0.33,0.3184958906359187,0.6814987419087636
0.34,0.3211585017533028,0.6788093557114424
0.35000000000000003,0.3237642101006596,0.6761877264434935
0.36,0.32631802918435854,0.673640002332831
0.37,0.3288246458738189,0.6711708888355473
0.38,0.33127717372338106,0.6687697650717781
0.39,0.3336634156928783,0.6664178793246258
0.4,0.33597410096464586,0.6640980085652244
0.41000000000000003,0.33821203483002404,0.6618053697295367
0.42,0.34040129946360875,0.6595587934422587
0.43,0.34257477801444874,0.6573868673437219
0.44,0.3447173306322551,0.6552601593790701
0.45,0.34683003101700305,0.653166387681571
0.46,0.34891813734675153,0.6510982679062209
0.47000000000000003,0.35098691827214906,0.649048332805578
0.48,0.3530404532698026,0.6470072181672094
0.49,0.35508185545239945,0.6449636631433224
0.5,0.35711477999828856,0.642906072007384
0.51,0.35914609709374373,0.6408255030535529
0.52,0.3611896240116541,0.6387199690357799
0.53,0.36327082668090566,0.6365999522244326
0.54,0.3654659255996243,0.6345378946512619
0.55,0.3677793444894925,0.6325224412032884
0.56,0.3701409954709234,0.6304510137776175
0.5700000000000001,0.3725139535653359,0.6282610924860813
0.58,0.3748889089676135,0.6259236240284562
0.59,0.3772775034525905,0.6234350973553423
0.6,0.3797051879589581,0.6208090427817443
0.61,0.382203999405197,0.6180674031389405
0.62,0.38480577062184596,0.6152323560325782
0.63,0.38753640311411003,0.6123192967552707
0.64,0.3904119481985132,0.6093318218823193
0.65,0.39343735788699885,0.6062596840595258
0.66,0.39661071768811446,0.6030829910930968
0.67,0.4000063522372612,0.5998729303375308
0.68,0.40356620845964636,0.5965515726120899
0.6900000000000001,0.4072098989855875,0.5930145147521404
0.7000000000000001,0.41092204887204176,0.5892330919396933
0.71,0.4147344698630092,0.5852343330485923
0.72,0.4187014271743632,0.5810729635753649
0.73,0.4228703556199868,0.5767979966377589
0.74,0.42725160165486653,0.5724177832539867
0.75,0.4318259814196948,0.5679062055472995
0.76,0.4366682640399641,0.5633419389876202
0.77,0.4416438412019723,0.5585775059766801
0.78,0.44667609918767043,0.5535282681406868
0.79,0.45178474598668344,0.548216771592731
0.8,0.45704567097598464,0.54273110976137
0.81,0.46252612858615366,0.5371554948602769
0.8200000000000001,0.4682092395765724,0.5314874394610271
0.8300000000000001,0.4741182490998456,0.5257583987915826
0.84,0.4801596642298436,0.5198829387754585
0.85,0.4862393087162104,0.5137744055370459
0.86,0.49237486713525547,0.5074641929237927
0.87,0.49864327876648523,0.5010526477502296
0.88,0.5050773029313216,0.4946035772569081
0.89,0.5117265227306845,0.488188020332445
0.9,0.5184664157291783,0.48170503433470213
0.91,0.5251517424418258,0.47502710230208633
0.92,0.5317835661793312,0.4681727100483578
0.93,0.5384645993463145,0.46127352973209707
0.9400000000000001,0.5452583613806589,0.454438775353569
0.9500000000000001,0.5521991765305739,0.44773034735286055
0.96,0.5591663952805143,0.4410586399220911
0.97,0.5659913529555436,0.43428121797361147
0.98,0.5726533415268547,0.4273952980547567
0.99,0.5792605154262018,0.4205358868373244
1.0,0.5859018914630453,0.41384021564096385
1.01,0.5925800733625752,0.40733684821457317
1.02,0.5991905040368012,0.40095067954365304
1.03,0.6055973649805233,0.39457209796702386
1.04,0.6117807644552146,0.388197004304686
1.05,0.6178367800115033,0.38194247026705036
1.06,0.6238492495429239,0.3759274716016249
1.07,0.6297964157332402,0.37014355501376717
1.08,0.6355862927658688,0.3645233134623003
1.09,0.6411199941437434,0.3589840498186822
1.1,0.6463935895391064,0.3535299354582632
1.11,0.6515028453548349,0.34826706518147554
1.12,0.6565127631825822,0.3432758219539226
1.1300000000000001,0.6613887026948364,0.3385239911350711
1.1400000000000001,0.6660763994092019,0.333967499089237
1.1500000000000001,0.670503426878619,0.3295397421325653
1.16,0.6746636993596795,0.32523387517718305
1.17,0.6786415337177836,0.3211301626696828
1.18,0.6824913983090003,0.317281023711236
1.19,0.68619001644631,0.3136558762608444
1.2,0.6897240790599961,0.3102370102980803
1.21,0.6930401188251925,0.3069686022215344
1.22,0.6961116461980862,0.30381796689686363
1.23,0.6989814029703736,0.3008149945149668
1.24,0.7017353766428897,0.29802947510343647
1.25,0.7043446492691136,0.29542234006963136
1.26,0.7068329640901345,0.29300102788185234
1.27,0.7091848764040324,0.2907398746136831
1.28,0.7113660499605565,0.2885966169305392
1.29,0.713360251978983,0.286544516502777
1.3,0.7151993131871801,0.2845986457178157
1.31,0.7169572180573512,0.282811035981647
1.32,0.7186071297456587,0.28114462197206364
1.33,0.7201692097063719,0.2796024578684188
1.34,0.7216514549210353,0.27817890363953485
1.35,0.7230419373261314,0.27685207550162616
1.36,0.7243230859648178,0.27559551539760896
1.37,0.7254876520283746,0.2743915395260549
1.3800000000000001,0.7265544305149358,0.273244557561693
1.3900000000000001,0.7275776705519944,0.2721891835736803
1.4000000000000001,0.7285538706807433,0.2712117022916585
1.41,0.7294755383776853,0.2702955794091196
1.42,0.7303511388225058,0.2694388686025086
1.43,0.7311839924462756,0.2686361626845173
1.44,0.7319722323718165,0.26787825965330714
1.45,0.7327110308384485,0.2671538048818035
1.46,0.7333965886611484,0.26645247810836137
1.47,0.7340314436760856,0.26576934645747946
1.48,0.7346307160264455,0.2651100572866171
1.49,0.7352297345345328,0.2644972616868135
1.5,0.7358619659163579,0.2639534167835664
1.51,0.7364911807262609,0.2634446384640753
1.52,0.737088020040064,0.2629433723959178
1.53,0.7376398238396435,0.2624366113736592
1.54,0.738145242888161,0.26192143802376716
1.55,0.7386095617473368,0.2614011150479313
1.56,0.7390409201968344,0.26088188753189406
1.57,0.7394476475501236,0.260370686189677
1.58,0.7398369515954966,0.2598739447558633
1.59,0.7402152311252117,0.25939776908137374
1.6,0.7405903082500416,0.25894971983094944
1.61,0.740978115907853,0.25854441566472836
1.62,0.7414350516046803,0.25823392602278644
1.6300000000000001,0.7418892382485502,0.257964715760174
1.6400000000000001,0.7422679083790749,0.2576818626345415
1.6500000000000001,0.7425475144523164,0.2573722657309947
1.6600000000000001,0.7427397750893479,0.25705338283469104
1.67,0.7428751401748772,0.25675956229921076
1.68,0.7429849679833749,0.2565270824575588
1.69,0.7430841968489925,0.2563794557047931
1.7,0.7431567832343993,0.25631499846340283
1.71,0.7432108439500391,0.25635294422214405
1.72,0.7432700481045691,0.25652703791608666
1.73,0.7431973783703913,0.25673605667726684
1.74,0.7429393952903605,0.25694841260127815
1.75,0.7425169949303085,0.2571958412278085
1.76,0.7419891666139697,0.25754358291658
1.77,0.7414044699411707,0.2580494460552851
1.78,0.7407465446960251,0.2587173177313826
1.79,0.7400397476591994,0.25958413107098816
1.8,0.739228459368876,0.2606187815928287
1.81,0.7381759266987102,0.2617200422097005
1.82,0.736864578736486,0.2628862539992002
1.83,0.7353626626796503,0.26418925864827836
