N,E [H]
1,-15.532112852426646
2,-15.533629384412432
3,-15.534329629389434
4,-15.535641874454496
5,-15.535806693763357
6,-15.537604810538124
7,-15.538039902506426
8,-15.53924909761283
9,-15.542475404214633
10,-15.543504163266853
11,-15.543883108618333
12,-15.544814880779414
13,-15.54506697764946
14,-15.546013141788018
15,-15.546904855840465
16,-15.546939438813105
17,-15.547399068700958
18,-15.54787865226521
19,-15.548579762954828
20,-15.549270613697235
21,-15.549333162114268
22,-15.549345574289097
23,-15.549704575184357
24,-15.549833271282468
25,-15.549876812855642
26,-15.549877185753477
27,-15.550606763677752
28,-15.551159355773661
29,-15.551765239014271
30,-15.552091182093138
31,-15.552357562938537
32,-15.552359610412463
33,-15.552607647025951
34,-15.552870051607293
35,-15.553090745435771
36,-15.553376118276837
37,-15.553653575858476
38,-15.553698235323111
39,-15.554060889585493
40,-15.554067792456255
41,-15.554165432777134
42,-15.554180802250126
43,-15.555016041269807
44,-15.55516535878462
45,-15.555343225248384
46,-15.555474074216516
47,-15.555479870787108
48,-15.55554191451715
49,-15.555556571358428
50,-15.556004252026426
51,-15.55607515732263
52,-15.556472071937003
53,-15.556746937337621
54,-15.557047140610225
55,-15.557187615310607
56,-15.557346101548141
57,-15.557416751030235
58,-15.557593240126996
59,-15.557667848822485
60,-15.557762129821272
61,-15.557801840870864
62,-15.558017997804932
63,-15.558362947098173
64,-15.55847234932965
65,-15.558496780609351
66,-15.558499130805622
67,-15.558559570776929
68,-15.558621267359948
69,-15.55877776757871
70,-15.558808989524557
71,-15.559095906129073
72,-15.559109220782863
73,-15.559139880932308
74,-15.55955799249764
75,-15.559661240622503
76,-15.559728543817634
77,-15.559789582633874
78,-15.559796537511193
79,-15.559797879462055
80,-15.559815097918062
81,-15.559833129289576
82,-15.559844400634773
83,-15.559890757356255
84,-15.559910825604002
85,-15.559949574174867
86,-15.559981927127554
87,-15.559984923198087
88,-15.560029035156974
89,-15.56005302013464
90,-15.560071289982908
91,-15.560095315255209
92,-15.560095642004196
93,-15.560098107238451
94,-15.560128150003418
95,-15.560266102978416
96,-15.560275158381458
97,-15.5602964211762
98,-15.560297614652901
99,-15.560333738147278
100,-15.560336223628642
101,-15.560400975934845
