t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,E
0.1,(0.0025115099633173715+0.0018473200967667645j),(-0.005541755925914556+0.017869055591238688j),(3.737038507076778e-07-2.091677600356013e-07j),(-0.0032530570177007646-0.01730951523386938j),(-0.00012420606189553963+0.00016283292856994355j),(0.0036867793044262197+0.0005915480348151988j),(0.0012406620615141102-0.00408313932848845j),(-5.454675624497391e-07-3.541456902124642e-07j),(0.0001547134912422755+0.00032087263615073977j),(-4.363456961869701e-05-4.67569748974243e-05j),(0.001652115745230943+0.0013694619673015494j),(1.0019126830496403+1.0020633768389018j),(0.5988351296920316-0.21338062512768344j),(2.338572004808915+2.6920492791276343j),(0.7510992771053537+0.1792402210726791j),(1.710853458350706-0.23206134803166345j),(-0.006510518117111838+0.6939487647657148j),(0.6509260501381273-0.5292407971264534j),(-1.0921192529024952+2.689906621396459j),(-0.7879242995269102+0.5773640955800035j),(-0.8802887119548044-0.7262277299748818j),(-0.2960563267930833-0.2604593325709628j),0.0
0.11,(0.0023220175506416542+0.0019486984651490762j),(-0.007172937300304991+0.018655917709079917j),(4.0834923092315626e-07-2.191159626525431e-07j),(-0.0021052280508523638-0.018526939032215403j),(-0.00015041113587599877+0.00016756979018200518j),(0.003859099137095791+0.0008190158917521899j),(0.0016124040574078988-0.0042913597268128545j),(-5.692328082586718e-07-3.995411439708338e-07j),(0.00014854999616869982+0.00034927052536232417j),(-4.41940304263756e-05-5.2503446148491464e-05j),(0.001683173170932352+0.001557571338725452j),(1.0019575101880258+1.0022688731890512j),(0.5988947402773004-0.21344125771958408j),(2.338579539668092+2.6920373853000648j),(0.751074441504891+0.17944933956267564j),(1.710860522516106-0.23199099684294194j),(-0.006553844801891126+0.6939850868804879j),(0.6510410695308418-0.5293095116904525j),(-1.0921187115591884+2.6899153073992315j),(-0.7879467838832462+0.5773709190746474j),(-0.8802993045058329-0.7262424714236313j),(-0.2960871659171621-0.26048541589082785j),0.0
0.12,(0.00213492298388431+0.002034904184126904j),(-0.00887640247061479+0.019243365198196236j),(4.410300036015368e-07-2.2768591773085857e-07j),(-0.0008184281593501923-0.019574379548690922j),(-0.0001782505670204159+0.00016933607914402854j),(0.0039983217618170235+0.0010564840184762415j),(0.0020044605357313876-0.004457674697513778j),(-5.882792305475145e-07-4.4443200521923413e-07j),(0.00013984303817935297+0.00037599261077870215j),(-4.4207491554750136e-05-5.817128957107544e-05j),(0.0016942317074482235+0.001744342604451307j),(1.0019881079936697+1.0024689996259268j),(0.5989607389037622-0.2135013642119514j),(2.3385888377375608+2.6920256215718394j),(0.7510391244975341+0.17966451513818657j),(1.7108652981853725-0.2319142055463989j),(-0.006601287949449351+0.6940193054626757j),(0.6511664588051723-0.5293759847661202j),(-1.0921189242065696+2.6899244652801975j),(-0.7879707828130178+0.5773763164077863j),(-0.8803094050636531-0.7262587559345962j),(-0.2961177468864235-0.26051482608340865j),0.0
0.13,(0.001951978066985948+0.0021066743448887133j),(-0.010620808410953047+0.01964598358367917j),(4.7145042904296715e-07-2.3514625371586828e-07j),(0.0005697528721945377-0.020453982041360865j),(-0.00020743277883219287+0.00016806318367054335j),(0.004107303707978642+0.0012989640373183232j),(0.0024100694577277038-0.004584730967906075j),(-6.031670459657354e-07-4.88251075484696e-07j),(0.00012909420184814332+0.0004009380135905915j),(-4.375321024701279e-05-6.370790752792554e-05j),(0.0016878907528725421+0.0019276430405931308j),(1.002008144136696+1.0026631353338211j),(0.5990333241573493-0.21356039183712655j),(2.3385998152341796+2.6920141984464383j),(0.7509917331750661+0.1798862181803563j),(1.7108675150792052-0.2318315928196919j),(-0.006652470433588477+0.6940514065563621j),(0.6513019676581338-0.5294395169418399j),(-1.0921198896241469+2.6899339909898208j),(-0.7879961105648489+0.5773802661021235j),(-0.8803189177181593-0.7262764858010685j),(-0.2961478682988791-0.2605474253653683j),0.0
0.14,(0.0017748653688764698+0.002164972504412111j),(-0.012374994685065374+0.01988430711410035j),(4.993403019912705e-07-2.417985771587746e-07j),(0.0020204896937332188-0.021174701228654967j),(-0.00023764651247046515+0.00016373091499625257j),(0.004189577995030983+0.001541578416766903j),(0.002822354616400647-0.0046764437155969426j),(-6.145590728042262e-07-5.304409200211276e-07j),(0.00011684869579990445+0.0004240551165838369j),(-4.292199363137693e-05-6.906632809500741e-05j),(0.0016672021325158542+0.0021055325020587013j),(1.0020215165214137+1.0028508763307296j),(0.5991129178379806-0.2136178436735374j),(2.3386123281040807+2.6920033081352974j),(0.7509299464620692+0.18011592827778658j),(1.7108668695652811-0.23174399774635987j),(-0.006707022490717581+0.6940816168768508j),(0.651447471945789-0.529499465247366j),(-1.0921215755865235+2.6899437784095843j),(-0.7880225913310128+0.5773828170562436j),(-0.8803277793957024-0.726295553952356j),(-0.29617740950890625-0.2605830647493431j),0.0
0.15,(0.0016051232911547036+0.002210875599379804j),(-0.014110975630541773+0.019982074717827168j),(5.244614021378976e-07-2.4795450845117643e-07j),(0.0034975704233637904-0.021749584557676616j),(-0.0002685813975430895+0.00015636160110056086j),(0.0042489989903180606+0.0017797944505938779j),(0.003234956707221368-0.004737524246421156j),(-6.23162664141412e-07-5.70471660427638e-07j),(0.00010365855435622483+0.000445335266087861j),(-4.181058436905818e-05-7.420712483289645e-05j),(0.0016354106364427938+0.002276366131225209j),(1.0020317489078223+1.0030320053195223j),(0.5991995724835709-0.21367366664611617j),(2.3386261926953655+2.6919931288348473j),(0.7508531605477303+0.1803549181723243j),(1.7108634760610038-0.2316522414843607j),(-0.006764529042252091+0.6941103070353257j),(0.6516026713340317-0.5295559462255772j),(-1.092123922795294+2.6899537465709136j),(-0.7880500778587265+0.5773841051896567j),(-0.880336014750154-0.7263158491520264j),(-0.2962064190719889-0.26062151776414216j),0.0
0.16,(0.001443851127103451+0.0022453288024860654j),(-0.015813876415988894+0.019959698143990404j),(5.466569510885526e-07-2.538654786153917e-07j),(0.004979375166042569-0.022189805705640265j),(-0.00030000492905926424+0.00014604660786667634j),(0.004288907829033462+0.0020103630307968245j),(0.0036441899172453395-0.004772538014157293j),(-6.295810630519625e-07-6.079446816485419e-07j),(8.997056941996448e-05+0.00046482439124612184j),(-4.050458813431695e-05-7.911002639105113e-05j),(0.0015952747698530657+0.002439288091505063j),(1.0020395597785794+1.0032056345884575j),(0.5992905741611477-0.21372878351337488j),(2.3386411026689045+2.6919837652584473j),(0.7507695958523387+0.18059871358287494j),(1.7108593397018772-0.23155625407835548j),(-0.006823818507137669+0.6941375082133865j),(0.6517648004956318-0.529611188144419j),(-1.092126814573503+2.6899638162178916j),(-0.7880782215021219+0.5773844041898896j),(-0.880343798769006-0.726337054287315j),(-0.29623506500327795-0.2606619092867403j),0.0
0.17,(0.00129200806610137+0.0022695205888053653j),(-0.017469095000165823+0.01984320909646338j),(5.658218223934815e-07-2.5979394898570876e-07j),(0.006443113026472746-0.0225134609301793j),(-0.00033169490811361095+0.00013295756343414917j),(0.0043132849403975555+0.0022303727975278367j),(0.004046433902619753-0.00478732010623205j),(-6.344970979352501e-07-6.425269826361965e-07j),(7.625229241613616e-05+0.0004826270579716826j),(-3.909919247166616e-05-8.376343580897928e-05j),(0.0015499200179714136+0.002593721915685549j),(1.0020455638243984+1.0033703225981632j),(0.5993832711129153-0.21378319848675353j),(2.338656590659002+2.691975220634494j),(0.7506846995404494+0.1808425481427913j),(1.7108561374874578-0.23145623639780055j),(-0.006883302212672924+0.6941632438648289j),(0.6519301337574537-0.5296661035723993j),(-1.0921300812021757+2.689973795514596j),(-0.7881064131696146+0.5773839981296994j),(-0.8803511803566648-0.7263586505602676j),(-0.2962631825324269-0.26070309016668436j),0.0
0.18,(0.0011504097935509223+0.0022846095994379476j),(-0.019063865684539296+0.019658168895500604j),(5.818739074528485e-07-2.6597704196717665e-07j),(0.007868199058594235-0.02273895258386442j),(-0.0003634541800399393+0.00011728369222527147j),(0.0043259464919346855+0.0024372333703758203j),(0.004438461656483804-0.004787646766205784j),(-6.385520284304312e-07-6.739186732864409e-07j),(6.294101233014562e-05+0.0004988527022707247j),(-3.768538595435333e-05-8.815825588297791e-05j),(0.00150233503445483+0.0027392125340986143j),(1.0020504900267164+1.0035248769314284j),(0.5994754200577945-0.21383687706400425j),(2.3386722375890834+2.691967473151497j),(0.7506028119770416+0.18108252332590383j),(1.7108552994670587-0.23135271554535825j),(-0.006941606462231179+0.6941876017940841j),(0.6520953656065984-0.5297214629533508j),(-1.0921335631359539+2.6899835202384246j),(-0.7881341253090559+0.5773831587204533j),(-0.880358215159881-0.7263801766570187j),(-0.29629064821032575-0.26074404481882196j),0.0
0.19,(0.0010197195755310066+0.0022917029687623642j),(-0.020587668855883357+0.019429161404129057j),(5.94753964144599e-07-2.726228047196805e-07j),(0.00923682044589905-0.022884468293338865j),(-0.0003951134242666882+9.922915771878842e-05j),(0.004330478300823+0.0026287023808432616j),(0.004817525103668654-0.004779139864985351j),(-6.423351118296658e-07-7.018539568488032e-07j),(5.043791614997745e-05+0.0005136132858575725j),(-3.634877192076545e-05-9.228793351355105e-05j),(0.0014553260055973553+0.00287543391697011j),(1.002055115597807+1.0036683771430375j),(0.599565124406438-0.21388982314536192j),(2.338687681635997+2.691960479054021j),(0.7505275227966672+0.18131549905853372j),(1.7108580676283103-0.23124651706464383j),(-0.006997586112762042+0.6942107255685721j),(0.6522576182181569-0.5297780204901054j),(-1.0921371133877498+2.68999286162441j),(-0.7881609252067662+0.577382146986301j),(-0.8803649768160375-0.7264012376775952j),(-0.29631740334184026-0.26078389597794627j),0.0
