t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,A_0011,A_0012,A_0013,A_0014,A_0015,A_0016,A_0017,A_0018,A_0019,A_0020,A_0021,A_0022,A_0023,A_0024,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,z_0011_00,z_0012_00,z_0013_00,z_0014_00,z_0015_00,z_0016_00,z_0017_00,z_0018_00,z_0019_00,z_0020_00,z_0021_00,z_0022_00,z_0023_00,z_0024_00,E
0.4,(-20.53506850872341+23.98121188463567j),(12.105623032022791+5.6685446982381515j),(4.293082501554692+12.012417766648243j),(-14.206996234510745-19.456248461080822j),(3.6056389758457064-0.5918864246785137j),(0.6300546270047857-1.1994260448796192j),(0.3555619675564127-7.120572685872012j),(-8.167773225270665-2.487391140963474j),(-8.33202834654251+1.574893038632899j),(-0.5014065080276118+0.528086096638728j),(0.6209497715122069-7.097012687744592j),(5.824101275809306-0.9717883099214988j),(0.9638620884448516-0.8750334762701264j),(0.16023410243259736-0.054336919412740214j),(0.36777860837644283+0.19658169772756567j),(3.941684043903567-1.6518154939725989j),(5.324294294511314-0.15948589312831932j),(0.6864241701830256-1.228530793220605j),(0.5684594798018181-0.3470459052016103j),(6.105227576871137+2.364062690044088j),(4.167886027360314-1.206140133002226j),(0.026000994242714643-1.8611249350294534j),(0.24313029192685123+0.03691516169506794j),(0.4335521795430452+0.217164900728207j),(-0.011839728061922196-0.1417470419817939j),(-0.3063119543727573+0.0018236308197654239j),(-0.2808436179858049+0.2563936132683917j),(-0.3084418122702594-0.24719478149932553j),(-0.053959795965385055-0.011026614760072913j),(-0.5578834459942037-0.005865528507633638j),(-0.3142580812029355+0.5157441752183881j),(-0.3140864820900552-0.5001011072935485j),(-0.05237899649292518+0.23853987878828245j),(-0.048599518587888975-0.2491675086139979j),(-0.5559210616321771+0.24976994864272617j),(-0.5764808080840508-0.22236706608844042j),(0.18613867641586035+0.0032257379295746714j),(-0.7981710888234788-0.01615772354495731j),(-0.3067965417865172+0.8089983094628779j),(-0.3026273478295619-0.7947817955920611j),(-0.014046540066015566+0.48091922640324275j),(-0.044069982310799574-0.49627073197601834j),(-0.5464325954448152+0.49471723700927417j),(-0.5579366934091525-0.5188829075347827j),(0.17382289770593354+0.21828709030286597j),(0.19997651091379068-0.23562717909451472j),(-0.7781769994516053+0.2503484538719732j),(-0.8171732088703755-0.23361651211091974j),(0.42175207424433536+0.017566451410487415j),(-1.0260662362972075+0.06859625009195468j),0.0
0.41000000000000003,(-20.53477614866437+23.984579251717236j),(12.105912071503244+5.671913494323218j),(4.293373152273342+12.015783523828704j),(-14.206705383360395-19.452880484502725j),(3.6059352023005626-0.5885262714077629j),(0.6303373372706378-1.1960976227057187j),(0.35584914201543105-7.117208500891211j),(-8.167481832636893-2.484022114628913j),(-8.331738603909029+1.5782611383292966j),(-0.5011010642029801+0.531471219714135j),(0.6212389938378762-7.093641323872727j),(5.824390316013777-0.9684205526857455j),(0.9641726492802787-0.8717546977951909j),(0.16136613642516545-0.051262266523592274j),(0.3681624009410429+0.1997758439019981j),(3.941988059245417-1.6484476744667724j),(5.324585599090378-0.15611686600225821j),(0.6866359051635358-1.2250677675602897j),(0.5687327452097584-0.34372290744564776j),(6.105515361949183+2.367426820790557j),(4.168185323152095-1.2027676053989462j),(0.026322825114703283-1.8577469681435526j),(0.24328520416155258+0.04035780777249829j),(0.43377566603394707+0.2205853347248061j),(-0.010786594232995618-0.1385644738583222j),(-0.305990976463876+0.0020090021816465448j),(-0.2807892110934405+0.2559433498259534j),(-0.3083813398202537-0.24706457135291152j),(-0.05393667444830114-0.011066779290256411j),(-0.5580010707324072-0.005574616544321213j),(-0.31416937036218856+0.5163763262680817j),(-0.31407169418740677-0.5001018210511714j),(-0.05234878693013203+0.23841709655865476j),(-0.04858328440177989-0.2492599826501357j),(-0.5558494395853479+0.24987413749659748j),(-0.575810191343744-0.22193463732224866j),(0.1859425199548767+0.0032505750611182085j),(-0.7991967199430412-0.01556413279081211j),(-0.30717179625067037+0.8106303008792785j),(-0.30369997664551057-0.7946736080503074j),(-0.013727516641569508+0.4813192302829911j),(-0.04376336799183072-0.49651617140315285j),(-0.5452737010394343+0.4934152246999003j),(-0.5582178224160413-0.5186022077755621j),(0.17371777714427955+0.21771049737347914j),(0.20055606570577098-0.2354511335308529j),(-0.7778859600948728+0.2508671753390418j),(-0.8167810665985242-0.23379403460395823j),(0.42150027127841205+0.018076241870334044j),(-1.026171596584348+0.06753551301806633j),0.0
0.42,(-20.534278980082465+23.98789645462558j),(12.10640607170865+5.675232721777297j),(4.293868476670875+12.019099345792926j),(-14.206209629690054-19.44956260478941j),(3.6064356764171324-0.5852168929966655j),(0.6308220545000962-1.192818330987003j),(0.3563409709623625-7.113893256042211j),(-8.166985814632186-2.480703133217381j),(-8.33124374563121+1.58157929004636j),(-0.5005884196228692+0.5348052377779242j),(0.6217334198662017-7.090320006124876j),(5.824884080966491-0.9651032009813616j),(0.964679233633916-0.868533497890964j),(0.1627528012475332-0.04828121021865306j),(0.3687307150261519+0.20291812639705184j),(3.9424974906202968-1.6451299041783165j),(5.325081675969128-0.1527972427808834j),(0.687057531725173-1.2216471767223351j),(0.569202378081159-0.3404476902862366j),(6.106008378850136+2.3707406223652043j),(4.168689268772588-1.1994458358873934j),(0.026848356518906095-1.8544232317527567j),(0.24365247426235723+0.04377021670482641j),(0.4342011616235305+0.22394612099629024j),(-0.009523137490736227-0.13555829912620967j),(-0.3056429530927722+0.002173595440982031j),(-0.28079624948150583+0.2554940654650946j),(-0.3082998067112252-0.24694936813217586j),(-0.05389987133948691-0.011097562581026016j),(-0.5580911669378614-0.005262533176882947j),(-0.3140445680426373+0.517009782275716j),(-0.31402855721181483-0.5000758726584634j),(-0.05231138316596463+0.23830528818038413j),(-0.048584968319916724-0.24934338363634756j),(-0.5557638815064568+0.2499738460478737j),(-0.5750993322434991-0.2215768455107262j),(0.18574055994637267+0.0032557788184150852j),(-0.8002293196760007-0.014805485802031688j),(-0.3074892578311948+0.8124713437220694j),(-0.3046957671033373-0.794425795443272j),(-0.0134010330058113+0.48179306956800044j),(-0.04348197686626124-0.49672415119607877j),(-0.5441601622047256+0.4920063667374947j),(-0.5584517546655908-0.5182660198238286j),(0.17367691900739882+0.21713050316466873j),(0.20108826647492672-0.23528862549772225j),(-0.777507488497054+0.2514697213211673j),(-0.8164113234727696-0.23404549806585867j),(0.4211996054410937+0.01853634505509191j),(-1.0264716076515998+0.06653357288595255j),0.0
0.43,(-20.53358053716701+23.991151972799916j),(12.107101521872865+5.67849076959256j),(4.294565004286693+12.022353723884274j),(-14.20551252002342-19.446306366711145j),(3.607136800659465-0.5819696524491458j),(0.6315052328131469-1.189599348704236j),(0.3570342229207506-7.1106387208861905j),(-8.166288648691708-2.4774457431937584j),(-8.330547319060944+1.5848358838639387j),(-0.49987244071488673+0.5380763422009558j),(0.6224294736892697-7.087060333833093j),(5.825578990299132-0.9618477228394319j),(0.9653784192681337-0.8653785060745358j),(0.16437429402078496-0.04540339659707164j),(0.36948190333618325+0.20600201240463417j),(3.9432088297299708-1.6418738224330904j),(5.325779222059692-0.1495386470420763j),(0.6876879374335254-1.218281728329597j),(0.5698671950980368-0.33723002641197625j),(6.106703059580803+2.3739926267397577j),(4.169394339599199-1.196186142393681j),(0.027574260567399388-1.8511651615238796j),(0.2442318053179386+0.047137330379953525j),(0.4348237508496187+0.22723823620692576j),(-0.008064832350478463-0.13272963340756277j),(-0.3052761079911859+0.002314466595400295j),(-0.2808613035380486+0.2550495078707151j),(-0.3082048642958797-0.2468519331177654j),(-0.053850502262068244-0.011122333438200177j),(-0.5581528884873761-0.004936123376502226j),(-0.3138813628916191+0.5176360574793386j),(-0.3139580896396608-0.5000419200358331j),(-0.052269004904395205+0.23820246664564598j),(-0.04859945892689965-0.2494158913226812j),(-0.5556660990401079+0.2500672761564638j),(-0.5743695598484825-0.22129555413131277j),(0.18552843099979432+0.0032443089100177855j),(-0.8012351209202129-0.01391142335845695j),(-0.3077409124944782+0.8144693788611583j),(-0.30559677751175857-0.7940775619886711j),(-0.013067183709838533+0.48233322604524337j),(-0.04320934821523631-0.49690155677740494j),(-0.5431303770258022+0.49050363444026174j),(-0.5586335482107745-0.5178951691179147j),(0.17369156097533273+0.21654677771728048j),(0.20158492300640965-0.235125752109476j),(-0.7770599860184818+0.2521217866164753j),(-0.8160727774997217-0.23435844590393431j),(0.4208513672140909+0.018966746826800124j),(-1.0269497758035346+0.06557666305506155j),0.0
0.44,(-20.532684833074967+23.994334715592455j),(12.10799443140705+5.68167646720132j),(4.2954587800035045+12.025535576701307j),(-14.204618079535617-19.443122883477365j),(3.6080345075027815-0.5787954963140882j),(0.6323828700602466-1.1864514318143593j),(0.3579251549106668-7.107456212453851j),(-8.165394301209012-2.4742610579836084j),(-8.329653350008808+1.5880197475765598j),(-0.49895744879566845+0.5412731821436356j),(0.6233231033287975-7.083873467784045j),(5.82647098849068-0.9586651642885377j),(0.9662663278067314-0.8622982184357733j),(0.16621196811821043-0.0426377837546157j),(0.370413754687778+0.2090208598421865j),(3.944118082122986-1.6386906235320071j),(5.326674431558509-0.14635226520153752j),(0.6885252496392578-1.2149836710867212j),(0.5707253079298694-0.3340794749798124j),(6.1075953637512725+2.377171785642157j),(4.170296533932856-1.1929994328819193j),(0.02849667036039613-1.847983758064878j),(0.24502205330673224+0.05044479383225006j),(0.43563817938664523+0.23045283100908626j),(-0.006426848153651565-0.13008006525686114j),(-0.3048978412335114+0.0024291948139736324j),(-0.28098133427760114+0.254613482686623j),(-0.30810344399007206-0.24677464259907328j),(-0.05378944115865359-0.011144080313176393j),(-0.5581855740622811-0.00460162049632857j),(-0.313678069591802+0.5182472216968149j),(-0.3138613653983581-0.5000165398839205j),(-0.0522234608185421+0.2381069962467108j),(-0.04862213465017149-0.24947589013060437j),(-0.5555576882891478+0.250152792391008j),(-0.5736400981853119-0.22109193374829683j),(0.18530221055169185+0.003218757487851333j),(-0.802184266285538-0.01290889030823259j),(-0.30792006304811076+0.8165782448311997j),(-0.3063873158205296-0.7936645815361553j),(-0.012725794723461649+0.48293348904161437j),(-0.04293066447765533-0.49705463414034334j),(-0.5422183514939006+0.4889200232644153j),(-0.5587590662210357-0.5175084344293556j),(0.1737545259003617+0.2159589178162351j),(0.20205690697369302-0.23494991543172128j),(-0.776559712182459+0.2527931584225005j),(-0.8157734040580116-0.23472140730818009j),(0.42045656003585263+0.01938542591925005j),(-1.02759076099062+0.06465414323328297j),0.0
0.45,(-20.531596359930965+23.99743402226842j),(12.10908032989966+5.684779084476028j),(4.296545364047314+12.02863425009778j),(-14.203530812053181-19.440022836736688j),(3.609124259433472-0.5757049546853377j),(0.6334505078223238-1.1833849132504919j),(0.3590095124487103-7.104356595245411j),(-8.164307227536044-2.4711597579731728j),(-8.328566342744063+1.591120146693431j),(-0.4978482200708784+0.5443848645559161j),(0.6244097807361322-7.080770130219019j),(5.8275555448674154-0.9555661493547579j),(0.9673386247349367-0.8593009976373213j),(0.16824833316530458-0.03999264178367152j),(0.3715234940098048+0.2119679173526841j),(3.945220767194672-1.6355910567510314j),(5.327762995946319-0.1432488465127868j),(0.6895668354781116-1.2117647947801424j),(0.5717741232335948-0.3310053816150369j),(6.108680778574918+2.3802674705565505j),(4.17139137299801-1.1898962053542144j),(0.02961117998624597-1.844889586924853j),(0.24602122709693608+0.05367895524255572j),(0.4366388540456539+0.23358123004325276j),(-0.004624049067779555-0.12761165616095743j),(-0.30451472923679723+0.002515882437218226j),(-0.2811536933411807+0.25418985351553447j),(-0.30800175727280615-0.2467194878742389j),(-0.05371732029133401-0.011165411302931201j),(-0.5581887471484267-0.004264646271477633j),(-0.31343362886118475+0.5188359003258279j),(-0.31373951386635224-0.5000142276835962j),(-0.052176148550669744+0.23801759257594404j),(-0.04864886376001772-0.24952196915300504j),(-0.5554401298146661+0.25022892202887775j),(-0.572928066242057-0.22096646201281553j),(0.18505841886571955+0.0031813491472132915j),(-0.8030508080938421-0.011822135567807056j),(-0.30802132914088515+0.8187576778315951j),(-0.3070539396204445-0.7932189975673102j),(-0.012376423435203947+0.4835889554239298j),(-0.042632751250171935-0.4971889898487093j),(-0.5414536995063799+0.48726855280417947j),(-0.5588249769822863-0.5171225478628898j),(0.17386022180700517+0.21536644699052826j),(0.20251415193857167-0.23474982248131893j),(-0.7760207846752579+0.25345771633618713j),(-0.8155203558982898-0.23512389725127264j),(0.42001590030156616+0.019808353937985294j),(-1.028380376809219+0.06375849947694784j),0.0
0.46,(-20.530320088827285+24.00043966200604j),(12.110354267116456+5.687788331729281j),(4.297819831987431+12.03163951718264j),(-14.202255700054067-19.437016476576897j),(3.6104010489490976-0.5727081412016993j),(0.6347032314107778-1.1804097029219298j),(0.36028252954800816-7.101350281230607j),(-8.163032371983135-2.4681520905093755j),(-8.32729127999465+1.5941267844384392j),(-0.49654998563520897+0.5474009541772951j),(0.6256845017922519-7.077760604833917j),(5.8288276536029215-0.9525608800616682j),(0.9685905193994064-0.8563950729146017j),(0.17046705503976756-0.03747555277324392j),(0.37280778234335993+0.21483632430463648j),(3.94651191818714-1.632585426341182j),(5.329040103988175-0.14023870306716305j),(0.6908093018709051-1.2086364302780859j),(0.5730103426536117-0.32801687841128796j),(6.109954318868393+2.3832694727232995j),(4.172673900942634-1.186886547850669j),(0.030912844521435247-1.8418927785940498j),(0.24722648844651013+0.056826865938179476j),(0.43781984277429886+0.2366149319380136j),(-0.002670994086481226-0.12532694053907745j),(-0.30413252476074615+0.0025731549770941432j),(-0.2813761229962893+0.2537825419190742j),(-0.3079052956862351-0.246688075250148j),(-0.053634530241683145-0.011188554150020182j),(-0.5581621160361832-0.003930210819031197j),(-0.31314760745309683+0.5193952743438783j),(-0.31359371987312074-0.5000473976959624j),(-0.052128054712188655+0.2379333225258062j),(-0.048676004369566477-0.24955292215419114j),(-0.5553147886359953+0.2502943550561758j),(-0.5722484779682389-0.2209189236628547j),(0.18479401903263581+0.003133940926773764j),(-0.8038127083789967-0.01067271212193258j),(-0.30804064726279673+0.8209733117264933j),(-0.30758545614333627-0.7927694231956555j),(-0.012018358652301574+0.48429602959892815j),(-0.04230407728719397-0.49730959103692124j),(-0.5408616428667226+0.485562266791788j),(-0.5588287538969082-0.5167521948564588j),(0.17400464189202164+0.21476881551323052j),(0.20296565335116187-0.2345154852263838j),(-0.77545517934612+0.25409343235388854j),(-0.8153199631432272-0.23555641648857037j),(0.41952981736315675+0.02024949536030173j),(-1.02930559050159+0.0628853441908285j),0.0
0.47000000000000003,(-20.52886146982386+24.003341833896556j),(12.111810813000492+5.690694359713816j),(4.299276774736464+12.034541578320036j),(-14.20079820466765-19.43411362152495j),(3.6118593985583898-0.5698147530469386j),(0.6361356698674792-1.1775352877141467j),(0.3617389287182151-7.098447229848693j),(-8.161575167819011-2.465247869899821j),(-8.325833622947197+1.5970298017501505j),(-0.49506843147238067+0.5503114735368168j),(0.627141786307765-7.0748547367792565j),(5.830281833718077-0.9496591364303412j),(0.9700167650082262-0.8535885400758143j),(0.17285295587150487-0.035093410808956324j),(0.3742627168417674+0.21761911079208707j),(3.9479860821892845-1.62968359152853j),(5.3305004417334345-0.13733170979382436j),(0.6922484955235332-1.205609449530566j),(0.57442996282178-0.32512288393054983j),(6.111410527051636+2.3861680031389754j),(4.174138684838222-1.1839801384493818j),(0.032396180030586946-1.8390030285038566j),(0.24863415200317668+0.059876280392899536j),(0.4391748746568446+0.23954560931006452j),(-0.0005819370294701635-0.12322892574282002j),(-0.3037561569077151+0.0026001611170053365j),(-0.28164675613691376+0.253395527417775j),(-0.3078188308356609-0.24668162604243254j),(-0.05354121991075722-0.011215356242577962j),(-0.5581055738204412-0.0036027126380371774j),(-0.31282019815619844+0.5199190803082845j),(-0.3134252236991733-0.5001263829623523j),(-0.05207975488365545+0.23785360428885283j),(-0.04870040443478853-0.2495677475698908j),(-0.5551829142307103+0.2503479441677361j),(-0.57161424227483-0.22094841052324898j),(0.18450641697030312+0.0030780223085753937j),(-0.8044518388868783-0.009479477023665158j),(-0.3079752707450434+0.82319667804479j),(-0.30797292226207656-0.7923409411666456j),(-0.011650620600703529+0.48505242351326944j),(-0.0419347545008835-0.4974207654100009j),(-0.540463011284534+0.4838142330974845j),(-0.5587686754837523-0.5164100141812069j),(0.17418536452440875+0.21416540040148743j),(0.2034194685499015-0.23423822058628446j),(-0.7748727302072564+0.25468237087136725j),(-0.8151777332875151-0.23601045155811337j),(0.41899845352928816+0.02072080753524747j),(-1.0303545229558864+0.06203341612813873j),0.0
0.48,(-20.527226431948275+24.006131166944215j),(12.11344405767213+5.693487759622513j),(4.300910298550325+12.037331061129304j),(-14.199164265674721-19.431323658546987j),(3.6134933607812503-0.5670340709497814j),(0.6377419959647697-1.1747707314887936j),(0.3633729209655138-7.095656948008443j),(-8.159941537270782-2.4624564774127946j),(-8.324199311247016+1.5998197772818106j),(-0.4934096984551424+0.5531069029530715j),(0.6287756780229107-7.072061932660173j),(5.831912129081064-0.9468702764793467j),(0.9716116586309101-0.8508893615019358j),(0.1753920140426273-0.032852421973050744j),(0.3758838307705787+0.22030919763461337j),(3.949637320136781-1.6268949665141994j),(5.332138192515762-0.13453730445974804j),(0.6938795029269674-1.2026942655693873j),(0.5760282753574198-0.32233210320315325j),(6.113043473147869+2.3889536925563593j),(4.175779814679792-1.1811862452664474j),(0.03405516356646075-1.836229597026806j),(0.2502396853044202+0.06281565622696338j),(0.44069733991416604+0.24236510876420864j),(0.0016291734574452599-0.12132109205615708j),(-0.30338973112271533+0.002596572711799644j),(-0.2819641162835258+0.25303284749107796j),(-0.3077464143895348-0.24670097657547094j),(-0.053437296519095054-0.011247284614318209j),(-0.5580191984006119-0.003285938609509621j),(-0.31245221979448046+0.5204016103561822j),(-0.31323532107605173-0.5002594353043305j),(-0.05203141361477288+0.23777820735773442j),(-0.04871940175449732-0.24956564850725219j),(-0.5550456405346293+0.25038870476712377j),(-0.5710361630342548-0.22105332150568163j),(0.18419346142368817+0.0030147152180333633j),(-0.8049539810753692-0.008258591394364577j),(-0.3078237697600255+0.825405205980128j),(-0.30820964449057603-0.7919551038576694j),(-0.011271960925071666+0.48585715665353585j),(-0.041516537961156834-0.4975262012435732j),(-0.5402742423755424+0.48203754372952257j),(-0.5586438253781387-0.5161065979414817j),(0.1744015532454031+0.2135555054165194j),(0.20388271676154995-0.23391065043164347j),(-0.774281129433848+0.25521068868379526j),(-0.8150983511978648-0.23647847478062342j),(0.41842166406536224+0.021232240683622883j),(-1.0315164487061577+0.061204580390533635j),0.0
0.49,(-20.52542138319578+24.008798720066267j),(12.115247611429027+5.696159563088392j),(4.302714025028225+12.03999902048498j),(-14.197360301507487-19.42865554304831j),(3.6152965181487504-0.5643749591839134j),(0.6395159262054624-1.1721246750836989j),(0.3651782057926146-7.092988490088149j),(-8.158137891523955-2.4597868612772626j),(-8.322394762998101+1.602487727401344j),(-0.4915803823452711+0.5557781805341954j),(0.6305797446075583-7.069391160536419j),(5.8337121084073615-0.9442032362247516j),(0.9733690411984012-0.8483053661467208j),(0.1780713641874509-0.030758104344387745j),(0.3776660935075731+0.22289939637732697j),(3.9514592068120895-1.6242285204743672j),(5.333947036953128-0.13186448766973044j),(0.6956966503572563-1.1999008325081437j),(0.5777998668673122-0.3196530277277749j),(6.114846754783594+2.391617591484444j),(4.177590903385884-1.1785137264559569j),(0.035883233169953024-1.8335813094765747j),(0.25203770877748743+0.06563415420708776j),(0.4423802899037484+0.24506545089335638j),(0.003948693902361921-0.11960739269543363j),(-0.30303652919341223+0.002562584787768791j),(-0.2823271175830818+0.2526985975773326j),(-0.30769137807945707-0.24674657818238777j),(-0.05332242560671807-0.011285425944533635j),(-0.5579032524806261-0.0029830639964287023j),(-0.31204511722726463+0.5208377122045251j),(-0.31302536318632984-0.5004527253236923j),(-0.051982784424389736+0.23770725252519653j),(-0.04873082397034894-0.24954603274484355j),(-0.554903985941813+0.25041581496663534j),(-0.570522939080389-0.2212313626086847j),(0.18385344396486164+0.0029447740239353947j),(-0.8053088261143566-0.0070235204236943575j),(-0.30758603132134615+0.8275822223908972j),(-0.308291178983784-0.7916299332780504j),(-0.01088086268878068+0.48671055604623137j),(-0.04104282589568448-0.49762894738386626j),(-0.5403073816615995+0.48024531483416555j),(-0.5584540923318568-0.5158504915748335j),(0.1746539567684804+0.21293836106362182j),(0.2043615791011881-0.23352670158433708j),(-0.7736859273640447+0.25566863498575365j),(-0.8150856791130078-0.23695394425950406j),(0.41779901719351925+0.02179173789798061j),(-1.0327817959323486+0.0604038284281097j),0.0
0.5,(-20.523453210529276+24.011335982092977j),(12.11721460474614+5.698701242184616j),(4.304681091112677+12.042536938516795j),(-14.195393209249575-19.426117798873403j),(3.6172619832031327-0.5618458655679813j),(0.6414507208228417-1.169605336312868j),(0.36714797119875575-7.090450457935619j),(-8.156171130722418-2.457247536682872j),(-8.320426874763127+1.6050251061913556j),(-0.4895875337935723+0.5583167021778704j),(0.632547077661208-7.066850949922362j),(5.83567486525975-0.9416665296801195j),(0.975282297503071-0.845844249536701j),(0.18087929719249693-0.028815287998446494j),(0.3796039105427574+0.22538240929087344j),(3.9534448308444503-1.6216927775602634j),(5.335920152947811-0.12932182286638713j),(0.6976935038755245-1.197238645542219j),(0.5797386189456988-0.3170939354714379j),(6.116813497188598+2.3941511701884344j),(4.179565086798559-1.175971030209998j),(0.03787328787009679-1.8310665561079824j),(0.2540219957393873+0.06832163824645868j),(0.44421643711968706+0.2476388302785256j),(0.006363286007281872-0.11809225380936779j),(-0.3026990092501254+0.002498915542648385j),(-0.28273506480902316+0.2523969310737964j),(-0.3076563337001769-0.24681849720505394j),(-0.05319603103313026-0.011330486558095994j),(-0.5577581835689353-0.002696652443740733j),(-0.3116009613492033+0.5212227891500846j),(-0.31279675666361345-0.5007103424024647j),(-0.05193320980050094+0.23764121188407974j),(-0.048732988566842134-0.24950851273265323j),(-0.554758853304565+0.25042861558729856j),(-0.5700811642085601-0.22147954691763885j),(0.1834850989929984+0.0028685855384417507j),(-0.8055099748857335-0.005785033369621828j),(-0.30726325928381076+0.8297169518002344j),(-0.30821533153768876-0.7913799210690466j),(-0.01047554037391813+0.48761425625778193j),(-0.04050865968989118-0.4977314132477114j),(-0.5405700825706796+0.47845068669568663j),(-0.5582001702131655-0.5156481938520159j),(0.17494490897935536+0.21231312459216503j),(0.2048612985722184-0.23308160581749554j),(-0.7730905324989665+0.25605055137123284j),(-0.8151427566436956-0.23743130388084052j),(0.41712979409263756+0.022405235142625518j),(-1.0341421464602991+0.059639278039404796j),0.0
0.51,(-20.521329279879314+24.013734871767614j),(12.11933768827573+5.701104709424491j),(4.306804149089497+12.044936724609672j),(-14.193270364636032-19.423718518305918j),(3.61938239849781-0.5594548214655916j),(0.6435391837806628-1.167220509966484j),(0.3692748936797031-7.088051000868181j),(-8.154048643968459-2.454846585779951j),(-8.318303021563457+1.6074238054491288j),(-0.4874386583398794+0.5607143215713251j),(0.6346702927129904-7.064449391786985j),(5.83779301804831-0.9392682488565114j),(0.9773443561987203-0.8435135737711856j),(0.18380526019649202-0.027028115007324736j),(0.38169112347836603+0.22775082937143243j),(3.955586794709887-1.619295816898171j),(5.338050215686398-0.12691743633015293j),(0.699862869327974-1.1947167409487867j),(0.5818377081742818-0.3146628908695115j),(6.11893635319595+2.396546318689743j),(4.1816950236834005-1.1735661947586533j),(0.04001768768406175-1.8286932921169932j),(0.25618547239689093+0.07086867540473135j),(0.446198155192688+0.25007761548884144j),(0.008859916648112417-0.11678057447905071j),(-0.3023788057658288+0.0024068063456179215j),(-0.2831876533612759+0.25213205933663546j),(-0.3076431731095928-0.24691641499408676j),(-0.05305729497731821-0.011382792425456086j),(-0.5575846239785109-0.002428655978358153j),(-0.3111224490902795+0.5215528000694492j),(-0.3125509635925407-0.5010342947029055j),(-0.05188162120024751+0.23758090882731966j),(-0.0487247028713183-0.24945290559208969j),(-0.5546110299334316+0.25042661015887235j),(-0.5697153271755473-0.22179419460477356j),(0.1830876037343774+0.0027861690170852328j),(-0.8055549379833981-0.004551203558418069j),(-0.30685797434342754+0.8318045163960238j),(-0.30798215758931724-0.7912160285038506j),(-0.010053939881284418+0.48857119939453536j),(-0.039910723886955914-0.4978353688225433j),(-0.5410656064368803+0.47666682373636904j),(-0.5578835580067928-0.5155041568769851j),(0.17527832893598183+0.21167887999559426j),(0.20538618006636486-0.23257189985550286j),(-0.7724962115027024+0.25635487183363254j),(-0.8152718007727003-0.2379059833133998j),(0.4164129888983338+0.023076661253614746j),(-1.0355902357617446+0.058922173371398164j),0.0
0.52,(-20.519057436144113+24.015987737746453j),(12.121609032847351+5.703362317761462j),(4.309075366587797+12.047190715403728j),(-14.190999622053319-19.421465362068687j),(3.6216499365973647-0.5572094417853111j),(0.6457736627731524-1.164977567810907j),(0.37155113822775065-7.085797815672683j),(-8.151778309322745-2.452591657679508j),(-8.316031056879137+1.609676154686627j),(-0.48514171641305454+0.5629633501913334j),(0.6369415292216665-7.062194138553891j),(5.840058710030421-0.9370160637624851j),(0.9795476898005782-0.8413207675222614j),(0.186839856590368-0.025400039439738786j),(0.3839210100288612+0.2299971403407176j),(3.957877214731206-1.6170452725894255j),(5.34032939763978-0.12465901717928166j),(0.7021967923458831-1.19234369608681j),(0.5840896061222246-0.31236774482571117j),(6.121207503242004+2.3987953467659957j),(4.183972895729516-1.1713068483700033j),(0.04230825361715429-1.8264690376407144j),(0.25852021784653173+0.07326653588803034j),(0.44831747889006746+0.25237434908153655j),(0.011425857874666052-0.11567772671794663j),(-0.30207672955615056+0.0022880217373007798j),(-0.2836849692662508+0.25190825168092384j),(-0.3076530682287524-0.24703962790884967j),(-0.052905157937751114-0.011442289162643752j),(-0.557383390826845-0.002180415009159533j),(-0.31061290341580716+0.5218242594190257j),(-0.31228950150878154-0.5014245091675039j),(-0.05182653904991656+0.23752751804794686j),(-0.04870526405396148-0.24937923311598145j),(-0.5544611875972021+0.2504094649198469j),(-0.569427811699581-0.22217093292916695j),(0.18266057824238174+0.0026971761587711827j),(-0.8054451357132537-0.0033274083846579414j),(-0.30637401403740716+0.8338459360308964j),(-0.30759396221673535-0.7911456864875892j),(-0.009613738530392803+0.48958563510276126j),(-0.03924734618781185-0.4979419446663997j),(-0.5417928225004219+0.47490691451650574j),(-0.5575065598139359-0.5154207860869009j),(0.17565972086855267+0.21103463801142971j),(0.2059395903636729-0.23199542537399692j),(-0.7719020892023112+0.25658412276576165j),(-0.8154742058548138-0.23837439800863056j),(0.41564730870296285+0.023807937938757674j),(-1.0371199529543162+0.05826688491951041j),0.0
