t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,E
0.1,(-0.00040251682152389314+0.002799890764883606j),(-0.0002421215336257742-5.3820383275108045e-05j),(-5.3953319098863276e-05-1.590331400255284e-05j),(-6.085780424878464e-06+1.742842274431821e-05j),(-5.505907758966026e-06-2.25845037008408e-07j),(-0.00012612693170678524-0.00033404598482248126j),(2.9177388233222985e-07-2.545200043034547e-07j),(-0.00025098891207647354+0.0001264544851636732j),(3.173754662656671e-06-0.0027280191158802016j),(0.0012414619569960953+0.0009628236682003269j),(0.00012415338574052885-4.7636218085943756e-05j),(0.9999877353531983+1.000104941439969j),(0.734504152220463+2.157711429347867j),(0.9917830971509246-0.76774153001817j),(1.3238175885180503+2.598749996579509j),(0.30846657167695973-1.3973188929779687j),(-0.33332743181864677+1.6412554175145206j),(3.2987205640676507-0.06502518714132986j),(-0.17639068113877157+1.9516106972939622j),(0.25793872845207433+0.7109941289040312j),(0.5419778127888197+0.15567824132236938j),(-0.3377494615514178-0.03419013607660398j),0.0
0.11,(-0.0008672630221973935+0.002645381854923807j),(-0.0002522327048432168-8.689944969735419e-05j),(-5.509983209622981e-05-2.7171039331025654e-05j),(-8.67779120756569e-06+1.81663910067734e-05j),(-5.89550917439505e-06-1.204463805755672e-06j),(-8.649688631509115e-05-0.000373087169361887j),(3.718296716757643e-07-2.3552922734202457e-07j),(-0.00028485577016177516+0.00010006045242150476j),(0.0004387959458688009-0.002849564047633978j),(0.0011321321514867406+0.0012364290510846877j),(0.00014008315304586013-3.0128159467259158e-05j),(0.9999858207898955+1.0001145599489638j),(0.7345042743609127+2.157712808513933j),(0.9917837193753325-0.7677406328701809j),(1.3238182458959222+2.5987506192034266j),(0.3084670775042131-1.3973186974243315j),(-0.33332852109498057+1.6412555855997495j),(3.2987200262137937-0.06502526060221656j),(-0.17639156833119665+1.9516113394806025j),(0.2579371686407058+0.7109920982694791j),(0.5419813203226588+0.15567948406474905j),(-0.33774879804044144-0.03419114459902895j),0.0
0.12,(-0.001289923959217744+0.0024307490737461627j),(-0.0002570836168899116-0.00012201488454261408j),(-5.406566481513217e-05-3.9096486423820365e-05j),(-1.14194708693386e-05+1.8520891305700638e-05j),(-6.117427703286927e-06-2.2927288104200227e-06j),(-3.940515023922677e-05-0.00040611199991075913j),(4.5551690046446456e-07-2.0207638253988792e-07j),(-0.00031490844181401227+6.745104205781506e-05j),(0.0009029206088319715-0.0028943253210433357j),(0.0009681464065466361+0.0014938107398463315j),(0.00015322809719404444-9.262839785681723e-06j),(0.9999839811690904+1.0001240279245287j),(0.7345043454629392+2.1577143117016213j),(0.9917844168619592-0.7677396600953896j),(1.3238189364482673+2.5987513370402895j),(0.30846763451022624-1.3973184840448472j),(-0.33332970822869457+1.6412557381173043j),(3.2987194055504907-0.06502534705009169j),(-0.176392553487077+1.951612010883436j),(0.2579355061510467+0.7109899142953237j),(0.5419850652847779+0.15568080191858785j),(-0.3377480699309063-0.03419223651705342j),0.0
0.13,(-0.0016636864795078967+0.0021650176836691395j),(-0.00025649394955514854-0.00015820819976145053j),(-5.0735585605949096e-05-5.1237304853250416e-05j),(-1.4241535296368068e-05+1.8476080147563103e-05j),(-6.152678776360264e-06-3.4571977685840835e-06j),(1.382545641129748e-05-0.0004319618800323027j),(5.409638761789795e-07-1.5355101240051967e-07j),(-0.000340159235571068+2.9501303705360395e-05j),(0.0013795541820676351-0.0028595969387142477j),(0.0007543355220027928+0.0017241456416585872j),(0.0001630080455892317+1.4344054607052682e-05j),(0.999982179690598+1.0001332429212118j),(0.7345043640931805+2.1577159131984094j),(0.9917852045280953-0.7677386415971451j),(1.3238196488166438+2.5987521411353214j),(0.3084682398587537-1.3973182652083227j),(-0.33333097084042823+1.641255878195078j),(3.298718693519784-0.06502544187115095j),(-0.1763936169878531+1.951612703915071j),(0.25793376551231834+0.710987638905942j),(0.5419889780328614+0.15568208663364813j),(-0.33774730398483127-0.03419340217313789j),0.0
0.14,(-0.0019835052446272434+0.0018574807083704477j),(-0.0002504371144034165-0.00019456074708199952j),(-4.508640156304638e-05-6.315152476187215e-05j),(-1.7077093739085585e-05+1.802718679858461e-05j),(-5.98926142038503e-06-4.662875736605686e-06j),(7.17870663737471e-05-0.00044976633888656946j),(6.263698137790874e-07-8.968781021673178e-08j),(-0.0003598238496526433-1.2824210814926562e-05j),(0.0018536411136456962-0.0027455103594569165j),(0.0004971062347507075+0.0019184667993177324j),(0.0001689898162902024+4.0020957175753574e-05j),(0.9999804044642654+1.0001421927041636j),(0.7345043237045381+2.157717598388055j),(0.991786085771209-0.7677375816585584j),(1.3238203717690662+2.5987530293224834j),(0.30846889303398084-1.3973180422067009j),(-0.3333323002233407+1.6412560028281244j),(3.298717883452384-0.06502555081147042j),(-0.17639475255005074+1.9516134114229136j),(0.25793195614625036+0.7109852912180756j),(0.5419930419391983+0.15568331444927855j),(-0.33774650499648906-0.034194637561029674j),0.0
0.15,(-0.002246102730771614+0.0015176989328870398j),(-0.00023904025477440311-0.00023019371800996993j),(-3.7186958524776884e-05-7.439755686248487e-05j),(-1.9861648812183292e-05+1.718051328474965e-05j),(-5.622158258182551e-06-5.8732151096178856e-06j),(0.00013298676523216337-0.00045894303123045785j),(7.100048357036966e-07-1.0566620070673507e-08j),(-0.0003733213719602573-5.847144749393678e-05j),(0.0023110638611904977-0.002555034498285779j),(0.00020444121875436453+0.002069663391242995j),(0.00017088721801036773+6.704042120177591e-05j),(0.9999786685099709+1.0001509552491383j),(0.7345042126361766+2.1577193637505916j),(0.9917870524689456-0.7677364589425028j),(1.3238210942000035+2.5987540062244743j),(0.3084695958405235-1.397317805255061j),(-0.333333701343111+1.641256102878658j),(3.2987169705676687-0.06502568997700658j),(-0.17639596722528086+1.9516141266891687j),(0.25793007236708093+0.7109828475408313j),(0.5419972933906813+0.15568454609441398j),(-0.33774565579240606-0.0341959443257629j),0.0
0.16,(-0.002449969228773283+0.0011555009036151064j),(-0.000222584245782995-0.0002642681438286442j),(-2.7198141073480408e-05-8.453419243813087e-05j),(-2.2533096494613978e-05+1.595343439180333e-05j),(-5.053335508625511e-06-7.050115621528951e-06j),(0.0001958465914173642-0.0004591977374177132j),(7.90209971870846e-07+8.338756316616987e-08j),(-0.000380274280077247-0.00010629685013438533j),(0.002738642891880828-0.0022939757264194994j),(-0.00011410091495377031+0.002172480731476552j),(0.00016856105011776957+9.461911978302028e-05j),(0.9999770097576245+1.0001596987424923j),(0.734504014113524+2.1577212168623316j),(0.991788084979128-0.7677352264916135j),(1.3238218051303803+2.5987550832527306j),(0.3084703524034285-1.3973175334916181j),(-0.33333519283793805+1.6412561630760536j),(3.2987159519736835-0.06502588583359634j),(-0.1763972814002398+1.95161484343084j),(0.2579280933815566+0.7109802413756798j),(0.5420018217888073+0.15568592678757576j),(-0.33774471723136235-0.03419732976365851j),0.0
0.17,(-0.0025953396541943136+0.0007809531034789133j),(-0.00020150066653227454-0.00029598674972011816j),(-1.537155571542443e-05-9.312223140653688e-05j),(-2.5031873040510082e-05+1.4374190754476981e-05j),(-4.291660631714718e-06-8.154065857105888e-06j),(0.0002587095046816339-0.0004505210650378668j),(8.654017389761082e-07+1.9140981442384873e-07j),(-0.0003805066086468051-0.00015507204634720737j),(0.0031241648595329136-0.0019709148671389035j),(-0.00044744681156101007+0.0022235125676539316j),(0.00016201759820448232+0.00012192121043621606j),(0.9999754886478953+1.0001686739856461j),(0.7345037067487854+2.1577231754436474j),(0.991789153202407-0.7677338136234394j),(1.323822493687003+2.5987562779490574j),(0.30847116902535354-1.3973171958419583j),(-0.3333368058882394+1.6412561625442303j),(3.2987148266822435-0.06502617438895217j),(-0.1763987276718631+1.9516155557734787j),(0.2579259844860494+0.7109773670035593j),(0.5420067655444296+0.15568767897729652j),(-0.3377436300009492-0.034198806421310034j),0.0
0.18,(-0.0026833414762192777+0.0004027163421032342j),(-0.00017623888102821542-0.0003247136932293491j),(-1.995897483100824e-06-9.982285502845279e-05j),(-2.7310242932698525e-05+1.2472992377049007e-05j),(-3.3499769943103633e-06-9.152008833210333e-06j),(0.000320164698904715-0.00043307603710018486j),(9.343678155512965e-07+3.126050937851982e-07j),(-0.00037399413934160986-0.00020373292889516525j),(0.0034582606533425366-0.0015943137235112114j),(-0.0007861131488756412+0.002221220386205057j),(0.00015135980314425287+0.0001482393364788564j),(0.999974058593246+1.0001778082795392j),(0.7345032910366149+2.157725215554494j),(0.9917902629809111-0.7677322348476419j),(1.3238231479708575+2.5987575778694127j),(0.308472042294522-1.3973167976048728j),(-0.3333385222179891+1.6412561009725872j),(3.2987135947743975-0.06502656198052306j),(-0.17640029023777032+1.9516162549332061j),(0.2579237700938808+0.7109742646867551j),(0.5420120745224497+0.15568973847396808j),(-0.3377424095093341-0.03420036370788867j),0.0
0.19,(-0.002716614285962428+2.8105996252441277e-05j),(-0.00014731489684587096-0.0003499942544247014j),(1.2584132830150538e-05-0.00010440368229288611j),(-2.933364537105858e-05+1.0285579102876225e-05j),(-2.2469058788394905e-06-1.001704282230835e-05j),(0.0003790313860747266-0.0004072902820994866j),(9.963219548658819e-07+4.458445163050056e-07j),(-0.00036093201272877523-0.0002513597299634797j),(0.0037346948140365463-0.0011734043021028996j),(-0.0011216182206878933+0.0021664205347693586j),(0.00013682810814391561+0.0001729797892319708j),(0.9999726151012224+1.000186856428256j),(0.7345027794076747+2.1577272903793907j),(0.9917914204771221-0.7677305651711606j),(1.3238237565045443+2.5987589529669823j),(0.30847295586666507-1.3973163646255609j),(-0.33334029469612014+1.6412559858373492j),(3.2987122545274103-0.06502704868318043j),(-0.1764019267769942+1.951616927809056j),(0.2579215219532157+0.7109710401082339j),(0.5420175543921479+0.1556919321311425j),(-0.33774110928477996-0.03420196625798666j),0.0
