N,E [H]
1,-107.42162436498378
2,-107.42170453607548
3,-107.42612947731354
4,-107.42635884138687
5,-107.42783945548851
6,-107.43113005324132
7,-107.43221823405155
8,-107.4534993451941
9,-107.45384724455946
10,-107.4538712741194
11,-107.45496614092964
12,-107.45944793418738
13,-107.45947463856999
14,-107.45953437614641
15,-107.46088348271437
16,-107.4610991456862
17,-107.46122821129028
18,-107.46123836283431
19,-107.4714740807413
20,-107.47363148600822
21,-107.47385676699929
22,-107.47389505938162
23,-107.47476980116036
24,-107.47485075468579
25,-107.47556171130317
26,-107.48035883540169
27,-107.48052271828543
28,-107.48063641480023
29,-107.48161285556117
30,-107.48173868830891
31,-107.48420260041875
32,-107.48458794093807
33,-107.4849582425434
34,-107.4862245533558
35,-107.48623597425282
36,-107.49492104974817
37,-107.49515289017349
38,-107.49593664060231
39,-107.4977763060984
40,-107.4987179105112
41,-107.498744022378
42,-107.49884470307906
43,-107.49902107588156
44,-107.50007130245834
45,-107.50059200673569
46,-107.50064230269086
47,-107.5011575611141
48,-107.5031675501905
49,-107.50413450415284
50,-107.50427695186673
51,-107.5051504161506
52,-107.50524540813312
53,-107.50656060926826
54,-107.50669744403662
55,-107.50856468658968
56,-107.50870998342464
57,-107.50964118039307
58,-107.50994473846457
59,-107.51003778133045
60,-107.51007673691751
61,-107.51010484316261
62,-107.51113110334873
63,-107.5141662509924
64,-107.51441250592305
65,-107.51503378435287
66,-107.51593738365474
67,-107.51720755122338
68,-107.51753723806729
69,-107.51778900837662
70,-107.51779122995237
71,-107.51810822870866
72,-107.51843429771381
73,-107.51867362286671
74,-107.51869875384868
75,-107.51878851140549
76,-107.51941669234078
77,-107.51944639592155
78,-107.5204954638497
79,-107.52049852847074
80,-107.52107167854878
81,-107.52129078225838
82,-107.5214878232318
83,-107.52149391740122
84,-107.5215411480269
85,-107.52178653286254
86,-107.5218069809032
87,-107.52197543476137
88,-107.52370797313651
89,-107.523711799132
90,-107.52374114752205
91,-107.52378495088017
92,-107.52379685443377
93,-107.52425830114814
94,-107.52426812780571
95,-107.52467954788612
96,-107.52484659494867
97,-107.52614881306323
98,-107.5261581067389
99,-107.52621106598333
100,-107.52649474346455
101,-107.5265477159542
