t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
0.21,(-0.5989593597866865-0.6332029552965945j),(2.0847791115557245e-05-3.835512450103623e-05j),(6.6831371218162195e-06+5.477014362608336e-06j),(-1.1351472448039065e-06+4.766190769263526e-07j),(7.88717993463054e-05-0.0050312318357641035j),(-0.564729715265815-0.6979409452913342j)
0.22,(-0.8553320179364532-0.12829384098804905j),(-2.0489767617862117e-05-5.666863238358429e-06j),(2.0833640600983315e-06+3.675457807385276e-06j),(-1.2492120153448543e-06-2.783484944931048e-07j),(-0.0014925971695942868-0.0029094560315280696j),(-0.8720964651238906-0.20279889957428424j)
0.23,(-0.7582429046921796+0.43135487643431947j),(-7.912611288037622e-06+2.134380691888763e-05j),(-1.8234865688276375e-07+7.446271913441634e-06j),(-1.663610163941493e-06-4.006461707365193e-07j),(-8.476901005587817e-05-1.9219797407296233e-05j),(-0.8212199184457292+0.3829818321860767j)
0.24,(-0.3252583661118141+0.8295327528656432j),(9.499959186343191e-06+2.2151575804875018e-05j),(2.0431070922017106e-06+1.1974959309158385e-05j),(-1.6726615575906959e-06-6.213679437581477e-08j),(0.004356270306388384-0.0008390176501424253j),(-0.4041194011584123+0.8269884697848804j)
0.25,(0.29697311792870706+0.8590320038267704j),(1.7505436990001262e-05+1.5016633282324741e-05j),(8.22977803301574e-06+1.3847025713202583e-05j),(-1.2276934103560746e-06-5.418585170704035e-07j),(0.0040923265825765-0.00681886553765482j),(0.2327450942783759+0.90592231141452j)
0.26,(0.8074085761072072+0.4382751540795671j),(1.8983577851887194e-05+7.851889474826096e-06j),(1.4983944211469525e-05+9.178790055712215e-06j),(-2.0854088024308216e-06-8.237453119301336e-07j),(-0.0019351386029337811-0.006377412158465818j),(0.7887094178507233+0.5212100194202538j)
0.27,(0.884013733611767-0.24160404611462427j),(1.7370771442545334e-05+2.4676343554104697e-06j),(1.2074706561541681e-05-2.790986132182224e-06j),(-2.1167515126406543e-06-2.4392332574225505e-07j),(-0.00013195609652148885-0.0015409677090011066j),(0.9336468532740609-0.16085955176710365j)
0.28,(0.467865512960114-0.7764731719051766j),(1.2775762426914384e-05-9.31143618588365e-06j),(-7.753997492657894e-07+9.400969131054695e-06j),(-2.184869955865415e-06-3.378678242553274e-07j),(0.0027921061787043776-0.004600107968357863j),(0.5614189090770358-0.7452789515157787j)
0.29,(-0.17286672503547057-0.8743152596211032j),(-2.765680696457239e-05+4.156127282211757e-06j),(2.9846322403403242e-05+7.285147127744973e-06j),(-2.400151927430013e-06-2.333954294925965e-08j),(-0.00013536517003117482-0.007214761287447747j),(-0.08083439226397682-0.9112711169610274j)
0.3,(-0.6876819194478173-0.543134444032356j),(1.6751868378960993e-05+6.395290107836064e-05j),(5.2185107758686525e-06-2.6275045217174672e-05j),(-2.2545289135182117e-06+2.8679178627144744e-07j),(-0.003124326312160512-0.006091023363038133j),(-0.6369599465721292-0.6273078362184936j)
0.31,(-0.8779432511733938+0.009087798343072717j),(7.120284442244546e-05-2.0365147580330557e-05j),(-1.920867103977079e-05+1.0807180885391704e-05j),(-2.0850916432774203e-06+3.0828517769412655e-07j),(-0.004078560954422047-0.003940347075289203j),(-0.8692994696930744-0.08575518810229252j)
0.32,(-0.6872805275497756+0.5492017227088358j),(-2.3411262671642673e-05-6.338601634622001e-05j),(1.116845919919158e-05+2.8125692712819878e-05j),(-2.144493991065952e-06+2.7979053212593306e-07j),(-0.0037557520247521146-0.002131325321644497j),(-0.7320076498795557+0.46522377662562964j)
0.33,(-0.20583415367896774+0.8656132697694251j),(-4.877568190929125e-05+1.01721583621548e-05j),(2.0810599343704666e-05+1.1821967922550145e-05j),(-2.1392930619755754e-06+4.949039998475742e-07j),(-0.002719423937870535-0.0010454311595130845j),(-0.29204927189666635+0.8200682989834721j)
0.34,(0.38623688165173786+0.8150828153278873j),(-4.953245349694659e-06+2.813339699967879e-05j),(1.340555709645494e-05+7.105811073155012e-06j),(-1.912774105823517e-06+3.758050869052259e-07j),(-0.0012523163941644694-0.0008367765199800739j),(0.28814981629589426+0.8285441396786766j)
0.35000000000000003,(0.8320946981543433+0.3798189048377236j),(1.2359674196007637e-05+8.877099352091553e-06j),(6.61459525938139e-06+1.3271184245621662e-05j),(-2.3018522786153244e-06+3.404856401331741e-07j),(7.432416811108583e-05-0.0020648582475565683j),(0.7660311324679807+0.45366879279815386j)
0.36,(0.8824135438423409-0.27360204224406387j),(8.289629964123807e-06-1.3687348812726707e-05j),(1.311266593014397e-05+3.359687536435046e-05j),(-2.1632102952129e-06+7.566951507713483e-07j),(-0.0007982852570150564-0.004593091190804704j),(0.8818175149070622-0.17546677106723346j)
0.37,(0.4620409093561796-0.8107081081956738j),(-2.1750541397017404e-05-1.700399211361229e-05j),(5.1930854669819305e-05+2.6418464629239017e-05j),(-2.0674801398947054e-06+6.677243054425859e-07j),(-0.00474891189029717-0.003801079925714737j),(0.5248411479098505-0.7325033472309481j)
0.38,(-0.22481914081336848-0.9067484129511119j),(-1.898871234934689e-05+8.648525090004835e-06j),(2.9743585075683746e-05-1.4388427476176166e-05j),(-2.148847737521722e-06+7.760758511677632e-07j),(-0.003345758967971901+0.0011351604847942966j),(-0.11876380807589115-0.8787681838697865j)
0.39,(-0.7742799595646528-0.5027775746155149j),(-2.930215383363962e-05-2.53725533611882e-05j),(2.5351639627744482e-05+5.279629909922038e-05j),(-2.1162630429612646e-06+8.998091132087492e-07j),(0.0016466856789253191-0.002097543969830341j),(-0.6649603664749462-0.5580351390726885j)
0.4,(-0.8992395798512793+0.1331288852526931j),(-0.00010017993938601112+4.959919030947596e-05j),(0.0001416033259604468-7.694190149919459e-06j),(-2.091544532286121e-06+9.669794787186614e-07j),(-0.0034084777751343933-0.0065850567630809575j),(-0.8459681022038152+0.009485890316252354j)
0.41000000000000003,(-0.6007212598654776+0.6649860776056433j),(3.306601876783919e-05+0.00013591160006635238j),(3.939340224383662e-05-0.00014767553590150356j),(-2.117940432026184e-06+1.0726487058763893e-06j),(-0.008294037613786963-0.0015859719387564682j),(-0.6378638516613925+0.5313709365241955j)
0.42,(-0.05959068627667519+0.8911888880742608j),(9.162903234414765e-05-5.031361056512528e-06j),(-7.811968821814425e-05-5.848290963867917e-05j),(-2.0820637007597284e-06+1.2455161533595395e-06j),(-0.005594582136614941+0.003380977767480692j),(-0.1749738105294561+0.8146697057736967j)
0.43,(0.5036678117858095+0.7439755541584352j),(-4.268003188112338e-05-2.086598278765582e-05j),(-1.5024152004423573e-05+2.2564397638858817e-05j),(-1.9840870821692356e-06+1.3680004452379717e-06j),(-0.0015055214166868219+0.003241869856823513j),(0.3665086955144806+0.7573561845505811j)
0.44,(0.8655143802248653+0.27072908468877266j),(-2.8511828636367248e-05+7.874557248991595e-05j),(2.8534913901926644e-05-9.502763509499336e-06j),(-1.860664635943393e-06+1.4508505886115115e-06j),(-7.31306209186221e-05+0.0012110829910717436j),(0.7740339376348151+0.3700866576563646j)
0.45,(0.8459616831928929-0.3519108365535102j),(2.3179497137752334e-05+7.337584750913467e-05j),(2.3939434837827782e-05-3.6250641439501836e-05j),(-1.7703862793212685e-06+1.382289884640328e-06j),(-0.00024248453023577754-0.0003196314546546293j),(0.849718579884005-0.21883086020303805j)
0.46,(0.40447087604854354-0.8364535020535924j),(2.7444988457919502e-05+6.562372118522041e-05j),(4.818504346136342e-06-5.864820149117338e-05j),(-1.993759397382228e-06+1.5541467806404625e-06j),(-0.001303186333795643-0.0012099757516220483j),(0.49752546053672186-0.7398337323418765j)
0.47000000000000003,(-0.276723419037703-0.894241653264528j),(5.652423301389328e-05+6.832810455742712e-05j),(-4.668325500365617e-05-6.214279273664482e-05j),(-1.6605642961015556e-06+1.788081079874674e-06j),(-0.003059380972092792-0.0009513985979051699j),(-0.14112820635456919-0.8838243648280198j)
0.48,(-0.8127894402535585-0.4599849236846969j),(9.248058525703183e-05+1.8854003163903848e-05j),(-9.790647324849801e-05+1.2641994925901776e-05j),(-1.7183233818262539e-06+1.6238353799767987e-06j),(-0.004360929462261007+0.0017397618466977465j),(-0.702143580294031-0.5398072810151737j)
0.49,(-0.8978952514094436+0.20803516240220302j),(2.9770351010811987e-05-5.0036231282928275e-05j),(-5.489158755376691e-06+0.00011216070889329217j),(-1.6953198460762093e-06+1.8450951221555237e-06j),(-0.0010313462217583127+0.0049752975169830025j),(-0.8665992086101201+0.07498965058957019j)
0.5,(-0.5308452592546977+0.7410818140424189j),(-6.162512633713182e-05+5.355447588623699e-05j),(0.00012009453375923927-2.732266174554668e-05j),(-1.5373640775189562e-06+1.9388823679059677e-06j),(0.003854526533413051+0.000532921311036138j),(-0.5909394509458631+0.6096543466024732j)
0.51,(0.07469807695718454+0.9030323645936856j),(0.00011783514887565613+0.00017334035384096417j),(-0.00010361323023255382-0.00015794179776169618j),(-1.4230851861586186e-06+1.9847853967615538e-06j),(-0.0022555881120579742-0.005546856685835577j),(-0.07069122133618477+0.8391775137951483j)
0.52,(0.6286236749595202+0.6456437968436027j),(0.00029274873471127485-7.767795916535769e-05j),(-0.0002483659989060393+0.0001494081019227664j),(-1.3375729625115116e-06+2.0226446294982768e-06j),(-0.009597694250547842+0.0015649341392161393j),(0.4611482013019277+0.7000305082922238j)
0.53,(0.8969072696835606+0.10901354713648409j),(2.6405629321249886e-05-0.00029029619082751986j),(7.767697868216029e-05+0.0003057006873890043j),(-1.2696368483641904e-06+2.103716628256918e-06j),(-0.003435053642423963+0.009438210960501268j),(0.79367865887969+0.26924465167831835j)
0.54,(0.7699353620543836-0.4793191540640461j),(-0.00020068497916461234-5.218933272534974e-05j),(0.0002527161245844095+2.185241224028802e-05j),(-1.157485699601295e-06+2.1808185804511573e-06j),(0.004582664109142235+0.005855216500700337j),(0.7957294813883007-0.28584041487145906j)
0.55,(0.28808838126695235-0.8697135347403191j),(-3.6224819555585666e-05+0.00010900030691907341j),(7.308535601282455e-05-0.00011918966215098361j),(-1.0227832579832557e-06+2.2076074790915384e-06j),(0.0038644588286619493-5.892683274009308e-05j),(0.436528989364695-0.7402776750533042j)
0.56,(-0.3632025523934251-0.8549628202933629j),(4.672625580366668e-05+1.4940635724655078e-05j),(-1.787286824101038e-05-2.9580376722244828e-05j),(-9.613664026841145e-07+2.192264444129777e-06j),(0.0004873748889722775-0.0008889580392141502j),(-0.16377609902643517-0.8546903216940673j)
0.5700000000000001,(-0.8548043860528369-0.3832008512477702j),(1.8456767303710764e-05-2.9148042846174907e-05j),(1.2096294266455874e-05+3.395182706035164e-05j),(-9.249450012272565e-07+2.365373779502018e-06j),(-0.0009808895445509787+0.000538935140445928j),(-0.704377645885705-0.5173148922462656j)
0.58,(-0.8830891011577612+0.3080610396949706j),(-1.2155761941733728e-05-4.932514109457793e-05j),(7.827712302128571e-05+4.399558177105065e-05j),(-5.580298042862763e-07+2.301281842554072e-06j),(-0.0008354119186250931+0.0024419531983594046j),(-0.8624359496086004+0.10726686960639001j)
0.59,(-0.4340673517272834+0.8130923221585661j),(-7.384476751468162e-05-4.985749233376682e-05j),(0.0001497592102685241-2.3391416768045456e-05j),(-7.640709373929795e-07+2.229850796063604e-06j),(0.0013018940307751652+0.00408479946206279j),(-0.5482864650535739+0.6494455237615953j)
0.6,(0.20485728615671184+0.8838667381380888j),(-0.0001361080541482583+3.3202186607722796e-05j),(0.00010921217886537145-0.0001775854404406295j),(-5.122980622158419e-07+2.5141501937254537e-06j),(0.00548172222761921+0.002566964811263974j),(0.014713798460503302+0.8319275090659353j)
0.61,(0.7139015285886856+0.5445234924191862j),(-6.333512916789429e-05+0.00017696027162267784j),(-0.0001331607396135823-0.00019733314990625446j),(-2.5757818888436386e-07+2.375095835984839e-06j),(0.006001466813244112-0.004470646491555284j),(0.5316685480861774+0.6217149610041754j)
0.62,(0.8950808617789101-0.024684102376296507j),(0.00014936791541794224+0.00014460896273470018j),(-0.00021380968384205693+0.00010508524937786648j),(-1.9369872837041623e-07+2.2761603297831733e-06j),(-0.0028803160870473246-0.007592526586377857j),(0.7948171993183817+0.15628663325910352j)
0.63,(0.6838055436842583-0.5869931696121407j),(0.0001616627395182159-0.00012151026377684522j),(0.00013625750338557192+0.00021603471363713152j),(-1.663548193367974e-07+2.2473680359176218e-06j),(-0.008036304178573019+0.002434560166270859j),(0.7218667849905245-0.36449924554116353j)
0.64,(0.15291378659289923-0.8964105641419813j),(-0.00013258252088777731-0.0001672401092290695j),(0.00023779592733666209-0.0001547251514418644j),(-1.1905169424482725e-07+2.300583288847456e-06j),(0.002038560237841536+0.008317030380261981j),(0.34213971032352547-0.7372035851125008j)
0.65,(-0.4688698980284104-0.788331214339878j),(-0.00018503353570748524+0.0001302267501226465j),(-0.00012318447911069456-0.00022156153521299285j),(2.4602213431718488e-08+2.3504351021934586e-06j),(0.007665384581451695-0.0008954795313122579j),(-0.2060672667703477-0.7928061189207805j)
0.66,(-0.8815677493322878-0.28351947192912075j),(6.221412351330901e-05+0.0001547277516854737j),(-0.00014910270656004146+7.161692149437973e-05j),(1.6668317935788632e-07+2.297468313158795e-06j),(0.0006609976690733603-0.00551759049070233j),(-0.6802223371931654-0.46469041726643523j)
0.67,(-0.8487596915137416+0.3929713605529553j),(5.213301289847445e-05+1.0314607373873913e-05j),(3.709365913081391e-05+7.710962079804406e-05j),(2.1760354196429595e-07+2.2615873598021195e-06j),(-0.0027051508002845412-0.0014164811784331149j),(-0.8132417444505697+0.11879130493141815j)
0.68,(-0.34754328403562307+0.8690074384931838j),(-3.4108339043780314e-06+2.2655756178439668e-05j),(5.142563781147999e-05-2.6559925840851468e-05j),(3.5274708605828587e-07+2.3178037040960404e-06j),(-0.0009900304702829548+0.0011820856074879825j),(-0.5060989862828451+0.6413125257888429j)
0.6900000000000001,(0.3324778040427056+0.8634516189170648j),(-1.5055128512533877e-05+3.516568914098068e-05j),(-1.2172792589830212e-05-6.677315621067708e-05j),(5.029524720049436e-07+2.0785330993098925e-06j),(0.001304378425230605+0.0012309334553965566j),(0.06503531127211998+0.812298132996462j)
0.7000000000000001,(0.8056104408618744+0.420090099506492j),(-3.3700695100372564e-05+6.347250731874976e-05j),(-9.32288541927222e-05-3.0306565902689744e-05j),(2.4913335271173547e-07+2.2211398447514033e-06j),(0.0031489624521370244-0.0006211595963171543j),(0.577204162479212+0.5583461707133967j)
0.71,(0.8706961423337578-0.1877006002154719j),(-2.332355005421974e-05+0.00012508704666424505j),(-0.00011951076121436204+9.791272968926449e-05j),(7.487626404581185e-07+2.3891531088660303e-06j),(0.003215762534886452-0.004375450877207491j),(0.7912737410837278+0.05959873225813252j)
0.72,(0.5573599522607149-0.6802988224635884j),(5.967127646887828e-05+0.0001775606851759675j),(2.662170411019948e-05+0.00022565844156279845j),(8.906179906042464e-07+1.9689546402072883e-06j),(-0.0010622908024138964-0.008001517021547304j),(0.6564346143574705-0.44491234532576523j)
0.73,(0.020299626583525722-0.8814032885613149j),(0.00019081658170401602+0.00012076699209519633j),(0.0002801218832468024+9.747346420834454e-05j),(7.074965367167161e-07+1.8918189858875412e-06j),(-0.00907749048415645-0.0054399863783519235j),(0.24588935916129023-0.7588983442231297j)
0.74,(-0.5401768066604393-0.7092661495723868j),(0.0001938340814745676-5.468560244506456e-05j),(0.00019529438146836367-0.00024358879512653502j),(6.96855632294375e-07+1.9879401772932085e-06j),(-0.010062803499670168+0.005417976084760509j),(-0.2808019123556288-0.7604111597598049j)
0.75,(-0.8867335739328608-0.19647189796161096j),(1.5777399347853947e-05-8.446496618482756e-05j),(-0.00015179619343129314-0.0001610114664167365j),(8.482888321457352e-07+2.0256940694147547e-06j),(0.0013503181796006318+0.008693058765314794j),(-0.7133027580726251-0.4189070048615184j)
0.76,(-0.8032563676906939+0.45695631056128205j),(3.054271413986653e-05+9.695127636988375e-05j),(-1.0852093736219765e-06+0.00010884656113082237j),(9.432811958452314e-07+1.9067311327425353e-06j),(0.0038063582565010263-0.002172729743291239j),(-0.8312724391129971+0.15377118386432898j)
0.77,(-0.27242942667211983+0.8908486691216784j),(0.00021009463327958174-1.0227222057880705e-06j),(0.00012576457904920246-0.00011939140175037378j),(9.30955563161865e-07+1.910188800759857e-06j),(-0.005616804020726449-0.0016123702772247032j),(-0.5187580524239265+0.6889330385709806j)
0.78,(0.4173280049286621+0.8337856442416396j),(7.030087517671213e-05-0.00012616657262635842j),(-0.00010515543443146223-0.00012261526587867256j),(1.0882447292091197e-06+1.9236324613306893e-06j),(-0.00310546572886047+0.005789100160491047j),(0.09627354821723154+0.8601306734048144j)
0.79,(0.8670797190582653+0.3228533003383668j),(2.270850579563717e-05-2.039028172192656e-05j),(-7.500381256614919e-05+5.193056209775582e-05j),(1.2117934840283278e-06+1.7869198500550235e-06j),(0.002552370050549999+0.0041120469954956385j),(0.6489758267606174+0.5560432828214854j)
0.8,(0.8561760648406606-0.3317478975795347j),(6.951031609292628e-05-1.1126189795297295e-05j),(3.570029141082255e-05+4.392721446454869e-05j),(1.1201769097357604e-06+1.6262570329195195e-06j),(0.0029075516426406984+0.00034199760236420227j),(0.8356572346108236-0.01638069472610798j)
0.81,(0.4406138019952765-0.7981655086057036j),(8.555520207270024e-05-2.67399380840325e-05j),(5.831446067746926e-05-2.8348127388920085e-05j),(1.0592689500461737e-06+1.962423393485934e-06j),(0.0010440172870844725-0.001554269047600429j),(0.6195232186292694-0.5408790231251122j)
