N,E [H]
1,-15.503836058368734
2,-15.50413821340902
3,-15.512487414697649
4,-15.512727011163566
5,-15.515646225777996
6,-15.51899950397681
7,-15.520841619717869
8,-15.521468432214276
9,-15.521478278332111
10,-15.523476785874955
11,-15.52516794093992
12,-15.525278209274465
13,-15.526072497787759
14,-15.526084709670853
15,-15.526891763376284
16,-15.527308868353508
17,-15.528558084552962
18,-15.530604380934571
19,-15.531373683479575
20,-15.532337030118283
21,-15.533032333796577
22,-15.533153868162323
23,-15.53392892253046
24,-15.534376284326575
25,-15.534378531388612
26,-15.535368267101255
27,-15.535368298424363
28,-15.535467512940526
29,-15.536947888337435
30,-15.537000133907872
31,-15.537597810323938
32,-15.538373493284785
33,-15.538773104041448
34,-15.538974399306332
35,-15.539066423718518
36,-15.539085516549882
37,-15.53945162674634
38,-15.539996234147157
39,-15.540381142345518
40,-15.540525859838079
41,-15.540753378009242
42,-15.540797149232372
43,-15.540997959801853
44,-15.541106438335232
45,-15.54139066788054
46,-15.541663498836062
47,-15.541711425466952
48,-15.541772145257225
49,-15.541870834892334
50,-15.542005146207943
51,-15.542156678038058
52,-15.542277617255468
53,-15.542367041269049
54,-15.54250391672893
55,-15.542529472329726
56,-15.542544441937805
57,-15.542588002107443
58,-15.542630195985291
59,-15.542675231298329
60,-15.542791452692725
61,-15.542984747094575
62,-15.543004198268159
63,-15.543048290808306
64,-15.54312744187658
65,-15.543136816032924
66,-15.543212057062075
67,-15.543246552427902
68,-15.543251685590162
69,-15.543311354789445
70,-15.543322129750027
71,-15.543345298739847
72,-15.543424656586142
73,-15.543467323227732
74,-15.543482529632595
75,-15.543503939016174
76,-15.54356181567317
77,-15.543599498804385
78,-15.543599928362145
79,-15.543610671172342
80,-15.543690466687712
81,-15.543740669405137
82,-15.543751597446393
83,-15.543761545436787
84,-15.543789652939525
85,-15.543802759956526
86,-15.543827646966939
87,-15.543858254596602
88,-15.54386610336647
89,-15.543874916059124
90,-15.543891957676529
91,-15.543893796680548
92,-15.543910214064528
93,-15.543913045693282
94,-15.543935510544198
95,-15.543946818000792
96,-15.543958930971023
97,-15.54396623919847
98,-15.543985393163858
99,-15.544000370118344
100,-15.544018907496671
101,-15.54402172128883
