N,E [H]
1,-107.33497518976516
2,-107.35197897762725
3,-107.35471899092359
4,-107.39410097630886
5,-107.3948020682484
6,-107.39742771899458
7,-107.39819167812931
8,-107.39819734741516
9,-107.39819750660358
10,-107.39859222243122
11,-107.39873704778451
12,-107.3987420556653
13,-107.40361097373543
14,-107.40421987778325
15,-107.40519851376574
16,-107.40779175621547
17,-107.40788312963727
18,-107.4086518676801
19,-107.41212569139532
20,-107.41672212348188
21,-107.4167530445899
22,-107.42471119169325
23,-107.42472063645849
24,-107.42562371036037
25,-107.42740487171024
26,-107.4280295418223
27,-107.42933777830854
28,-107.429448812054
29,-107.42959831092985
30,-107.43071113037924
31,-107.43071114865018
32,-107.43086489453229
33,-107.4308832771855
34,-107.43153082100783
35,-107.43231086787766
36,-107.43243612503817
37,-107.4324558084145
38,-107.43285301498634
39,-107.43307567148638
40,-107.4347471485682
41,-107.43568940192098
42,-107.43587734938129
43,-107.43655135614009
44,-107.4375797157423
45,-107.43761056338356
46,-107.43769095870024
47,-107.43920363085262
48,-107.43958872242973
49,-107.44198692981075
50,-107.44212603780514
51,-107.44253880983045
52,-107.44416343385262
53,-107.444319917555
54,-107.444342431543
55,-107.44439354295226
56,-107.44618475076267
57,-107.45850944036546
58,-107.45862317340546
59,-107.45883775280298
60,-107.45954905737311
61,-107.45968429280926
62,-107.46000262088499
63,-107.46000564856392
64,-107.4603272424617
65,-107.46114682869579
66,-107.46132506380486
67,-107.46192862778827
68,-107.46211940815225
69,-107.46642195244878
70,-107.46642397638044
71,-107.46644458558413
72,-107.4670726366396
73,-107.46737963908646
74,-107.46750445817375
75,-107.46930151838555
76,-107.47203607000412
77,-107.47216652577946
78,-107.47284627981162
79,-107.47289120235853
80,-107.47350955257293
81,-107.47369408981153
82,-107.47417016261598
83,-107.47418615561264
84,-107.47425140119852
85,-107.47482731113575
86,-107.47493708170181
87,-107.47500427414741
88,-107.47512510890643
89,-107.47531628922333
90,-107.47558022381018
91,-107.4755871669785
92,-107.47561664006675
93,-107.47638759407786
94,-107.47667595141326
95,-107.4770422635341
96,-107.47772898963818
97,-107.47781408260761
98,-107.47885007569862
99,-107.47938331660018
100,-107.48018390677164
101,-107.48024633586265
