t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
0.22,(-0.2559843182612892+0.10031045400763627j),(0.001427683792848865+5.335350807141493e-05j),(-0.0015823542560387106+0.001818130182556105j),(-0.0001853491812066469-0.00010840909655809648j),(-0.0017394396559144956-0.004592633265420338j),(-0.2521577765171649+0.09523365988129029j)
0.23,(-0.16830221698713704+0.18524689397554978j),(0.0015368715611908605-0.000755155605621858j),(-0.000948853817028104+0.0025781523477047016j),(-0.00022163903270720845-5.7392072156019775e-05j),(-0.003742135360043557-0.00303904398507165j),(-0.16733928072530352+0.17909606674051676j)
0.24,(-0.062286203915423256+0.21913193660877092j),(0.0011804858083039227-0.001652236629059833j),(3.9093791031712274e-05+0.0030975089233027868j),(-0.00024178127349331797+6.147571045105178e-06j),(-0.004672059917912171-0.0007398231002566096j),(-0.06428807501855524+0.21338116722191153j)
0.25,(0.03799586139688537+0.20388740198499367j),(0.0003034373839485754-0.002364938763863574j),(0.0012816871762773064+0.003211934491267339j),(-0.0002414740519025375+7.659426332636835e-05j),(-0.004332868991499092+0.0016615080811220422j),(0.03362610300086821+0.19984951017232086j)
0.26,(0.1137035848961304+0.15085333613892693j),(-0.0009870523818908809-0.0025925566695024697j),(0.002603115320460639+0.0028023639884295183j),(-0.00021851059038925337+0.00014687715840577231j),(-0.0028743763973897796+0.003529924151641108j),(0.108084519023087+0.14937949557921607j)
0.27,(0.15406905046024308+0.07690111618737677j),(-0.0024116073342966473-0.0021037255457226067j),(0.003773664929679589+0.0018299487102113j),(-0.00017325082437286284+0.0002092902379317675j),(-0.0007304623750424498+0.004405750817584367j),(0.14855225941844322+0.07820522367863605j)
0.28,(0.15712305953922898+0.00013220401564526668j),(-0.0035667106364772583-0.000833377655185829j),(0.004547831960218706+0.00035964241480053666j),(-0.00010876461776057203+0.00025645399568641306j),(0.0015130116009258484+0.0041126557932680925j),(0.15296543105858887+0.0037776367307067148j)
0.29,(0.12854563799137125-0.06389414100353188j),(-0.004025727988685013+0.0010544470188782315j),(0.004712234111357276-0.0014348515768882874j),(-3.0609410146866303e-05+0.00028228318719976554j),(0.00327929191681959+0.002783497654895375j),(0.12662521472769217-0.05885515149517114j)
0.3,(0.07922231295107866-0.104754449568702j),(-0.003468838422156901+0.003165483326886853j),(0.004134094654720526-0.0032884926950191027j),(5.3736268953396225e-05+0.0002828233741123098j),(0.004146456740125601+0.0008050568203058376j),(0.07986028959159544-0.09953447414118369j)
0.31,(0.022227868587261744-0.11828904323667871j),(-0.00180459624862706+0.004946906290982944j),(0.0027998705475363824-0.0048838578870727045j),(0.00013571310001176824+0.00025683737328970594j),(0.003942237524358407-0.0012966584077485689j),(0.025150487358406918-0.1140740142282902j)
0.32,(-0.030070747138947532-0.10632141370338286j),(0.0007565636233781796+0.0058208734891919325j),(0.0008346169687314452-0.005906014413722294j),(0.0002066860899101891+0.0002060584715190575j),(0.002769147514732253-0.0029962237808448407j),(-0.02563483509462816-0.10400556988703358j)
0.33,(-0.0682610118568582-0.07528375745182413j),(0.0037066650545218155+0.0053484241464627205j),(-0.001504217083240938-0.006103717099284381j),(0.0002589842414663187+0.00013507096892071264j),(0.0009603021108672861-0.0038970834652094512j),(-0.0633775627164588-0.07528789172575562j)
0.34,(-0.08717430531566205-0.03421249803886521j),(0.006331992348697777+0.003378989774365567j),(-0.0038600316854811682-0.0053449586808120165j),(0.00028683768523935177+5.082990779011279e-05j),(-0.0010167921667832396-0.00381827242375367j),(-0.08294856806401417-0.03642047899957852j)
0.35000000000000003,(-0.08615363402813263+0.007395087405628942j),(0.007877075734527372+0.00014031850876913094j),(-0.005833305293990818-0.0036550720494342697j),(0.000287091107483686-3.8119545255368504e-05j),(-0.0026806623155743612-0.0028229146387401117j),(-0.08348538697986162+0.003577744463220376j)
0.36,(-0.06843524416267333+0.04144143039615972j),(0.007743341455779622-0.003763879395372069j),(-0.007051722032449175-0.0012281378657776115j),(0.00025960220246550806-0.00012262434960130255j),(-0.0036500815903541695-0.0011872345998026612j),(-0.06783507152440041+0.03692898202832583j)
0.37,(-0.039915337335219674+0.06251616354226612j),(0.005671619647619673-0.007458531260161764j),(-0.007241562752771567+0.0015928927597931575j),(0.0002072752248738605-0.0001939836338068659j),(-0.0037263112812981345+0.0006773749736766284j),(-0.04141721647638729+0.058325321975844634j)
0.38,(-0.007633028153779035+0.06847734376814747j),(0.0018575624859424123-0.009986960262679066j),(-0.006286512518012837+0.004366040481903018j),(0.00013572672400563346-0.00024495396222175986j),(-0.0029275150052750125+0.002327384877169881j),(-0.010815152579481131+0.06550223355399182j)
0.39,(0.021709415082074298+0.060342776064397544j),(-0.0030373731039544972-0.010544534213574095j),(-0.004261534925841508+0.006622757128484533j),(5.2627079445224565e-05-0.00027057555896420267j),(-0.0014717152094799672+0.003390044421248706j),(0.017608186429663785+0.05917094374324848j)
0.4,(0.042931655078606135+0.04162578771656783j),(-0.007992456509931727-0.008700161293345438j),(-0.0014335171551983082+0.007950718308506051j),(-3.319827933203248e-05-0.00026871907573496924j),(0.00028373389921729436+0.0036434386264137322j),(0.03883114388682945+0.042430423857342844j)
0.41000000000000003,(0.05310384623599+0.017322885668696848j),(-0.011835767079030324-0.004548393457510533j),(0.0017736749358040526+0.008071863814373845j),(-0.00011279492349928336-0.00024028863950899327j),(0.001929554109209147+0.0030579802530124258j),(0.04987939366188843+0.019848612997103582j)
0.42,(0.05176224345245355-0.007214167183739913j),(-0.01351123772466685+0.0012519329327619951j),(0.004845352852964068+0.0069006005759052694j),(-0.000178105125900102-0.0001890606766137603j),(0.003097973055997629+0.0017932052496709122j),(0.05006271090831134-0.0035750448719404776j)
0.43,(0.04065187480024304-0.027307078302423626j),(-0.012344523677005094+0.007571819672261129j),(0.007262737633534408+0.004570029258194422j),(-0.00022286723044903276-0.00012118391600847661j),(0.0035417711521029344+0.00015363060752265466j),(0.0407750280400076-0.02336925987875281j)
0.44,(0.023110133040806974-0.03971575485057443j),(-0.00824367859282848+0.013027540167415006j),(0.008595113282855733+0.001419517910292472j),(-0.00024328029964506645-4.440818327754865e-05j),(0.003183089504831329-0.0014843493875116671j),(0.024957560498461435-0.03632049709946084j)
0.45,(0.0032487893071230945-0.04304303905092804j),(-0.0017817802823678073+0.01627631845587302j),(0.008580433071432988-0.0020560216218529076j),(-0.00023835689690869164+3.285715524209054e-05j),(0.0021234803022770355-0.0027574312947793375j),(0.006365104155834014-0.040881451735875554j)
0.46,(-0.014896359400509804-0.037757392253881306j),(0.005867253346994332+0.016329667684546308j),(0.007178784044786137-0.005287493846785082j),(-0.0002099277287264927+0.00010253429947560609j),(0.0006151406272165312-0.003393797485194928j),(-0.011212441363879694-0.037233350917755155j)
0.47000000000000003,(-0.028096081251487035-0.02587851424099369j),(0.013136457276963272+0.012813573326752927j),(0.004587556012884419-0.007729783487700813j),(-0.00016230708510721892+0.00015779274995742228j),(-0.000998836003714401-0.003268871280645288j),(-0.024634972873055893-0.02703729914670308j)
0.48,(-0.03442561822423158-0.010421924214024887j),(0.01838108835288913+0.006112100620123271j),(0.0012139515997020823-0.008959096318302271j),(-0.00010167159536070321+0.00019377706591569842j),(-0.0023614542317363495-0.0024277343098384925j),(-0.03189860186238074-0.012956176794554524j)
0.49,(-0.03346961064248799+0.0052720266658899595j),(0.020238574845392775-0.0026469672488468555j),(-0.00239158570749298-0.00875128335411576j),(-3.524101934252884e-05+0.00020806119940071905j),(-0.0031793815967159065-0.0010707060381970382j),(-0.032364129768235224+0.0019435283693768888j)
0.5,(-0.026230336266003355+0.018193404402176608j),(0.017956112747580615-0.011773317755795801j),(-0.0056298455923204475-0.007125894015939066j),(2.962644127689552e-05+0.00020078239336813637j),(-0.0032848458511303704+0.0004937977727176575j),(-0.026717766780892483+0.014793394646649574j)
0.51,(-0.014787334978006028+0.02618736225681465j),(0.011611013797844166-0.019334321200629896j),(-0.007958286722344674-0.004346811685747291j),(8.630375930395686e-05+0.00017445236974552233j),(-0.002669301906123832+0.0019183916143462527j),(-0.01669991945595436+0.023423719491054987j)
0.52,(-0.0017939139083596126+0.028267838568045253j),(0.002167671257639685-0.023554887827011498j),(-0.008988077687091202-0.0008783027906626778j),(0.00012961953079879362+0.00013348650777797634j),(-0.0014823561390077313+0.0028929597297265765j),(-0.004673251258156447+0.026686179045696225j)
0.53,(0.0100827720972032+0.02468359835930904j),(-0.008653582190313997-0.023215884264555783j),(-0.008554350823641924+0.002696162719778404j),(0.00015635038633681105+8.352905190541298e-05j),(3.3618645784471487e-06+0.003211779375583838j),(0.006878187949445433+0.024559052685728316j)
0.54,(0.018670859327328822+0.016746915369263253j),(-0.018681625804566636-0.017965110156437977j),(-0.006746060604062767+0.00577768557402508j),(0.0001654316158255902+3.0675993638128185e-05j),(0.0014536472019265835+0.0028173398456304982j),(0.015823201749092686+0.018036404915391428j)
0.55,(0.02266236520772882+0.006476545789123486j),(-0.025721921486736934-0.008467366288801228j),(-0.003889274248097079+0.007859091114966877j),(0.00015787759883322517-1.9294344275291694e-05j),(0.0025472948284560805+0.0018114787983920522j),(0.020747849811642956+0.008840313975485188j)
0.56,(0.021782975585828455-0.003862718511585518j),(-0.02802394549152094+0.0036515193395239764j),(-0.000486608160286909+0.008615089930360552j),(0.0001364447838681357-6.157989457925e-05j),(0.0030475803967867808+0.0004312514098646956j),(0.021152780774061145-0.0009764117317155249j)
0.5700000000000001,(0.01674623322157421-0.012227587935157005j),(-0.024691496426564263+0.016070889266176912j),(0.002875748812571877+0.007958122868254466j),(0.00010510507639068633-9.282247002009144e-05j),(0.002854820855466655-0.0010053775117711634j),(0.017460393164488434-0.009454678015960888j)
0.58,(0.009017906829138186-0.017179666417870904j),(-0.015943789240041698+0.026210824449868508j),(0.00563544386470349+0.00604929043285134j),(6.841986520345456e-05-0.00011133847890909083j),(0.0020281138888718097-0.002172129899550398j),(0.010845123896376044-0.015098860845906833j)
0.59,(0.0004512211968489893-0.018116186310354516j),(-0.003160865800022788+0.03175750655333408j),(0.007355065280044476+0.0032627244459994976j),(3.0911041998328395e-05-0.00011710574791264966j),(0.0007710579221104044-0.0028091695833054285j),(0.0029323629206139137-0.01712532026245074j)
0.6,(-0.007126044762157761-0.015313171899104696j),(0.011313654816523014+0.03117540212219545j),(0.007797655528372498+0.00011069991873948392j),(-3.4838950239978345e-06-0.0001115350170446264j),(-0.0006160096864680164-0.0027831207303951493j),(-0.004566124561275661-0.015550078705548122j)
0.61,(-0.01228486120771412-0.009785113213586568j),(0.024590197736042093+0.024095758431990844j),(0.006962237833271058-0.0028551971695347242j),(-3.180568938340409e-05-9.708439012325376e-05j),(-0.001806810670271902-0.0021179820169837395j),(-0.010203736682539221-0.011109541188055598j)
0.62,(-0.014254632857209003-0.0030023140428247254j),(0.033801564317075976+0.011489298440213942j),(0.005073301531938541-0.005147114623700397j),(-5.228081195237071e-05-7.679119785860479e-05j),(-0.0025268975342134493-0.0009889419188734926j),(-0.013067590918415998-0.005041717245355161j)
0.63,(-0.01302168501175482+0.00346471679859091j),(0.03671320293791362-0.00443254916210461j),(0.002527512922972625-0.006427597554355343j),(-6.433863645260592e-05-5.379971755215862e-05j),(-0.002619744002305023+0.0003204712214256904j),(-0.012914774654571365+0.0012174405917787946j)
0.64,(-0.009256491502699474+0.008292123161850355j),(0.03224799231047312-0.02058952402345468j),(-0.0001902076669136438-0.006563113709260105j),(-6.846468833851887e-05-3.095342933798231e-05j),(-0.0020845509253136878+0.0014883317855009866j),(-0.010157211298945009+0.006353504065239963j)
0.65,(-0.0040977701554037686+0.010665484636356356j),(0.020805682409241844-0.0336203438232202j),(-0.0026030747464475825-0.005635090339050564j),(-6.59379145493697e-05-1.0500312352902137e-05j),(-0.001075559280172338+0.0022345530108283445j),(-0.0057085788595286355+0.009440297825334306j)
0.66,(0.0011480745138261108+0.010406298200940132j),(0.004291545764691478-0.04057778817700035j),(-0.004331201726860353-0.0039083719012902515j),(-5.8510438603050906e-05+6.065643135249162e-06j),(0.00013792409192106038+0.002391299302213699j),(-0.0007360541771617747+0.010099652230528004j)
0.67,(0.00531836301556215+0.007943359466768798j),(-0.014176886543528687-0.039591129292029265j),(-0.005155170048090772-0.0017657882720256781j),(-4.8087038319693815e-05+1.802863554497164e-05j),(0.0012416396531554456+0.0019451401987059678j),(0.00362220719741632+0.008526475133408184j)
0.68,(0.0076433265854391145+0.004147081039778285j),(-0.030848991058252437-0.03034856087097904j),(-0.005042810331801988+0.00037556688316340214j),(-3.645205829622649e-05+2.536359267621211e-05j),(0.0019589158762195386+0.0010389272666800297j),(0.006507408244968579+0.005382620344439665j)
0.6900000000000001,(0.00787906105896534+7.642011982202839e-05j),(-0.04210406408377527-0.014278659143277098j),(-0.004136223660766986+0.002147670387200754j),(-2.5074350163802885e-05+2.8573550174643405e-05j),(0.002123698769855818-6.822078325404801e-05j),(0.007502479898828938+0.0015940155727669257j)
0.7000000000000001,(0.006301527637012748-0.0032936228570674933j),(-0.04524593009739319+0.005635241671275678j),(-0.002704864389071116+0.0032970491194328063j),(-1.5002154776154307e-05+2.849276253748102e-05j),(0.001723680839125468-0.0010729170303821391j),(0.006675802782286648-0.0018927359231551855j)
