t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.0,0j,(0.2597860750000467-0.5063673534163288j),(-0.29764765237856894-0.3243407621234067j),(0.2739618766158829-0.10349763978106853j),(0.48581853078363657-0.1418041371312456j),0j
0.01,(0.0001851205529263574-0.01499098010034458j),(0.2712984640676632-0.5204077365579146j),(-0.29414663820583736-0.345413971590981j),(0.27739265943995484-0.11094568355932383j),(0.49036582679954976-0.1452050916382759j),(0.0001851205529263574-0.01499098010034458j)
0.02,(0.0007410223965422306-0.029957843440822255j),(0.282949934879004-0.5345686193825907j),(-0.29055967238653696-0.3665035915461254j),(0.28105733969111657-0.11832280978588396j),(0.49500833146953355-0.14855748617413733j),(0.0007410223965422306-0.029957843440822255j)
0.03,(0.0016692448783517866-0.04487653502233107j),(0.2947256513739385-0.5488442122056992j),(-0.2869066722688025-0.38759682403033235j),(0.284950865447685-0.1256086771006416j),(0.4997406451348496-0.1518463023968128j),(0.0016692448783517866-0.04487653502233107j)
0.04,(0.0029720925593044803-0.05972311768772027j),(0.3066097557210519-0.5632286785185989j),(-0.28320811381579664-0.4086808229485275j),(0.28906710941627184-0.13278329906466932j),(0.504556689659001-0.15505681721070108j),(0.0029720925593044803-0.05972311768772027j)
0.05,(0.004652276060153862-0.07447381846127138j),(0.3185853518596404-0.5777161359928381j),(-0.27948493417479486-0.4297426458892869j),(0.29339889858889606-0.1398271043089736j),(0.5094497436091282-0.15817466909674027j),(0.004652276060153862-0.07447381846127138j)
0.06,(0.006712468348319568-0.0891050641341381j),(0.33063449572622966-0.5923006581252839j),(-0.27575843057449956-0.45076920119937314j),(0.2979380558325531-0.1467209952829639j),(0.5144124836617867-0.16118592242173238j),(0.006712468348319568-0.0891050641341381j)
0.07,(0.009154823733638408-0.10359350833569642j),(0.3427381928448113-0.6069762768350448j),(-0.27205015619477757-0.4717471926397311j),(0.30267545264499446-0.15344640644784546j),(0.5194370331507462-0.1640771300378432j),(0.009154823733638408-0.10359350833569642j)
0.08,(0.011980506736949283-0.11791605495953975j),(0.35487640404238024-0.6217369862749843j),(-0.26838181356111396-0.4926630641867184j),(0.30760107160041683-0.15998536200480443j),(0.5245150164737555-0.1668353931081435j),(0.011980506736949283-0.11791605495953975j)
0.09,(0.015189272021321074-0.1320498844503983j),(0.367028060134564-0.6365767480668144j),(-0.2647751459807243-0.5135029476358398j),(0.31270407748180734-0.1663205339999585j),(0.5296376187457814-0.16944841770133995j),(0.015189272021321074-0.1320498844503983j)
0.1,(0.0187791264440951-0.14597248966712267j),(0.37917108649366765-0.6514894981136228j),(-0.26125182755404497-0.534252615640353j),(0.3179728958458452-0.17243530099565538j),(0.5347956504128186-0.17190456791311998j),(0.0187791264440951-0.14597248966712267j)
