N,E [H]
1,-14.70765355264177
2,-14.70968174068838
3,-14.711648705413365
4,-14.712133595383024
5,-14.712208224946659
6,-14.71263381439467
7,-14.713090144877524
8,-14.713413818529524
9,-14.7134261614364
10,-14.71375109765952
11,-14.713780519228205
12,-14.71400925537958
13,-14.71484436755848
14,-14.715574822890252
15,-14.715695608047831
16,-14.716431629645513
17,-14.716549139055102
18,-14.716766522836839
19,-14.716925501166422
20,-14.717213110006469
21,-14.717663115981306
22,-14.717847281885426
23,-14.718191307087139
24,-14.718274840023746
25,-14.718431267314898
26,-14.718458352438404
27,-14.71856308944789
28,-14.718763449226202
29,-14.720494802786977
30,-14.72051562151495
31,-14.72059555386957
32,-14.720617775075505
33,-14.720765225889986
34,-14.72076522628811
35,-14.720874241018752
36,-14.720905745731551
37,-14.721322717914358
38,-14.721424392720754
39,-14.722212704162908
40,-14.72250227145218
41,-14.722571305261278
42,-14.722572164754588
43,-14.722607311150897
44,-14.722955336722109
45,-14.723130302188817
46,-14.723429815467334
47,-14.723593948971317
48,-14.72360044374822
49,-14.723789256792301
50,-14.724433878975244
51,-14.724438396975652
52,-14.724823380439833
53,-14.725001176490206
54,-14.72520244120531
55,-14.725217222998062
56,-14.725905077485667
57,-14.726572390380069
58,-14.72658311532279
59,-14.726589141774593
60,-14.726850611644998
61,-14.728192812909633
62,-14.72821108875951
63,-14.72838050360873
64,-14.728469122852852
65,-14.728628823745714
66,-14.728723532942197
67,-14.728911824541104
68,-14.729024856072547
69,-14.729047077456444
70,-14.729141289172336
71,-14.72966537846449
72,-14.729711201356874
73,-14.731143273115348
74,-14.731349961357186
75,-14.73146209348721
76,-14.731762006330564
77,-14.73184834135872
78,-14.732103858585454
79,-14.73222181921323
80,-14.732334542973115
81,-14.733047766165841
82,-14.733059301369781
83,-14.733140441349782
84,-14.733247340779759
85,-14.733584047601632
86,-14.733865422246364
87,-14.73388660932137
88,-14.733888025309389
89,-14.733959963135597
90,-14.734064526361301
91,-14.734558715963528
92,-14.734565995505866
93,-14.734901193876734
94,-14.734903689875024
95,-14.734929283010409
96,-14.734947719953187
97,-14.734982155576173
98,-14.735015004611066
99,-14.735188054875504
100,-14.735200104778613
101,-14.735204226931979
