N,E [H]
1,-195.8993074235733
2,-195.92027269201444
3,-195.9238569126138
4,-195.92869933460494
5,-195.93040457288618
6,-195.93040519986522
7,-195.93126399147835
8,-195.93137254311648
9,-195.9315347684674
10,-195.9321132341506
11,-195.93317979384238
12,-195.93327357908117
13,-195.93339197378995
14,-195.93340766169933
15,-195.93342410554675
16,-195.93344219637157
17,-195.93350258475587
18,-195.9338145064648
19,-195.9339512837388
20,-195.93407745277267
21,-195.93408083949046
22,-195.93411693735243
23,-195.93418151457496
24,-195.93440924942809
25,-195.93456829382487
26,-195.93465532989475
27,-195.93466841740988
28,-195.93475676781915
29,-195.93482823679312
30,-195.9349269626111
31,-195.93495837607523
32,-195.9350265162505
33,-195.9351310712941
34,-195.93518261986262
35,-195.93519161161714
36,-195.9352285454061
37,-195.93524513829163
38,-195.9352597012524
39,-195.93526231680048
40,-195.9352851398208
41,-195.935286754244
42,-195.9352914430178
43,-195.93529781237106
44,-195.9353000552266
45,-195.93530176772038
46,-195.93530531213528
47,-195.9353061420056
48,-195.93530681896664
49,-195.93530913521175
50,-195.9353185086512
51,-195.93532102147233
