t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B02_A_0000
0.1,(0.8538925873483278-0.41843176344594646j),(-0.005473762023763973-0.0018675856735562058j),(-0.022392317979408678+0.023426199478714663j),(-0.00014900822821442236-8.297653948036832e-05j),(-0.019852442677146125+0.0034717889557759844j),(3.2123801101721706e-05-0.0002932619362509335j),(0.00018973006305988472-5.611923043390644e-05j),(-0.0007445263883084487+0.003670493732406878j),(0.003538059440920979-0.001760851596581555j),(0.8237171894027114-0.36980349436116633j),(0.00014136363907261176-7.648833886534609e-06j),(0.00010466493117238616+0.0014963791344313234j),(0.0028819676081803447-0.0020843840292398205j),(0.0004172572908565077-0.0010380322745695146j),(0.8324408733045868-0.3650470941154973j)
0.11,(0.8224857287981487-0.45654941211362937j),(-0.0062007499111645945-0.0018318143998485243j),(-0.022670522460893815+0.03010967969225735j),(-0.0001787432278147093-7.483823554236875e-05j),(-0.023421813741948804+0.007009372927654286j),(3.6816216449618735e-06-0.0003559720922936057j),(0.0002238539929742712-6.60250201022632e-05j),(-0.0008088418270771874+0.004560834428428418j),(0.004318301609934398-0.0023419285095830204j),(0.7938357346539446-0.3931531743586161j),(0.00016603047758791887-2.5204396530966687e-05j),(0.00031639304639623705+0.0018164953156505825j),(0.0032984895214941703-0.0027635818302667436j),(0.00042223881577717765-0.001258717847839016j),(0.8062634457121375-0.3872796933475477j)
0.12,(0.787809233219451-0.49305519651054186j),(-0.0068682595225470645-0.001765090942927606j),(-0.021824185787502327+0.03701347379424923j),(-0.0002064762877365107-6.120745894802856e-05j),(-0.026715457174211595+0.011393647876004848j),(-3.536153604542475e-05-0.0004187094966569252j),(0.000258881213034937-7.406621771882317e-05j),(-0.0008768315709107671+0.005535642161542759j),(0.0051666897340604-0.002998545182501711j),(0.7629307652472902-0.41397248537404424j),(0.00018944405650788787-4.5666357174402216e-05j),(0.0005933781834321734+0.0021315966395974097j),(0.0036988636307468867-0.0035076853243368386j),(0.00041917434057517887-0.0014834149301619622j),(0.7797372674557954-0.4069765651117173j)
0.13,(0.7498843959554224-0.5280438324298746j),(-0.007501139092281229-0.0016492199544663505j),(-0.01968848847799135+0.04416316652423033j),(-0.00023197511028926523-4.1360401890899476e-05j),(-0.02957397174042868+0.016743946915531237j),(-8.759473970234009e-05-0.0004796056839055592j),(0.0002948146241352959-8.242648201695996e-05j),(-0.0009024872593081041+0.006609623917545058j),(0.006061602040736429-0.0037782331774206803j),(0.7316495908266322-0.43233694264301764j),(0.00021112049064140194-7.168153644515661e-05j),(0.0009620328505467637+0.0024257785378090503j),(0.004038504858810725-0.004383250205510281j),(0.00038954756598544695-0.0017284037289541326j),(0.753052257465715-0.42428307867049453j)
0.14,(0.7089156191857784-0.5608277744564318j),(-0.00806845493484676-0.0015179908804962327j),(-0.01634373690321912+0.05110817376453035j),(-0.0002532646158373574-1.6875865597402004e-05j),(-0.03181302428676464+0.0228614542281749j),(-0.0001507612727025541-0.0005360133708051383j),(0.0003310145968141456-8.870761449459504e-05j),(-0.0009226534192468477+0.007763181855706153j),(0.007010482263456681-0.004641696373518413j),(0.6998308660929137-0.4483737809539993j),(0.0002305949208226286-9.999822464713484e-05j),(0.0013975318731514912+0.0026858518203883293j),(0.00434633230417724-0.005320080756697953j),(0.00035258293794513-0.0019750508411593517j),(0.726462796286602-0.4394021703455828j)
0.15,(0.6649589549682696-0.5913935900557215j),(-0.008593625150530245-0.001355834460300426j),(-0.01169296887916426+0.05780755703599584j),(-0.0002700282568141429+1.249785224969547e-05j),(-0.03325497946683432+0.02976997793126133j),(-0.0002263865258229927-0.0005853389862112205j),(0.000367484598027334-9.529934952350557e-05j),(-0.0008841320958160677+0.00900470894190191j),(0.007980164506570261-0.005636114917113875j),(0.6675922111282668-0.4622072456859132j),(0.00024750535692254374-0.00012944825747708053j),(0.0018881229531374703+0.0028988302325507692j),(0.004624981428434248-0.006295065867400125j),(0.0003133944542431124-0.002217405146263887j),(0.7002877260777136-0.452594343517901j)
0.16,(0.6183701231396821-0.6191572081063356j),(-0.009054782692912003-0.0011918725371088464j),(-0.00591380804313395+0.06388703648305302j),(-0.00028104553952189103+4.482307512374704e-05j),(-0.03378280261860152+0.03723368984244196j),(-0.00031156052722457124-0.000625733522255515j),(0.00040373558108385563-9.998877962787123e-05j),(-0.0008261638874116469+0.010318162593812737j),(0.008983126676714259-0.006722267651114125j),(0.6354787755850797-0.4739633658743294j),(0.0002609940536198119-0.00016235680877135485j),(0.0024443676840299284+0.0030442509043926186j),(0.004818290051261753-0.007364318025015691j),(0.00025133443800166996-0.002470650221902377j),(0.6749103506128575-0.46417766862758314j)
0.17,(0.5692917202015402-0.6440238769466405j),(-0.009473363374349399-0.0010133919289591657j),(0.0010019747621912729+0.06927014702620896j),(-0.0002861332419058268+7.990544509638129e-05j),(-0.033246063045880514+0.045182247496213856j),(-0.00040651372571935543-0.0006545033502798983j),(0.00043982629157071347-0.00010513137751189653j),(-0.0006934385751091148+0.011705327063734961j),(0.009978237436468588-0.00794244924272666j),(0.6033371035824414-0.48374676861976224j),(0.00027155878973340755-0.00019586904803903848j),(0.003040667820872362+0.003121655177141984j),(0.004967961464155765-0.008469155248642005j),(0.0001859214752113802-0.0027199036243005675j),(0.6504707372802873-0.4743986721529261j)
0.18,(0.518172741623624-0.6655653877866599j),(-0.00983472743533404-0.0008433245784802445j),(0.008823686872510096+0.07368691100110443j),(-0.00028483680489200803+0.0001158235696540825j),(-0.03159891180547039+0.05337689498646522j),(-0.0005081128811597127-0.000670715819339965j),(0.0004754203982968837-0.00010881040119260321j),(-0.0005238513922502214+0.013154544185879384j),(0.01098101842801181-0.009261051699732683j),(0.5712337239456052-0.491680862291178j),(0.00027930906613567066-0.00022886039179355886j),(0.003660187840549477+0.0031275617474272378j),(0.005083431762489959-0.009586922781381093j),(0.00012292347400259557-0.0029602600928726533j),(0.6266879928997539-0.48327001728851954j)
0.19,(0.46525880366290817-0.6836661588270367j),(-0.010158028282119846-0.0006714058504922801j),(0.017475648430818946+0.07706346038624183j),(-0.0002772594778265105+0.00015210404348868156j),(-0.02875215221296957+0.06168210802424209j),(-0.0006154594296175249-0.00067220667796796j),(0.0005106442291936187-0.00011313524986943407j),(-0.00026545323546707083+0.014662134075805687j),(0.011947761194220117-0.010712173596267008j),(0.5397074875175357-0.49790324621122356j),(0.00028291547671092406-0.00026406835923953564j),(0.004304609664990032+0.0030428204772510754j),(0.005086286447102751-0.010778139162210779j),(3.419470208271871e-05-0.0032102212739122124j),(0.603483756835436-0.4908582412084277j)
0.2,(0.41101460159984293-0.6980709807511548j),(-0.010435651681126678-0.000513040033730094j),(0.026722310873766187+0.07924050942893725j),(-0.0002635603749060021+0.00018717841976896414j),(-0.024715386587786353+0.06988389457200721j),(-0.0007256524951098889-0.0006587522602467112j),(0.000545339794191363-0.00011675665067823093j),(5.3778911682957886e-05+0.016220967546634314j),(0.012890657603572234-0.012270179244218351j),(0.5085034908381413-0.5025067914560591j),(0.0002837169656931204-0.0002983148680429961j),(0.004949093436261101+0.0028808746433635246j),(0.005043521165685122-0.011976780279159759j),(-5.38537627793197e-05-0.0034524931114353753j),(0.580841431160355-0.49727235854976815j)
0.21,(0.35585362575515095-0.7086756477348313j),(-0.010669426349547968-0.0003730112672745116j),(0.03637743068232248+0.08014393469612897j),(-0.0002441629689307051+0.0002200245289917035j),(-0.019510257976348443+0.07780951413716204j),(-0.0008365185643193875-0.0006300983342634092j),(0.0005794757626377746-0.00011947708661830287j),(0.00043061521079784416+0.017826603303810928j),(0.013806243035557214-0.013928764548540935j),(0.4778390979960934-0.5056128083791317j),(0.00028134681417226034-0.00033212246865183974j),(0.005583173010867492+0.002639580877248579j),(0.0049295862039989155-0.013192754913536352j),(-0.0001499740409560426-0.003692099610521023j),(0.5588054144390536-0.5026636111320283j)
0.22,(0.30003240739299175-0.7153934765983169j),(-0.010899338715395869-0.00022206492125155573j),(0.04632374778452342+0.07977339617790503j),(-0.0002196108436617209+0.0002507933923065666j),(-0.01308741867205576+0.08528261744660076j),(-0.0009468049040616475-0.0005838589692055079j),(0.0006135055463577131-0.0001259656565516837j),(0.0009853045588596506+0.01946123517705582j),(0.014588259922963273-0.015755781921197986j),(0.4476646070978656-0.5073257090401633j),(0.0002765822351728304-0.0003641950744926079j),(0.006193876964788319+0.002328264881604782j),(0.004775416908320754-0.014398154264732597j),(-0.0002429389713048222-0.003921906652272865j),(0.5374811017275952-0.5072254679570657j)
0.23,(0.244074799086852-0.7181574905375122j),(-0.011101127593379334-8.800702841659557e-05j),(0.0562977407040881+0.07806383194546011j),(-0.0001905401556431379+0.00027789925014059586j),(-0.005572549533854324+0.09213021731195233j),(-0.0010534158369106704-0.0005220245618273445j),(0.0006471855907974892-0.00013267449179737146j),(0.001632826794505458+0.021126566444238534j),(0.015298759222932185-0.01769239903342706j),(0.4181657433500498-0.5077719997415495j),(0.0002690981857853567-0.00039510085205113083j),(0.006772983608236574+0.0019486971587386658j),(0.004557730966699521-0.015601213505927266j),(-0.0003414699128854777-0.004146302333176181j),(0.5170348845735644-0.5111936252091075j)
0.24,(0.18839452559715017-0.716978302942478j),(-0.011282576451518818+3.229981411593505e-05j),(0.0661066462470109+0.07504049901384327j),(-0.00015766597641090092+0.00030081489386994973j),(0.0029456407811771813+0.09818964865630293j),(-0.0011541937302570833-0.0004450515710587695j),(0.0006805477938383398-0.00014015394677322737j),(0.0023901654963666527+0.022811090794401814j),(0.015913912116534288-0.019739059075611336j),(0.38935463391095704-0.5070540696403087j),(0.00025934691274981495-0.0004243207522703664j),(0.007312264746668554+0.0015090319994623277j),(0.004289883677227448-0.016789114869759085j),(-0.0004412764982366443-0.004362584612993044j),(0.497491650984345-0.5146981109457897j)
0.25,(0.13335869647503032-0.7118963476453397j),(-0.011464236039907316+0.00015444301174934475j),(0.07559497333746995+0.07077480820275961j),(-0.00012174969289938362+0.00031949431059068054j),(0.012369915085709678+0.10330867013068395j),(-0.0012472215049190466-0.00035288609702943766j),(0.0007137747834798404-0.00015077951377909574j),(0.0033213928088819005+0.024493905102329513j),(0.01636735532036035-0.021920228093503427j),(0.36119405339041394-0.5052758144999719j),(0.0002480496092305711-0.00045111408056091397j),(0.0078058219045835375+0.0010194667306777634j),(0.003997288696476101-0.017944447830232014j),(-0.0005339475164123081-0.004566172642396085j),(0.47848229656235636-0.5175653623824341j)
0.26,(0.0793375418545604-0.7030432417850985j),(-0.01162577891040005+0.0002559648244775735j),(0.0845999240592116+0.06530264988828831j),(-8.360999831072145e-05+0.00033312550192135656j),(0.02255567780935084+0.10740853922233823j),(-0.0013306638881241954-0.00024791263032096424j),(0.0007467356167241337-0.00016158539658920443j),(0.0043507543982462486+0.026184081554224786j),(0.01672105458306268-0.024189767817415296j),(0.33404422578804577-0.5025545157218918j),(0.0002336878352097979-0.000477606120167321j),(0.008247420194278939+0.0004791733050066363j),(0.003597494545875208-0.019104385224194255j),(-0.0006491286118433521-0.004771321796419722j),(0.4600010442161719-0.5198743200788981j)
0.27,(0.026674396827447766-0.6905563332590986j),(-0.01178756793923945+0.00035695721098665217j),(0.09299708416084623+0.058743434432664665j),(-4.400466262790882e-05+0.00034195530036771715j),(0.0333643933399147+0.11038332751125891j),(-0.00140291115165215-0.0001307253666128133j),(0.0007794246230244035-0.00017511689385445766j),(0.005545034309142664+0.027853632830913595j),(0.01690215754318683-0.026567400295664373j),(0.3077137425838057-0.49896857238943754j),(0.00021764397459964467-0.0005022394951615486j),(0.008634046496752035-9.879679584145168e-05j),(0.003149294390059588-0.02023712910395409j),(-0.0007668603298973928-0.004968221096132372j),(0.44210334305178023-0.5217493567505068j)
0.28,(-0.024355319677109764-0.6745991816716944j),(-0.011941961117334322+0.00044620426247634075j),(0.1006714426333362+0.05116881315848743j),(-3.6851311731363477e-06+0.0003457384426608928j),(0.04466615205794371+0.11217984972618847j),(-0.0014627453780936008-3.215994860110785e-06j),(0.0008119252868076433-0.00019001362471131192j),(0.006870092077289708+0.029507338156766278j),(0.016938054292521185-0.029031539480999038j),(0.2821520735756059-0.49460659623037073j),(0.0002004728238318815-0.0005245024792903805j),(0.008963892658351789-0.0007048660140294843j),(0.0026734327463975313-0.021329821609027678j),(-0.0008808688022308932-0.005154058796189961j),(0.42488712750024216-0.5233468772285689j)
0.29,(-0.07344168502571892-0.6553755899191884j),(-0.012101731998448318+0.0005387694303798677j),(0.10752359572262835+0.04271634313450073j),(3.665418263754657e-05+0.00034477430044845377j),(0.05629499861119097+0.112744519765234j),(-0.0015089471696869675+0.00013320905400715386j),(0.0008439621123892486-0.00020784820176669402j),(0.008365744532452112+0.03111648509633526j),(0.01677706126057011-0.03158241173659651j),(0.2576343036713222-0.4895637092811865j),(0.00018076520122407424-0.0005460503752629802j),(0.009232680893613811-0.0013359773448046413j),(0.0020963780783717404-0.022409716173267674j),(-0.001017558013184797-0.005340545809990038j),(0.4084928173176906-0.5248553184603767j)
