N,E [H]
1,-107.33497518976516
2,-107.33929142771825
3,-107.34084855046616
4,-107.36882958311371
5,-107.37714064641459
6,-107.3771692582475
7,-107.39714990811075
8,-107.39913805576404
9,-107.40016499496032
10,-107.40186851577302
11,-107.40206347622781
12,-107.40206865953367
13,-107.40216430961118
14,-107.40304113938485
15,-107.40306669037324
16,-107.40461693710228
17,-107.40693621907698
18,-107.4069999539684
19,-107.40709648804543
20,-107.40826779086818
21,-107.4083422960467
22,-107.40926900086606
23,-107.41534825579903
24,-107.41709973137242
25,-107.41759274319669
26,-107.41763722828846
27,-107.41768964114846
28,-107.41905476068246
29,-107.41908946498701
30,-107.41918136782016
31,-107.42216784833079
32,-107.42422841182338
33,-107.42460998305351
34,-107.43175101309672
35,-107.43215387425091
36,-107.43300294651556
37,-107.43333844942792
38,-107.43459513985006
39,-107.43570408972847
40,-107.43746534886004
41,-107.43909450237945
42,-107.43926247793631
43,-107.43950149929785
44,-107.4398217592939
45,-107.44024027131361
46,-107.44070137336877
47,-107.44076362226356
48,-107.44169513839466
49,-107.4420999858285
50,-107.44234916311014
51,-107.44244032654741
52,-107.44252410856399
53,-107.44254134151014
54,-107.44256160249759
55,-107.44285924316385
56,-107.44652786521375
57,-107.44657005746991
58,-107.44754626324504
59,-107.44783409973614
60,-107.44784690158747
61,-107.44815250125255
62,-107.44868365637299
63,-107.44868705060803
64,-107.4511817567115
65,-107.45153650117314
66,-107.45233332637633
67,-107.45264518432388
68,-107.45283102659798
69,-107.45285981045883
70,-107.45292903375591
71,-107.45305673946706
72,-107.45537283060068
73,-107.45539253801958
74,-107.45564205313795
75,-107.45730923844425
76,-107.4576913795067
77,-107.45857776020219
78,-107.45900417271804
79,-107.45958244407741
80,-107.46005460836228
81,-107.46011063373905
82,-107.46024151107923
83,-107.46028417019309
84,-107.46054160656675
85,-107.46064675884023
86,-107.47149323397888
87,-107.4723093011934
88,-107.47241990599716
89,-107.47339345234185
90,-107.47341518304827
91,-107.47346782711537
92,-107.47358555785078
93,-107.47979179780488
94,-107.4798285501738
95,-107.47987270251168
96,-107.48127945976725
97,-107.48130365314094
98,-107.48353171105542
99,-107.48423859832576
100,-107.48424839914047
101,-107.48446083912056
