t,S_00,S_01,S_02
0.0,0.24999999999999972,0.24999999999999967,0.49999999999999944
0.005,0.24623641293338905,0.2575403925339492,0.49622514576648546
0.01,0.2424481459845891,0.2651558407292556,0.49240228812570763
0.015,0.23863798377420692,0.2728384711819721,0.48853286208356334
0.02,0.2348082713102185,0.28058170817593747,0.4846183572864118
0.025,0.2309617286461152,0.2883801884073987,0.4806616113132213
0.03,0.22710196248127093,0.2962290566464237,0.47666728119253393
0.035,0.22323340520385088,0.30412384770261636,0.47264169979128273
0.04,0.2193599843600693,0.31206630273862457,0.4685937995167599
0.045,0.2154867417235955,0.3200464111878248,0.46452798587029476
0.05,0.21161625312994778,0.32805111513744706,0.4604429029865435
0.055,0.20774925683555429,0.3360686714487502,0.45633483662657115
0.06,0.20388590827671843,0.3440898095210429,0.4522004278757601
0.065,0.20002681896292243,0.3521082117630666,0.4480386760283087
0.07,0.19617383886513423,0.36012027613967124,0.4438521446781907
0.075,0.19233055662323487,0.3681241568490474,0.43964732735255696
0.08,0.18850250686012518,0.37611811587313454,0.43543417133969503
0.085,0.18469708885352706,0.38409825483115334,0.4312248006797956
0.09,0.18092298677447,0.3920559498896217,0.4270312363358001
0.095,0.1771789634507961,0.3999886457151188,0.42285150047049624
0.1,0.17346604784822534,0.40789400934221115,0.4186875076286051
0.105,0.169788028300718,0.41576287685112634,0.4145423812386983
0.11,0.1661465926022167,0.4235848007563574,0.41041492222819403
0.115,0.16254215987262188,0.43134974295854117,0.4063019253153666
0.12,0.15897465374424033,0.43904932413973596,0.4022001702575624
0.125,0.15544418283846528,0.4466775630865775,0.39810799753460296
0.13,0.15195160241842928,0.45423106496109766,0.3940264036936892
0.135,0.14849893901935016,0.4617086430742964,0.38995961732942147
0.14,0.1450896677742803,0.46911038425286455,0.38591514241988023
0.145,0.1417288400689416,0.4764361934247572,0.3819032814870229
0.15,0.13842306707532281,0.4836838785846273,0.3779361767969709
0.155,0.13517561298588848,0.4908473832642791,0.3740180311503975
0.16,0.13198129594992297,0.4979243507366107,0.370139406325048
0.165,0.12884259301540013,0.5049145083816015,0.36630569701710836
0.17,0.12576113481921772,0.5118142038038436,0.3625190913531516
0.17500000000000002,0.12273754706448985,0.518617752150792,0.35877894728062476
0.18,0.11977177183339012,0.5253187657748146,0.3550830311377864
0.185,0.1168633919406311,0.5319112819522356,0.3514286647031029
0.19,0.11401194249350839,0.5383906393270207,0.3478137287887752
0.195,0.11121719670131741,0.5447540667878836,0.34423748270012927
0.2,0.10847941585382895,0.5510009615287302,0.3407011701396508
0.20500000000000002,0.10579955626539651,0.5571328460834898,0.33720839339149417
0.21,0.1031794288581442,0.5631530071675185,0.3337652488793575
0.215,0.10062180993457029,0.5690658321988975,0.3303802284476558
0.22,0.09812914671248325,0.5748731177507154,0.32705996593678477
0.225,0.09569737582653491,0.5805660897255103,0.32379339558789194
0.23,0.09332607186776327,0.5861483021088194,0.32058223334033953
0.23500000000000001,0.09101531318715331,0.591622258659779,0.3174286862908732
0.24,0.08876483598310425,0.5969879332088763,0.31433311204942
0.245,0.08657408150697102,0.6022435889246087,0.31129448930084497
0.25,0.08444226233496288,0.607386587131173,0.3083109211678582
0.255,0.08236844153925292,0.6124141529592716,0.30538014473056263
0.26,0.08035161934298192,0.6173240700783907,0.3025000237188999
0.265,0.07839082259567275,0.622115281725263,0.299669005055001
0.27,0.07648519315740936,0.6267883802095413,0.29688652358320555
0.275,0.07463407203196158,0.6313459720440053,0.2941533429862805
0.28,0.07283707684087562,0.6357929108129715,0.29147182454711584
0.28500000000000003,0.0710941709823808,0.6401363948588711,0.28884611907593816
0.29,0.06940549883671877,0.6443840492588184,0.2862809424157993
0.295,0.06776895831285477,0.6485275837561668,0.2837689031451264
0.3,0.06618294055088704,0.6525692175195461,0.28130837631834466
0.305,0.0646463181343354,0.6565136948818081,0.2788999050269987
0.31,0.06315799001124704,0.660364125358765,0.276543333564579
0.315,0.061716854396169314,0.6641222756962232,0.27423787618275064
0.32,0.06032179191725483,0.6677889047045665,0.2719822266585771
0.325,0.05897165733231056,0.6713641261125664,0.26977469888625244
0.33,0.05766527828229552,0.6748477860598074,0.2676133895925368
0.335,0.056401459695468975,0.6782398432349033,0.2654963551607652
0.34,0.05517899260008385,0.6815407410543954,0.26342179543397093
0.34500000000000003,0.053996666248217265,0.6847517626650131,0.26138823825334134
0.35000000000000003,0.05285328259802338,0.6878753609397013,0.25939471937390257
0.355,0.05174767234638974,0.6909154570255753,0.2574409532849973
0.36,0.05067871184867344,0.6938777023897298,0.2555274913487985
0.365,0.049645340406887895,0.6967697006965624,0.2536558645557828
0.37,0.0486465513679986,0.6995964520818522,0.25182651193402644
0.375,0.04768107681145676,0.7023523765168642,0.25003442647894286
0.38,0.04674752411555855,0.705040719342101,0.24827822508261765
0.385,0.04584461579135214,0.7076649609602726,0.24655685626017163
0.39,0.044971171150237674,0.7102280959056785,0.24486923252372625
0.395,0.04412608632412963,0.7127326456987525,0.24321418800372063
0.4,0.04330831727251466,0.7151807014709768,0.2415904554720052
0.405,0.04251686547919455,0.7175739922161916,0.2399966604327978
0.41000000000000003,0.04175076606133341,0.7199139747728949,0.2384313300915978
0.41500000000000004,0.04100907803325425,0.7222019418907237,0.2368929151561833
0.42,0.04029087648726013,0.7244391449828973,0.2353798225678306
0.425,0.03959524647358056,0.7266269284149769,0.23389045740491526
0.43,0.03892127838137311,0.7287668724288946,0.23242327234507723
0.435,0.038268064642537805,0.7308609420497835,0.2309768232161472
0.44,0.03763469759992925,0.7329116395717261,0.22954982931005383
0.445,0.03702026840137967,0.7349221584671272,0.22814123727795343
0.45,0.036423866800773835,0.7368965368130052,0.2267502875688362
0.455,0.03584458176724407,0.7388398085760716,0.22537658251789308
0.46,0.03528154081014855,0.7407577902322372,0.22402010688824747
0.465,0.03473424512792597,0.742651535640862,0.2226797532532132
0.47000000000000003,0.03420199476911508,0.7445204991290544,0.22135302424873454
0.47500000000000003,0.03368407143873859,0.7463650885033632,0.22003769852639404
0.48,0.03317983110550589,0.7481861155671544,0.2187318658957906
0.485,0.032688697615939885,0.7499846943215495,0.21743386931210879
0.49,0.03221015685537632,0.7517621517688385,0.21614225285261573
0.495,0.031743751429491575,0.7535199513004495,0.21485571561758537
0.5,0.031289075841753784,0.7552596286746897,0.2135730715042717
0.505,0.030845772143929494,0.7569827406125069,0.21229321481567856
0.51,0.03041352603851729,0.7586908260626509,0.21101509167899685
0.515,0.029992063413716248,0.7603853802106713,0.20973767726170287
0.52,0.02958114729327714,0.762067841329299,0.20845995878643675
0.525,0.029180575185321102,0.7637395905908179,0.20718092435890195
0.53,0.028790176815948906,0.7654019649851481,0.20589955763615356
0.535,0.028409812235202815,0.7670562835104295,0.20461483837576236
0.54,0.028039370284679736,0.7687038868259882,0.2033257489194705
0.545,0.02767876741783429,0.7703461905806547,0.20203128667807682
0.55,0.027327946865746775,0.7719847526524914,0.20073048269740865
0.555,0.026986878142870492,0.7736213545590649,0.19942242639836977
0.56,0.02665555688901045,0.7752580973205007,0.1981062965971721
0.5650000000000001,0.02633400504552338,0.7768975120806281,0.19678139892498092
0.5700000000000001,0.026022268877362243,0.7785433835352207,0.19544760905540123
0.5750000000000001,0.025720544219566037,0.7802024768194529,0.19410728655540208
0.58,0.0254293402238585,0.7818703354639381,0.19275798515883372
0.585,0.02514921316087002,0.7835416188820599,0.19139672265302446
0.59,0.02488073641014082,0.7852124414319397,0.1900211740794451
0.595,0.024624505141818482,0.7868802000800401,0.18862961513871826
0.6,0.024381140990509496,0.7885433929116837,0.18722086019063836
0.605,0.024151296726025298,0.7902014301917202,0.18579419541514106
0.61,0.023935660931518603,0.7918544400710489,0.18434930786273285
0.615,0.023734962705264064,0.7935030714272292,0.18288621128543947
0.62,0.02354997640809304,0.7951482967199417,0.18140516980189328
0.625,0.02338152648424932,0.796791218134535,0.179906620612745
0.63,0.02323049238918936,0.7984328806794566,0.17839109714513157
0.635,0.02309781366360761,0.8000740962958378,0.17685915416750364
0.64,0.02298449519872335,0.8017152834300394,0.17531129657866434
0.645,0.022891612743623408,0.8033563269124699,0.1737479137374389
0.65,0.022820318711210853,0.8049964633785013,0.17216922136194274
0.655,0.022771848345066965,0.8066341978598247,0.1705752131899864
0.66,0.02274752631529057,0.8082672575670915,0.16896562475470447
0.665,0.022748773817135064,0.8098925892772169,0.16733991179206034
0.67,0.02277689340697924,0.811511728615842,0.16569911647859484
0.675,0.02283284914616397,0.8131358149971774,0.1640482339642005
0.68,0.022918621562825082,0.8147527693417774,0.16238475195034957
0.685,0.023036219692754444,0.8163512140284549,0.16070631672288876
0.6900000000000001,0.02318759257721444,0.8179226685876939,0.1590115296977109
0.6950000000000001,0.02337464037974263,0.8194612863819879,0.1572999114738978
0.7000000000000001,0.02359922611621662,0.8209635148596409,0.15557183315723563
0.705,0.023863188081640393,0.8224276828870432,0.1538284154667901
0.71,0.02416835311740797,0.8238535213169093,0.1520713972319866
0.715,0.02451655092309669,0.8252416256024103,0.15030297598238068
0.72,0.024909629677138282,0.8265928719196239,0.14852562442706807
0.725,0.025349473291011095,0.8279078009131504,0.14674188771542257
0.73,0.02583802068189288,0.8291859858322574,0.14495416746561135
0.735,0.02637728750900959,0.8304254044773289,0.14316449964207908
0.74,0.026969390879210874,0.8316218370288929,0.14137433445795244
0.745,0.027616577587599014,0.8327683144839548,0.1395843275730588
0.75,0.028321179283504323,0.8338574059892094,0.13779486700758972
0.755,0.02908486631824865,0.8349057854262033,0.1360127542217442
0.76,0.029910015849327946,0.8359020951030856,0.13423800268310543
0.765,0.030799236240898364,0.8368287020428486,0.13246876101534352
0.77,0.03175508392707802,0.8376721405298343,0.13070408756597995
0.775,0.032780048181153244,0.8384230860005616,0.12894409093032458
0.78,0.03387653627447325,0.8390760704930467,0.12718997274707855
0.785,0.03504685970683978,0.8396289395288867,0.1254439701358197
0.79,0.03629322253189949,0.8400820600369966,0.12370919910994924
0.795,0.03761771314274444,0.8404372986625296,0.12198940426202984
0.8,0.03902230122462667,0.8406967995391157,0.12028862398179897
0.805,0.040508841923391437,0.8408616003372189,0.11861078443050213
0.81,0.04207908961993363,0.8409301351359855,0.11695923945853823
0.8150000000000001,0.04373472404268073,0.8408966824006406,0.11533627761677163
0.8200000000000001,0.0454774027225367,0.8407501872705416,0.11374269488001656
0.8250000000000001,0.0473095343853754,0.8405013265772234,0.11218343264056782
0.8300000000000001,0.049232937461446455,0.840146774254546,0.11066079797824614
0.835,0.05124907994903091,0.8396672328611892,0.10917335367671228
0.84,0.05335965527330983,0.8390474172016179,0.10772012916016939
0.845,0.05556648768981971,0.8382767816591479,0.10630106168360173
0.85,0.05787142672540039,0.837349701356063,0.10491724775295566
0.855,0.06027623296075009,0.8362650922528138,0.1035709950567951
0.86,0.06278245870771991,0.8350254783020076,0.10226567433471362
0.865,0.06539132838349883,0.8336355367767097,0.10100537975153812
0.87,0.06810362463285925,0.8321001758962765,0.09979441549010727
0.875,0.07091958749864985,0.8304222218767158,0.09863663541916383
0.88,0.07383883518974212,0.8285998155363045,0.09753467183664749
0.885,0.07686076622806737,0.8266268071176163,0.09648972665592638
0.89,0.07998842345442883,0.8245205853126909,0.09550728083038283
0.895,0.08322115711164714,0.8222717434736355,0.09458733410850882
0.9,0.08655779292431966,0.8198620747451005,0.09372733355845025
0.905,0.08999791509243978,0.8172763729381034,0.09292487556105654
0.91,0.09354168216775692,0.8145043039758589,0.09217845859011525
0.915,0.09718959173496733,0.8115414107564332,0.0914879491668877
0.92,0.10094219833390565,0.8083892088613711,0.09085474154285977
0.925,0.10479979228836585,0.8050543705132198,0.09028160722550597
0.93,0.10876205033663254,0.8015470341586123,0.08977224602276003
0.935,0.11282767218826459,0.7978783170273591,0.08933056584276965
0.9400000000000001,0.11699402036112554,0.7940571479917382,0.0889597340464064
0.9450000000000001,0.12125678388211389,0.7900865780239471,0.08866105871088811
0.9500000000000001,0.12561219062069745,0.7859632218115263,0.08843359336441584
0.9550000000000001,0.13006354292217048,0.7816905425864952,0.0882777011728404
0.96,0.13460728381144924,0.7772642515651625,0.08819193319695402
0.965,0.1392399624905756,0.7726779396141334,0.08817395924479979
0.97,0.14395904545877308,0.767926748300201,0.08822162414554194
0.975,0.148762673454877,0.7630092475925007,0.08833353999286027
0.98,0.15364930952718228,0.7579283612246108,0.08850936911077978
0.985,0.15861728632662694,0.7526913066550517,0.08874978541889042
0.99,0.16366426640335033,0.7473085625940991,0.08905611933782126
0.995,0.1687866349707834,0.7417919230943439,0.08942970883974682
1.0,0.17397885028554685,0.7361517432318978,0.0898709967126163
