t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
0.0,(1-8.881784197001252e-16j),(-4.336808689942018e-19+1.0842021724855044e-19j),1.3322676295501878e-15j,(6.938893903907228e-18+6.938893903907228e-18j),-2.0816681711721685e-16j,(1+0j)
0.01,(0.9978652974832665-0.044932521810943794j),(-1.3557602779403038e-09-6.143143484465308e-10j),(-1.512365601016005e-06-1.3101023357437294e-07j),(-2.6445790842632505e-08-1.9247850959234253e-08j),(2.1953248408255017e-06-4.386585254337352e-06j),(0.9978659117591429-0.044937049121059267j)
0.02,(0.9914843321290592-0.08948782824408562j),(-1.0229106461280285e-08+1.1171420315332226e-09j),(-6.642269460457933e-06-1.85179378410453e-06j),(-9.354785723143727e-08-1.5658888631523767e-07j),(1.2493748641416143e-05-1.1532485526150235e-05j),(0.9914901243584072-0.08950121273515876j)
0.03,(0.980933741657633-0.1332935146709376j),(-2.8883464546270878e-08+1.0131182853629891e-08j),(-1.9406908998101738e-05-6.925918186109898e-06j),(-2.791342502412102e-07-5.814929656990584e-07j),(3.8763380314608326e-05-2.4863650926700157e-05j),(0.9809538636040926-0.13332442134714825j)
0.04,(0.9663448077083733-0.17598821186862632j),(-5.450263575434446e-08+3.185595131333826e-08j),(-4.42640366391926e-05-1.7185872373081734e-05j),(-7.300393045374853e-07-1.5158748935302736e-06j),(8.793077446426699e-05-4.847352458154222e-05j),(0.9663891761600302-0.17605329683693674j)
0.05,(0.9478943101226536-0.2172353806917925j),(-8.239241852748945e-08+6.940161679151765e-08j),(-8.588264574102425e-05-3.4340522968573096e-05j),(-1.7091371356800057e-06-3.204817461940916e-06j),(0.00016554914393011842-8.674802312010292e-05j),(0.9479742062252996-0.21735691691549563j)
0.06,(0.9258039832758298-0.2567240642008886j),(-1.061683223909126e-07+1.2342503226367404e-07j),(-0.00014913021138099973-5.996442621005e-05j),(-3.59780857076212e-06-5.9148271763050665e-06j),(0.0002757764247522325-0.00014434500197282752j),(0.9259325164856013-0.25692735177950377j)
0.07,(0.9003386030277974-0.2941700299675026j),(-1.180103333028927e-07+1.922269524937948e-07j),(-0.0002390353484629594-9.547218561735507e-05j),(-6.899637125961482e-06-9.924452970375176e-06j),(0.00042136075232001533-0.00022613888468079907j),(0.900526396482594-0.2944871187919331j)
0.08,(0.8717960887341399-0.32932627777573137j),(-1.1168175481150757e-07+2.7116763106436926e-07j),(-0.0003605277132959881-0.00014192869379836721j),(-1.2292655918088952e-05-1.5477242296013183e-05j),(0.0006033421707481609-0.00033679562837868055j),(0.8720525198500934-0.3297937178832705j)
0.09,(0.8405048381905352-0.361984745649555j),(-8.349855871021085e-08+3.52902251918283e-07j),(-0.0005183723699436957-0.00020001673099660094j),(-2.063479891111828e-05-2.2759533141262322e-05j),(0.0008210817252983487-0.0004806712387273795j),(0.8408292267242348-0.3626429827359275j)
