t,S_00,S_01
0.0,0.0,1.0
0.015,0.000505658520560375,0.9994943916817345
0.03,0.002015568818291782,0.9979846164941403
0.045,0.004508639123763198,0.9954920906860412
0.06,0.007950442356209677,0.9920491963653875
0.075,0.012294119501440142,0.9877075019153885
0.09,0.017481074009101597,0.9825192391417362
0.105,0.023443840968034414,0.9765550133910047
0.12,0.030106141280431483,0.9698975630323798
0.135,0.03738492619827325,0.9626180136763437
0.15,0.04519453139052144,0.9548024552193022
0.16499999999999998,0.05344626941796563,0.9465526252999845
0.18,0.062049728851854835,0.9379599829332831
0.195,0.07091648321127772,0.9290897581533191
0.21,0.07996266441793169,0.9200318914085572
0.22499999999999998,0.08910753847924024,0.9108827991426015
0.24,0.09827812981720833,0.9017255491442113
0.255,0.107405352105971,0.8926138971987607
0.27,0.11642781828492155,0.8835819600472243
0.285,0.12529564473693555,0.8746960103634048
0.3,0.1339656112196796,0.8660157995675601
0.315,0.14240884713839924,0.8575755697574537
0.32999999999999996,0.15060324829824595,0.8494050805488387
0.345,0.1585293536525046,0.8414996965013642
0.36,0.1661763409810151,0.8338449582620444
0.375,0.17354747429540707,0.8264440029725373
0.39,0.18065899857691747,0.8193255471001888
0.40499999999999997,0.18752513443380756,0.8124565424843235
0.42,0.19417813642820964,0.8058104545637145
0.435,0.2006502260373839,0.7993576106026372
0.44999999999999996,0.20697298972545505,0.7930573700756675
0.46499999999999997,0.21317996297496056,0.7868597832683021
0.48,0.2193101488345173,0.7807116737786992
0.495,0.22541230769632936,0.7745664702019456
0.51,0.23154989009476126,0.7683972158218415
0.525,0.23780255744211473,0.762289544453262
0.54,0.2442125373025994,0.7561590634748672
0.5549999999999999,0.2508142575319539,0.7497976128586271
0.57,0.2576559381873977,0.743069342916902
0.585,0.26479418967937757,0.7358993066708568
0.6,0.2722888137777172,0.7282585028197948
0.615,0.28019815805928844,0.7201461901472084
0.63,0.28857562360000955,0.7115708709757201
0.645,0.2974681763705252,0.7025319356788733
0.6599999999999999,0.30691796345148264,0.6930045546535072
0.6749999999999999,0.3169683858408704,0.6829309985522266
0.69,0.32768355706585117,0.6722564690240131
0.705,0.33912134289908646,0.6610203025072371
0.72,0.3512364613067455,0.6490312292170664
0.735,0.3640309907980421,0.636189521130728
0.75,0.3775469049947993,0.6225157569943212
0.765,0.3918312573705177,0.6080981296101312
0.78,0.40689768955895017,0.5930156783769724
0.7949999999999999,0.42269598142369985,0.5772537945656603
0.8099999999999999,0.4392497587342155,0.5608610764906392
0.825,0.4564601692548019,0.5437831691144933
0.84,0.4742402559746932,0.5259556929258202
0.855,0.49259451272142785,0.5074545505410536
0.87,0.5115306004536965,0.4884427191677429
0.885,0.530947166117191,0.4690433089360806
0.8999999999999999,0.5507771521514745,0.4493245119987598
0.9149999999999999,0.570869627175132,0.4293066042923181
0.9299999999999999,0.5911047100025165,0.4090104668901625
0.945,0.6114560160426266,0.38856241633124133
0.96,0.6318491437033265,0.36815190994144914
0.975,0.6521736956351035,0.3478895623162922
0.99,0.6722802865056705,0.32783542788009307
1.005,0.6920385874809851,0.3080355087582427
1.02,0.7114059737975245,0.2886022892914773
1.035,0.730315378594613,0.26969689585104045
1.05,0.7486817590988368,0.25139117059535354
1.065,0.766371233527801,0.23372870571112522
1.08,0.7833080697449273,0.21673881763648029
1.095,0.7994876128613473,0.20051495280439213
1.1099999999999999,0.8148801388675673,0.18513368981305245
1.125,0.829437864830959,0.17061087894927288
1.14,0.8431000245212857,0.15694532571891479
1.155,0.8558617936607988,0.14414151147880036
1.17,0.8677653735785135,0.13223185599033332
1.185,0.8788160644883674,0.12119954615017875
1.2,0.8890112600257487,0.11102030961866088
1.2149999999999999,0.8983527620984162,0.10165601482505456
1.23,0.9069065789461979,0.09308718660228538
1.2449999999999999,0.9147182183476036,0.08527796044618659
1.26,0.9218296563005393,0.07818544895634183
1.275,0.9282584548354603,0.07175832110295058
1.29,0.9340471182268824,0.06594735793557333
1.305,0.9392767755078522,0.06071293610935644
1.3199999999999998,0.9439909728211318,0.05600390238119385
1.335,0.9482362879380365,0.051773106847888176
1.3499999999999999,0.9520388092644967,0.047972497291109376
1.365,0.955437080731141,0.044556644281708524
1.38,0.9585021200884065,0.04148708413640816
1.395,0.9612698022216075,0.03872340596066949
1.41,0.9637741779659686,0.0362278439016672
1.425,0.9660412911490383,0.033967471858816024
1.44,0.9680920222313838,0.03191210618845136
1.4549999999999998,0.9699538547687184,0.03003410344443839
1.47,0.9716737352755433,0.028309513526220922
1.4849999999999999,0.9732852068515041,0.02671851356267589
1.5,0.9747827179554606,0.02524071142895604
1.515,0.9761680802710858,0.02386177062538759
1.53,0.9774481584697727,0.022572780842370018
1.545,0.9786311004160186,0.021368651801505996
1.56,0.9797258995508511,0.020247145811440805
1.575,0.9807454138917447,0.0192085753869147
1.5899999999999999,0.9817124237050889,0.018258180781871
1.605,0.9825966760298382,0.017406662294162756
1.6199999999999999,0.9833433109963687,0.016666893370738994
1.635,0.9839293211049103,0.016059400872339535
1.65,0.984346782547824,0.015611124557016872
1.665,0.9845846568605812,0.015353713086213276
1.68,0.9846134828577823,0.015321924762318988
1.6949999999999998,0.9844066292217628,0.015555462441374074
1.71,0.9838772632843461,0.016098638207697
1.7249999999999999,0.9829576785253529,0.01699957868377255
1.74,0.9816207343112242,0.018311367272594636
1.755,0.979835861127495,0.020090328176512445
1.77,0.9775514171826729,0.02239352398967729
1.785,0.9746903093513877,0.02527836622963645
1.7999999999999998,0.9711527165163546,0.02880087861398833
1.815,0.9669091774914803,0.03301629035263436
1.8299999999999998,0.9619413131856507,0.03797800616502427
1.845,0.9562193547532417,0.043734120516496555
1.8599999999999999,0.9496563605451551,0.050324375909975114
1.875,0.9421747298399197,0.057780620283512496
1.89,0.9337894846378033,0.06612913230757386
1.905,0.924531090334393,0.07538582769666702
1.92,0.9144247042301996,0.0855555729921372
1.9349999999999998,0.903396500429058,0.09662397874455049
1.95,0.8914128855717824,0.10857069016038391
1.9649999999999999,0.8785553036557301,0.1213700718596416
1.98,0.8649412746789259,0.1349762014455765
1.9949999999999999,0.8506667349683723,0.1493357198354575
2.01,0.8357288793446548,0.16436989329234325
2.025,0.8200985986387799,0.1800004859455703
2.04,0.8038568791506646,0.19615757094065409
2.0549999999999997,0.7871936802445445,0.21275713583154676
2.07,0.7702770892361015,0.2296847356781341
2.085,0.7532024246962207,0.24685223251210997
2.1,0.7360185652010589,0.26414903238005866
2.1149999999999998,0.7187222017971635,0.2814762920448397
2.13,0.7013750746943594,0.29875046796627674
2.145,0.6841457237769866,0.3158867007221293
2.16,0.6672354104265121,0.33277456757028306
2.175,0.650677429202115,0.34934195182231376
2.19,0.6345633379104183,0.36553226838495645
2.205,0.6189057854071834,0.38127630168025417
2.2199999999999998,0.6036890127766534,0.39651120425499065
2.235,0.5889391637115604,0.41119095420938795
2.25,0.5747675114666277,0.425287581337248
2.265,0.5612610584035916,0.43877218791336103
2.28,0.548383580929189,0.4516396022428022
2.295,0.5361627061174793,0.4639016201600719
2.31,0.5245764043929046,0.475553613984078
2.3249999999999997,0.5135772640878626,0.4865893985892748
2.34,0.5031231181147263,0.4970158880625256
2.355,0.49320731315734556,0.5068656757574502
2.37,0.4838618211336309,0.5161953467051288
2.385,0.4750183238493856,0.5250313940901076
2.4,0.4666248528410181,0.5334257046146573
2.415,0.458636974235731,0.5414288346617986
2.4299999999999997,0.45100267126815585,0.5490860104667457
2.445,0.4436622829479412,0.5564410919297809
2.46,0.436552794690469,0.5635418425689767
2.475,0.42961548047400944,0.5704461007155855
2.4899999999999998,0.42280610154010445,0.5772285513439728
2.505,0.4161151949856121,0.5839688960473455
2.52,0.40945785503963,0.5907101337209152
2.5349999999999997,0.4027242121065011,0.5974983450338002
2.55,0.39584194792367805,0.6043859506000171
2.565,0.38876479126922314,0.61142607989148
2.58,0.3814617648327771,0.6186685962570472
2.5949999999999998,0.37390775205126114,0.6261580640614347
2.61,0.36607611645418336,0.6339340800002861
2.625,0.3579342944005113,0.6420345237428828
2.6399999999999997,0.3494434704261234,0.6505024161491958
2.655,0.3405907987458241,0.6593936536065793
2.67,0.33135772724009427,0.6687061580939138
2.685,0.3216691627840587,0.6784110346025927
2.6999999999999997,0.31151616008035954,0.6885112943091539
2.715,0.300936283610142,0.6990216497030252
2.73,0.2899813239548613,0.7099460105918832
2.745,0.2786811359025146,0.7212577105867156
2.76,0.26706021329827945,0.7329291185967853
