t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.24,(0.06921168746427468-0.31996620852998936j),(-0.1836860533947496-0.44686419601124516j),(-0.49762603239380765+0.07507563503074195j),(-0.8478864213352058-0.909409042824327j),(-0.7842337430759492-0.41478775134144064j),(0.06921168746427468-0.31996620852998936j)
0.25,(0.07453139644879211-0.33003522529034834j),(-0.18007833280822738-0.4608776055988006j),(-0.4977101670220461+0.061757333042731816j),(-0.8675789187938839-0.9169273221278541j),(-0.7900059578478258-0.4221298615548289j),(0.07453139644879211-0.33003522529034834j)
0.26,(0.07996938544912847-0.3397523111944109j),(-0.17640382265717836-0.4745704170798725j),(-0.4977971752061045+0.048674146622082796j),(-0.8875311704635259-0.9235734937564052j),(-0.795790752665346-0.42913924566074957j),(0.07996938544912847-0.3397523111944109j)
0.27,(0.08551525139815333-0.34911380145093907j),(-0.17266789525125895-0.4879368619126261j),(-0.49787794625106696+0.03582540964887809j),(-0.9076974512411375-0.9293341344994597j),(-0.8015763147635415-0.43581699216406683j),(0.08551525139815333-0.34911380145093907j)
0.28,(0.0911587827414431-0.3581174515934682j),(-0.16887588341124268-0.500972525521374j),(-0.49794395561229055+0.023209758069983162j),(-0.9280320994362566-0.9342002513681573j),(-0.8073515479212628-0.44216537593596117j),(0.0911587827414431-0.3581174515934682j)
0.29,(0.09689002711552361-0.3667624876211417j),(-0.1650330784109958-0.513674435464082j),(-0.4979872703608598+0.010825123876999911j),(-0.9484901322285454-0.9381672798768127j),(-0.8131062038897968-0.4481878140345959j),(0.09689002711552361-0.3667624876211417j)
0.3,(0.10269935396465786-0.3750496461183443j),(-0.1611447292063968-0.5260411431279028j),(-0.49800055462466286-0.001331270150539356j),(-0.9690278553858838-0.9412349989005487j),(-0.8188310057593404-0.45388881081828225j),(0.10269935396465786-0.3750496461183443j)
0.31,(0.10857751200536978-0.38298120380525347j),(-0.15721604264999323-0.5380727977683619j),(-0.49797707491329807-0.013262914602314515j),(-0.9896034530669215-0.9434073630035387j),(-0.824517761509544-0.4592738932087527j),(0.10857751200536978-0.38298120380525347j)
0.32,(0.11451568149735251-0.39056099613697925j),(-0.15325218442327282-0.5497712117628702j),(-0.49791070519140684-0.02497401618939813j),(-1.0101775440560152-0.9446922555368491j),(-0.8301594662139805-0.4643495371033888j),(0.11451568149735251-0.39056099613697925j)
0.33,(0.12050552130607428-0.3977944247288003j),(-0.1492582804649819-0.5611399160430816j),(-0.49779593153400276-0.036469498814795054j),(-1.0307136918010453-0.9451011680361813j),(-0.8357503916257606-0.4691230860382585j),(0.12050552130607428-0.3977944247288003j)
0.34,(0.12653921075633484-0.40468845354169325j),(-0.14523941872952284-0.572184204802621j),(-0.49762785617972755-0.04775500271383622j),(-1.0511788570849805-0.9446488134022006j),(-0.8412861621530362-0.4736026632661816j),(0.12653921075633484-0.40468845354169325j)
0.35000000000000003,(0.1326094862855479-0.41125159391691546j),(-0.1412006511701205-0.5829111687435268j),(-0.49740220079380987-0.05883688144384602j),(-1.0715437839745015-0.9433526819336734j),(-0.8467638165286905-0.47779707843526187j),(0.1326094862855479-0.41125159391691546j)
0.36,(0.13870967291682842-0.41749387870035476j),(-0.13714699590372512-0.5933297163208849j),(-0.49711530876128707-0.06972219653047394j),(-1.0917833117499816-0.9412325504459085j),(-0.8521818547778464-0.4817157300348062j),(0.13870967291682842-0.41749387870035476j)
0.37,(0.14483371058905412-0.4234268258449473j),(-0.1330834395756445-0.6034505826636366j),(-0.4967641463516723-0.08041870960635986j),(-1.1118766077169127-0.9383099554123498j),(-0.8575402703800585-0.48536850472038556j),(0.14483371058905412-0.4234268258449473j)
0.38,(0.15097617540594716-0.4290633920200057j),(-0.12901493999939456-0.6132863260824983j),(-0.49634630262716045-0.09093487190660803j),(-1.131807318014143-0.9346076413132169j),(-0.8628405678010119-0.48876567454251124j),(0.15097617540594716-0.4290633920200057j)
0.39,(0.1571322958991797-0.43441791688665526j),(-0.12494642919948341-0.6228513123150969j),(-0.49585998800579006-0.10127981101499756j),(-1.151563635659765-0.9301489951873947j),(-0.8680857658231697-0.4919177929896773j),(0.1571322958991797-0.43441791688665526j)
0.4,(0.16329796444051858-0.43950605881551513j),(-0.12088281703059704-0.6321616868956046j),(-0.49530403143664603-0.11146331478496802j),(-1.1711382870148999-0.92495747781176j),(-0.8732803873293158-0.4948355906227035j),(0.16329796444051858-0.43950605881551513j)
0.41000000000000003,(0.16946974398315426-0.44434472292334604j),(-0.11682899558520456-0.6412353362636778j),(-0.49467787619402476-0.12149581239012185j),(-1.1905284395208315-0.9190560610442134j),(-0.8784304363820411-0.4975298709302107j),(0.16946974398315426-0.44434472292334604j)
0.42,(0.17564487036012036-0.44895198238721007j),(-0.11278984463267923-0.6500918384384935j),(-0.4939815743493486-0.13138835249010092j),(-1.209735534919183-0.9124666797439313j),(-0.8835433635921331-0.5000114068813897j),(0.17564487036012036-0.44895198238721007j)
0.43,(0.18182125041541242-0.4533469940560868j),(-0.10877023835675427-0.6587524042723097j),(-0.49321578003144856-0.14115257852899027j),(-1.2287650531641596-0.9052097054122903j),(-0.888628020877311-0.5022908384984613j),(0.18182125041541242-0.4533469940560868j)
0.44,(0.18799745628842254-0.45754990942000295j),(-0.10477505367498012-0.6672398104597052j),(-0.4923817416357598-0.15080070121456746j),(-1.2476262128686928-0.8973034473687356j),(-0.8936946067789548-0.504378571623224j),(0.18799745628842254-0.45754990942000295j)
0.45,(0.1941727162122627-0.461581782015553j),(-0.10080918043459618-0.6755783256102116j),(-0.49148129318933026-0.16034546825740953j),(-1.2663316144014654-0.8887636859709994j),(-0.8987546035288507-0.5062846779149451j),(0.1941727162122627-0.461581782015553j)
0.46,(0.20034690221949186-0.46546447234497934j),(-0.0968775337848756-0.6837936307915643j),(-0.49051684511995414-0.169800131478693j),(-1.2848968316956413-0.8796032411835699j),(-0.9038207070420572-0.5080187959947738j),(0.20034690221949186-0.46546447234497934j)
0.47000000000000003,(0.20652051517324915-0.46922055136521335j),(-0.09298506902773487-0.6919127360176862j),(-0.4894913747131022-0.1791784114240649j),(-1.303339958483125-0.869831578756021j),(-0.9089067509582421-0.5095900335480851j),(0.20652051517324915-0.46922055136521335j)
0.48,(0.21269466755689523-0.47287320356547513j),(-0.08913679924751021-0.6999638941904338j),(-0.4884084165688534-0.18849445964778314j),(-1.3216811140810583-0.8594544554448339j),(-0.9140276257653547-0.5110068701130578j),(0.21269466755689523-0.47287320356547513j)
0.49,(0.21887106446060237-0.47644613059963126j),(-0.08533781601863727-0.7079765140087715j),(-0.4872720533922497-0.19776281885595723j),(-1.3399419130876997-0.8484736041369274j),(-0.9191991939199132-0.5122770602228045j),(0.21887106446060237-0.47644613059963126j)
