N,E [H]
1,-15.146962718649691
2,-15.14913210845534
3,-15.1510373691706
4,-15.15166602045151
5,-15.15225990232343
6,-15.152261555213641
7,-15.153653667562374
8,-15.153738213836478
9,-15.15455530575485
10,-15.154806488847532
11,-15.15553151545094
12,-15.15590675178915
13,-15.156813074143583
14,-15.157044534428183
15,-15.158174222310075
16,-15.158856836630601
17,-15.158978932059245
18,-15.159037687409512
19,-15.15974789250134
20,-15.160012655872068
21,-15.160183665357582
22,-15.160325767177445
23,-15.160537506061878
24,-15.160787850661254
25,-15.161017403787197
26,-15.161163584379498
27,-15.161309855680248
28,-15.161365830058395
29,-15.161443944593561
30,-15.16173453405788
31,-15.161770764553518
32,-15.161797956311178
33,-15.162055302148833
34,-15.162284088494728
35,-15.162420449444262
36,-15.162449340281903
37,-15.162628960727169
38,-15.162643151476821
39,-15.16268544899971
40,-15.162700420642532
41,-15.162925211715448
42,-15.163066677909926
43,-15.1630951533796
44,-15.163303579060688
45,-15.163460597166925
46,-15.164230662694786
47,-15.164261034159397
48,-15.164280453780531
49,-15.164490382857778
50,-15.164570039757198
51,-15.164590875990436
52,-15.164667851736056
53,-15.164720048168114
54,-15.164781869358205
55,-15.16478918721268
56,-15.16483223482393
57,-15.165053301174188
58,-15.16636689983161
59,-15.166387095962131
60,-15.166572295866255
61,-15.166752377898677
62,-15.166844118691474
63,-15.16690696216381
64,-15.167271457255605
65,-15.167386464464155
66,-15.167567788841245
67,-15.167570639806094
68,-15.167620073045484
69,-15.16765763498792
70,-15.167874033060457
71,-15.167877871917042
72,-15.167879438520282
73,-15.167966202727076
74,-15.168032938961028
75,-15.168355048266045
76,-15.1684063023406
77,-15.168448985170066
78,-15.168536451700136
79,-15.1685586369538
80,-15.168560451902904
81,-15.168575458167599
82,-15.16865552688168
83,-15.168684434280426
84,-15.169053210292773
85,-15.16908877265999
86,-15.169104877839889
87,-15.169105191995776
88,-15.169112256656316
89,-15.169119281727513
90,-15.169190439001492
91,-15.169305806008596
92,-15.169375834935103
93,-15.169383360948382
94,-15.169411880157979
95,-15.169421157780596
96,-15.169426153830056
97,-15.16946121601514
98,-15.169461505987679
99,-15.169462864074596
100,-15.169472588003137
101,-15.169888908269282
