t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,A_0011,A_0012,A_0013,A_0014
0.8,(0.24296480375443094-1.3376320591726554j),(-0.002050296417310147-0.0011919768009472976j),(2.2953193731015067+2.754866744656686j),(-9.146897108975126e-07-1.414553134434533e-06j),(5.302759058252112e-05-0.0001644227150162868j),(-0.0006308208892258759+0.0004200034252763297j),(-1.4090356528263869e-05-4.6647640047047266e-05j),(0.00016048728752204698-0.0013378267140594475j),(-0.002104573012871917+0.009772043083403775j),(0.0009634650148723124-0.00036808686715079377j),(-0.00021762472165761518+3.669121400389176e-05j),(-0.10783012041244432-0.3223191882909349j),(-2.414832702866276-1.2843287345781833j),(-0.002517372961797297+0.005706516564487128j),(0.0001178711047242172+3.096438210886422e-05j)
0.81,(-0.0050530453530055475-1.388517948317185j),(-0.0024236200386689027-0.0008968623997849018j),(2.781838678948257+2.366988429645223j),(-1.0498989380470786e-06-1.137149294112939e-06j),(5.686524821761085e-05-0.0001712913251738121j),(-0.0005092878606981792+0.0004667407428023044j),(-1.2898190859913571e-05-5.048949043166388e-05j),(-0.00011958684101192078-0.0013123256375309315j),(-0.00011966469766925376+0.010044156946536787j),(0.000961909151807718-0.00038935259293307187j),(-0.00019452903047909172+4.530803677155528e-05j),(-0.15172442280289544-0.3031944090557619j),(-2.6424984771424684-0.8591398166516755j),(-0.0017228773031614602+0.0057745949446930565j),(0.00011625693560297923+1.2566851578138529e-05j)
0.8200000000000001,(-0.2569894543470609-1.3725837229222189j),(-0.002834641146720544-0.0005808955600354092j),(3.132458658774896+1.8692446812762988j),(-1.0976960788169138e-06-8.531296627677042e-07j),(6.025142670717081e-05-0.0001770000209366641j),(-0.00038765139085439283+0.0004778053260925047j),(-1.182100766526481e-05-5.409280286765174e-05j),(-0.000364314108353299-0.0012091730888759153j),(0.001763545702947236+0.009705064592868719j),(0.000950247891977265-0.0003998266333676897j),(-0.0001646445302206703+5.011910450263645e-05j),(-0.1876607289181189-0.27203328987182335j),(-2.7352915874825405-0.39703930867177595j),(-0.000942687015736073+0.005575132217720319j),(0.00010901726806468979-3.5332861305119857e-06j)
0.8300000000000001,(-0.4906055044456785-1.2862300604796935j),(-0.003284856731451169-0.00024525769986301j),(3.303477243554453+1.3059542866258227j),(-1.0611444812983286e-06-5.935591059041953e-07j),(6.333014989825655e-05-0.0001811891147820487j),(-0.000278252342628976+0.0004554189387684574j),(-1.0778792875150505e-05-5.7325467646161586e-05j),(-0.0005435508765416877-0.0010477370418951167j),(0.0032881850189220695+0.008801026769581536j),(0.0009294296413105864-0.0003982538130976176j),(-0.0001272093410016458+5.0106816919751054e-05j),(-0.2113931118329188-0.22996402145540337j),(-2.674944817934037+0.05441651561840133j),(-0.0002502079381133597+0.005086395914018937j),(9.678691203717772e-05-1.531625248906566e-05j)
0.84,(-0.68341065087658-1.1351095099935584j),(-0.0037787970616482386+0.00010876452467738218j),(3.271257219200825+0.7368741798641452j),(-9.54344116654132e-07-3.8420330637611226e-07j),(6.637253811518079e-05-0.0001836307530475268j),(-0.00019092802295153562+0.00040581349464615014j),(-9.67921790828453e-06-6.010814292515468e-05j),(-0.0006404596725398827-0.0008570422977230202j),(0.004245453646384558+0.007487219679733167j),(0.0009011355505872333-0.00038344833329152935j),(-8.16889152395132e-05+4.403830175405326e-05j),(-0.21892914723278298-0.17964050969914255j),(-2.463382606409837+0.44271745542685803j),(0.00027051479808015526+0.0043104445347549696j),(8.096934084737175e-05-2.1101822958948912e-05j)
0.85,(-0.8126627228772744-0.9341264919797687j),(-0.004324025684900604+0.00047977921964014857j),(3.032226226568766+0.23719944225603307j),(-8.024315791186247e-07-2.4552876438547873e-07j),(6.977680815951357e-05-0.0001842289159310145j),(-0.0001330121827468237+0.0003392310577360288j),(-8.417639671261651e-06-6.241425472940295e-05j),(-0.0006515091882338783-0.0006757704848278667j),(0.004474625547648844+0.006027734982257437j),(0.0008677795154366735-0.0003542937716438011j),(-2.7776037649965258e-05+3.0465414745235267e-05j),(-0.2065299134138831-0.12524237567203553j),(-2.1227210446881437+0.7103993829127289j),(0.0005247967681836657+0.003273127551810474j),(6.373669122129976e-05-1.9549326991036365e-05j)
0.86,(-0.8557521942643215-0.7071114868607797j),(-0.004930770170930337+0.0008659432541326788j),(2.60277112720638-0.10378145657451215j),(-6.409756063665326e-07-1.922974426251776e-07j),(7.406481846486451e-05-0.0001830123661610876j),(-0.0001092182746958448+0.00026965247158504613j),(-6.876515369383191e-06-6.426828326438897e-05j),(-0.0005865012155222738-0.0005513521813577431j),(0.0038661632886505207+0.0047903512186495975j),(0.0008324461001767442-0.000309746637586723j),(3.463049955339129e-05+7.758613564755863e-06j),(-0.17075111900460815-0.07240167773880724j),(-1.6947793051549902+0.7959969333396673j),(0.00040854085471282747+0.0020234902468800457j),(4.7994382384519544e-05-9.674901254242371e-06j)
0.87,(-0.8000807185582424-0.4848552269082521j),(-0.005607324014992622+0.0012654717940742528j),(2.03089896720773-0.20664065220210157j),(-5.048142667183608e-07-2.207404997531513e-07j),(7.973216982475439e-05-0.00017992062719518955j),(-0.00011757438347042384+0.0002099306323261807j),(-4.9140875101717155e-06-6.567377533141213e-05j),(-0.00047892546330155586-0.00052039028756088j),(0.0024833441872651584+0.0041810267277830986j),(0.0007971693198857634-0.00024899037576667877j),(0.00010564375429354657-2.562332740861121e-05j),(-0.10966314854920314-0.027607970265943485j),(-1.2422913607658512+0.6557128114734573j),(-0.0001679615491626948+0.0006378153092666528j),(3.687440583795878e-05+8.372817574589525e-06j)
0.88,(-0.6475161381462236-0.30638829348840324j),(-0.006360000879700231+0.0016828842591044783j),(1.4066258555868898-0.009117601415056374j),(-4.2417413294124765e-07-3.0808974265679556e-07j),(8.704022410355878e-05-0.0001747317504163452j),(-0.00014935046785294668+0.00017107573744835506j),(-2.4045538010862494e-06-6.654389102541896e-05j),(-0.00038755217667387143-0.0005999179607791264j),(0.0006224639269642781+0.0046117824029871315j),(0.0007623507134185587-0.00017175681597279157j),(0.00018494196180928414-7.124563948969492e-05j),(-0.023696850053925578+0.0013366273064571027j),(-0.8534664682139261+0.2727591864352139j),(-0.0012692416023340305-0.0007675089879614553j),(3.349405937927802e-05+3.2851921409511896e-05j)
0.89,(-0.41247875183831356-0.20624575016149183j),(-0.00718442883139982+0.0021128409579185266j),(0.8306044206238723+0.5166960107282367j),(-4.175123279750457e-07-4.2684905176849874e-07j),(9.603603730157004e-05-0.00016721038965052324j),(-0.00019439732282210034+0.00015974083944068234j),(7.180782121450426e-07-6.674165476044227e-05j),(-0.00036755133681845234-0.0007821653588856046j),(-0.0013054704866738882+0.006343433453349461j),(0.0007276144881299658-7.842675642655538e-05j),(0.0002719170304871226-0.00012955436348397893j),(0.08465645061374283+0.007517067885281975j),(-0.6128578416561206-0.34048105748291646j),(-0.002920456064097122-0.002071298915627732j),(4.006307228287842e-05+6.125863485858323e-05j)
0.9,(-0.1225369151293575-0.2121995285505196j),(-0.008063662442790848+0.002537251070573142j),(0.4100288103295364+1.3593452959614631j),(-4.893496686981534e-07-5.453248911027945e-07j),(0.00010655408722148678-0.00015710874658201286j),(-0.00024143021302781105+0.00017728341064903602j),(4.458352515905624e-06-6.608274523931554e-05j),(-0.0004673628148045572-0.0010320217414339422j),(-0.0027820422229693645+0.009456439403490325j),(0.0006917649944553119+2.996301314316742e-05j),(0.0003657632790424417-0.00019966105783212007j),(0.2108064432642024-0.014649991620767092j),(-0.5967665049874771-1.1401593711698301j),(-0.005103143691683392-0.0031534505119208156j),(5.770591396006948e-05+9.039201757081709e-05j)
0.91,(0.18379610377943256-0.34426027271774j),(-0.008978634033592978+0.0029363144465166975j),(0.25448214801844543+2.4712329126136j),(-6.31217267624468e-07-6.29072111166651e-07j),(0.00011846611387513003-0.00014423050559111313j),(-0.0002783479821760437+0.0002204071977275488j),(8.822572031325627e-06-6.440403957148625e-05j),(-0.0007274778179985683-0.0012900330382804917j),(-0.003204350711883455+0.013858495895068164j),(0.0006536345752098319+0.00015252953699133274j),(0.0004655642327013901-0.00027991218556994217j),(0.3483315424335171-0.0696411591232518j),(-0.871445674673177-2.054819850460672j),(-0.007761865694679816-0.0038941296600038568j),(8.649781438006494e-05+0.0001164964488992022j)
0.92,(0.4620901209780202-0.6056453365055325j),(-0.00991416596261481+0.0032951129820553895j),(0.4507224331776604+3.765323811122612j),(-8.221842737402072e-07-6.538445616564541e-07j),(0.00013182066435866728-0.00012855369212208182j),(-0.0002964312339817477+0.00028208942378870754j),(1.3840790431892387e-05-6.165118166912595e-05j),(-0.0011558041753927202-0.0014814487558796267j),(-0.002028222809914008+0.01919771221329077j),(0.0006131210288682226+0.0002885345501330355j),(0.0005698883567955208-0.00036789965740347745j),(0.489505489425508-0.1599022986704427j),(-1.4728897961040994-2.9916861448828516j),(-0.0108029136629836-0.0041932077744774j),(0.00012506902338748602+0.00013610280516128186j)
0.93,(0.6671208597530894-0.9824913083359611j),(-0.01082428075511226+0.0035688227959478924j),(1.047778831146652+5.123673889928228j),(-1.033720854503304e-06-6.084738344225255e-07j),(0.0001460987229724283-0.00010995785941338585j),(-0.0002917218442340581+0.00035227892885001657j),(1.9387616229757698e-05-5.764392532960567e-05j),(-0.001723748223834329-0.0015308644443703197j),(0.0011238463556686408+0.024905499033528483j),(0.0005682973549941889+0.00043538762688833554j),(0.0006771389048789347-0.0004579380428785968j),(0.6261785871576284-0.28388042543751063j),(-2.398076736724041-3.847972116000166j),(-0.014086952145190183-0.004010073821774933j),(0.00017073655156316707+0.00014665695787697183j)
0.9400000000000001,(0.7672198794731788-1.4464657290590086j),(-0.011681352764444233+0.0037356123347558156j),(2.044468100764001+6.431325496860341j),(-1.2395163365980829e-06-4.928825858070246e-07j),(0.00016145021086436118-8.838545884390347e-05j),(-0.0002635432041859817+0.0004221635361441015j),(2.5516414356556026e-05-5.2338451753062556e-05j),(-0.002382645316681852-0.0013843381811118767j),(0.006381231623338208+0.030382453631522668j),(0.0005187171629720543+0.0005934617972607086j),(0.0007869097387496265-0.000543683614072726j),(0.7517910893627111-0.43747540111447164j),(-3.608711834299916-4.5404666707828945j),(-0.017475926145836946-0.003361772027514325j),(0.0002203196040260803+0.00014705388337214335j)
0.9500000000000001,(0.7447854861318521-1.9554167474527275j),(-0.012478628954290851+0.0037993766994440445j),(3.3904657065263577+7.578646698061142j),(-1.4159514631449753e-06-3.179824752946645e-07j),(0.000178772692339381-6.383352333184475e-05j),(-0.00021441204095714906+0.00048439030007915577j),(3.248350464375588e-05-4.5838219370768665e-05j),(-0.0030647349912267816-0.0010097583955833238j),(0.013630457036140405+0.03500750683209883j),(0.0004655321264202097+0.0007665001662996224j),(0.0009001231652390828-0.0006183646462714686j),(0.8615168509437222-0.6143013753407566j),(-5.03290434535457-5.0069526189459905j),(-0.02083816958024108-0.0023210758696979167j),(0.0002702107614322136+0.00013764722057431342j)
0.96,(0.6004949728656503-2.468208430209944j),(-0.013167763495272511+0.0037233098465991876j),(5.000747929829879+8.498012720540508j),(-1.5489472926600046e-06-1.0478386541494578e-07j),(0.00019856139412813755-3.589423755670825e-05j),(-0.00015010387411750744+0.0005341974772060088j),(4.047767382445904e-05-3.804462961507544e-05j),(-0.0036992327642879574-0.00040621841954103653j),(0.022544843797802618+0.0383290068483279j),(0.00040697129073806416+0.0009586809233884929j),(0.0010197441765132803-0.0006719722306115104j),(0.9551830103708145-0.8057228965038308j),(-6.586131511548623-5.228518883360139j),(-0.02408952469945597-0.0010554931526522118j),(0.000317474602881752+0.00012080898235047526j)
0.97,(0.3659116308687222-2.9440638340478333j),(-0.013598583900470633+0.0033531489065369317j),(6.714373370833701+9.193037816596792j),(-1.6419864543270842e-06+1.1800196277005766e-07j),(0.0002191222530147526-4.409536300719171e-06j),(-7.986852888546301e-05+0.0005709350480390524j),(4.898867696197808e-05-2.858829060686646e-05j),(-0.004232347245017313+0.00036841626625536616j),(0.03237360404162691+0.040364201059704j),(0.0003382266728430927+0.001162861241005779j),(0.0011486415999296482-0.0006832559883891172j),(1.0411170197813284-0.9945317398293301j),(-8.14755581614224-5.265763430574339j),(-0.02717721907865561+5.242061088556226e-05j),(0.0003606233234186662+0.00010194775433999241j)
0.98,(0.08008055793608737-3.365020821652946j),(-0.013618513994682111+0.002514003525358482j),(8.412228868287784+9.739828916610916j),(-1.7075496545220085e-06+3.3282097452479554e-07j),(0.00023927541883360533+3.0744882269396256e-05j),(-9.355962794149671e-06+0.0005966356087259387j),(5.7635844192892355e-05-1.719937198040097e-05j),(-0.004649145992263104+0.001275135051220097j),(0.04276096994476537+0.041484583049110006j),(0.00025539771352769573+0.0013745172111629307j),(0.0012945590936891916-0.0006280790998301416j),(1.1359412535602302-1.1681899208135649j),(-9.65398739547873-5.224563326403615j),(-0.030234973086985972+0.0005892160629886421j),(0.0004011980800091123+8.623297570510468e-05j)
0.99,(-0.21540643502482815-3.743202668254302j),(-0.013085111662398573+0.0010235802888975101j),(10.046570466905969+10.291302072857759j),(-1.7659998133510024e-06+5.366329753615023e-07j),(0.00025882765410998167+6.98728748283792e-05j),(6.0693996475755544e-05+0.0006158040418802257j),(6.633989963819145e-05-3.711477038410014e-06j),(-0.004978492581779872+0.0023093926207207738j),(0.053927936813179214+0.04239847614578391j),(0.00015529272047375364+0.00159510479122086j),(0.0014714317991985865-0.0004813302999092617j),(1.2646781181239903-1.322025871903744j),(-11.124306990409758-5.250068948462719j),(-0.033621907378290704+0.00015070213456450966j),(0.0004441935109302142+7.798760249096711e-05j)
1.0,(-0.4769401905068473-4.120226934973658j),(-0.01186809733783018-0.0013133495026726254j),(11.64137008316265+11.073766714484618j),(-1.8452880408295944e-06+7.409032980045715e-07j),(0.00027856875235189176+0.00011348748964509981j),(0.0001344468692919086+0.000635323328210555j),(7.532552349233973e-05+1.1952028065635431e-05j),(-0.005291892486778988+0.0035000566319958785j),(0.06665602397338377+0.04412438176275632j),(3.524826636523537e-05+0.0018321999705315968j),(0.0016997036870426-0.0002173133281325242j),(1.4603771724801813-1.4594868241679642j),(-12.658911835470102-5.523633114836187j),(-0.03792044553795717-0.0016489961195967772j),(0.0004979707355050161+8.060394892467846e-05j)
1.01,(-0.6809171325571395-4.55592610336854j),(-0.009795258464769956-0.00485133898650746j),(13.319843204654218+12.316322672347262j),(-1.966629910738035e-06+9.733258056995602e-07j),(0.0002987953231420729+0.0001625732401135827j),(0.0002200404077359938+0.0006591114641233501j),(8.468650957048805e-05+3.014929816858134e-05j),(-0.00565248099219097+0.004935010213273031j),(0.08240144197485093+0.04737316858471203j),(-0.00011103990932297424+0.0020935624582722593j),(0.0020094191427056486+0.0001930195443748984j),(1.761208167036139-1.5950837040804329j),(-14.443370970725082-6.200337968626256j),(-0.04393500993925057-0.005085857955581788j),(0.0005730011371887728+9.417164498738315e-05j)
1.02,(-0.8334121433024639-5.14139792609514j),(-0.006418557844509823-0.009973488392892301j),(15.344864823276705+14.32239110253347j),(-2.1334558612637846e-06+1.2745565789229022e-06j),(0.0003172927827569961+0.00021678030528232928j),(0.00032603214419185493+0.0006840981154043571j),(9.352372819565779e-05+5.107974346258832e-05j),(-0.006047457898583744+0.006868107990184862j),(0.10461171123769539+0.05272775687724179j),(-0.0002868430350425372+0.002367551024469433j),(0.0024259235577706157+0.0008136642824333452j),(2.2290898884332315-1.7472382900443266j),(-16.799361474107606-7.473109624958274j),(-0.05286950370475364-0.010694212687616953j),(0.0006845273138215723+0.00011597501410376933j)
1.03,(-0.9776128019771702-5.964061297528918j),(-0.0012897672855195132-0.01722936321916855j),(18.11153216119303+17.28632903322839j),(-2.3289338504415947e-06+1.6849993793018389e-06j),(0.00033249963396988965+0.00027598458062041867j),(0.00045997848272874873+0.0007020813179556529j),(0.0001011450019681291+7.492953675028427e-05j),(-0.0063238983995750845+0.009568014562491227j),(0.13717766483299146+0.05900665070657381j),(-0.0004963992210351461+0.0026472461697945758j),(0.002991949539331101+0.0017063446549727855j),(2.922979003280085-1.9592721195481246j),(-20.140787218926125-9.403233488933022j),(-0.06620702326447045-0.018598488662873634j),(0.0008466338333427407+0.0001370673764907576j)
1.04,(-1.1994630594284854-7.096159744540038j),(0.005966702370952332-0.027416524775379307j),(22.14706039167557+21.229839683693662j),(-2.5134117631821552e-06+2.2430647849673065e-06j),(0.00034403981360090765+0.00034090702923685387j),(0.0006284038638192338+0.0006993101539397675j),(0.00010731125496790393+0.00010205274024914631j),(-0.006172526158659173+0.013280147101490638j),(0.1839767568380119+0.06276185695011825j),(-0.000747650468902296+0.0029364042411688116j),(0.00377469946463915+0.0029195449611772377j),(3.8903302749905198-2.3052642613223213j),(-24.959087360400652-11.862547946941357j),(-0.08566161998534196-0.02830816072869123j),(0.001070399708749883+0.00014093474808184512j)
1.05,(-1.6276632381165128-8.594761426493367j),(0.015653801250878153-0.04158053018426938j),(28.11078263910617+26.00197246426739j),(-2.6244174112720936e-06+2.9851701905539315e-06j),(0.00035272269251713+0.0004131136818805616j),(0.0008368007643391696+0.000656484751779684j),(0.00011223651275470598+0.00013297130559150055j),(-0.005127713309206593+0.01822667535002026j),(0.24887306233622788+0.05827888529646729j),(-0.0010522426716052826+0.0032494574317629248j),(0.004865845481105255+0.004488510030484765j),(5.167096563783552-2.890051315339426j),(-31.82323633566275-14.533444366664195j),(-0.113178300171246-0.038717750232577106j),(0.0013638983980988832+0.00010349584052710546j)
1.06,(-2.4043315051349663-10.505277200950436j),(0.02912824645491019-0.06077234821390343j),(36.71868426011231+31.44626737820529j),(-2.588589158607365e-06+3.932851975848618e-06j),(0.0003565183793893707+0.0004924252383430371j),(0.0010813043070121119+0.0005522163821735622j),(0.00011478193479333279+0.00016774418004450456j),(-0.0024901610306962123+0.02452056058164465j),(0.33611415760108593+0.03757348198118617j),(-0.0014167328222934317+0.0035779636274999075j),(0.006330096092969458+0.006548795572293443j),(6.826886433593933-3.823934915110501j),(-41.38389233485309-17.096276948045258j),(-0.15140386369582493-0.04921622884083833j),(0.0017373591052140655-1.8197506073797223e-06j)
1.07,(-3.7124841313970762-12.802392757544192j),(0.047044028442683614-0.0864553193023366j),(48.648643243734696+37.0385511661423j),(-2.3179095674246726e-06+5.052909223267449e-06j),(0.00035318727935701693+0.0005785893684467394j),(0.0013415185224817053+0.00036388564074094266j),(0.00011386595090163084+0.00020661383658559634j),(0.002753251710786455+0.031996685581168936j),(0.4468001558028234-0.010498418700350336j),(-0.0018484250392221016+0.003910563375094751j),(0.008285473638697034+0.00916829900350438j),(8.888232993552077-5.249373793909591j),(-54.155178999368985-18.898056164017774j),(-0.20251644659187276-0.05795923154420661j),(0.00218654878149264-0.00020551737644958754j)
1.08,(-5.766747652695025-15.394614219109583j),(0.0689229655867172-0.12086580947839604j),(64.53227352198695+41.82782818820328j),(-1.7234254395173245e-06+6.28616196977189e-06j),(0.0003441219687729215+0.0006738233855105161j),(0.0015944326065548513+7.200606909139385e-05j),(0.00011004504875146823+0.0002505056481540884j),(0.011576790542582286+0.040116257598726286j),(0.5770476611022237-0.09870123149145124j),(-0.0023644765065248584+0.004266017401206894j),(0.010937320753679942+0.012290584942380061j),(11.281936692891685-7.359425849761565j),(-70.48038554529394-18.873762310480643j),(-0.2679932836221649-0.061104089277074836j),(0.0026910314890223382-0.0005433404513270809j)
1.09,(-8.758256786431565-18.154949369755016j),(0.09526250368351877-0.16664797937351097j),(84.88668202135571+44.792277733550215j),(-7.383517226681379e-07+7.5567610696463e-06j),(0.0003291699888846809+0.0007795164890969325j),(0.0018111005304755502-0.00033372825036462155j),(0.00010304298650125047+0.00030008206358182494j),(0.02485750187638129+0.04788165067481254j),(0.7192913920364705-0.24048403537830687j),(-0.0029808163634360025+0.004651229969755469j),(0.014487416706466772+0.015938637959031363j),(13.944409311174578-10.358923506534383j),(-90.61399738535204-15.910289785916094j),(-0.34965027136682536-0.05475684020324724j),(0.0032274131075504383-0.0010491756535716337j)
1.1,(-12.854574228446962-20.92094263542625j),(0.1275389174749325-0.22685314574010765j),(110.11433891663593+44.839774884444836j),(6.818967762974195e-07+8.772183610618697e-06j),(0.00030662455916043136+0.0008962238133330161j),(0.0019566287987755272-0.0008544342643492173j),(9.17464903798326e-05+0.0003557410243061587j),(0.04337526763696099+0.05383626419266675j),(0.8622861916127323-0.4499798239099332j),(-0.003712125544525236+0.005061172571636036j),(0.019133834596064894+0.020215178133056004j),(16.817817450540023-14.464409525576986j),(-114.72179336089204-8.846995233502124j),(-0.449643485967931-0.03497530080348978j),(0.003769359830041738-0.0017550411910474046j)
1.11,(-18.199690653018983-23.494675083906383j),(0.16820731064813932-0.3049397814516092j),(140.50307763093085+40.807890516248605j),(2.559705391511228e-06+9.823232913860755e-06j),(0.000273224577288849+0.0010236664269102581j),(0.0019901764492742313-0.0014820399487170844j),(7.420525468651907e-05+0.0004176159643699505j),(0.06781280526218643+0.0560645228782712j),(0.9911070273081622-0.7420055051981717j),(-0.004571836779697657+0.005478883924720578j),(0.02507094135194046+0.02530266105353852j),(19.850082535704733-19.9041370057193j),(-142.8808457418873+3.5243024588874547j),(-0.5704691831295113+0.002230934124469841j),(0.004287598162678554-0.002691086801150939j)
1.12,(-24.961210850385168-25.65191330555403j),(0.22132855181399108-0.4056624961390934j),(176.40814328434504+31.379559078463437j),(4.90124514316468e-06+1.0584832420281799e-05j),(0.0002247021486558288+0.001161065895842131j),(0.0018669734065891-0.0022028141194505137j),(4.7794539365603636e-05+0.00048558281585714386j),(0.09862187815269835+0.05214944294296743j),(1.0862491301000157-1.1317191965054025j),(-0.005575558461372242+0.005879179862012753j),(0.032544567465797924+0.031480893493629244j),(22.989153809529586-26.966007774884513j),(-175.20806158246717+22.600416972999923j),(-0.7155008644435237+0.061815176576724j),(0.004745712768882337-0.0038917588969373724j)
1.1300000000000001,(-33.2828132822196-27.070490098881848j),(0.2875326057629306-0.5354274851369386j),(217.72738724524407+14.784184184695533j),(7.66572207165983e-06+1.0926694743565334e-05j),(0.0001613703744204116+0.0013104963613587367j),(0.0015541012694183585-0.002987671816122723j),(1.2371183086615842e-05+0.00056074329209343j),(0.13523665219608114+0.03936091522276032j),(1.1204093062413323-1.6256807891279883j),(-0.006749905192984954+0.006269206780899624j),(0.041942027607804626+0.038766707400381684j),(25.98079982581999-35.944991516296405j),(-211.17689371518912+50.13255674306372j),(-0.88508055293892+0.1516520968166698j),(0.005082052820210328-0.005378039100686545j)
1.1400000000000001,(-43.12426069685674-27.354531617848842j),(0.3638669659454714-0.7000888387988258j),(263.47607269870457-10.735283490663747j),(1.0756843366892539e-05+1.0737459823710928e-05j),(8.484462967782441e-05+0.001475074596700226j),(0.0010292597714373819-0.003786970982514371j),(-3.1155286321054115e-05+0.0006450465774553385j),(0.17630936216020787+0.015019951297953485j),(1.0631880211204057-2.2229939075636898j),(-0.008121967230895661+0.0066648331742927515j),(0.0536088911630202+0.04697921264959376j),(28.446229774375748-47.00859712491253j),(-249.43351881765315+87.65070632529988j),(-1.0759993084736836+0.27909003112783054j),(0.005233553864165733-0.00714020389525275j)
1.1500000000000001,(-54.446607856608054-26.159202313853935j),(0.4513993038053673-0.9077813376267969j),(312.9228236315422-46.799939180618864j),(1.4075566301185394e-05+9.933166835780154e-06j),(-6.195543323631871e-06+0.0016565401323364285j),(0.00027586422025556077-0.004553885569188991j),(-8.370186937634862e-05+0.0007397608858804739j),(0.2198908686295471-0.023670310081860352j),(0.8822568523915727-2.9223473966171145j),(-0.009722273756964899+0.0070586816018525615j),(0.06793606626450169+0.05619208741650363j),(30.081862372212203-60.405329319168445j),(-288.9500335967232+136.68190868071676j),(-1.2874144184134595+0.45173302987566244j),(0.005145053156861073-0.009174618190317717j)
1.16,(-67.21958770369372-23.193955795231638j),(0.555427064476387-1.1690400032801003j),(365.6271028817478-94.8983318938833j),(1.7521666651351727e-05+8.457369289250462e-06j),(-0.00011606439062324927+0.0018552228743619874j),(-0.0007169698260625704-0.005245148664829705j),(-0.00014806528048909044+0.0008454396019278167j),(0.26342748470477934-0.07963241717488727j),(0.5433202762500241-3.7221598543177996j),(-0.011585075959121036+0.007419666240318507j),(0.08536535869557796+0.06674475287628172j),(30.663384168085997-76.47253027938456j),(-329.0586216651268+198.76491832708763j),(-1.5210168506957695+0.6775194640424101j),(0.004769193037593421-0.011484979317729658j)
1.17,(-81.42161136024366-18.222534827251735j),(0.685477466782323-1.4968000985752126j),(421.4392121384925-156.38646441488382j),(2.099373869869591e-05+6.281135028015043e-06j),(-0.00025206994654792305+0.0020700431044963774j),(-0.001954426558997423-0.005821052496239283j),(-0.00022892194795998822+0.0009619212807777332j),(0.3037609760028005-0.1559146052471374j),(0.010115667431770392-4.620579631920283j),(-0.013748347031360453+0.007692992883509102j),(0.10638947188985126+0.07924237320403156j),(30.045749542495056-95.63637964776748j),(-369.45155354145896+275.45020133895645j),(-1.781031253830029+0.9647220252271272j),(0.004066420928844365-0.014082317031503467j)
1.18,(-97.01028743203169-11.050433221370938j),(0.8524871689305986-1.90497905329255j),(480.24219843608756-232.44007776003565j),(2.4385975055326757e-05+3.405215098440093e-06j),(-0.0004225895539399184+0.002299050733127506j),(-0.003431901938736018-0.0062483893768372455j),(-0.0003316128588769833+0.0010887286830898668j),(0.337186960100468-0.2553701412550914j),(-0.753366277338439-5.612474464609302j),(-0.016249849274878988+0.00781563772597653j),(0.1314980800052403+0.09439083631337769j),(28.11213644413579-118.33099049262765j),(-409.9045257002713+368.1541247049595j),(-2.072575424292546+1.3212130871026546j),(0.0030034881963760147-0.016975541493224274j)
1.19,(-113.76340353135033-1.4596372063178418j),(1.05445743373747-2.4040194132461887j),(540.5544677512122-323.92382492203507j),(2.7578496138519536e-05-1.1821832378269366e-07j),(-0.0006249147769229787+0.0025438615940316825j),(-0.005115798145709835-0.0065080230682306416j),(-0.00045507841096397816+0.001227000341006075j),(0.3594731612041917-0.3786806027013074j),(-1.7727066676795438-6.6716245329687585j),(-0.019117473000706642+0.007788149904550548j),(0.16095050767383218+0.1121655924742434j),(24.441654732945885-144.6039436986514j),(-448.7181403535795+477.5466860364727j),(-2.391659506028177+1.7521375625324087j),(0.001546446547422139-0.020115890242150276j)
1.2,(-131.70824148810362+10.557112597662602j),(1.3180026028126797-3.0191784081131834j),(603.3465673448499-431.7912339263397j),(3.0509754441940722e-05-4.2105302330258816e-06j),(-0.0008701729277938129+0.0028010888085025828j),(-0.007006502763357316-0.006553297393660092j),(-0.0006079771257701026+0.0013724499868378991j),(0.36563218396911423-0.5284517871574657j),(-3.0885399397400404-7.796371324260575j),(-0.022411017450110444+0.0074495724438840595j),(0.19534139674364212+0.13417952211807183j),(19.102190737507435-175.21371639670141j),(-486.861395242622+605.3543813990516j),(-2.7485555403700586+2.2684288506500407j),(-0.0003030229489937742-0.023527918463379656j)
1.21,(-150.85987199777634+24.8614232941244j),(1.6715927396256882-3.7674523311714396j),(669.8222143964044-556.0419473390051j),(3.3154188818341985e-05-8.766151271611936e-06j),(-0.0011676098477611018+0.0030625297813904454j),(-0.009098362899498655-0.006358437249354097j),(-0.0007976006460350582+0.0015182267033112362j),(0.35182285141307496-0.7064146156340669j),(-4.725343423756277-8.988705294159448j),(-0.026142302175214044+0.0066448529551778445j),(0.2347387106500818+0.16203281094158417j),(12.391864985161842-210.7234744690021j),(-525.7995602811781+752.2997486072093j),(-3.1556309129920956+2.873931337752916j),(-0.002509089694881848-0.027230461508443844j)
