t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,A_0011,A_0012,A_0013,A_0014
0.54,(-0.20338365208746448+0.1499923658429175j),(0.002529492688948023-0.0023972574151146643j),(-0.14848898690769302+0.25963129555904974j),(1.7960314448605143e-06-2.275700948656907e-07j),(-0.0001457132447381275-0.00031252258505230345j),(-0.0011581779867286734-0.000857144434907546j),(-9.672224826034762e-05-5.1678392357700334e-05j),(0.00022804503778212104+0.0004850323132722927j),(-0.00043150737896424787-0.0010641158449351523j),(0.0007496404982259506-0.0018227937341564607j),(-6.55948078997499e-05-6.1116591468529e-05j),(0.005683107506219378-0.011140583114132359j),(0.05879966308192111-0.18723644357024094j),(-0.0005355109241104278-0.00013260610608302993j),(-1.3975330510498763e-05+1.6460215988949526e-05j)
0.55,(-0.1943401753448425+0.17848238218875745j),(0.0025515422367030738-0.002471125265233238j),(-0.09443599319683627+0.23165092583083377j),(1.6789122684905866e-06-3.664199610202261e-07j),(-0.00015458825398987928-0.0003016626172357669j),(-0.001165547032124669-0.0007207705295984914j),(-9.740302981704402e-05-4.837680298057889e-05j),(0.00027230925340830826+0.0004321510666934668j),(-0.000509907569267284-0.000950714068329651j),(0.0006420863389989876-0.0018043476552143368j),(-6.840560839844491e-05-6.752136182041082e-05j),(0.004567507579737516-0.00625141694994698j),(0.02968350806082005-0.16412707905263155j),(-0.00047792424186502824-0.00019478339810670805j),(-1.2669735129122449e-05+1.5917228215512606e-05j)
0.56,(-0.18168442355011555+0.20862833771547018j),(0.00255080272091384-0.0025549555903697937j),(-0.05138877213762681+0.18827703241636712j),(1.54630243183501e-06-4.7072912227461674e-07j),(-0.00016260166851983173-0.00028878258118466145j),(-0.0011473407186389155-0.0005852245280057582j),(-9.772372677762842e-05-4.464674645803284e-05j),(0.00030148143307044055+0.0003734269251160132j),(-0.0005445364857764968-0.000831846613117092j),(0.0005311687425269983-0.0017674868674995487j),(-7.246040367917427e-05-7.39681014020991e-05j),(0.0048589275131950506-0.0006997649869253005j),(0.00979631849068767-0.13223630824261562j),(-0.0004389107495630611-0.0002853313457448583j),(-1.1955448475462287e-05+1.5059547507102245e-05j)
0.5700000000000001,(-0.16464017353317312+0.240262490834939j),(0.0025261633817521448-0.0026439161309942468j),(-0.024677077435636297+0.13212659601564836j),(1.4104571832432087e-06-5.400961139402052e-07j),(-0.00016923896523226127-0.00027411967441606756j),(-0.0011055602655454515-0.00045822842675323527j),(-9.756880526393637e-05-4.05890644543243e-05j),(0.0003151064388838663+0.0003152406115178244j),(-0.0005350520051484026-0.0007295514745799725j),(0.0004216104954545471-0.0017119454626266738j),(-7.769908148609308e-05-8.026185385716764e-05j),(0.006849559737122211+0.005230083442341559j),(0.002778763860546214-0.09426126471278548j),(-0.00042658883444127686-0.0004008956839581732j),(-1.1955835825430794e-05+1.413292655882166e-05j)
0.58,(-0.1424623024106553+0.27297528161747875j),(0.00247720262515052-0.0027336840022510983j),(-0.01848669502666503+0.0667213199055651j),(1.2817689171897847e-06-5.760075543093357e-07j),(-0.00017407389121944531-0.00025796209940562277j),(-0.0010430572102186645-0.00034606077086513456j),(-9.684961122419708e-05-3.6311351692217014e-05j),(0.00031390833391918+0.0002628952432484674j),(-0.00048592569214612856-0.0006618614881720242j),(0.0003176629062248075-0.0016381462565826226j),(-8.405678472734517e-05-8.622339438584757e-05j),(0.010748429738608546+0.011205248146848958j),(0.011211887389792861-0.05339822762611776j),(-0.00044794473060279244-0.000536752757138713j),(-1.2727378758231195e-05+1.3375088042433324e-05j)
0.59,(-0.11443678758595165+0.30611533179183725j),(0.002404188022802203-0.002820445693959442j),(-0.035859443076741784-0.0035123700601089602j),(1.1687671742745101e-06-5.818381446553559e-07j),(-0.00017676846376166253-0.0002406490635875206j),(-0.0009635334081332851-0.0002535566537659864j),(-9.550437043303335e-05-3.192795595297617e-05j),(0.00029979038220222134+0.00022061633202918147j),(-0.00040644279963940967-0.0006428043295182095j),(0.00022310580507955763-0.001547200789726636j),(-9.146391147506349e-05-9.168922974502746e-05j),(0.01668139606130311+0.01684425807717901j),(0.036617106028200334-0.013342621735971755j),(-0.0005088325190170923-0.0006868095191099117j),(-1.4259675156357468e-05+1.3015724606358917e-05j)
0.6,(-0.07988070674920268+0.3387894447451931j),(0.0023080763121611425-0.002900897070612957j),(-0.07869317198212429-0.0732433254507096j),(1.0781186412223386e-06-5.62850669232615e-07j),(-0.00017707297032719255-0.00022257077935451208j),(-0.0008715410328643935-0.00018410771728064664j),(-9.349818849146169e-05-2.7559978076368636e-05j),(0.00027583504871407573+0.00019155178395288203j),(-0.000310702268604593-0.0006824025144147273j),(0.00014124754405918675-0.00144090932679029j),(-9.984611496536961e-05-9.651159824825304e-05j),(0.02469115030541421+0.021717051325500156j),(0.07945621045591623+0.021710982613908192j),(-0.0006139741275200274-0.0008436035331265681j),(-1.6475439205594298e-05+1.3276498875679387e-05j)
0.61,(-0.03814223787729892+0.3698626055231573j),(0.0021905133964419932-0.0029722433713799115j),(-0.1477417643692989-0.13623567525868485j),(1.0146271508833967e-06-5.26195995276464e-07j),(-0.00017482596857231608-0.00020416846405790475j),(-0.0007724825760874149-0.00013966215163429142j),(-9.082305082689217e-05-2.3335271960662828e-05j),(0.00024630399939107415+0.0001777718994841577j),(-0.00021761672812463417-0.0007866733988290094j),(7.492499700269132e-05-0.0013217608568774919j),(-0.00010912430359837401-0.00010055846976572745j),(0.03473721712770955+0.025344975125567458j),(0.13913136508346333+0.04706886948939412j),(-0.0007669593308138158-0.0009983029718748514j),(-1.9230501395017102e-05+1.4371043452134911e-05j)
0.62,(0.01139934076611876+0.39795798082977274j),(0.0020538343446201176-0.003032199210103162j),(-0.2426151350949802-0.18534882589959473j),(9.812336822329862e-07-4.80913073003257e-07j),(-0.0001699542863413149-0.00018593434000756294j),(-0.0006726108475781216-0.00012072469545241994j),(-8.749782269312855e-05-1.9388444562628726e-05j),(0.00021663810112479333+0.00018026937345927088j),(-0.00015091249538909938-0.0009576291788997194j),(2.6503559547675e-05-0.0011929330934644824j),(-0.00011921464093817608-0.00010371354572431113j),(0.046695954241516235+0.027200785852722537j),(0.21398510805173937+0.057538177365974275j),(-0.0009702457504670416-0.0011407066174723007j),(-2.2313808516992012e-05+1.6504960914124898e-05j)
0.63,(0.06933365063065955+0.42145691902751414j),(0.0019010633914315878-0.0030789885753001543j),(-0.36177923124611194-0.2125374612121107j),(9.790163603715865e-07-4.3792893561035045e-07j),(-0.000162473021666472-0.0001684116344719078j),(-0.000579028975212633-0.00012635663576085205j),(-8.356824917036823e-05-1.5860855897537855e-05j),(0.00019345742176205566+0.00019895929508615854j),(-0.00013912957569416507-0.001193276890936756j),(-2.1228508696499292e-06-0.0010582924743998338j),(-0.000130028545712864-0.00010587625910752182j),(0.060360552416720704+0.026708649023893527j),(0.3013003512320175+0.04742689912875292j),(-0.001225158854914657-0.001259243861467824j),(-2.5447423667175895e-05+1.9875823816708006e-05j)
0.64,(0.13621921287918204+0.4384989501372881j),(0.001735913937373183-0.0031113448301629213j),(-0.5025560321398663-0.20885154245801546j),(1.0071904565248495e-06-4.1005869927610214e-07j),(-0.00015248554276807135-0.00015219457967791724j),(-0.0004996904049674133-0.00015417580798572953j),(-7.910695516520222e-05-1.2900619039163343e-05j),(0.00018456123010492909+0.00023267914794443113j),(-0.00021562166244261795-0.0014876184114212506j),(-9.53179501446313e-06-0.0009223941619044525j),(-0.00014147269181451487-0.00010696177445553461j),(0.0754410354797688+0.02324413929759514j),(0.39730038022594594+0.010543882072450411j),(-0.0015318919594579795-0.0013409747048416976j),(-2.8286526244516334e-05+2.467317469160212e-05j)
0.65,(0.2119981409475552+0.4473832110069968j),(0.00155971003683264-0.0031282336218843793j),(-0.6609650804810195-0.1670355161965559j),(1.0630128052163528e-06-4.088666231301852e-07j),(-0.00014024434567938606-0.00013773094695582853j),(-0.00044159136918392076-0.00020074406400840604j),(-7.421393945163834e-05-1.0596900551864239e-05j),(0.0001970454244553334+0.00027940943498492595j),(-0.0004099764008358769-0.0018316212760248038j),(4.3243398101810715e-06-0.0007896374764024497j),(-0.00015340022492081533-0.00010685487666715642j),(0.09155241992741961+0.016301854957664733j),(0.4976357115785781-0.05786175730823361j),(-0.0018879069726972487-0.0013738804349771188j),(-3.048322236229052e-05+3.1014645351240666e-05j)
0.66,(0.2955783073481052+0.44573208079859944j),(0.0013695462677055003-0.0031284020070487016j),(-0.8279907576463104-0.08247864636549693j),(1.1362706995678498e-06-4.3924039566068587e-07j),(-0.00012620931052580744-0.00012511776068797873j),(-0.0004068420343220997-0.00025958063816834654j),(-6.899859157464339e-05-8.917868311267246e-06j),(0.0002336073011122128+0.00033135696441189766j),(-0.0007389604360129108-0.002187096145392064j),(3.69623250695131e-05-0.0006630062119266697j),(-0.00016558934567530842-0.00010537711609617748j),(0.10797315896863244+0.005575151900999595j),(0.594374025000098-0.15933083517234997j),(-0.0022836106341247732-0.0013465710356161827j),(-3.161786590987114e-05+3.8740581221669784e-05j)
0.67,(0.38645575412667965+0.429488051711068j),(0.0011695444684505468-0.0031112697137324493j),(-0.9907563456294369+0.05377676504819939j),(1.211813603010813e-06-5.081521651387488e-07j),(-0.00011075556688313307-0.0001147776740672487j),(-0.00039808479464914834-0.0003212757392999856j),(-6.356278697613815e-05-7.949241060159767e-06j),(0.0002973219951383893+0.00037598776303254106j),(-0.0012256590655177213-0.0024900155683686676j),(8.695147331575141e-05-0.0005465391404869174j),(-0.00017791642149539327-0.00010247612161239581j),(0.12373852588109858-0.009494861134269308j),(0.6753715860623024-0.2974218996449433j),(-0.0027079031849509168-0.001242817422642524j),(-3.108116195837783e-05+4.7613624090876254e-05j)
0.68,(0.4830136561654754+0.3951863687306314j),(0.0009631938601981954-0.0030764316407598654j),(-1.1358552895161051+0.24651590972658521j),(1.2756676014968378e-06-6.185240843649763e-07j),(-9.426327429274423e-05-0.00010702045365699352j),(-0.00041592937371206574-0.00037742024119998436j),(-5.8010087115062175e-05-7.750932425750225e-06j),(0.00038808826918278183+0.0004023489736795757j),(-0.0018744988717749197-0.002681763145263523j),(0.00015240352680378442-0.00044356123057270847j),(-0.0001902242980158319-9.812807776198776e-05j),(0.13785826571482424-0.029187107737607437j),(0.7292288962981731-0.4723440282472701j),(-0.0031471432015583666-0.0010505196389492778j),(-2.840054809430117e-05+5.72945384013308e-05j)
0.6900000000000001,(0.5824418772193409+0.3400369697546497j),(0.0007529451956381299-0.003023626727966901j),(-1.249419269033838+0.49597149871694507j),(1.3151682363613266e-06-7.688704796664111e-07j),(-7.712449319735291e-05-0.00010201849744650812j),(-0.00045876870372727656-0.0004207219226015524j),(-5.244608254771044e-05-8.348896063551764e-06j),(0.0005024195527181017+0.0004012308793720532j),(-0.002670092322773228-0.002709937904015988j),(0.000230870308791993-0.0003565838382538735j),(-0.0002023156410674623-9.233196061289025e-05j),(0.14932087817354692-0.05347646470214406j),(0.7454413218460765-0.6806977270367427j),(-0.003585011177043544-0.0007620741211682259j),(-2.3252134554796972e-05+6.733730496443673e-05j)
