t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,z_0011_00,z_0012_00,z_0013_00,z_0014_00
0.1,(0.10449533019080115+0.44811451910072486j),(0.3900750928545085+0.9041147704738575j),(0.13499657260612272-0.514461203694796j),(-1.864483484322734+0.8321245243874285j),(0.14610556965231655+1.5235962302256607j),(-0.4502256864717435+0.9105214523416267j),(0.41230679954824173+1.618056006161275j),(-1.0502319042728339+0.5164527757222067j),(-1.0539250314792332-0.5049757232521117j),(-0.07055697671113778+1.14221736619932j),(1.41599524170001+0.3179997378042388j),(0.6622208003041645-0.5235843693762648j),(-0.031676985375361386-0.6395419592231385j),(0.785555420755818-1.0232021209446527j),(-0.6296701309708381-1.6415728380113543j)
0.11,(0.11754451648350278+0.440992148275126j),(0.4043249880127781+0.8958225953297388j),(0.12249704866832493-0.5210910424053792j),(-1.8697208987224139+0.8191448293682585j),(0.15610344109362978+1.5213134834550417j),(-0.45484490329004085+0.9064993107843946j),(0.42651680543208337+1.613132047346627j),(-1.057204187995519+0.5002477079385342j),(-1.0468464102034716-0.5210227693358701j),(-0.0660667022723579+1.1409245358999718j),(1.4223224484198833+0.2857901560752252j),(0.6469822476197113-0.5442840649505334j),(-0.03724598497235958-0.6420315901110796j),(0.7684953667479568-1.0375501546661001j),(-0.6293660182811502-1.642894097193538j)
0.12,(0.13100708594186555+0.4332697899145325j),(0.4186684141729339+0.8871196544602981j),(0.1105043241380599-0.5271802171124944j),(-1.8747722856543716+0.8063892820691927j),(0.16622075148395457+1.5189625554622668j),(-0.4594203046959144+0.9024805806571876j),(0.4408046096460555+1.6080161124935497j),(-1.0638032993239688+0.48412959491518637j),(-1.0398013560874368-0.5364641742075689j),(-0.061462892514019936+1.1396412471212465j),(1.4278301376228801+0.25378310701382034j),(0.6316504823241064-0.5639632575384255j),(-0.04262950984016678-0.6444416864483613j),(0.7516886221796791-1.051252962028346j),(-0.6291983058427393-1.6441453601405325j)
0.13,(0.1448457645990039+0.4248645382784952j),(0.4330728906149677+0.8780403042061912j),(0.09900701064514637-0.5327671942044968j),(-1.8795963764472048+0.7939489369947557j),(0.17647085467599194+1.5165044806458816j),(-0.4639322746091083+0.8984623926404682j),(0.4551516042974938+1.602692655559247j),(-1.0700438977999374+0.4681378268416688j),(-1.0328115161049292-0.5513053554061561j),(-0.05673316126942541+1.13836361099092j),(1.4325579139559117+0.2220185308627184j),(0.6162818141604379-0.5826542138751153j),(-0.04784119042332492-0.6467695714460051j),(0.7351424979505152-1.0643343078325163j),(-0.629173937212119-1.6453228540152902j)
0.14,(0.1590169620028422+0.4157055187471735j),(0.4475072981593566+0.8686174318221054j),(0.08799199487624651-0.5378889931409028j),(-1.884113841306137+0.7819810765631284j),(0.1868435008012522+1.5139398824213945j),(-0.46836605590928326+0.8944600745489387j),(0.4695412619413942+1.5971787936186495j),(-1.0759403373939633+0.45230964253412204j),(-1.025897374731388-0.5655522364448087j),(-0.051830709140470464+1.1370728595025672j),(1.4365442483243007+0.1905342065108308j),(0.6009287566851333-0.6003891662714531j),(-0.052894179981013374-0.6490128395266582j),(0.7188635830529693-1.0768174914502873j),(-0.6293301963500982-1.6464092894076983j)
0.15,(0.17347077121611498+0.4057338878213356j),(0.4619418791670632+0.8588824554767589j),(0.07744443857486598-0.5425811864523897j),(-1.8883337222946746+0.7704915360504548j),(0.1973242622747266+1.5112773973256322j),(-0.47270794930125337+0.8904889628023568j),(0.4839577987047987+1.5914908218238835j),(-1.081506666505369+0.43668012943532103j),(-1.0190782539438918-0.5792112468109323j),(-0.04676043329751858+1.1357697240562903j),(1.4398264778917829+0.15936575149328616j),(0.5856400272679594-0.6172003126139655j),(-0.057801154587048986-0.6511693563245942j),(0.7028577445725195-1.0887253468238864j),(-0.6297312423890961-1.6473750690983349j)
0.16,(0.18815096881636667+0.3949028331223582j),(0.4763482375395355+0.848865324252901j),(0.06734777854135367-0.5468778997407961j),(-1.8922687749698974+0.7594788427109025j),(0.20789934925464845+1.5085251812291613j),(-0.47694510316737315+0.8865635339827346j),(0.49838617428679577+1.5856442134042699j),(-1.0867566279622607+0.4212822236146754j),(-1.012372313221159-0.5922893219661607j),(-0.04153373602508536+1.134457410396299j),(1.442440806080505+0.1285466219914299j),(0.5704605470920214-0.6331198163648549j),(-0.06257431312988612-0.6532372586857125j),(0.6871301276876175-1.1000802424660916j),(-0.6303710878284342-1.648221657168917j)
0.17,(0.20299501489595156+0.3831775733922265j),(0.49069933871870675+0.8385945181473119j),(0.05768372663290211-0.5508118116791212j),(-1.8959315408451165+0.7489409226622574j),(0.2185556096424931+1.505690909336289j),(-0.48106551356753774+0.882697404834339j),(0.5128120919585196+1.5796536196663244j),(-1.0917036590215288+0.40614670976822936j),(-1.005796549543547-0.6047939033463566j),(-0.036161548293935565+1.1331388638152267j),(1.4444223025710268+0.09810811283282506j),(0.5554314411537642-0.6481798065620004j),(-0.06722537731261653-0.6552149546675385j),(0.6716851556696887-1.1109040814602311j),(-0.6312414980028195-1.6489515817820712j)
0.18,(0.21793405306203412+0.3705353584935346j),(0.5049695096869959+0.8280970480708033j),(0.04843226976354714-0.5544141540115254j),(-1.899334347389875+0.7388751008859246j),(0.22928052908297789+1.5027817761850626j),(-0.48505802423918265+0.8789033322636913j),(0.5272219985631507+1.5735328699937583j),(-1.0963608913688474+0.391302221218662j),(-0.9993667973930525-0.6167329383616114j),(-0.030654329761083145+1.1318167691541305j),(1.4458049033023193+0.06807935749125149j),(0.5405900382629716-0.6624123778189567j),(-0.0717655916529695-0.6571011235392242j),(0.6565265298831324-1.1212183014601842j),(-0.6323342678943812-1.649567424032351j)
0.19,(0.23289291043658872+0.35696546940948476j),(0.5191344389673069+0.8173984558482178j),(0.03957166990416808-0.5577147115533301j),(-1.9024893080299474+0.7292781012269277j),(0.24006223096406237+1.4998044956472698j),(-0.4889123265972841+0.8751932133395675j),(0.5416030845159153+1.5672949718474765j),(-1.1007411511186753+0.3767752399152867j),(-0.9930977287533114-0.6281148803962449j),(-0.02502206876979112+1.1304935508024916j),(1.4466214104717658+0.03848732808670624j),(0.525969871042766-0.6758495903249551j),(-0.07620572348331175-0.658894715781547j),(0.6416572297853215-1.1310438746903804j),(-0.6336412221326704-1.650071817946235j)
0.2,(0.2477900976563997+0.34246921824388843j),(0.5331711766230295+0.8065228142184288j),(0.031078464082487683-0.5607418221910179j),(-1.9054083221473406+0.7201460463939093j),(0.25088947641694814+1.4967653009284392j),(-0.49261895973435854+0.871578085292998j),(0.5559432838040864+1.5609521107655802j),(-1.1048569588142543+0.3625900964340517j),(-0.9870028531095993-0.6389486888088054j),(-0.01927428234957173+1.1291713726982147j),(1.4469034925351623+0.00935683538540355j),(0.5116006759296098-0.6885234698449029j),(-0.08055606295064749-0.6605949530869107j),(0.6270795129266029-1.1404013079458004j),(-0.6351542149946608-1.6504674504821293j)
0.21,(0.2625378088730614+0.32705994822116513j),(0.5470581342580383+0.795492726834341j),(0.022927464383072027-0.5635223768822322j),(-1.9081030750802923+0.7114744579591308j),(0.2617516643160787+1.4936699445678392j),(-0.49616931042046314+0.8680681255172676j),(0.5702312739869826+1.5545156503633646j),(-1.1087205294276108+0.3487689699775399j),(-0.9810945174488311-0.6492438289320701j),(-0.013420016216186346+1.1278521383276285j),(1.446681684206716-0.019289471200225172j),(0.49750839317330364-0.7004660077193836j),(-0.08482642301661839-0.6622013283593451j),(0.6127949149502969-1.1493106425919746j),(-0.636865130404748-1.6507570615303648j)
0.22,(0.27704192175297815+0.3107630336863433j),(0.560775085016694+0.7843293282628903j),(0.015091757947330725-0.5660818196557774j),(-1.9105850381232725+0.7032582563584722j),(0.27263883127913985+1.4905236984384787j),(-0.4995556131031955+0.8646726515679163j),(0.5844564761959687+1.5479961323333202j),(-1.1123437723595548+0.33533188837496863j),(-0.9753839062595606-0.6590102720730444j),(-0.007467844771645436+1.1265374907254857j),(1.4459853864590464-0.04743110361153163j),(0.4837151668369877-0.7117091608646569j),(-0.08902613945750354-0.6637136057145061j),(0.5988042495926977-1.1577914545649852j),(-0.63876588193475-1.6509434439131994j)
0.23,(0.29120199747736425+0.29361588010505996j),(0.5743031635838421+0.7730522839850434j),(0.007542706973516861-0.5684441476116191j),(-1.9128654685269828+0.6954917608914323j),(0.28354165166705925+1.487331353747107j),(-0.5027709499076938+0.8614001211627379j),(0.5986090551344558+1.5414032764451324j),(-1.1157382914396812+0.3222967280821901j),(-0.9698810415319814-0.6682584955129629j),(-0.0014258711042087271+1.1252288124749628j),(1.4448428665231852-0.07504973514365004j),(0.4702393447971409-0.7222848517726584j),(-0.0931640708642196-0.6651318204796755j),(0.5851076086830735-1.1658628543714638j),(-0.6408484128039069-1.651029443384817j)
0.24,(0.3049112807422439+0.27566792406356083j),(0.5876248661848138+0.7616797903957986j),(0.0002499487167267611-0.5706319109208837j),(-1.9149554094983567+0.688168689721129j),(0.29445143758400666+1.4840972210342134j),(-0.5058092506366364+0.8582581321817812j),(0.6126799190779009+1.5347459805456816j),(-1.1189153849263673+0.309679214181691j),(-0.9645947827579262-0.676999482507288j),(0.00469827301161501+1.1239272257076593j),(1.443281257888576-0.10212920044549767j),(0.45709547874358164-0.7322249685110005j),(-0.09724859864232055-0.6664562791937613j),(0.5717043621436659-1.1735434870885937j),(-0.6431046958788809-1.6510179586313272j)
0.25,(0.31805669975845147+0.2569806332686999j),(0.6007240505854258+0.7502285748041845j),(-0.006818604511099724-0.5726662128258587j),(-1.9168656902005592+0.6812821598742986j),(0.30536013887739405+1.4808251301740285j),(-0.5086652927702426+0.8552534226673493j),(0.626660719873807+1.5280323205590427j),(-1.121886045506776+0.2974929203825927j),(-0.959532826930867-0.6852447222857115j),(0.010897427115067825+1.1226335921036j),(1.441326560303075-0.1286554955197748j),(0.444294324179467-0.7415613647229711j),(-0.10128762701199803-0.6676875596072975j),(0.5585931579896904-1.180851532364108j),(-0.6455267336737566-1.6509119412707667j)
0.26,(0.33051886625163124+0.2376275065479399j),(0.6135859360919796+0.7387138954332614j),(-0.013696765341179251-0.5745667096399929j),(-1.918606925752987+0.6748246872412966j),(0.3162603431378753+1.4775184303745221j),(-0.5113347014662721+0.8523918708240001j),(0.6405438529417237+1.521269550486486j),(-1.124660960296853+0.28574926902065123j),(-0.9547017085459153-0.6930062100521533j),(0.017164902059142582+1.121348512891232j),(1.439003639772949-0.15461677772296395j),(0.4318428404212934-0.7503258596275346j),(-0.105288583008081-0.6688265106824444j),(0.5457719223293362-1.187804704416291j),(-0.6481065583500404-1.6507143958530972j)
0.27,(0.3421720754622373+0.2176940738493527j),(0.6261971035512628+0.7271495414201204j),(-0.020420071347885094-0.5763516107478956j),(-1.9201895172312686+0.6687881865760968j),(0.3271452756993465+1.474179990177405j),(-0.5138139495600249+0.8496784950185459j),(0.654322457273246+1.5144641024064764j),(-1.1272505108413287+0.2744575310582572j),(-0.9501067995998218-0.7002964469847621j),(0.023494480010583026+1.1200723288474275j),(1.436336228562879-0.18000336576533144j),(0.4197441905988964-0.7585502380193316j),(-0.10925841648003592-0.6698742525929878j),(0.5332378593637663-1.194420252033977j),(-0.6508362317166615-1.6504283798602073j)
0.28,(0.35288430614553407+0.1972778962416178j),(0.6385454953505482+0.715547832815884j),(-0.02702578504874717-0.5780376786053375j),(-1.9216236516672642+0.6631639714962924j),(0.33800879963894565+1.4708121974581287j),(-0.5161003575643417+0.8471174537800535j),(0.6679904154320156+1.507621586474674j),(-1.1296647731137168+0.2636248260844359j),(-0.9457523095909766-0.7071284402359149j),(0.02988041444988377+1.1188051202974816j),(1.4333469251959559-0.20480773971092586j),(0.4079977416554501-0.7662662502686788j),(-0.11320360009196678-0.6708321767243401j),(0.5209874513871173-1.200714958576552j),(-0.6537078452299708-1.6500570037059117j)
0.29,(0.3625172205715956+0.17648856591402423j),(0.6506204154175935+0.7039196205857052j),(-0.033552329552551254-0.5796398259398674j),(-1.9229193020490658+0.6579427544830947j),(0.34884541577705275+1.4674169594258843j),(-0.5181920936696036+0.8447120457998446j),(0.6815423535537202+1.5007467909239336j),(-1.131913517516316+0.2532561223148474j),(-0.941641285519409-0.7135157029322177j),(0.036317430171290195+1.1175467071151137j),(1.4300571944536842-0.22902454097757857j),(0.39659906434746844-0.7735056123215689j),(-0.11713012932261488-0.6717019456735397j),(0.5090164587865-1.206705141973951j),(-0.6567135199937417-1.649603430735951j)
0.3,(0.3709261645253062+0.15544770617646914j),(0.6624125292206424+0.6922742866087686j),(-0.039983887669393356-0.5811344239386456j),(-1.9240862273209969+0.6531146468813345j),(0.3596502626772903+1.4639957026236037j),(-0.5200881737437322+0.842464709931495j),(0.6949736413460932+1.493843682064305j),(-1.1340062088802079+0.243354236591786j),(-0.9377756118867877-0.7194722541745048j),(0.04280072328279872+1.116296648722467j),(1.4264873673759797-0.25265057233690386j),(0.3855399332448038-0.780300005699671j),(-0.12104352246535924-0.6724854932492507j),(0.49731992004199843-1.2124066547266612j),(-0.6598454067591696-1.649070877227992j)
0.31,(0.3780287148369304+0.13427109849966337j),(0.6739138637684241+0.6806197436782895j),(-0.04630068885454658-0.5825026595637326j),(-1.9251339723836132+0.6486691588994606j),(0.3704191166465223+1.4605493729279588j),(-0.5217884613321897+0.8403770251908352j),(0.7082803920889145+1.486915404283033j),(-1.1359520064652586+0.233919834384181j),(-0.9341560106964211-0.7250126190378393j),(0.049325961206156406+1.1150542440901086j),(1.4226566412611703-0.2756847979142995j),(0.37480832673064784-0.7866810775003303j),(-0.12494882062821608-0.6731850244717635j),(0.4858921517266704-1.2178348839057196j),(-0.663095685924872-1.648462612391628j)
