N,E [H]
1,-15.54977620096364
2,-15.555359918977473
3,-15.558038517965397
4,-15.559759057539985
5,-15.56043975003233
6,-15.560495231187883
7,-15.560987387916171
8,-15.56121457964073
9,-15.561405048967947
10,-15.56181713441638
11,-15.563850654184378
12,-15.56426955042506
13,-15.56440277625331
14,-15.565332219383517
15,-15.565737214046475
16,-15.565950059866754
17,-15.566444277425479
18,-15.566872532356403
19,-15.56714015562645
20,-15.567612921055613
21,-15.567710455211904
22,-15.567712027108815
23,-15.567876069675766
24,-15.568157244802988
25,-15.56837127757624
26,-15.568534155747107
27,-15.569144712372104
28,-15.569323123630614
29,-15.569490011052043
30,-15.569520801138196
31,-15.569573968035106
32,-15.569751132833696
33,-15.570109573830527
34,-15.570377777019674
35,-15.570773400119327
36,-15.57086738892375
37,-15.571141997388597
38,-15.571305194859368
39,-15.571901275291903
40,-15.57190378110247
41,-15.571908152166303
42,-15.572256226760059
43,-15.57234001348629
44,-15.57235806939975
45,-15.572577216501015
46,-15.572771072725828
47,-15.573476590391856
48,-15.575485118747807
49,-15.575551586710473
50,-15.576257417850815
51,-15.57638860292779
52,-15.57641721288582
53,-15.577055157560986
54,-15.577238714492148
55,-15.577886570998224
56,-15.578453881659502
57,-15.578457260798151
58,-15.578498169229631
59,-15.578593171844918
60,-15.57860978612394
61,-15.578734192474176
62,-15.578894803134594
63,-15.579029076161655
64,-15.579064213829684
65,-15.579157023869682
66,-15.579502909405528
67,-15.579505615237132
68,-15.57953524855353
69,-15.57985738418979
70,-15.579914231903102
71,-15.579971904414062
72,-15.579979672909626
73,-15.579998153218575
74,-15.580085698542916
75,-15.580158191926996
76,-15.580187977268105
77,-15.580363133025473
78,-15.580477436177576
79,-15.580615932870122
80,-15.58063313059254
81,-15.580701980154371
82,-15.580727052540567
83,-15.58077392343492
84,-15.580774059332002
85,-15.580792731536025
86,-15.580906246587563
87,-15.581025822456049
88,-15.581527227052163
89,-15.581569283706973
90,-15.581685310922476
91,-15.581687691765708
92,-15.581690301512918
93,-15.581752150703831
94,-15.581819467120667
95,-15.582055578968815
96,-15.582055840302933
97,-15.58209026747913
98,-15.582091641390704
99,-15.58214564950821
100,-15.58219811721933
101,-15.582199552338572
