t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00
1.31,(0.2761326162623752-0.04287390822695505j),(0.3924767534228758+0.25660813595384363j),(1.1963528555123382-0.21328385263997898j),(1.5454869085121907+0.7807366588688059j),(0.10376724602123048+0.023403117729439194j)
1.32,(0.27704941167591-0.04580089036737338j),(0.38776158664752186+0.25405596439131267j),(1.19967267604132-0.21457554495557976j),(1.5336501700149685+0.7723584370890251j),(0.10335482746401332+0.01739505336341404j)
1.33,(0.2780159492480051-0.048454566356298766j),(0.38313409329987685+0.2517359736674899j),(1.2028666814418794-0.2159960511389135j),(1.5226596812979512+0.7638787439060792j),(0.10306197971548012+0.011663773446860152j)
1.34,(0.27902601422325357-0.05084251437509812j),(0.378587240465886+0.24963910696585193j),(1.205938689776601-0.2175462280115955j),(1.5124641908137946+0.7553206274679438j),(0.10288256815473026+0.006201756576962646j)
1.35,(0.2800737557961064-0.05297338415869951j),(0.3741141807084859+0.24775537563517414j),(1.2088929949047134-0.21922606045080814j),(1.5030126713054848+0.7467043207223886j),(0.1028106682218076+0.0010004389910861248j)
1.36,(0.28115370113352356-0.05485686096446798j),(0.3697082653439359+0.2460738805703132j),(1.211734368962746-0.22103467348022093j),(1.4942544460475171+0.7380476444825438j),(0.10284059035107979-0.003949763045628722j)
1.37,(0.28226076611648926-0.056503624199133115j),(0.3653630564777084+0.24458283772100425j),(1.214468067634157-0.22297035201600868j),(1.4861392956219017+0.7293663826139933j),(0.10296690306886024-0.008659424688852769j)
1.3800000000000001,(0.2833902629978632-0.057925301002263355j),(0.3610723380630478+0.24326960774494463j),(1.2170998377159978-0.225030567745902j),(1.478617550477231+0.7206746285565241j),(0.10318445424260994-0.013140077933738399j)
1.3900000000000001,(0.2845379052133371-0.05913441512371588j),(0.3568301262504169+0.2421207298031336j),(1.219635926379805-0.2272120125358516j),(1.471640173652888+0.711985102607508j),(0.10348839048409728-0.01740417120179645j)
1.4000000000000001,(0.28569980961527286-0.06014433146384254j),(0.3526306792957703+0.2411219594779971j),(1.2220830914351553-0.22951063767919144j),(1.465158837238344+0.703309439538917j),(0.1038741747227411-0.021465023353124217j)
1.41,(0.2868724964252198-0.06096919666889574j),(0.34846850728969986+0.24025831077815857j),(1.2244486118397282-0.2319216982280154j),(1.4591259953813653+0.6946584462243043j),(0.10433760197779132-0.025336772434138743j)
1.42,(0.28805288721948946-0.06162387619022553j),(0.3443383819578213+0.23951410217760116j),(1.2267402976604966-0.23443980157708202j),(1.4534949559601702+0.686042329039099j),(0.10487481336881285-0.029034319517412432j)
1.43,(0.2892383012730377-0.06212388822491878j),(0.34023534676530437+0.23887300662106375j),(1.2289664986771176-0.23705895940855373j),(1.4482199523947932+0.6774708908863473j),(0.10548230841297108-0.03257326802977781j)
1.44,(0.29042645059002026-0.06248533495814449j),(0.336154727535252+0.23831810541137366j),(1.231136110830115-0.2397726420532202j),(1.4432562164940455+0.6689536978052489j),(0.10615695566474725-0.03596985899751124j)
1.45,(0.2916154339449022-0.06272483152446336j),(0.3320921437619181+0.2378319458775333j),(1.2332585797515623-0.2425738342825843j),(1.4385600527192473+0.6605002152524011j),(0.10689600175885729-0.039240902663277274j)
1.46,(0.29280373024623346-0.06285943309768473j),(0.3280435207658202+0.2373966027041784j),(1.2353439006724136-0.2454550915184726j),(1.434088913797407+0.6521199143121915j),(0.10769707892027174-0.04240370694898655j)
1.47,(0.29399019151665234-0.06290656050754137j),(0.32400510279909234+0.2369937427829444j),(1.2374026140754124-0.24840859543465615j),(1.4298014772380423+0.6438223482965556j),(0.1085582110063434-0.045476003252303936j)
1.48,(0.2951740357579587-0.06288392476756209j),(0.3199734671664696+0.2366046934237771j),(1.2394457965520156-0.25142620793009185j),(1.4256577220026176+0.6356172004348765j),(0.10947781814519522-0.04847587007287195j)
1.49,(0.2963548399399379-0.06280945088309019j),(0.3159455393807885+0.23621051373883528j),(1.2414850464220009-0.25449952247719415j),(1.4216190043460812+0.6275143036287385j),(0.11045472003179727-0.05142165496808927j)
1.5,(0.2975325333168348-0.06270120129239155j),(0.3119186093225933+0.23579206898300675j),(1.2435324637810625-0.2576199118918839j),(1.4176481316976248+0.6195236335471497j),(0.11148813793870374-0.05433189533822077j)
1.51,(0.2987073912368266-0.06257729927808146j),(0.3078903483222847+0.2353301076029869j),(1.245600624750322-0.2607785716353573j),(1.4137094333724172+0.6116552766572257j),(0.11257769549240028-0.05722523853740761j)
1.52,(0.29988002956844234-0.06245585267139204j),(0.3038588270312415+0.23480534071134512j),(1.247702549808017-0.26396655784023393j),(1.4097688269054436+0.6039193751127158j),(0.11372341825883342-0.060120361801419074j)
1.53,(0.30105139982454143-0.06235487815865725j),(0.29982253389661984+0.23419852366322336j),(1.249851666183617-0.26717481935507226j),(1.405793878868289+0.5963260507467247j),(0.11492573217319359-0.06303589247526596j)
1.54,(0.3022227850201124-0.06229222648817489j),(0.2957803940042971+0.23349053937172187j),(1.2520617643846976-0.270394223219647j),(1.4017538591628123+0.5888853107234628j),(0.11618546083965973-0.06599032901447702j)
1.55,(0.3033957962557128-0.06228550886649482j),(0.2917317880069682+0.2326624829543208j),(1.2543469490041035-0.27361557311685625j),(1.3976197879728705+0.5816069376850652j),(0.11750382171686699-0.06900196322317872j)
1.56,(0.30457236997472564-0.06235202482616009j),(0.28767657081103476+0.23169574725781014j),(1.2567215840169812-0.2768296204932112j),(1.3933644747850562+0.5745003674723999j),(0.11888242119462339-0.07208880418021821j)
1.57,(0.3057547658006264-0.06250869184180036j),(0.2836150896579896+0.2305721087643466j),(1.259200232822749-0.2800270681958515j),(1.3889625491484046+0.5675745576936372j),(0.12032324855718236-0.07526850429138822j)
1.58,(0.30694556482096547-0.06277197696787705j),(0.2795482012047746+0.2292738133378258j),(1.2617975933153762-0.2831985666369976j),(1.3843904831165512+0.5608378505533206j),(0.12182866881848102-0.07855828789117211j)
1.59,(0.30814766814855643-0.06315783076880736j),(0.27547728718429143+0.22778366122934254j),(1.2645284282768199-0.2863347026638358j),(1.3796266055885071+0.5542978334319884j),(0.12340141440548648-0.0819748828010393j)
1.6,(0.30936429555814865-0.06368162381003277j),(0.27140426821293556+0.22608509072481603j),(1.267407491384209-0.2894259814801933j),(1.3746511090207583+0.5479612007185659j),(0.12504457565745086-0.08553445523281317j)
1.61,(0.3105989839693137-0.06435808597615525j),(0.2673316153075919+0.22416225978865817j),(1.2704494491033904-0.2924628021334224j),(1.3694460492093377+0.541833620343583j),(0.12676159010174015-0.0892525484045814j)
1.62,(0.3118555855239804-0.06520124887881054j),(0.2632623586806022+0.22200012503642125j),(1.273668798712398-0.29543542724339383j),(1.3639953390230246+0.535919608341799j),(0.12855623046123119-0.09314402521259106j)
1.6300000000000001,(0.3131382649904999-0.06622439161175195j),(0.2592000933981481+0.21958451735834236j),(1.2770797826616043-0.2983339478084506j),(1.3582847370972633+0.5302224145908275j),(0.13043259134429525-0.09722301527515932j)
1.6400000000000001,(0.31445149621570845-0.06743999010298701j),(0.255148981515301+0.2169022135160909j),(1.280696299436593-0.3011482440740517j),(1.352301832565126+0.5247439226324289j),(0.1323950745662925-0.10150286663349772j)
1.6500000000000001,(0.31580005734244904-0.06885967030313103j),(0.2511137503393422+0.21394100304804659j),(1.2845318110493207-0.30386794359241603j),(1.3460360269022358+0.5194845661907673j),(0.13444837305144025-0.10599610235925414j)
1.6600000000000001,(0.31718902451255887-0.07049416543490904j),(0.24709968652115114+0.210689749844954j),(1.2885992472474448-0.3064823777348658j),(1.3394785138962875+0.5144432646636671j),(0.13659745326598074-0.11071438227941685j)
1.67,(0.3186237637844217-0.07235327751059197j),(0.24311262573144307+0.2071384477982836j),(1.2929109065053508-0.3089805380420568j),(1.332622258621441+0.5096173794855132j),(0.13884753613780154-0.1156684699860506j)
1.68,(0.32010992100968194-0.07444584330189397j),(0.2391589377430148+0.20327826997805157j),(1.2974783538481005-0.3113510339102739j),(1.3254619761099762+0.5050026928509803j),(0.14120407642403254-0.1208682052513706j)
1.69,(0.32165340943530335-0.07677970492046955j),(0.23524550681025724+0.19910161086469857j),(1.3023123155657588-0.31358205321378624j),(1.3179941101778077+0.5005934098542285j),(0.1436727404965655-0.126322481918306j)
1.7,(0.32326039482439195-0.07936168513680908j),(0.23137970731110283+0.19460212123984844j),(1.3074225709046918-0.31566132755302895j),(1.3102168125892946+0.4963821846454177j),(0.14625938252577303-0.13203923128355335j)
1.71,(0.3249372779214797-0.08219756753139981j),(0.22756937469225008+0.1897747354318135j),(1.3128178408784765-0.31757610389482593j),(1.3021299224550211+0.49236017074219013j),(0.14897001905471505-0.1380254109349101j)
1.72,(0.3266906741245628-0.08529208153504891j),(0.2238227718338221+0.1846156907115562j),(1.3185056744275265-0.31931312443216914j),(1.2937349454598845+0.4885170951649046j),(0.15181080196954722-0.14428699894832184j)
1.73,(0.32852739026627387-0.08864889237596907j),(0.22014855102248776+0.17912253874102346j),(1.3244923322763964-0.3208586165346455j),(1.2850350322348012+0.48484135559792163j),(0.15478798988634537-0.15082899329359004j)
1.74,(0.3304543984492148-0.09227059591046406j),(0.21655571179053829+0.17329414908559204j),(1.330782668993074-0.3221982946830292j),(1.2760349549300591+0.4813201393223642j),(0.15790791798975598-0.15765541624219032j)
1.75,(0.33247880692472415-0.09615871827279486j),(0.21305355494071268+0.16713070491282542j),(1.337380013946607-0.3233173762784443j),(1.2667410808372304+0.4779395622264543j),(0.16117696637435833-0.16476932351731108j)
1.76,(0.3346078280492004-0.10031372023910329j),(0.20965163313123017+0.16063369110778689j),(1.344286052088059-0.32420061318238896j),(1.2571613417529977+0.4746848257860513j),(0.16460152695493369-0.17217281787622843j)
1.77,(0.33684874339657644-0.10473500616121012j),(0.20635969844138233+0.153805875137739j),(1.3515007057435595-0.32483234077237555j),(1.2473051976928469+0.4715403895294j),(0.16818796902653046-0.1798670667696536j)
1.78,(0.3392088661487144-0.10942093728977086j),(0.20318764737441067+0.146651281093318j),(1.359022018903733-0.32519654618160326j),(1.2371835935526903+0.4684901561656803j),(0.171942603568845-0.18785232368282537j)
1.79,(0.34169550092651757-0.1143688492737068j),(0.20014546378088136+0.1391751574165892j),(1.3668460458157732-0.32527695722188305j),(1.2268089073853368+0.46551766627618096j),(0.17587164640158656-0.19612795272989308j)
1.8,(0.3443159012627069-0.11957507359498482j),(0.19724316020239271+0.13138393889656058j),(1.3749667460249726-0.32505715325852713j),(1.2161948891057457+0.46260629924897606j),(0.1799811803077834-0.2046924560474338j)
1.81,(0.34707722495189497-0.12503496267553132j),(0.19449071814259342+0.12328520356798782j),(1.3833758883612342-0.3245206990057137j),(1.205356588659093+0.459739476991202j),(0.18427711625010676-0.2135435035155098j)
1.82,(0.3499864875443715-0.13074291837700672j),(0.19189802777083523+0.11488762518843479j),(1.3920629667095374-0.32365130183337454j),(1.1943102729700334+0.4569008668843206j),(0.18876515381101466-0.22267796432608372j)
1.83,(0.35305051427663936-0.1366924236048314j),(0.18947482755427733+0.10620092199088282j),(1.4010151307250724-0.3224329927156544j),(1.1830733313276343+0.45407458046206034j),(0.19345074099072926-0.23209193991925198j)
1.84,(0.3562758907541118-0.14287607672552835j),(0.1872306442980101+0.09723580241462404j),(1.410217134934407-0.32085033040278066j),(1.1716641692330394+0.4512453643904559j),(0.19833903349776907-0.24178079781784173j)
1.85,(0.35966891271960677-0.14928562851118923j),(0.18517473405100707+0.0880039085061809j),(1.4196513098813963-0.3188886277623336j),(1.160102091128559+0.44839878051394433j),(0.2034348536651083-0.2517392059104501j)
1.86,(0.363235535255594-0.1559120213365233j),(0.18331602430970093+0.07851775765551564j),(1.4292975591062873-0.3165341985165891j),(1.148407172819269+0.4455213719969986j),(0.2087426491213386-0.26196116676179826j)
1.87,(0.3669813217789817-0.1627454303721009j),(0.18166305792195142+0.06879068329223195j),(1.4391333857628723-0.3137746218094867j),(1.1366001247729902+0.44260081293024367j),(0.2142664513409348-0.27244005156695467j)
1.8800000000000001,(0.37091139319509653-0.16977530654143805j),(0.18022393906328874+0.05883677511356129j),(1.4491339525559237-0.3105990211860578j),(1.1247021478244197+0.43962603917299814j),(0.22000983419151432-0.2831686334119845j)
1.8900000000000001,(0.37503037758304036-0.17699042103863316j),(0.17900628162561122+0.04867081935269146j),(1.4592721783951956-0.30699835368233425j),(1.1127347830989789+0.4365873586577994j),(0.22597587258963484-0.2941391195571683j)
1.9000000000000001,(0.3793423607884839-0.18437891123632405j),(0.17801716032688666+0.038308239524605714j),(1.4695188746923746-0.3029657038358272j),(1.1007197581993415+0.4334765398714379j),(0.23216710137114344-0.30534318251918074j)
1.9100000000000001,(0.3838508383028939-0.19192832784955055j),(0.17726306481958792+0.02776503800932025j),(1.4798429235585144-0.29849657657416334j),(1.0886788318536806+0.43028687773470664j),(0.23858547447845907-0.3167719897944593j)
1.92,(0.38855866881086243-0.1996256832583225j),(0.176749857046159+0.017057738751493287j),(1.4902114992850077-0.2935891821674192j),(1.0766336393045002+0.4270132366122719j),(0.2452323245665939-0.3284162321361716j)
1.93,(0.39346802979024265-0.20745750092879942j),(0.17648273206218154+0.006203331272998066j),(1.5005903334147765-0.2882447057881885j),(1.0646055407194042+0.423652070677882j),(0.25210832313343035-0.3402661503703311j)
1.94,(0.39858037555369824-0.21540986590842312j),(0.1764661825223799-0.004780783886726822j),(1.5109440224486956-0.2824675537650861j),(1.052615474833141+0.42020142232285007j),(0.25921344128896084-0.3523115608111659j)
1.95,(0.4038963981253962-0.2234684764024973j),(0.1767039670013265-0.015876848267062697j),(1.5212363758158756-0.27626556839223254j),(1.040683819889884+0.41666089971357617j),(0.26654691129402674-0.3645418794101708j)
1.96,(0.40941599135306517-0.23161869646695926j),(0.17719908229975534-0.027066797158980846j),(1.5314308002110242-0.2696502032167159j),(1.0288302637550584+0.4130316349656273j),(0.274107189022538-0.37694614484555755j)
1.97,(0.4151382186634255-0.23984560987292092j),(0.17795373986873672-0.038332309963321126j),(1.5414907148277024-0.26263665110645046j),(1.0170736848182484+0.4093162246992997j),(0.2818919175330199-0.38951304082721866j)
1.98,(0.42106128487772293-0.24813407521151992j),(0.17896934646752383-0.04965485940615978j),(1.5513799904656378-0.25524391812751906j),(1.0054320450252983+0.40551865496964123j),(0.2898978919761025-0.4022309179548685j)
1.99,(0.42718251251312495-0.2564687823114785j),(0.1802464891564998-0.06101575983712544j),(1.561063404045577-0.24749483734020977j),(0.9939222960717488+0.40164421272080525j),(0.29812102611436575-0.41508781552176266j)
2.0,(0.433498323004146-0.26483431003550434j),(0.18178492471413749-0.07239621488158911j),(1.5705070988134215-0.23941601804329468j),(0.9825602994740249+0.397699386001528j),(0.3065563207894647-0.4280714837013778j)
