t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004
0.25,(-0.0002659462838325167-0.001255104605168066j),(-4.78869788733231e-08+1.5039891249589506e-07j),(-0.0012652457888679245-0.0027449782361053743j),(4.407900708132416e-09+5.908054771518516e-09j),(6.865116726992698e-06+6.198526783616314e-06j)
0.26,(-0.0006442255638730135-0.0012565885648422373j),(-1.700672071974028e-08+2.0141815592467616e-07j),(-0.0019024391784131364-0.002194936607955056j),(5.840442830303241e-09+3.6908223464843407e-09j),(9.807677987774618e-06+6.2379588865708845e-06j)
0.27,(-0.0010374988814313847-0.001149283568983418j),(3.3418630652561314e-08+2.534776958937775e-07j),(-0.002338274234855653-0.00153003947331003j),(6.3568312164405425e-09+1.355857996456744e-09j),(1.3291666655619243e-05+5.6376011438539825e-06j)
0.28,(-0.0014146500008491672-0.0009271124412783848j),(1.0601621825132232e-07+3.014591080492028e-07j),(-0.0025652945378324067-0.0008137572638237141j),(6.0839462864998155e-09-7.975957578743034e-10j),(1.7235133343999572e-05+4.186575884433822e-06j)
0.29,(-0.0017429794222290533-0.0005930137726351088j),(2.0215736807261882e-07+3.3920412684189967e-07j),(-0.0025928378563014084-0.00010353174343242537j),(5.212288838098644e-09-2.568504454398707e-09j),(2.149491117368404e-05+1.6765530700958138e-06j)
0.3,(-0.0019908523537456473-0.00015915127714606292j),(3.216406477493311e-07+3.598646887122069e-07j),(-0.0024431577636574355+0.0005525430576247472j),(3.9527063112836234e-09-3.850995352281595e-09j),(2.586416781855131e-05-2.0816513323268903e-06j)
0.31,(-0.002130273123847779+0.0003536544028923109j),(4.6249101616598827e-07+3.5633699119455353e-07j),(-0.0021473341650961302+0.0011175430441266426j),(2.504463908665273e-09-4.61921298841984e-09j),(3.0074583425910326e-05-7.240595394329746e-06j)
0.32,(-0.0021391643446015637+0.0009171916559518981j),(6.208935816699018e-07+3.217358025506856e-07j),(-0.0017413890090404542+0.0015662491835038853j),(1.0353478260439194e-09-4.906572243222586e-09j),(3.3803287366211564e-05-1.3899246140400793e-05j)
0.33,(-0.002003174878587512+0.0014976837572639305j),(7.91263474347852e-07+2.498633063064615e-07j),(-0.0012628897723805362+0.0018846728785340567j),(-3.276501339830933e-10-4.784346104637024e-09j),(3.6684233051355215e-05-2.208788075301826e-05j)
0.34,(-0.001716898620370651+0.002057999710966322j),(9.664376766476141e-07+1.356311978381561e-07j),(-0.0007481991290355762+0.002068867338208821j),(-1.4995739687040418e-09-4.34276265485011e-09j),(3.83232908305982e-05-3.1756008958856964e-05j)
0.35000000000000003,(-0.001284447946418075+0.002560060059562193j),(1.1379625129706808e-06-2.4595825419939736e-08j),(-0.0002304256967684199+0.002123303257743924j),(-2.4334122076817737e-09-3.6762106570259764e-09j),(3.8316042857373206e-05-4.276415849072511e-05j)
0.36,(-0.0007193840945941801+0.002967252542452529j),(1.2964431643110155e-06-2.327546036485646e-07j),(0.00026194711990048353+0.002059047054011625j),(-3.113126503562922e-09-2.872956451021003e-09j),(3.6267100776445427e-05-5.4879984669396646e-05j)
0.37,(-4.405536331802599e-05+0.0032466930265464527j),(1.4319201612447285e-06-4.889417402356654e-07j),(0.0007058291983876486+0.0018919291535714835j),(-3.5457057168598835e-09-2.0089990835935646e-09j),(3.180977536592289e-05-6.777878799757239e-05j)
0.38,(0.0007115702926584594+0.0033711973388894302j),(1.53424419053276e-06-7.913668839339294e-07j),(0.0010837931115576735+0.0016408373139319586j),(-3.7535423734852844e-09-1.145286039298031e-09j),(2.462517682245913e-05-8.10482310447305e-05j)
0.39,(0.001511452020160709+0.003320877683932836j),(1.593408295343274e-06-1.1363953659901767e-06j),(0.0013839582638583178+0.001326212426821741j),(-3.7679044301455894e-09-3.273577390722077e-10j),(1.4459274970577966e-05-9.419641217143203e-05j)
0.4,(0.0023153015952290697+0.0030842977820505746j),(1.5998341338009863e-06-1.5186484045771202e-06j),(0.0015996011719518856+0.0009688001250378901j),(-3.623800797616399e-09+4.1341218893292e-10j),(1.1378990294062416e-06-0.00010666297245926137j)
0.41000000000000003,(0.0030805537079329763+0.0026591735000318713j),(1.5445945666053797e-06-1.9311382325018092e-06j),(0.0017285902976962252+0.0005886624888987155j),(-3.3562824707577086e-09+1.057717208892851e-09j),(-1.5420901768601687e-05-0.00011783207373014064j)
0.42,(0.003764374828483134+0.0020526306288784703j),(1.4195720486906662e-06-2.365411825434048e-06j),(0.001772727221572837+0.00020443894784761017j),(-2.9980265462189925e-09+1.5958904077946539e-09j),(-3.519712189182931e-05-0.00012704643607515674j)
0.43,(0.004325620724938556+0.0012810532107814584j),(1.217561129142395e-06-2.8116784186207705e-06j),(0.001737058086933307-0.0001671699250990434j),(-2.5779676520490372e-09+2.025510219939901e-09j),(-5.806137346076422e-05-0.00013362172992724923j)
0.44,(0.004726672204003603+0.0003695706629637094j),(9.323296352291908e-07-3.2589003036089843e-06j),(0.0016292014275516582-0.0005117304243068678j),(-2.1207213974622985e-09+2.3492564585929763e-09j),(-8.3769260813594e-05-0.00013686079505329963j)
0.45,(0.004935099501276333-0.0006487612376784484j),(5.586585404923521e-07-3.6948315111000632e-06j),(0.001458722532530774-0.0008172528461865782j),(-1.6465622741314271e-09+2.5731233580720686e-09j),(-0.00011195689714623802-0.00013606741105033724j)
0.46,(0.004925124900969902-0.0017340302946250341j),(9.238454994531695e-08-4.105994747261708e-06j),(0.0012365711104749693-0.0010742538548774016j),(-1.1717558564600717e-09+2.705019875345858e-09j),(-0.00014213683486865873-0.00013055963027622743j)
0.47000000000000003,(0.004678869036270218-0.002840738689022312j),(-4.6952762946262703e-07-4.47759302951469e-06j),(0.0009745884326062144-0.0012757364479611688j),(-7.090888030967592e-10+2.7537398027903792e-09j),(-0.0001736936918580911-0.00011968298593589679j)
0.48,(0.004187377870290548-0.003919233454037766j),(-1.1288541690041411e-06-4.793358777528813e-06j),(0.0006850822877442101-0.0014171146788613436j),(-2.68481849547117e-10+2.7282585331312075e-09j),(-0.0002058788448775765-0.00010282419062957951j)
0.49,(0.0034514340242122335-0.004917266475838888j),(-1.8858912011246676e-06-5.0353498164269116e-06j),(0.0003804627120166747-0.0014961044018984419j),(1.42393572022295e-10+2.637302937369096e-09j),(-0.0002378037268697721-7.942623349662334e-05j)
