N,E [H]
1,-107.4959750091581
2,-107.50597469539213
3,-107.52598130402497
4,-107.5260122794359
5,-107.52601339527246
6,-107.52611652469812
7,-107.52702350629025
8,-107.53674302142986
9,-107.5369617171357
10,-107.53761687410137
11,-107.53780849036244
12,-107.54407819401108
13,-107.54874233763091
14,-107.55028499287258
15,-107.55114952122096
16,-107.55571931887421
17,-107.5579744267652
18,-107.55837148988087
19,-107.55901709030944
20,-107.55908801656604
21,-107.56267487265278
22,-107.56845486690048
23,-107.57257973706338
24,-107.57369698754665
25,-107.57419040635492
26,-107.57421098317452
27,-107.57454543903037
28,-107.57712304298077
29,-107.57745171617846
30,-107.58017092121575
31,-107.58121578479155
32,-107.58596682010521
33,-107.58738590443578
34,-107.5884364524699
35,-107.58850297981856
36,-107.58924241187863
37,-107.58927667672071
38,-107.58937068467885
39,-107.59006325342428
40,-107.59082124208607
41,-107.59139942627414
42,-107.59184118055941
43,-107.5921741094654
44,-107.59274878947562
45,-107.59280850023053
46,-107.5936309333981
47,-107.59417925535293
48,-107.59418533653525
49,-107.59419686869889
50,-107.59431748350059
51,-107.59440656980765
52,-107.59501311170636
53,-107.59502023600616
54,-107.59552734629496
55,-107.59635343493937
56,-107.59641324992982
57,-107.59680428917329
58,-107.59821084340393
59,-107.59907526167315
60,-107.59936536962275
61,-107.60014446342505
62,-107.60055526351923
63,-107.60068846114663
64,-107.6007814643454
65,-107.6013882132914
66,-107.60165941699317
67,-107.60180158158126
68,-107.60189612311402
69,-107.60308019623392
70,-107.60388483642288
71,-107.60390201275375
72,-107.60395057793576
73,-107.60404579481461
74,-107.60417901601295
75,-107.60471548028113
76,-107.60471908420996
77,-107.6050549464226
78,-107.60525225833398
79,-107.60535019868804
80,-107.60568369828897
81,-107.60578676072203
82,-107.60591577221498
83,-107.60606255541818
84,-107.60649870195915
85,-107.60671271519577
86,-107.60707954220268
87,-107.60728204368597
88,-107.60749283266107
89,-107.60787828353129
90,-107.60831586016504
91,-107.60860730531168
92,-107.60914558334395
93,-107.60934100209589
94,-107.60989177059587
95,-107.60998167738516
96,-107.61001421415385
97,-107.61026730916947
98,-107.61067364010457
99,-107.61074507238382
100,-107.61114658337766
101,-107.61159417164549
