t,S_00,S_01,S_02
0.0,0.018691588785046724,0.0467289719626168,0.934579439252336
0.01,0.01784425238881305,0.05572338317507463,0.9276018615010273
0.02,0.016969222215306508,0.06520458645588537,0.920698520981506
0.03,0.01606182833597376,0.07498672922769643,0.9119526029803439
0.04,0.015150105030576604,0.08491337091565104,0.9019395233144079
0.05,0.014271423762780178,0.09503393961846598,0.8932766595911518
0.06,0.013435833760369444,0.10525954931949866,0.8856387143234763
0.07,0.012639661871495156,0.1153992485729737,0.8771508276959318
0.08,0.011902424380805469,0.1252275321597266,0.8671903826473268
0.09,0.011254527808807811,0.13484353636209048,0.8580469884666354
0.1,0.01071462430059115,0.14426845544906838,0.8505289855496144
0.11,0.010283906726722318,0.1533456766972677,0.8433379045665119
0.12,0.009972430665748709,0.161793041080716,0.8349688820963552
0.13,0.009799232653894308,0.1696273016145191,0.8264449845813056
0.14,0.009780525949529101,0.17708524763800573,0.8197186013555123
0.15,0.009921897390273387,0.18407155327257457,0.8142115532302359
0.16,0.010225624339429624,0.1903243172611462,0.8083478333833203
0.17,0.010696966250222274,0.19570675090848422,0.8016826330484982
0.18,0.011344182552880753,0.2004875276317734,0.7959978335258495
0.19,0.012171739816055193,0.2047945512673779,0.791972344959804
0.2,0.013177656516131337,0.20846841995402207,0.7886598438619957
0.21,0.014354649071954162,0.21127228987887955,0.7847677943636423
0.22,0.015695854777879787,0.213262696369526,0.7805844555729912
0.23,0.017204174129279316,0.2147482808244746,0.7776544609951532
0.24,0.01887391174458672,0.21577939291467432,0.7760426873813536
0.25,0.020693755647737986,0.2162066837221539,0.7748960618077652
0.26,0.022642517005193416,0.21588764154476273,0.7732745069780917
0.27,0.024704165953117408,0.2149217225827965,0.7714304279429759
0.28,0.02687894290672886,0.21356816435524725,0.770519936761659
0.29,0.02915664927101233,0.2119132645417499,0.7707045066248684
0.3,0.03151830388619827,0.20987512952038717,0.771419408332504
0.31,0.03393403335771078,0.20735603859975435,0.7718533464860272
0.32,0.03637852482609179,0.20440245038787827,0.7718496092050847
0.33,0.03884521910963427,0.20119438861583933,0.7720787424607577
0.34,0.04133479242154542,0.1978925861831587,0.7731981156805893
0.35000000000000003,0.04382644141640607,0.19450372943694283,0.7749352284722786
0.36,0.046292965625320044,0.1909713368475761,0.7767601329456303
0.37,0.048702229496535715,0.18727590418774015,0.7781457626789602
0.38,0.05103553614282045,0.18349041080893225,0.7791058383892198
0.39,0.05329269530550969,0.17974488881375747,0.7801596188246628
0.4,0.055477649054247756,0.17614540089683184,0.7817787127552454
0.41000000000000003,0.05757356354919558,0.17270835254736353,0.7837678469023905
0.42,0.0595576781153854,0.16940723842937713,0.7857760418600197
0.43,0.06140457220889299,0.16622791729841488,0.7873828071183767
0.44,0.0631000010844967,0.16319955981385292,0.7884635405822978
0.45,0.06464497343408711,0.16038524186620096,0.7892551912249883
0.46,0.06605004650383733,0.15785306872036256,0.7901796224888911
0.47000000000000003,0.06731916233653715,0.15563851489400993,0.7913962569170611
0.48,0.06844305214403293,0.15373156579591263,0.7927324509326219
0.49,0.0694089009167727,0.1521059150900474,0.793936378745373
0.5,0.07020624324720787,0.15074067917875875,0.7947456377162193
0.51,0.07083386236710656,0.14963147896558016,0.7950755036409427
0.52,0.07130075295906828,0.14878918879872857,0.7950603836620616
0.53,0.07162244727095442,0.1482313374860071,0.7949820578633536
0.54,0.07181436922537733,0.14796849292334033,0.7951016670938821
0.55,0.07188313805557381,0.1479819530018147,0.7953755635709339
0.56,0.07182909532340044,0.1482364893351937,0.7956940636086569
0.5700000000000001,0.07165090965577744,0.14868722413533658,0.7958396305664189
0.58,0.07135223094822289,0.14929375797617392,0.7956433068699422
0.59,0.07094656095891756,0.15003490366166516,0.7951575685514286
0.6,0.07044701425995607,0.15088669507013325,0.7944393730227807
0.61,0.06987418832159584,0.15184581943236394,0.7937605376930558
0.62,0.06925055929825008,0.15291697514611624,0.7934498392358668
0.63,0.06858700975868806,0.15406751291781065,0.793451029574746
