t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019,B01_A_0000
1.31,(0.22726072306839598-0.15542782762805968j),(7.457900787527315e-08-8.385243837405374e-08j),(-6.276923808076145e-07-3.2832867877934835e-06j),(-7.570151055345475e-06+0.00019068393669362905j),(0.0002887573967639759-2.732074260146413e-06j),(4.976695382892358e-10-7.061559369375925e-09j),(0.0015978414895613646+0.00011426846287605156j),(-4.6784007281583275e-06+1.5385725249472842e-06j),(-2.4296993355874783e-05+3.299062793807763e-05j),(-0.0018892131887268569+0.0005195352139774299j),(4.316442385209457e-06+3.7648435900175127e-07j),(7.111649305791286e-07+1.016737995956467e-07j),(-0.0015591861565283829+0.00038099661598206883j),(0.002632654549310044+0.0009449352818125692j),(7.164641733899788e-20+5.0313606725631676e-20j),(8.691626975197405e-22-4.60848578969117e-21j),(-3.083712033775497e-07+1.942448764706196e-07j),(2.4572008642742618e-11+2.1742832506720213e-11j),(-0.0010686321382333268-0.0002058581120237889j),(1.6617538602305947e-05+1.541184128939667e-05j),(0.23272523144157078-0.1583409902920233j)
1.32,(-0.004074719778747538-0.27479321255651806j),(1.5754398335025507e-07-4.4296372606142595e-08j),(-1.7572965742435253e-06-4.004786546311595e-06j),(0.00010483614100182604+0.00012861536819118495j),(0.00022388358738938724-0.0002345801287442192j),(1.8104611222492422e-09-6.631850137772742e-09j),(0.0012114908776912196-0.00095970366064112j),(-6.9794060692251265e-06+3.4344224084499173e-06j),(2.2989181551138343e-05+8.595105359365585e-06j),(-0.0010283824628435675+0.0013858394447686523j),(4.479015195824739e-06-4.811438620864531e-07j),(8.434336407302983e-07-4.493503966628637e-07j),(-0.000699694745023403+0.0012005564582602496j),(0.002323153875572026-0.0011425249507394579j),(1.0002619639203716e-19-7.061814168187631e-21j),(-1.663749205395706e-21-4.151483714275568e-21j),(-3.0906819350560006e-07+3.834854943620655e-07j),(1.791920573410364e-11-2.067528005451791e-11j),(-0.0009111205995399796+0.0007639648970254366j),(1.610757427243658e-05+3.574435295047687e-06j),(-0.0033901556909312885-0.28106485671842096j)
1.33,(-0.2316994874625253-0.14850537281197126j),(2.497717661252723e-07+5.212370375434139e-08j),(-3.4765217334049093e-06-4.463921754132769e-06j),(0.00014400325070198678+2.3496622942670965e-05j),(-1.8917026868722872e-05-0.000357283750747285j),(3.0904493333677496e-09-6.104855407137136e-09j),(0.0002632577558315186-0.0014595521239284459j),(-9.571990136069118e-06+7.311847673979041e-06j),(1.5288633341560325e-05-3.24483072161015e-05j),(2.02073299820952e-05+0.0015071625295986087j),(4.48933284580335e-06-1.3349318301554369e-06j),(5.350554596928742e-07-1.1330981955185431e-06j),(0.00031963897658235526+0.0011501731535512494j),(0.0007318164206777604-0.002273060417301365j),(8.505088231358575e-20-7.819415250622183e-20j),(-3.5056754753331054e-21-2.4925821039391378e-21j),(-2.2851538758358008e-07+6.119390775397319e-07j),(-2.0054764338264553e-11-1.6275468535219414e-11j),(2.05640406013305e-05+0.0012951406787865215j),(1.13016624838788e-05-3.431706793809337e-06j),(-0.23661329327259073-0.15266302225832393j)
1.34,(-0.25289946446200123+0.1117657056316926j),(3.459681812948205e-07+2.318210160466843e-07j),(-5.811088798078551e-06-4.334824730660685e-06j),(0.00010891591567141289-6.97038745336072e-05j),(-0.00030137780349717735-0.0002463262310542113j),(4.3699507939547304e-09-5.466474616832548e-09j),(-0.0007101138204832413-0.0012318462660710558j),(-1.1409210248844217e-05+1.4286175080611984e-05j),(-2.4214857371119137e-05-4.088159821316457e-05j),(0.0007920409061544249+0.001037935382025817j),(4.384786478216031e-06-2.169195764166728e-06j),(-3.3318086838848594e-07-1.5857607170693407e-06j),(0.0008898075459864157+0.0004935607777317992j),(-0.0010362581367450883-0.0019377428368811049j),(2.1396373278818786e-20-1.3135664482642324e-19j),(-4.175371881850699e-21-1.7158908792974602e-22j),(-3.643145031589049e-08+8.468723126733923e-07j),(-1.6838373513002864e-11+2.1976682309631845e-11j),(0.0011067593126169273+0.0008683840229496122j),(5.8420259155635905e-06-5.90326171756913e-06j),(-0.2592297942403418+0.11358135189679346j)
1.35,(-0.04675045366561123+0.27476540713110115j),(4.4514152298226095e-07+5.386412881799681e-07j),(-8.645419902205433e-06-3.2062834826075764e-06j),(2.9790062268850945e-05-0.0001110861257508167j),(-0.0004140953626684807+6.955621158486445e-05j),(5.684338924963125e-09-4.690011792208855e-09j),(-0.0012790984457043012-0.0004926414231554115j),(-1.023019229224022e-05+2.522382575675691e-05j),(-5.3168157360919566e-05-1.1787174308875203e-05j),(0.0010730820756156203+0.0003263717776044829j),(4.192096673130381e-06-3.0014177674144265e-06j),(-1.571104222031197e-06-1.3444176931326317e-06j),(0.000826663020459849-0.0002385229446288351j),(-0.0019427803904773586-0.0005523581572350545j),(-7.330826343430967e-20-1.3378477667112113e-19j),(-3.516070035255838e-21+2.1202520381171915e-21j),(2.8371028981120153e-07+1.037411545800683e-06j),(2.6557006701629075e-11+2.0442133293852248e-11j),(0.0014848119189234928-0.0003396562232288082j),(1.7093865378791413e-06-5.46924391704579e-06j),(-0.04879213938670664+0.2812153182396811j)
1.36,(0.2056289678334876+0.19281894051363505j),(5.607342483103913e-07+1.0471863420496214e-06j),(-1.165249154711446e-05-6.164329854481417e-07j),(-4.7819024716319185e-05-9.034953043019277e-05j),(-0.00023056759752263932+0.0003894485424459939j),(7.073425340552184e-09-3.734395856864998e-09j),(-0.0012808866600480292+0.0003886736205521414j),(-2.292710460768139e-06+3.973124919573557e-05j),(-4.942418053678014e-05+2.852792880638883e-05j),(0.0009093893786220314-0.0002936557933803164j),(3.9042228501092295e-06-3.868521705434091e-06j),(-2.6034368920892226e-06-1.1665966904644282e-07j),(0.0003516628805718744-0.0006301133277233128j),(-0.0016058280024646814+0.0009322429717078589j),(-1.5933409531219617e-19-6.847999843483259e-20j),(-1.7281366052791253e-21+3.698430322203836e-21j),(7.24392050602938e-07+1.1213287031861103e-06j),(2.94843502258037e-11-3.4254551433206095e-11j),(0.0007228950431509806-0.001476413275515043j),(-5.96056844853654e-07-3.8285337333486465e-06j),(0.2100250613651645+0.19824793666974821j)
1.37,(0.27835327437401447-0.06595370080094413j),(7.454151821849602e-07+1.8806912147301879e-06j),(-1.4186714652289564e-05+3.886879370982251e-06j),(-8.567940452421244e-05-2.9017932987073605e-05j),(0.00016803659322963595+0.00046230444853752675j),(8.584487564003748e-09-2.540643112403329e-09j),(-0.0007792275797684537+0.0010810692351423741j),(1.7187832078612917e-05+5.460338343195959e-05j),(-1.97604777734415e-05+5.2950608156144875e-05j),(0.0005004143793321599-0.0006336705744155564j),(3.460454924960182e-06-4.797281965204374e-06j),(-2.633858065088359e-06+1.899745778496228e-06j),(-0.00015706023007385959-0.0005792893500809244j),(-0.0004078783202328746+0.0016600700055432334j),(-1.8859374797205547e-19+5.066187262980147e-20j),(6.555025412425607e-22+4.0504101273399706e-21j),(1.2486419920959056e-06+1.0385080083278222e-06j),(-4.477987203061641e-11-4.9369295220782655e-11j),(-0.0007463697390161353-0.0016036031289820237j),(-1.4274253399612807e-06-2.1308375524990814e-06j),(0.28557105300140617-0.066664277395967j)
1.3800000000000001,(0.10055488088262299-0.2733555031434942j),(1.145295868441353e-06+3.226452506407327e-06j),(-1.5151718348109903e-05+1.0550301589077383e-05j),(-7.19640342660211e-05+3.371927833703573e-05j),(0.0005126372664301744+0.00017876551507607527j),(1.0277512165913349e-08-1.0265685782317815e-09j),(3.657158711681491e-05+0.0013552869881511677j),(5.223934817648147e-05+6.212633882589893e-05j),(1.5350513874669078e-05+5.156838700524431e-05j),(6.590159404115464e-05-0.0006732635847440186j),(2.764473505413983e-06-5.762184643565816e-06j),(-1.0692639410715515e-06+3.861368134762398e-06j),(-0.00042462426066146905-0.00025440290968779843j),(0.0008443002491465324+0.0013327286727305117j),(-1.2844209850295625e-19+1.7576819947665602e-19j),(2.8763418721801346e-21+3.0074796426029644e-21j),(1.7930164390660595e-06+7.450395256059684e-07j),(-9.055778581248602e-11+5.36713711857965e-11j),(-0.0018411955277978392-0.0004584947132537893j),(-1.398990276388998e-06-8.935001808233796e-07j),(0.10408149031982815-0.2800548115094418j)
1.3900000000000001,(-0.17597000971947746-0.2399356073627026j),(2.1026065801773625e-06+5.324298494691782e-06j),(-1.298405802224199e-05+1.9023216662521837e-05j),(-2.4519666527634013e-05+6.468755924556675e-05j),(0.0005218160792238591-0.00031461278562588567j),(1.2234957403422104e-08+9.201985850623438e-10j),(0.0008930750354210243+0.0010851483427164932j),(0.00010244648926160032+4.926868581558709e-05j),(3.87998443627433e-05+3.10196589258721e-05j),(-0.0002456503305702632-0.0005054056883556323j),(1.7280195339900096e-06-6.66454953467299e-06j),(1.9597274997348226e-06+4.491939176596852e-06j),(-0.00039507290325483855+8.773868360577505e-05j),(0.001432356287998701+0.0002868408794224113j),(1.4299418475813416e-20+2.399065293186594e-19j),(4.164102178964239e-21+8.500700981789934e-22j),(2.276746294035923e-06+2.2348093894027036e-07j),(4.3420040884335136e-11+1.6894874530613356e-10j),(-0.0016192834184044368+0.0012238735744524688j),(-1.0320052946091236e-06-1.8995407384292474e-07j),(-0.1797952808028584-0.2468977362746294j)
1.4000000000000001,(-0.3046291456387492+0.014266959609664414j),(4.316512690953858e-06+8.371019848984705e-06j),(-5.963547656236175e-06+2.783942161685405e-05j),(2.384708252687793e-05+5.460660516602299e-05j),(0.00011635113362025696-0.0006825016686223009j),(1.4577583779374102e-08+3.452304030737859e-09j),(0.0014439364241684719+0.00029796144202673327j),(0.0001574955529744236-4.1196078041970743e-07j),(4.449791507370906e-05+4.644931719562676e-06j),(-0.00038428134271131645-0.0002578913418018675j),(3.1750696032873007e-07-7.3406277269943e-06j),(5.299118866108748e-06+2.708427529425245e-06j),(-0.00018577871706335197+0.00027022880861139384j),(0.0011089448623628952-0.000782888576242747j),(1.8285313242169576e-19+1.8914946316453863e-19j),(4.003716767949508e-21-1.7269075518448988e-21j),(2.6148890258092464e-06-5.131307790685368e-07j),(2.9593774269237433e-10+3.3407800559573507e-11j),(-7.00061345813574e-05+0.0021645895783348004j),(-6.372346592486104e-07+1.1325036631494075e-07j),(-0.31297422307164297+0.013570214205049756j)
