t,B00_z_0000_00,B00_z_0000_01,B00_z_0001_00,B00_z_0001_01,B00_z_0002_00,B00_z_0002_01,B00_z_0003_00,B00_z_0003_01,B00_z_0004_00,B00_z_0004_01,B00_z_0005_00,B00_z_0005_01,B00_z_0006_00,B00_z_0006_01,B00_z_0007_00,B00_z_0007_01,B00_z_0008_00,B00_z_0008_01,B00_z_0009_00,B00_z_0009_01,B00_z_0010_00,B00_z_0010_01,B00_z_0011_00,B00_z_0011_01,B00_z_0012_00,B00_z_0012_01,B00_z_0013_00,B00_z_0013_01,B00_z_0014_00,B00_z_0014_01,B00_z_0015_00,B00_z_0015_01,B00_z_0016_00,B00_z_0016_01,B00_z_0017_00,B00_z_0017_01,B00_z_0018_00,B00_z_0018_01,B00_z_0019_00,B00_z_0019_01,B01_z_0000_00,B01_z_0000_01
0.54,(0.24509277620067657+0.14795326296895275j),(-0.1980548026530639-0.13099509591312106j),(-0.5459212676358041+0.15106800686662403j),(-0.04928593367838387-0.38384474470860114j),(0.7859356601933283-0.6540820903098643j),(0.18414468887465257-0.8292333368482102j),(0.17766224245831297+0.10833772566402118j),(-0.39994810910491674-0.8218944871646408j),(0.6555035736006565-0.279499877803613j),(-0.05409405316366399+0.5715722105400889j),(-1.0806674125175395-0.5553621980361162j),(-0.0927794422420838+1.4045217813417703j),(-1.8913037430182411+0.8529540605249968j),(-0.3403670964119415-0.20402191506597808j),(-0.49752832989156026-0.28317120365647563j),(0.0566104443317191-0.2413821540918096j),(-0.417714344074797-2.6935196409455866j),(2.127697533617648-0.09043416320009291j),(-2.327171917391296+0.3889581062266919j),(-1.1964522498008696-0.5745399406988843j),(0.22928387050124566-0.24056832408806908j),(0.6503844631131592-0.3189585032763112j),(-4.64489955867003-1.3994070210118703j),(0.4194661149635182+1.5711785552132647j),(-0.9190601493505566+0.6612554591205111j),(-0.37219033282776537-2.077904624362612j),(-0.5548860075120225+0.46187621162465564j),(-1.4039462215368452-0.1851060501499412j),(-36.94822110885712+8.160166959266455j),(2.428601192358918+31.36781024699927j),(6.018491011943917-0.6887470366385783j),(-1.5373974681170475+7.310774510174396j),(0.7319173870233427+0.5682605860921793j),(0.7149465483178069-0.033889686821834j),(0.6920220636760258+0.9534827692897699j),(0.356593674117702-0.6244685480698291j),(1.5146654491305602+0.16280484544853627j),(-2.5010741452606675-1.8298682280225609j),(-0.5804466380223243-0.02482556931354343j),(0.034024209973210304-1.5974568983937838j),(0.24509277620067657+0.14795326296895275j),(-0.1980548026530639-0.13099509591312106j)
0.55,(0.23104196889663162+0.16770924066358955j),(-0.1885549315061012-0.12329562510309518j),(-0.5443866444713898+0.11513428609777866j),(-0.02694183346988883-0.3703780756375059j),(0.7940163485628533-0.6287401255925195j),(0.20352515633845533-0.7798314628019446j),(0.17835481037302514+0.11398159040562567j),(-0.37261295573311604-0.7951632271072286j),(0.6669967540372457-0.2539099570796142j),(-0.07612177960193939+0.6069457084211995j),(-1.1287324307821418-0.5858912961246774j),(-0.07432781943900056+1.4526689448558463j),(-1.8563931237278335+0.8946532916732559j),(-0.34520053867273615-0.22060235269699957j),(-0.47311641500351825-0.3110525175137537j),(0.07690908207096156-0.22178722792429933j),(-0.5969240072361218-2.618343059694492j),(2.1515639874956802-0.2047812965681781j),(-2.288173301110932+0.37599387833517656j),(-1.1715157696036316-0.6120145940394239j),(0.24495576353174647-0.2162736159277565j),(0.6565849260561405-0.27754435908719227j),(-4.904710820364285-1.130656106538962j),(0.4585325258798473+1.5708256715528985j),(-0.8671317566204638+0.6056093457836649j),(-0.41961356092836466-1.9732794314201423j),(-0.5767535545339193+0.40419690673940567j),(-1.4022312657407923-0.19106573557107107j),(-37.740954583964864+8.519024767672125j),(2.296264655709396+31.17910284782502j),(6.872461998286151-0.6849875313436334j),(-1.6917895583906362+8.626454795678324j),(0.7259516254753229+0.586089204777086j),(0.7063821107474192+0.007717272197360778j),(0.6916289613912513+0.9471398230287394j),(0.34925100887666494-0.5789985081076364j),(1.473598846770351+0.2125591227342731j),(-2.4077290977220067-1.7262663339507935j),(-0.5375959849049333-0.04366273342364488j),(-0.005047197608739326-1.5336595777850603j),(0.23104196889663162+0.16770924066358955j),(-0.1885549315061012-0.12329562510309518j)
0.56,(0.21505703027495066+0.18617405576847715j),(-0.18002485581626643-0.11517428338365351j),(-0.5410705453769981+0.07952136517132055j),(-0.004748121960312926-0.35569410802562546j),(0.8018111848038041-0.6038885507572384j),(0.2233423981437569-0.7311103944596109j),(0.178199664055011+0.12018783756503644j),(-0.34450671631643803-0.7695685967643655j),(0.6773889399939002-0.2281563083583863j),(-0.09882066649114676+0.6426547345985728j),(-1.1814271869779078-0.6152574926820722j),(-0.05179686697509101+1.5030014664785432j),(-1.8202301979034181+0.9337318785323696j),(-0.3499740892636626-0.23667359655223105j),(-0.4474877614595804-0.3372880093745867j),(0.09623832493742207-0.20057792921828424j),(-0.7640540863366656-2.525535339285695j),(2.161426883698096-0.32476794127203107j),(-2.2475964945063+0.3623481031993317j),(-1.1452204030359874-0.6466241068469477j),(0.2588945299486419-0.1912356103124982j),(0.6622636729498165-0.23556747315148752j),(-5.1558539552967355-0.827847445455347j),(0.49523694704036997+1.5661393370560555j),(-0.8208843851985047+0.5516432570538832j),(-0.45786713161681275-1.876199294028316j),(-0.5950055815957555+0.34509592956983937j),(-1.399428258559117-0.19703314879675624j),(-38.510047469391296+8.912444727240501j),(2.1077573908410194+30.96508100464397j),(7.944470206344081-0.6366053477267775j),(-1.8983254960184919+10.297179470189624j),(0.7199895496056371+0.6040342515586097j),(0.6975721875105148+0.04956075651720761j),(0.6910151440334497+0.9418224379466806j),(0.3428903508188892-0.533943418119596j),(1.4330742964312113+0.25723817567972906j),(-2.324115608560718-1.6295605417988706j),(-0.4968901238213942-0.06247972468937114j),(-0.036173434846934575-1.4724585943493733j),(0.21505703027495066+0.18617405576847715j),(-0.18002485581626643-0.11517428338365351j)
0.5700000000000001,(0.1972581529334316+0.20315683229275855j),(-0.17248844170359579-0.10672787754443387j),(-0.5359765882482708+0.04434263509660661j),(0.017182212085372378-0.3397416398785178j),(0.809326252466916-0.5794717129571734j),(0.24335194142695898-0.6828842726618891j),(0.17717206534172508+0.12689471912789566j),(-0.3157392566066482-0.7448737916619784j),(0.6866841189130637-0.20226428760639045j),(-0.12201396517885242+0.6788473990169914j),(-1.2393030737998216-0.6431392036188976j),(-0.02479995174616425+1.5555636484226616j),(-1.7830206073667578+0.9701388165136732j),(-0.35466398361827967-0.2522112461624127j),(-0.4207606183361639-0.36182100465734773j),(0.11444817624162958-0.17779257405685617j),(-0.9164100254769292-2.4171351699109365j),(2.1564072502447464-0.4478856398495843j),(-2.205699516801134+0.3480605906640465j),(-1.1177976439601702-0.678366077195905j),(0.2710403007619402-0.1655308309107358j),(0.6672956210817926-0.19309386538451062j),(-5.394144597105323-0.4902361794796715j),(0.5287546376676069+1.5570213444361365j),(-0.7793327350571982+0.49935510125891974j),(-0.488240201094894-1.7861134833782657j),(-0.609470318560013+0.2848591289746131j),(-1.3955154484673704-0.203004960155105j),(-39.25496475987212+9.339017307637315j),(1.8621634803625056+30.7263908804792j),(9.2103545527029-0.5115460146230001j),(-2.159396759291969+12.322802482635367j),(0.7140513715876925+0.6221045384120983j),(0.6884587250248079+0.09159351199029933j),(0.6902201276836745+0.9374859170449295j),(0.33720183856036945-0.4892677012948835j),(1.3931858228439187+0.2975334446754541j),(-2.2488409075771365-1.5393346262943426j),(-0.45800184214276873-0.08097922278842674j),(-0.06020902051778779-1.4139281499307805j),(0.1972581529334316+0.20315683229275855j),(-0.17248844170359579-0.10672787754443387j)
0.58,(0.17778401221990459+0.21847660672948035j),(-0.16595763879776632-0.09805453607769496j),(-0.529119637192154+0.009711364100598564j),(0.038728595676326714-0.3224783627834608j),(0.8165691974487046-0.5554405928007401j),(0.2633229366572817-0.6349869414232154j),(0.17524730316401443+0.13403689189927417j),(-0.28641964980319506-0.7208513875320802j),(0.6948853076637407-0.17625614991548333j),(-0.1455203214466547+0.715694598132398j),(-1.3029563282765828-0.6691409183879851j),(0.0071011399377023995+1.6103774839983722j),(-1.744968572764808+1.0038413753411717j),(-0.35924699724531606-0.2671945777842619j),(-0.393056727179229-0.3846058114384024j),(0.13139303126255472-0.15348386467425987j),(-1.0517600283355524-2.2957362588700274j),(2.136189442655282-0.571450968694295j),(-2.1627307947585255+0.3331645425878494j),(-1.0894640547605328-0.7072689663804845j),(0.2813402089392908-0.13924428529740884j),(0.6715743860599089-0.15019859411074216j),(-5.615078803833611-0.11770146050811064j),(0.5581916485792138+1.5434637577171302j),(-0.7416383686071044+0.4487182049218009j),(-0.511790287511152-1.7025000228650746j),(-0.6200065875734765+0.22379368084028417j),(-1.3904747535481534-0.20897848877886016j),(-39.975171805837064+9.797129540361235j),(1.558881763853532+30.46332671393535j),(10.554735657914346-0.2802976470844646j),(-2.4498918404865835+14.581100005982291j),(0.7081580495012765+0.6403102617952108j),(0.6790015363223008+0.1337728600032875j),(0.6892773375745788+0.934088226739964j),(0.3318998553084841-0.4449383843575427j),(1.3539709545680425+0.33402803421611854j),(-2.1807620716238354-1.4551606061637092j),(-0.4206473234717065-0.09890692323685901j),(-0.07790506774524995-1.358066628838708j),(0.17778401221990459+0.21847660672948035j),(-0.16595763879776632-0.09805453607769496j)
0.59,(0.1567912275312223+0.23196411701436637j),(-0.16043230770925387-0.08925238223246981j),(-0.5205257563171595-0.024260518636173057j),(0.059763841865179364-0.3038721393281182j),(0.8235487644375789-0.5317519996214246j),(0.28303726195298473-0.5872723750821147j),(0.17240138752248382+0.1415453139321114j),(-0.2566584913007018-0.6972833271077358j),(0.7019944251232936-0.15015102935978533j),(-0.1691527302141283+0.7533898328145039j),(-1.373029794279146-0.6927755851665163j),(0.04440342595223027+1.667435784309049j),(-1.7062750387972805+1.0348242941390424j),(-0.36370057340371403-0.2816065268250173j),(-0.3645001888331007-0.40560784360255797j),(0.14693395835901907-0.12771864000670294j),(-1.1684742100466852-2.1643456436132573j),(2.101053678961936-0.6927658375927497j),(-2.1189262269261993+0.317687428626136j),(-1.0604185999124884-0.733387939139324j),(0.28974912392779023-0.11246821971667614j),(0.6750139011975133-0.10696470449929579j),(-5.813943443504372+0.2891486355168553j),(0.582599323457893+1.5255630324838103j),(-0.7070838980458687+0.39969561477722j),(-0.5293897680031349-1.6248702913322437j),(-0.6265068097064561+0.16222429507586839j),(-1.3842920049265335-0.2149515325052047j),(-40.67011044010211+10.284970793666815j),(1.197627088373436+30.17580226218909j),(11.827717063986515+0.06563532191412952j),(-2.724126238672402+16.888569079800195j),(0.7023313268874969+0.6586631772717605j),(0.6691782284131149+0.17606130096091946j),(0.6882147815423101+0.9315899393818271j),(0.3267213078826291-0.40092725612175345j),(1.3154281889263328+0.36721390858304775j),(-2.1189365897846923-1.3766162742764683j),(-0.3845846395229367-0.11604263486713987j),(-0.0899226282760019-1.3048145408566436j),(0.1567912275312223+0.23196411701436637j),(-0.16043230770925387-0.08925238223246981j)
0.6,(0.1344536545461435+0.2434636360040255j),(-0.1559002342447788-0.08041816003635262j),(-0.5102320137906183-0.05746363147637879j),(0.08015536959402406-0.2839022066583491j),(0.8302744138631863-0.5083678760065753j),(0.3022891524408702-0.5396149506247437j),(0.16861172569538282+0.1493471765579463j),(-0.22656994957566298-0.6739611830803539j),(0.7080121794858758-0.12396487722348921j),(-0.19271695489010357+0.7921491025545849j),(-1.4502133840522942-0.7134431704772399j),(0.08767075043096831+1.7266930934088804j),(-1.6671359833502681+1.0630887963982378j),(-0.3680029322028636-0.29543363130435124j),(-0.3352163413879411-0.42480361119361226j),(0.16094101501839747-0.10057726575155543j),(-1.2656106806248344-2.026203983585961j),(2.0518548017068916-0.8092800917070182j),(-2.07450684332102+0.3016519813518585j),(-1.0308408447363921-0.7568005950460064j),(0.29623028060984913-0.08530080609080777j),(0.6775498066967104-0.06348184985023415j),(-5.985959981254786+0.728892022358703j),(0.6009935832481105+1.5035308481971843j),(-0.6750525849189868+0.35224968071188517j),(-0.5417621699547328-1.5527699656165102j),(-0.6288994401121921+0.10048893532112922j),(-1.3769571495528565-0.2209221716840404j),(-41.33915021676535+10.800529936918105j),(0.7784385759274913+29.86331518538421j),(12.933212793781468+0.5150370483610146j),(-2.9432708068599327+19.116338514761313j),(0.6965937917773115+0.6771767821103788j),(0.6589840097343197+0.218427195348887j),(0.6870555872436718+0.9299541533066871j),(0.3214242569753941-0.3572124416749091j),(1.2775293685573155+0.39750628452813774j),(-2.062583140630042-1.3032955409282925j),(-0.3496117935856776-0.1321936253458774j),(-0.09684498224090331-1.2540680723525655j),(0.1344536545461435+0.2434636360040255j),(-0.1559002342447788-0.08041816003635262j)
0.61,(0.110961483678996+0.2528348335349492j),(-0.15233734053413578-0.07164584111290394j),(-0.4982861375358634-0.0897923192950934j),(0.09976667295854563-0.26256025828239726j),(0.8367560061933711-0.48525469356798956j),(0.3208852956540528-0.4919095278758356j),(0.16385778723380914+0.15736587544825456j),(-0.1962735495135372-0.6506866999596623j),(0.7129379729133188-0.0977103429382915j),(-0.2160093723229757+0.832210916340797j),(-1.5352424036000818-0.7304045919300118j),(0.1375425416915985+1.7880537223076372j),(-1.627740906365555+1.0886514557012064j),(-0.3721331609247986-0.30866593960476457j),(-0.30533066619626725-0.4421805823460259j),(0.17329553321681138-0.0721526467812762j),(-1.3429386729287798-1.8845905702938552j),(1.9899506788954764-0.9187362526326914j),(-2.029677043154532+0.2850772371693337j),(-1.0008899425105573-0.7776027556249262j),(0.300755790074533-0.05784477192596833j),(0.6791405524206177-0.019844643241040124j),(-6.126458028823364+1.1992381528602967j),(0.6123784656596291+1.477699995628418j),(-0.6450122661009572+0.3063483911688448j),(-0.5495106583721923-1.4857778521892402j),(-0.6271507427986148+0.038934150680633134j),(-1.3684644070398246-0.22688855090925894j),(-41.98166559764941+11.34163817029109j),(0.3016986912784198+29.525004712717937j),(13.841476890113535+1.0512772097092047j),(-3.087551199726583+21.216313852376448j),(0.6909689592693913+0.6958665065063603j),(0.6484313936959486+0.260845480568922j),(0.685818423592637+0.929146403449273j),(0.3157868575619021-0.31377946593752626j),(1.2402284845697278+0.4252555804353773j),(-2.011050468383023-1.2348141497398695j),(-0.31556453936233786-0.14718975329422318j),(-0.09918877115531191-1.2056893442483738j),(0.110961483678996+0.2528348335349492j),(-0.15233734053413578-0.07164584111290394j)
0.62,(0.08652012134105298+0.2599546446713023j),(-0.14970809816695768-0.06302524216814515j),(-0.4847460274676886-0.12114578153534347j),(0.11845903013901962-0.23985135338248423j),(0.8430035433452657-0.4623829251180159j),(0.338645331770735-0.44407130003542566j),(0.15812176287171728+0.16552102480428546j),(-0.1658956731910604-0.6272726124908259j),(0.7167698172819037-0.07139659150566934j),(-0.23881418503101523+0.8738364386973138j),(-1.6288925326207466-0.7427501109539418j),(0.19474311840353714+1.851356041605348j),(-1.5882715088830157+1.1115429436302993j),(-0.3760712857645146-0.32129688613528884j),(-0.27496773791222423-0.45773692356204565j),(0.1838923035195765-0.04254885893346486j),(-1.4008993401089027-1.742637346930167j),(1.9170916196617385-1.0192798998029997j),(-1.984623373757149+0.2679795628373175j),(-0.9707043111916838-0.7959044370806619j),(0.3033070226167406-0.030205985181368855j),(0.6797681693799499+0.023849189321273695j),(-6.231071153786275+1.6970143440067447j),(0.615772833660492+1.448523745390326j),(-0.6165027211293406+0.26196944316074944j),(-0.553140545001292-1.423503564480727j),(-0.6212658362311219-0.02208986338651138j),(-1.3588123764596742-0.23284864360107527j),(-42.597051285688465+11.905990291723398j),(-0.23185357964626102+29.159668443738454j),(14.557238432470415+1.6603428097166038j),(-3.1510087794658994+23.185891673541946j),(0.6854813822818724+0.7147499141820802j),(0.6375498181662042+0.30329838446312707j),(0.6845178240464203+0.9291345717736827j),(0.3096065623954515-0.27062186607910005j),(1.2034679623513442+0.45075729394738945j),(-1.9637926468175693-1.1708124386122702j),(-0.28231410251264233-0.16088001020326345j),(-0.09741399050260445-1.1595142184383076j),(0.08652012134105298+0.2599546446713023j),(-0.14970809816695768-0.06302524216814515j)
0.63,(0.06134883330122131+0.2647191153056122j),(-0.14796614299056943-0.05464068402130474j),(-0.4696791326846973-0.15142912877066678j),(0.1360934312634928-0.21579460201459294j),(0.8490269594785832-0.4397265783923276j),(0.3554026948236501-0.396035376846352j),(0.15138922105347594+0.17372851951256948j),(-0.1355707535620989-0.6035437313652947j),(0.7195042643331242-0.0450290370756827j),(-0.2608999361837416+0.9173097974264786j),(-1.73196972526506-0.7493611933555532j),(0.2600911516852894+1.9163519395585507j),(-1.5489005675638146+1.1318066909316284j),(-0.3797983255369828-0.33332313878934133j),(-0.24425023319538258-0.4714811271991495j),(0.19264158600126108-0.011879412868111217j),(-1.4405145153062031-1.603172807159331j),(1.8352873196074426-1.109525915196877j),(-1.9395138003587187+0.25037362174434746j),(-0.9404018895365369-0.8118261040001766j),(0.3038748560785628-0.002492006581141678j),(0.6794386778468912+0.06750077471734484j),(-6.29594365395621+2.2182008167077845j),(0.6102386228973016+1.4165674268163007j),(-0.589125767468313+0.2191027051440831j),(-0.5530772045834016-1.3655846316349265j),(-0.6112889650202177-0.08223434468162827j),(-1.3480040904256834-0.23880000510019977j),(-43.18470048288484+12.491153880810993j),(-0.8211065894109473+28.765763220505523j),(15.095461618749022+2.331855010965979j),(-3.1342875462724265+25.03795762856968j),(0.6801567956918191+0.7338469132129599j),(0.6263852044955325+0.34577609999603687j),(0.6831644269589304+0.929888803923835j),(0.3026995378937415-0.22774140244469193j),(1.1671831690217174+0.47426015206092154j),(-1.9203493697895897-1.11095623852525j),(-0.24976487164133024-0.17313016600014197j),(-0.0919329192233492-1.1153582964126278j),(0.06134883330122131+0.2647191153056122j),(-0.14796614299056943-0.05464068402130474j)
0.64,(0.03567913360624269+0.2670451901167309j),(-0.147055085634867-0.046569722965266264j),(-0.4531617053141569-0.18055434887302166j),(0.15253269277294557-0.19042357627281714j),(0.8548359547572163-0.4172627816737191j),(0.3710057251437342-0.3477560711187263j),(0.1436497643065821+0.1819006508271264j),(-0.10544212898060132-0.5793382781836028j),(0.7211363496186279-0.018608975660240903j),(-0.28201524263944167+0.9629385638148361j),(-1.8452925713696113-0.7488648465161996j),(0.33450856529489686+1.9826800785469731j),(-1.5097910052728298+1.1494974918655896j),(-0.3832963282000345-0.3447444222207294j),(-0.21329801113585026-0.4834315369243247j),(0.19947087853396148+0.019734820948780804j),(-1.4632602966510762-1.4686095729819437j),(1.746669204561214-1.1885786612091156j),(-1.894497408286395+0.23227324802577584j),(-0.9100808597210867-0.8254952673630179j),(0.30245978540102814+0.025189376074158134j),(0.6781821153726569+0.11101208958998474j),(-6.3179339431052135+2.7580186351138756j),(0.5949085672283615+1.3824914724409725j),(-0.5625375108551572+0.17775151620494517j),(-0.5496804505331209-1.3116833927727933j),(-0.597302979697698-0.14115704635997373j),(-1.3360470153602166-0.24473952044199304j),(-43.74397731018546+13.094578984526485j),(-1.4645525476927195+28.341414476209547j),(15.471341321161173+3.0579568382276356j),(-3.0405941711057607+26.78767843830624j),(0.6750222997260206+0.7531799779886271j),(0.6149994831003719+0.38827738972974474j),(0.6817651461840695+0.9313814363064713j),(0.29490024003971205-0.18514791146395776j),(1.1313056621115667+0.49597283464290887j),(-1.8803301966499517-1.0549366235354092j),(-0.21785208945651055-0.18382126971077054j),(-0.08311808982231123-1.0730216047784855j),(0.03567913360624269+0.2670451901167309j),(-0.147055085634867-0.046569722965266264j)
0.65,(0.00975290815332237+0.26687240232793674j),(-0.14690950635354616-0.038881984066779736j),(-0.43527794565955696-0.20844116604438975j),(0.16764371414238652-0.16378640220332577j),(0.8604398671205352-0.39497141125131624j),(0.38531898024996936-0.2992058651927607j),(0.13489768608748373+0.1899462817999909j),(-0.075662521321564-0.5545094408401351j),(0.7216595470176281+0.007866900740543564j),(-0.3018836240251129+1.0110543978982536j),(-1.9696636668269623-0.7395796054071837j),(0.41902765071681236+2.0498312816274997j),(-1.4710951540752308+1.164680079877626j),(-0.386548391288914-0.35556332100021326j),(-0.18222727655651524-0.4936157835326773j),(0.20432637963217554+0.05216798105057716j),(-1.4709247228810252-1.3408809189437942j),(1.653363854474601-1.256011140651287j),(-1.8497044756286316+0.21369220922251964j),(-0.8798207276320116-0.8370434622042395j),(0.2990718924663701+0.0527316181389484j),(0.6760521847972247+0.1542879002640037j),(-6.294798545839682+3.311069719626473j),(0.5690111265125338+1.3470258884373951j),(-0.5364422903828161+0.13793312255595083j),(-0.5432561713931712-1.2614838866206795j),(-0.5794280346293882-0.19852718188677493j),(-1.322952998517088-0.2506631532301012j),(-44.27426949794838+13.713635980236752j),(-2.1602699131017946+27.884481172485426j),(15.697395093316358+3.8321631175688604j),(-2.873940632145549+28.448195713899654j),(0.6701065892035625+0.7727743832356788j),(0.6034701155166923+0.43081009325668274j),(0.6803232834031705+0.9335869361225357j),(0.28606109798455887-0.14285884071420596j),(1.0957655467222291+0.5160695267161252j),(-1.8434019131212596-1.0024689764712988j),(-0.18653955053147955-0.19284880357494336j),(-0.07130940515465085-1.0322923412615022j),(0.00975290815332237+0.26687240232793674j),(-0.14690950635354616-0.038881984066779736j)
0.66,(-0.016179730956246835+0.2641644200707665j),(-0.14745611763535585-0.03163812382549819j),(-0.41611905590055676-0.23501777851946226j),(0.18129982168246153-0.1359454949659761j),(0.8658475780460709-0.3728347522547995j),(0.39822466825622915-0.25037404456726575j),(0.12513262698741118+0.1977710892610044j),(-0.04639409815086793-0.5289271079955369j),(0.7210657408176324+0.03440714117943916j),(-0.3201972859186505+1.0620138570065236j),(-2.105825220222442-0.7194528036535893j),(0.5147944068105647+2.1171040890936093j),(-1.432954203356378+1.177427700405931j),(-0.38953866755094785-0.36578506665915556j),(-0.15114983523980527-0.5020701448092619j),(0.20717409380288862+0.08529181802348754j),(-1.4654673008530734-1.2214236980604756j),(1.5573886268638935-1.3118129074707106j),(-1.8052468545474716+0.19464484887324152j),(-0.849683660879412-0.8466036171104429j),(0.29373067798825403+0.08003087859664883j),(0.6731255384377476+0.19723755849397753j),(-6.2253409907527635+3.8715224604660516j),(0.5318904231044606+1.3109369052878956j),(-0.510587946990557+0.09967845818331786j),(-0.5340658406698275-1.2146888572791636j),(-0.5578195419119658-0.2540300979222534j),(-1.3087381639998805-0.2565657020103667j),(-44.7749940468138+14.345637576758923j),(-2.905907810257532+27.392598120998745j),(15.78315579626718+4.648560018806615j),(-2.638473027206166+30.02975049685747j),(0.6654402360879146+0.7926584509778426j),(0.5918896450717215+0.47339151536539537j),(0.6788385922132518+0.9364818555278756j),(0.27605225472750733-0.10089850517300522j),(1.060493202191864+0.5346945124168836j),(-1.8092783516969382-0.9532916713068309j),(-0.15581730780296532-0.20012232548742773j),(-0.05682050393866589-0.9929499828020362j),(-0.016179730956246835+0.2641644200707665j),(-0.14745611763535585-0.03163812382549819j)
0.67,(-0.04186285585084879+0.25891040078034244j),(-0.14861507344803696-0.024888946524460307j),(-0.39578222164440763-0.2602214639316171j),(0.1933831344059577-0.1069769105554518j),(0.871067448887923-0.35083718643017486j),(0.4096241265656377-0.2012649993494059j),(0.1143602271639588+0.20527787947127593j),(-0.01780808046357495-0.5024797271537791j),(0.7193452193494196+0.06102635643873784j),(-0.33660965853856606+1.1161993410401823j),(-2.254392418200429-0.6859897547165611j),(0.6230649765080091+2.1835483232742843j),(-1.395497822747652+1.1878207039456101j),(-0.3922523572096326-0.37541731248898946j),(-0.12017244783035133-0.5088388439594196j),(0.20800054175083335+0.1189784606878032j),(-1.448893956107939-1.1111995338549376j),(1.4605751818914052-1.3563184701773843j),(-1.7612186022575578+0.17514660894186299j),(-0.8197159964502383-0.8543078095914873j),(0.2864647604764277+0.10698745685999106j),(0.6695007304594097+0.23977657210104503j),(-6.109512337159111+4.433331029674466j),(0.48301940976037316+1.2749873221611936j),(-0.48476211426636423+0.06303141473334933j),(-0.5223343705696896-1.1710169426872963j),(-0.5326654451188727-0.30737155091276236j),(-1.2934227616191925-0.2624405702610237j),(-45.245593031241214+14.987858577066307j),(-3.6986710603284623+26.863221823100197j),(15.735632813735757+5.501299566166201j),(-2.3382471845569524+31.539900851877256j),(0.6610560338249658+0.8128638111642957j),(0.5803653098674657+0.5160486771122379j),(0.6773073027884087+0.940044800039364j),(0.2647613174645463-0.059297104043034336j),(1.0254205648310848+0.5519659864333518j),(-1.77771215914748-0.9071645656246344j),(-0.12569937957942848-0.2055654655259903j),(-0.03994446269326553-0.9547679809608042j),(-0.04186285585084879+0.25891040078034244j),(-0.14861507344803696-0.024888946524460307j)
0.68,(-0.06703738432360341+0.2511261032467106j),(-0.15030140009460416-0.01867469478301129j),(-0.3743695419812956-0.2839990447650192j),(0.20378688000217157-0.07696930092980987j),(0.8761072849284333-0.32896490141145096j),(0.4194392704488696-0.15189620803445633j),(0.10259276981666877+0.21236698465639198j),(0.009916137178859703-0.47507621651331067j),(0.7164866965239305+0.0877462629806079j),(-0.35072643456981495+1.1740201210915424j),(-2.415755985071818-0.6361773311967792j),(0.745190414252746+2.247894545113939j),(-1.358843947145773+1.1959451795442861j),(-0.39467568837996997-0.38446989975885715j),(-0.08939628681526568-0.5139733016476833j),(0.2068130548649231+0.1531032660701697j),(-1.4231556643845547-1.0107433219546436j),(1.364521667152146-1.3901274826497318j),(-1.7176968073657313+0.15521443829693649j),(-0.78994984327846-0.8602853880298181j),(0.277311449757953+0.13350719401369085j),(0.6652968812322952+0.28182788076654486j),(-5.948454468718764+4.990472194601225j),(0.42200521776653876+1.2398926523649667j),(-0.45878928608853214+0.0280477058008961j),(-0.508256672963492-1.1302000801860543j),(-0.5041829007411867-0.3582814778649514j),(-1.2770309749614632-0.268279554300393j),(-45.68550582781952+15.637550631500176j),(-4.535301980840622+26.293674941618786j),(15.559921570522606+6.384293670181014j),(-1.9771735935831978+32.984007983584526j),(0.6569894131724837+0.8334256764228639j),(0.5690187526523648+0.558818415860676j),(0.6757221148608867+0.9442564104434552j),(0.25209307483603943-0.01808953872548065j),(0.9904821007845832+0.5679792274499361j),(-1.7484881104294423-0.8638674258006684j),(-0.0962214513317076-0.20911616651026016j),(-0.020958900459774183-0.9175162225005302j),(-0.06703738432360341+0.2511261032467106j),(-0.15030140009460416-0.01867469478301129j)
