N,E [H]
1,-147.41753554979118
2,-147.4194404513789
3,-147.42006294309422
4,-147.42149129094892
5,-147.4223873489605
6,-147.4279152829696
7,-147.42793436942463
8,-147.427953527055
9,-147.42949600020694
10,-147.42983260413197
11,-147.42992298179092
12,-147.4490483867274
13,-147.44928095209883
14,-147.44939599432374
15,-147.4494686449453
16,-147.45130289606067
17,-147.4514391113995
18,-147.45145802795827
19,-147.45307937845365
20,-147.4532526997251
21,-147.4533945751375
22,-147.45427952945562
23,-147.45516317070582
24,-147.4552255625583
25,-147.45581794183434
26,-147.4560151450688
27,-147.45605016535725
28,-147.45625894776663
29,-147.4563665214873
30,-147.45640672606677
31,-147.45750778893975
32,-147.45841103626833
33,-147.46002852394923
34,-147.46012229710567
35,-147.4604716463932
36,-147.46112386521708
37,-147.4612203701927
38,-147.4612649033524
39,-147.46151309218467
40,-147.4615993618258
41,-147.46194010334816
42,-147.46205117086058
43,-147.4621428082427
44,-147.46353450665674
45,-147.46405678187156
46,-147.46461126765288
47,-147.46663468783984
48,-147.46756901249333
49,-147.471285743098
50,-147.47145956756222
51,-147.47173298888686
52,-147.4722695605092
53,-147.47300095020447
54,-147.47301623133018
55,-147.4730213058268
56,-147.47302294343464
57,-147.473026583827
58,-147.4732289437435
59,-147.47426081218293
60,-147.47434460117213
61,-147.4744081252234
62,-147.47653420399337
63,-147.47661818328845
64,-147.47698475425742
65,-147.47720122247176
66,-147.47724831556746
67,-147.47732001288028
68,-147.4774227027575
69,-147.47762059288925
70,-147.47794577958967
71,-147.47819398747114
72,-147.47848014376322
73,-147.47891549148034
74,-147.4805037717956
75,-147.48057331774058
76,-147.48089590343332
77,-147.48543884658298
78,-147.48629972808234
79,-147.48633156435258
80,-147.48690244799292
81,-147.4869771592818
82,-147.48700148641802
83,-147.48706880833296
84,-147.4873647187659
85,-147.48776802404217
86,-147.48780784171646
87,-147.4879947116109
88,-147.48801777155833
89,-147.48815386856543
90,-147.4882531277763
91,-147.48884411101724
92,-147.48964703324188
93,-147.48978167819337
94,-147.48992860669532
95,-147.48996192228546
96,-147.49003062131305
97,-147.49021479868145
98,-147.4902463447288
99,-147.49025647807068
100,-147.49035332617413
101,-147.491325774251
