N,E [H]
1,-107.42162436498378
2,-107.44400691464296
3,-107.44403347154025
4,-107.44444188604727
5,-107.44468575264254
6,-107.444884648445
7,-107.44495521507966
8,-107.44516692612773
9,-107.44852697162318
10,-107.44866950053196
11,-107.4503326768212
12,-107.45087011049903
13,-107.45192041453564
14,-107.45197470718064
15,-107.4521366514778
16,-107.45466065306927
17,-107.46139394057039
18,-107.46173485995571
19,-107.46256912088636
20,-107.46261547375155
21,-107.4641857819579
22,-107.46549642729806
23,-107.46974288767514
24,-107.47013671199022
25,-107.47033916945153
26,-107.47035362307268
27,-107.47076099828116
28,-107.47085353120015
29,-107.47412842964891
30,-107.47428378354368
31,-107.4752701462186
32,-107.47569237385106
33,-107.47633238393158
34,-107.4774777764062
35,-107.47792875974173
36,-107.4779796972671
37,-107.47807711468846
38,-107.47848014685866
39,-107.47898781819035
40,-107.47899600738212
41,-107.48016000173654
42,-107.48035574910368
43,-107.48113191631218
44,-107.48122786232238
45,-107.48502786490897
46,-107.4851917102767
47,-107.48522654429787
48,-107.48550436697917
49,-107.48551169791656
50,-107.48643590708748
51,-107.49141017547919
52,-107.49273506953483
53,-107.49363706282924
54,-107.50036355952933
55,-107.50037406601795
56,-107.50099557729021
57,-107.50199617118705
58,-107.50242280166945
59,-107.5077323142994
60,-107.507741407549
61,-107.52611639322576
62,-107.52690596047212
63,-107.52757337849765
64,-107.5277113436165
65,-107.52797638526611
66,-107.53058994495572
67,-107.5306130271253
68,-107.53063265889065
69,-107.5306656161755
70,-107.53128529806989
71,-107.53171419160243
72,-107.53176017814809
73,-107.53179798495924
74,-107.53196358259615
75,-107.53419440543244
76,-107.534466627699
77,-107.53610063580231
78,-107.53610785053549
79,-107.53639179982379
80,-107.53678126093196
81,-107.53698781717165
82,-107.53704204478073
83,-107.53879442124094
84,-107.53905934348134
85,-107.53913526158738
86,-107.53935625112636
87,-107.53965116877006
88,-107.54108586159374
89,-107.54150512639706
90,-107.54159187312658
91,-107.54179032268277
92,-107.54192303935325
93,-107.54314392952753
94,-107.54317097448114
95,-107.5450226557434
96,-107.54546472207466
97,-107.54572134703369
98,-107.54576414185871
99,-107.54584404590639
100,-107.54731892273655
101,-107.54744349227256
