N,E [H]
1,-73.93932289693993
2,-73.94479233029362
3,-73.94557745604676
4,-73.94689203080716
5,-73.94806351749614
6,-73.9483973863169
7,-73.94906500822478
8,-73.94916984286334
9,-73.9492338440533
10,-73.94933216486235
11,-73.94936113037676
12,-73.95031628962352
13,-73.95040404758312
14,-73.95064088621783
15,-73.95069267251782
16,-73.95075525218664
17,-73.9508553333287
18,-73.95085961469954
19,-73.95126540240582
20,-73.95132314886011
21,-73.9515211375131
22,-73.9516420240373
23,-73.95165692449814
24,-73.951680300945
25,-73.95178505460649
26,-73.95191117052505
27,-73.95195469467002
28,-73.95197929014172
29,-73.95201298397157
30,-73.95217989179443
31,-73.95222408029272
32,-73.9522566191478
33,-73.95229058251483
34,-73.95233058588177
35,-73.95236415416909
36,-73.95242277799069
37,-73.95242811890905
38,-73.95244396262986
39,-73.95247000883772
40,-73.95253485362042
41,-73.95256707904339
42,-73.95257948651698
43,-73.95274309230133
44,-73.95277280988887
45,-73.95279635124754
46,-73.95281794715302
47,-73.9528255575048
48,-73.95283289292419
49,-73.95285361062939
50,-73.9528552283139
51,-73.95286255626101
52,-73.95286939502965
53,-73.95287403184047
54,-73.95289264338096
55,-73.9528976199809
56,-73.95290526793389
57,-73.95290851960083
58,-73.95290922075344
59,-73.9529103718728
60,-73.95293955974617
61,-73.95294845433096
62,-73.95295057947277
63,-73.95295106661007
64,-73.95296320857071
65,-73.95296645877194
66,-73.95297260670334
67,-73.95297927878403
68,-73.95300610642585
69,-73.95300976420641
70,-73.95301573689105
71,-73.9530170529869
72,-73.95302721793706
73,-73.95303082437533
74,-73.9530409889217
75,-73.95305283329483
76,-73.95306484344695
77,-73.95308467441781
78,-73.95308758945573
79,-73.95309574605706
80,-73.95310582342375
81,-73.95311271790428
82,-73.95311631082882
83,-73.95312052083227
84,-73.95312209192569
85,-73.95312422936453
86,-73.95313043238379
87,-73.95313561156358
88,-73.95314322431742
89,-73.95314623795204
90,-73.95316000094952
91,-73.95316289235203
92,-73.95317070736128
93,-73.95317216875925
94,-73.95317605947234
95,-73.95318201593365
96,-73.9531833526863
97,-73.95318452957983
98,-73.95318481634101
99,-73.9531873780829
100,-73.95319447443163
101,-73.95319661003548
