t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B00_z_0011_00,B00_z_0012_00,B00_z_0013_00,B00_z_0014_00,B00_z_0015_00,B00_z_0016_00,B00_z_0017_00,B00_z_0018_00,B00_z_0019_00
0.1,(1.4284673401995085+0.7010024049124599j),(1.04700514966085+1.2837279515040532j),(1.190753993576592-0.11083261617593267j),(1.2078729218225148+1.875236677470997j),(0.39812719481732134+0.9641585988665551j),(0.7735882454166284+1.5835841774965578j),(-0.14863291400763817-0.0709131650410875j),(1.8069024259785904+1.028206017897399j),(1.00972407547163-0.19743332819979004j),(0.23718306740272851+0.29097205388708597j),(0.5758215941377423+0.24534326463579004j),(2.3588473622226562+1.953177037848139j),(1.7105707341797995+1.940776585296564j),(0.08415447932012217-0.14564674979332282j),(1.1145477297656545+1.1666573854777464j),(0.49865523345763785+1.1979201714121532j),(0.4633069130181502+1.1132799361422565j),(0.6491965077238309+1.234794838679535j),(1.6596648678662986+0.808685467809139j),(1.3256737993089454-0.08413272290267337j)
0.11,(1.4065131108660727+0.6967354547811747j),(1.021402335395339+1.2532864951984117j),(1.1940406932530747-0.10915606498718729j),(1.1696650760601017+1.8185915933722907j),(0.38821669499001327+0.939508238594891j),(0.7552042760238029+1.536545379762357j),(-0.14753907375648517-0.0873042949058688j),(1.7678121061916472+1.0231277614576866j),(1.015195496604485-0.19822805691019774j),(0.23119537799464157+0.2800311992115495j),(0.5699060774128902+0.2399596591718125j),(2.263351197390088+1.926010919081809j),(1.647507696371506+1.8915460435585014j),(0.08723442691680884-0.15828532289306765j),(1.0886332636130744+1.1419248746068607j),(0.4878331393845816+1.1656131244593795j),(0.452864324753388+1.0839219170983458j),(0.6345413706467662+1.2021096069976227j),(1.6308962317613045+0.8064797191358667j),(1.3282891674827475-0.08060615421091755j)
0.12,(1.385357681158612+0.6920868230930404j),(0.9973084073959125+1.2240672734493803j),(1.1972306632150607-0.10751756360585771j),(1.134648734145948+1.764971518938405j),(0.37850244460998206+0.9159188668913868j),(0.7379414573453735+1.492116588226163j),(-0.14621961341260714-0.10350758951079692j),(1.7305256460485237+1.0169359193374505j),(1.020617487184673-0.19897795144445482j),(0.22543339133718665+0.2693165496130793j),(0.5641691487282127+0.23472078576154773j),(2.175447210300995+1.8963803504641916j),(1.589884041062696+1.8437579531809267j),(0.09055081483506748-0.17072458230830176j),(1.0641566984958486+1.1180054809449012j),(0.4773206518249886+1.134881555716231j),(0.442680924778578+1.0559383603391674j),(0.6205152877911925+1.1710066120022076j),(1.603217316066732+0.8034635308745216j),(1.330755362983526-0.07718416347707062j)
0.13,(1.3650047371267005+0.6871046304103487j),(0.9746225426477423+1.1960433012204263j),(1.200322425828112-0.10592785669498302j),(1.1025048300627682+1.7142195923882055j),(0.3689810214933884+0.8933513644106508j),(0.7217064409287846+1.4501388116220881j),(-0.1446777137571018-0.11950864252100732j),(1.6950312758626882+1.009783249846367j),(1.0259814822255-0.19968723570818406j),(0.21989439977947195+0.2588369824097003j),(0.5586079529523348+0.22963744869676594j),(2.094638668887272+1.8650072599853562j),(1.537192204086644+1.7975282818575191j),(0.09409531892390724-0.18294824726655773j),(1.0410349091159063+1.0949021395749121j),(0.467104853029061+1.105650239160667j),(0.4327481962799868+1.0292689124361982j),(0.6070801848669614+1.1414130634321362j),(1.5766423180152929+0.7997233690601899j),(1.3330759879282263-0.07388372232713322j)
0.14,(1.3454537351909024+0.6818348779619889j),(0.9532512350082243+1.1691858100827297j),(1.2033151302109018-0.10439758607813761j),(1.0729523685150701+1.6661841008256142j),(0.3596485609901732+0.8717682481561072j),(0.7064157766256175+1.4104652157143165j),(-0.1429169824391898-0.13529336221007499j),(1.6613054577490185+1.0018106757191132j),(1.031279255978488-0.20036067859116038j),(0.21457515280068248+0.24860082817968915j),(0.5532190460595687+0.2247199002472332j),(2.0204262494150282+1.8324845394144436j),(1.488974104873814+1.752930732091506j),(0.09785910719483054-0.1949405835833438j),(1.019189262266059+1.072614009548254j),(0.4571732843108863+1.0778484617979807j),(0.42305763152667647+1.0038564765191043j),(0.594200691027161+1.113260251116129j),(1.5511772593291986+0.7953416693333745j),(1.3352555700630457-0.0707211479395047j)
0.15,(1.3267003445533445+0.676321211911188j),(0.933107753695581+1.1434647069052546j),(1.2062085219460164-0.10293720572995908j),(1.045743357129421+1.6207193499492893j),(0.35050081095998853+0.8511335631112078j),(0.6919946459100178+1.3729600010371197j),(-0.14094142973331233-0.15084802018566068j),(1.6293149995902705+0.9931472176893115j),(1.0365029741321716-0.20100353742942012j),(0.20947189851360012+0.23861583801100744j),(0.5479984477471168+0.21997779175897425j),(1.9523212591019354+1.799294703419445j),(1.4448172012652822+1.710005820097961j),(0.10183288592254187-0.2066864672718362j),(0.9985454697833743+1.051136996626958j),(0.44751391034168775+1.0514096640380555j),(0.41360074508504213+0.9796469701033298j),(0.5818438826511559+1.0864832514055662j),(1.5268209410194136+0.7903963695941653j),(1.3372994559018618-0.06771198981533844j)
0.16,(1.308736872887715+0.6706047517946008j),(0.9141116240837359+1.1188489515884494j),(1.2090029058101541-0.10155689976439251j),(1.0206584392232398+1.5776861584150341j),(0.34153318030881025+0.8314127728724376j),(0.6783757679837851+1.3374973820151872j),(-0.13875544345087046-0.1661593047811396j),(1.5990189395015628+0.9839101690342665j),(1.041645241198796-0.201621495740953j),(0.20458042548991398+0.2288891497457828j),(0.5429416944851652+0.21542012758187992j),(1.8898544208056327+1.7658268121911311j),(1.4043504599749275+1.668768189193006j),(0.10600694869558801-0.2181714506976517j),(0.9790334139933746+1.0304642124530037j),(0.43811508456729115+1.0262711024503226j),(0.40436908328141286+0.9565890934615235j),(0.569979050408399+1.0610206467016776j),(1.503565854787587+0.784960591923683j),(1.3392136956531853-0.06487092842118189j)
0.17,(1.2915526698930127+0.6647239755562208j),(0.8961881339003163+1.0953068651486069j),(1.2116991025964408-0.10026650431029989j),(0.9975031291945597+1.53695207826352j),(0.3327407821158896+0.8125726499692016j),(0.6654984528671736+1.3039606582839096j),(-0.13636376326148777-0.18121437895098458j),(1.5703702007873126+0.9742054533346906j),(1.0466991426779408-0.2022205961533866j),(0.19989610478117525+0.2194272534385631j),(0.5380438924970341+0.21105522186164058j),(1.8325813229960963+1.732391449455078j),(1.36724041060727+1.6292124754669546j),(0.11037122823450657-0.22938183084275235j),(0.960586953993673+1.0105863755509488j),(0.4289655161936792+1.0023735333618427j),(0.3953542308605128+0.9346341082431956j),(0.5585774876795523+1.0368142578983504j),(1.4813990379404849+0.7791024529518457j),(1.3410049225735448-0.0622116863423938j)
0.18,(1.275134504876774+0.6587146537277141j),(0.8792678666731188+1.0728063781765733j),(1.214298401213601-0.09907543402848942j),(0.9761045651949317+1.498391417931326j),(0.32411847224607054+0.7945811665052316j),(0.6533077798652677+1.2722413697077812j),(-0.13377145463855228-0.19600094240297025j),(1.5433170252509032+0.9641281159968753j),(1.0516582817222857-0.2028071695202873j),(0.1954139320043256+0.2102359563066653j),(0.5332997701944564+0.2068906582371114j),(1.7800854193649744+1.6992337436700111j),(1.3331873869575945+1.5913179938721098j),(0.1149153507664297-0.24030471912842108j),(0.9431437195877926+0.9914921595841947j),(0.4200542390755909+0.9796609159107914j),(0.38654781562960094+0.9137356260645348j),(0.5476122985540669+1.0138088895069126j),(1.460302863226866+0.7728849826364599j),(1.3426802294085671-0.059746952226453806j)
0.19,(1.2594669158999539+0.652609825639582j),(0.8632862633043997+1.0513152285101768j),(1.216802507324563-0.09799261388149896j),(0.9563087052876088+1.461885125454942j),(0.31566088421876815+0.7774073857143464j),(0.6417538832571752+1.2422385272980525j),(-0.13098388259969737-0.21050729759019604j),(1.5178041980952506+0.9537629081982696j),(1.0565168101705575-0.20338776127851396j),(0.1911285693551426+0.20132034750400518j),(0.5287037296229405+0.2029332524919879j),(1.7319792695301122+1.6665445361202427j),(1.3019220146526949+1.555052468046909j),(0.11962869271167735-0.25092811213865035j),(0.9266448983586784+0.9731684941614089j),(0.4113705827486951+0.9580801333068393j),(0.37794151173859974+0.8938494068138931j),(0.5370582237550087+0.9919520871956596j),(1.4402557587603835+0.7663661327591864j),(1.3442470445351127-0.057488317460681594j)
0.2,(1.2445325291669962+0.6464398110235532j),(0.8481832119188218+1.0308011158815817j),(1.2192134898298084-0.09702641662363486j),(0.9379779036097361+1.4273205751264628j),(0.3073624609924748+0.7610213549885338j),(0.6307913299157097+1.2138579129285234j),(-0.12800668536724455-0.22472241907283083j),(1.4937740810184301+0.9431849294820545j),(1.0612694539512584-0.20396905613160335j),(0.18703438740762168+0.19268476309536978j),(0.5242498965042388+0.19918901821804916j),(1.6879045504787247+1.634469861048698j),(1.273201973706652+1.5203749881059632j),(0.12450043939999099-0.2612409624858197j),(0.911035020248292+0.9556008232706764j),(0.40290414576499994+0.9375807311811654j),(0.3695270421244362+0.8749331664461731j),(0.5268914829640373+0.9711939074602022j),(1.4212328562275556+0.7595988581322856j),(1.3457130103057653-0.05544622523060228j)
0.21,(1.2303123482902725+0.6402322509334997j),(0.8339026655854844+1.0112318203297834j),(1.2215337265087898-0.0961846063392957j),(0.9209888121346075+1.394591289974892j),(0.29921748422266603+0.7453940009068716j),(0.6203785759389583+1.187011441421613j),(-0.12484574802887971-0.2386360256462351j),(1.4711674719052033+0.9324603020331056j),(1.065911532993259-0.20455780215328676j),(0.1831255065530187+0.18433275164540713j),(0.5199321684974078+0.19566313555528242j),(1.6475312372466866+1.6031189288426249j),(1.2468090442624913+1.4872383472916813j),(0.12951964549244527-0.27123324897380036j),(0.8962617430647619+0.9387733261375245j),(0.39464477142301746+0.9181146720318228j),(0.3612961805420254+0.8569463940695975j),(0.5170896321334865+0.9514866991370324j),(1.4032065679558416+0.7526312553794837j),(1.3470858659295584-0.053629931352216595j)
0.22,(1.2167860138142308+0.6340121725268918j),(0.8203922871202144+0.9925752903013827j),(1.2237658501073958-0.0954742882274869j),(0.9052305615292051+1.3635966241969735j),(0.29122010146131583+0.7304970267683919j),(0.6104774913514921+1.1616165792138315j),(-0.12150717623730936-0.252238654522014j),(1.4499243101320478+0.9216468556186255j),(1.0704389759012696-0.2051607353916351j),(0.17939583792964325+0.17626704086505532j),(0.5157442613369875+0.1923599230811649j),(1.6105562477274245+1.5725708070056452j),(1.2225464307031995+1.4555908804153663j),(0.13467529674091083-0.280896045143068j),(0.8822756415516937+0.9226691049842617j),(0.3865825259279255+0.8996361048846082j),(0.3532407535137281+0.8398501781596713j),(0.5076314344797076+0.9327848964789318j),(1.3861470952091697+0.7455067460762163j),(1.348373337009967-0.0520474760698703j)
0.23,(1.2039320339712656+0.6278020728773648j),(0.807603119900943+0.9747997055936101j),(1.2259126961031817-0.09490186471357728j),(0.8906031814230748+1.334241423414061j),(0.28336435168760643+0.7163028131094371j),(0.6010529435842505+1.1375958144038667j),(-0.11799726995144702-0.2655217367452313j),(1.429984246269356+0.9107948072537113j),(1.0748483297615548-0.2057845060193291j),(0.1758391236939735+0.16848950577731728j),(0.5116797525465578+0.18928281292661203j),(1.576701766280897+1.5428799844385293j),(1.2002363512778904+1.4253779038233478j),(0.1399563726718299-0.2902215852311419j),(0.8690300020060719+0.9072703438308358j),(0.3787076789717802+0.8821011493954038j),(0.34535264245265473+0.8236070417663761j),(0.4984967439533754+0.9150448235241562j),(1.3700228713699971+0.7382642929139971j),(1.3495830336132304-0.050705665864543115j)
0.24,(1.1917279880803684+0.6216220176053635j),(0.7954892834516551+0.9578735196150061j),(1.22797725329595-0.09447299786882143j),(0.8770162262627544+1.306435675905639j),(0.27564418949138125+0.7027843216653508j),(0.5920724318270661+1.1148761735345698j),(-0.11432249719260382-0.2784776729382412j),(1.411287094147735+0.8999474238895742j),(1.0791367655327182-0.20643560702110528j),(0.17244897648556345+0.1610011388739992j),(0.5077321224683551+0.18643432919915343j),(1.545713399708771+1.5140809885185735j),(1.1797178758343032+1.3965428375565945j),(0.14535190973695397-0.29920332655235077j),(0.8564806239035933+0.8925584421353321j),(0.3710106866888939+0.8654676937171011j),(0.3376237861517297+0.8081807866108196j),(0.4896664000793388+0.8982245095095642j),(1.3548009445415594+0.730938639325411j),(1.3507223584671777-0.04961006422567397j)
0.25,(1.1801507043131236+0.6154897506992528j),(0.7840076924488707+0.9417654848428794j),(1.2299626182629375-0.094192578035844j),(0.8643875779394447+1.280094164400063j),(0.2680535081728203+0.6899150032166858j),(0.5835057655141414+1.093388780961404j),(-0.1104894677685691-0.2910999083831599j),(1.3937731820673496+0.8891416598865785j),(1.083302079545388-0.20712030633792797j),(0.169218917942685+0.15380202273526794j),(0.5038947923946635+0.18381606979446172j),(1.517358273278042+1.4861922055223968j),(1.1608449920558188+1.3690280747948227j),(0.15085106443279886-0.3078360072955319j),(0.8445856295665974+0.8785141267351334j),(0.3634821769159866+0.8496952055427905j),(0.3300461837788923+0.7935363459959583j),(0.48112213315159946+0.8822835150991349j),(1.3404473046400087+0.7235605646278123j),(1.3517984266024838-0.04876499030112377j)
0.26,(1.1691764137607215+0.6094208124409383j),(0.7731177977624811+0.9264446648343561j),(1.2318719545892758-0.09406469849496589j),(0.8526424006583498+1.2551361253108761j),(0.26058616197301765+0.6776687097408245j),(0.5753247811893493+1.0730684571153313j),(-0.1065049069072568-0.30338300639448845j),(1.377383618531401+0.8784087638095139j),(1.0873426916815259-0.20784458330149633j),(0.16614241613269973+0.14689130557484342j),(0.5001611596340765+0.18142869167529116j),(1.4914231404677658+1.4592190354742889j),(1.1434848799739614+1.3427756510086049j),(0.15644317585524678-0.3161156987580454j),(0.8333052825750278+0.8651175452242058j),(0.3561129366697999+0.834744555817065j),(0.32261189847805677+0.7796396464820452j),(0.4728464788588099+0.867182769222197j),(1.3269271603148407+0.7161571481922864j),(1.3528179974532235-0.04817352435035538j)
0.27,(1.1587808828597945+0.6034286628399914j),(0.7627813481467312+0.9118804356912656j),(1.233708457639731-0.09409263596168331j),(0.8417122271689713+1.2314849202809515j),(0.25323598760977223+0.6660196112705272j),(0.5675030928365832+1.0538533523794127j),(-0.10237562874012071-0.31532271889405317j),(1.3620604863966606+0.8677748512585248j),(1.0912576408281058-0.20861407009521205j),(0.16321292177067195+0.14026718015571948j),(0.4965246293950932+0.17927189969218685j),(1.4677125552267645+1.4331564939004167j),(1.1275163749073338+1.3177277549752127j),(0.162117827128327-0.32403985107978467j),(0.822601815361655+0.8523483435922754j),(0.3488939017456172+0.8205778546793486j),(0.31531306164435496+0.7664574783007685j),(0.46482270150271876+0.8528844163390209j),(1.314205171099482+0.7087520374104704j),(1.3537874201391216-0.047837518979463485j)
0.28,(1.1489395262914734+0.5975248084146362j),(0.7529621712364102+0.8980424794805656j),(1.2354753254810684-0.09427883667857269j),(0.8315341585879253+1.2090677233757385j),(0.2459968252601031+0.6549421178410905j),(0.5600158714763094+1.0356846136680133j),(-0.09810850958363543-0.3269160530849058j),(1.3477469778400983+0.8572614421147278j),(1.0950465782012109-0.20943399887145137j),(0.16042390311150104+0.1339268664950901j),(0.4929786434203825+0.17734443901311797j),(1.4460471375579538+1.4079913559489234j),(1.112828599976684+1.2938271155093217j),(0.16786490512893706-0.33160733161113803j),(0.8124392662372685+0.8401857306603971j),(0.34181614833768076+0.8071582992674301j),(0.3081418779195922+0.7539573745024074j),(0.45703472505657017+0.8393516739743301j),(1.3022456401046716+0.7013657153166436j),(1.354712592363981-0.04775761522600566j)
0.29,(1.1396275024720222+0.5917189305357472j),(0.7436259725692204+0.8849007717642781j),(1.2371757363998233-0.09462490785335367j),(0.8220501626997312+1.1878152261282473j),(0.23886253910479555+0.6444108068872789j),(0.5528396504438243+1.018506081128338j),(-0.09371046098409776-0.33816133313111063j),(1.3343874810986602+0.8468859618186254j),(1.0987097591162243-0.21030915504267048j),(0.15776887941454898+0.12786659874340056j),(0.48951670535676456+0.17564409121972085j),(1.426261950455788+1.3837039232006436j),(1.0993197506966426+1.271017291051588j),(0.1736746579240335-0.3388184551426126j),(0.8027833259492397+0.8286085315757188j),(0.334870886585859+0.7944500330662763j),(0.3010906309386019+0.7421074988476078j),(0.4494670713927038+0.8265487003811007j),(1.2910126723686397+0.6940157646343802j),(1.3555989330881557-0.047933262678606654j)
0.3,(1.1308197937175197+0.5860190138726271j),(0.7347401514406157+0.872425565089455j),(1.2388128332915567-0.09513161419608604j),(0.8132064578854702+1.167661361788584j),(0.2318270375297295+0.6344003564298643j),(0.5459521532944718+1.0022640126787399j),(-0.08918840251566008-0.3490582557875447j),(1.321927628585093+0.8366622071876099j),(1.102248033739544-0.21124383714800962j),(0.15524145289499677+0.12208161658206164j),(0.48613240289783344+0.17416767411643175j),(1.4082049972795285+1.3602694802985822j),(1.086896015667287+1.2492428838419103j),(0.1795377493451054-0.3456750053386989j),(0.7936011937785955+0.817595232376483j),(0.32804945596112806+0.7824180165371462j),(0.2941516898481337+0.7308765424695758j),(0.44210480508841965+0.8144404722173141j),(1.2804703037048204+0.6867171257689648j),(1.3564513688710549-0.04836274295235513j)
0.31,(1.1224912730996712+0.5804314737497357j),(0.7262736324963885+0.8605873700236326j),(1.240389715028473-0.09579887931935578j),(0.8049529717632318+1.1485430494986495j),(0.22488429306283286+0.6248854843693766j),(0.5393321417400061+0.986906834359925j),(-0.08454923435229161-0.359607938988129j),(1.3103143147367886+0.826600777883185j),(1.1056628372996287-0.21224182357990964j),(0.1528353390925485+0.11656616143839786j),(0.48281942678735196+0.1729110452858385j),(1.3917358425255786+1.3376594971772826j),(1.0754706189632495+1.2284496960301883j),(0.18544531014746143-0.35218024685134225j),(0.7848614431184596+0.8071240174061596j),(0.32134332241448754+0.7710279088054445j),(0.2873175166158978+0.720233629343618j),(0.4349334842964321+0.802992672136717j),(1.27058260456701+0.6794823468743396j),(1.3572743335349378-0.049043195987482274j)
0.32,(1.114616759923345+0.5749612814458852j),(0.7181967120759888+0.8493569350894199j),(1.2419094347458288-0.09662579178240109j),(0.7972428652777921+1.1303999586435856j),(0.21802836211326102+0.6158408941815224j),(0.5329592814194292+0.9723849147064688j),(-0.07979980966940294-0.369812962491479j),(1.2994956908252768+0.8167094750169659j),(1.108956180163213-0.2133063463387237j),(0.15054439560515523+0.11131347776598158j),(0.4795715868212479+0.17186910940953296j),(1.376724354894872+1.3158426230125928j),(1.0649629713670343+1.2085848415415665j),(0.1913889852393254-0.35833892773524734j),(0.7765338964433294+0.7971728011422282j),(0.3147440772288088+0.7602459602230749j),(0.2805806741472724+0.7101482306091087j),(0.4279391172405374+0.7921715862109406j),(1.261313763104114+0.6723218246035401j),(1.3580717805752514-0.049970648787281656j)
0.33,(1.1071710656553508+0.5696120866464621j),(0.710480918431959+0.8387052267485855j),(1.243375004826896-0.09761061557991549j),(0.790032114391943+1.1131742932844544j),(0.2112534045698894+0.6072412272846267j),(0.526814023655837+0.9586503615496311j),(-0.074946906968108-0.3796773997979841j),(1.2894211429415754+0.8069936685862626j),(1.112130638099665-0.21444007186906272j),(0.14836264915268446+0.10631581958483366j),(0.4763828250333415+0.17103582935904652j),(1.3630495689571969+1.2947855098466174j),(1.055297919068047+1.1895968246507465j),(0.19736097651756956-0.36415727194379666j),(0.7685895095678934+0.7877192558096383j),(0.30824343752978967+0.7500389156526363j),(0.2739338352298536+0.7005900877941824j),(0.4211081239680557+0.7819440111143368j),(1.2526281512169222+0.6652440345216581j),(1.3588472075363887-0.051140046353964484j)
0.34,(1.100129032023227+0.564386336400291j),(0.7030988850644383+0.8286034104074285j),(1.2447894082141326-0.09875080489541811j),(0.7832791427434037+1.0968105963199484j),(0.20455370330849357+0.5990610223243611j),(0.5208775016551676+0.9456568398407257j),(-0.06999720245239961-0.3892068406890447j),(1.2800412584718597+0.7974566354969481j),(1.1151893429663513-0.21564508892098286j),(0.14628432095244384+0.1015644624202609j),(0.47324722629397126+0.17040424104656968j),(1.350598660162021+1.2744534969742682j),(1.046405079820762+1.1714355938975138j),(0.20335408091207702-0.3696429618459488j),(0.7610002651004579+0.778740835970152j),(0.301833248429638+0.7403739283469661j),(0.2673697923303928+0.6915291449957883j),(0.4144273030575839+0.7722771710144529j),(1.2444903770685054+0.6582557504372374j),(1.3596036913856033-0.052545284711118766j)
0.35000000000000003,(1.0934655628860148+0.5592853900411716j),(0.6960242365213632+0.8190228332577297j),(1.2461556155331028-0.10004302295446679j),(0.776944499668345+1.0812555728348876j),(0.19792368365024388+0.5912746815948595j),(0.5151314398687105+0.9333594092394735j),(-0.06495724262481087-0.39840840389400894j),(1.2713077855801347+0.7880998698979215j),(1.1181359739543155-0.21692290327319888j),(0.14430385040473465+0.09704972072255208j),(0.47015902659060227+0.1699664720105054j),(1.339266027115629+1.2548111814215017j),(1.0382182578090664+1.154052578086816j),(0.20936172331754507-0.3748051108662953j),(0.7537390750145723+0.7702148011154811j),(0.2955054867943123+0.7312184843184774j),(0.2608814682736999+0.682935490067167j),(0.40788380304295496+0.7631386441200494j),(1.2368653271448076+0.6513622521077435j),(1.360343933752273-0.05417924601276784j)
0.36,(1.0871556513586496+0.5543096296153418j),(0.689231486122119+0.8099350096283355j),(1.2474766073878547-0.1014831648220462j),(0.7709905788793182+1.066457931951977j),(0.1913579328075822+0.5838564447879354j),(0.5095580754731177+0.9217143803457813j),(-0.05983341729751255-0.40729073955896256j),(1.2631735895091663+0.778923367446871j),(1.1209747494402362-0.2182744390552174j),(0.14241591710174986+0.09276097079350576j),(0.4671126192945205+0.16971376369688065j),(1.3289524747020303+1.235822895032546j),(1.0306749295921565+1.1374007095759986j),(0.21537798417778647-0.379654226507822j),(0.7467796922887531+0.7621182371432453j),(0.28925226664112774+0.7225403371085813j),(0.2544619278378052+0.6747793048612392j),(0.40146509837131883+0.7544962988447499j),(1.2297182006174252+0.644567520912336j),(1.3610703147551488-0.05603383582696909j)
0.37,(1.0811744035494266+0.5494585654154415j),(0.6826959451624719+0.801311609398785j),(1.2487554010739323-0.10306638398907812j),(0.7653813738414991+1.0523682463973199j),(0.18485121934649398+0.5767803702332975j),(0.5041400911226503+0.9106791885680894j),(-0.0546319332416211-0.41586402136914163j),(1.255592608886565+0.7699258849750212j),(1.1237104194010479-0.21970004631137338j),(0.14061546118677198+0.08868667919085886j),(0.4641025597471177+0.16963649738454425j),(1.3195644915986533+1.2174531046672041j),(1.0237157945092998+1.121434438791771j),(0.22139762158059026-0.38420216416545333j),(0.7400966315943391+0.7544280774591956j),(0.28306584618734504+0.7143074528782225j),(0.2481043903031587+0.6670308245716191j),(0.39515896976414394+0.7463182395475874j),(1.22301453842886+0.6378744231744798j),(1.361784954017205-0.058100022742988484j)
0.38,(1.075497060147023+0.5447309362640409j),(0.6763936432494836+0.7931244499163239j),(1.2499950808597176-0.10478712258386344j),(0.760082266532799+1.0389388289097974j),(0.17839851268605972+0.5700203237621003j),(0.4988605583008847+0.90021228471824j),(-0.049358788716470765-0.4241399283582646j),(1.2485198146684962+0.7611051768391675j),(1.1263482582649098-0.22119951436293867j),(0.13889770210245633+0.08481443652903975j),(0.46112356852243996+0.16972422369016169j),(1.3110136159027361+1.199666748663969j),(1.017284383798493+1.1061097428865612j),(0.2274160878179874-0.38846207227425245j),(0.7336650990418837+0.7471211243259136j),(0.27693863658109863+0.7064879657460458j),(0.24180224299507616+0.6596603062027289j),(0.38895348889387243+0.7385727618115407j),(1.2167202492029372+0.6312848808704765j),(1.362489777366884-0.06036788048330398j)
0.39,(1.070099016970404+0.5401248042202739j),(0.6703012594946904+0.7853454917592402j),(1.251198830909948-0.10663914502467221j),(0.7550598468137009+1.0261236245625274j),(0.17199500264650006+0.56354997529347j),(0.4937028907447634+0.8902730415032071j),(-0.044019749131853796-0.43213161661836186j),(1.241911173858467+0.7524582090587243j),(1.1288940579991955-0.22277209044539942j),(0.13725815577675285+0.08113099654503984j),(0.4581705337391+0.1699656955784123j),(1.303215882851472+1.1824295199446477j),(1.011326723441897+1.0913841305964307j),(0.23342954046420636-0.39244832945592306j),(0.7274609310239429+0.7401740709664636j),(0.270863212352874+0.699050143300722j),(0.2355490558572807+0.6526380061863643j),(0.3828370073251249+0.7312283172172738j),(1.2108016337799232+0.6248000294891121j),(1.3631865876468647-0.06282663270431486j)
0.4,(1.064955845471979+0.5356376434060688j),(0.6643960643602759+0.7779468386013058j),(1.2523699698682742-0.10861557489981488j),(0.7502817600823892+1.013878118016329j),(0.16563611904537268+0.5573428032083635j),(0.48865080753386614+0.8808216751490711j),(-0.03862032409930233-0.4398536812977194j),(1.2357236196938435+0.7439813521475098j),(1.1313541211749798-0.22441650302737956j),(0.1356926503025382+0.07762232025217161j),(0.45523851280393934+0.17034890479355794j),(1.296091348925734+1.1657081038344586j),(1.0057910463945412+1.0772166446682352j),(0.23943484811856705-0.39617647442846143j),(0.7214605422137247+0.7335635248304829j),(0.26483232362797754+0.6919623622081053j),(0.22933859708962548+0.6459341671436042j),(0.3767981496969355+0.7242534875612372j),(1.2052254098871158+0.6184203628223379j),(1.363877137998-0.065464700643441j)
0.41000000000000003,(1.0600433140617993+0.5312664226680233j),(0.6586558720046075+0.7709007413529356j),(1.253511986079552-0.11070893482219346j),(0.7457165812586615+1.0021592546873304j),(0.15931755132792313+0.5513721065367007j),(0.4836883055328328+0.8718191814434062j),(-0.03316574612336103-0.4473221094377105j),(1.2299150295902135+0.7356705533755679j),(1.133735253699871-0.2261309891562036j),(0.13419734017218285+0.07427362496244722j),(0.4523227339716958+0.17086112162062725j),(1.289563686930696+1.1494703767768255j),(1.0006275503885143+1.06356786265722j),(0.24542959105007764-0.3996631295246822j),(0.7156408827923143+0.727266032339347j),(0.25883891013742566+0.6851930938217256j),(0.2231648498744054+0.6395190137675656j),(0.3708258111407539+0.7176169684545542j),(1.1999587381811343+0.6121458644760723j),(1.3645632059579227-0.06826975371725337j)
0.42,(1.0553374109985802+0.5270076818107846j),(0.653059003008852+0.7641796066834856j),(1.254628572417799-0.11291118895811947j),(0.7413337134335062+0.9909253747816803j),(0.15303526820176377+0.5456110249416081j),(0.4787996409454733+0.8632272855196597j),(-0.027660951170874554-0.45455422434749526j),(1.2244442117671421+0.7275214890446567j),(1.136044756877878-0.2279133251235356j),(0.13276871913101537+0.07106943792049017j),(0.44941859809923346+0.17148893787768518j),(1.2835598469192337+1.1336855705771183j),(0.9957881979395541+1.0503998964390309j),(0.2514120570618842-0.4029259187249549j),(0.709979404979843+0.7212581053458081j),(0.252876117055925+0.6787108996861176j),(0.2170220302027315+0.6333627577736085j),(0.36490915893722276+0.7112875622210997j),(1.1949692506377834+0.6059761259014272j),(1.3652466667120575-0.07122876309873676j)
0.43,(1.050814369472181+0.5228576011612214j),(0.647584257384172+0.7577560099650851j),(1.2557236596925272-0.11521378787730112j),(0.737103309746338+0.9801361591290124j),(0.1467855372281104+0.5400325664382571j),(0.47396931978557605+0.8550084047319733j),(-0.022110561336351003-0.4615686223454402j),(1.2192709011434657+0.7195296972392645j),(1.1382904184367837-0.22976085970365098j),(0.1314036317139858+0.06799365425830073j),(0.4465216809595747+0.1722183130347966j),(1.278009778049355+1.1183244055680357j),(0.9912265555239089+1.037676390417905j),(0.2573812329646902-0.4059833811476954j),(0.7044540389361436+0.7155162494714569j),(0.2469373126807748+0.6724844367960822j),(0.2109046057950414+0.6274356118285279j),(0.3590376384124773+0.7052341799893487j),(1.1902250820193632+0.5999104507662871j),(1.3659295638602174-0.07432805820605362j)
