t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019
1.76,(107.14770849524194-23.837878214180947j),(5.195686794295192-93.98151645332368j),(0.001296919590086844+0.009007494242840105j),(-47.16945942149349+54.820425742473475j),(0.08593187091949356+0.2866860102864063j),(68.07845401942245-21.569736531431268j),(-5.794292473133793e-17+4.4069774066314976e-16j),(15.054064136107028+13.150704891228358j),(0.0001970356060953108-6.498626630826509e-05j),(0.0010783793180276482-0.0010206171680732803j),(5.679086139061534+13.930128877244755j),(2.0124057748350275+27.16861939017234j),(-9.795774310469458+75.97772777589464j),(-1.7009330760409418e-14-3.643028059617697e-15j),(-107.52353832734175-70.92764684568583j),(-1.2365044339081228+1.7590866414633002j),(-0.40160378475547454-3.6855806544378313j),(3.597662345422143+32.26496975035772j),(-40.99615059397793-5.112966803605747j),(-0.007664893242921723-0.005979592339044659j)
1.77,(100.00563423530554-53.42006855755831j),(-15.550108369529758-88.10344919894595j),(0.0039419639836964105+0.008049625389926636j),(-34.25901005499747+60.71567850543914j),(0.1091609020932287+0.22039023714907366j),(57.61910355173365-35.046318058191666j),(-1.2779645610152424e-15+7.353266505927424e-16j),(18.7655537820227+8.341875594173079j),(0.0001581337012330639-0.00011712548638091513j),(0.000694523353986579-0.0009247670673349527j),(8.839587386359135+11.157979696097968j),(9.57753847688866+27.488678687119084j),(6.4321187597542355+77.52332387711255j),(-6.506182973724685e-15+1.1317810269654286e-15j),(-117.13789960325893-42.01226464265272j),(-0.6836478815758519+1.7672742599138682j),(-0.9721628640067879-3.0336450207977506j),(9.821942827546792+27.67417350543136j),(-42.78528096256729+7.0431006254127215j),(-0.009152505895458261-0.0033219124085728177j)
1.78,(84.49933751451714-81.00121510989545j),(-33.45613293296548-77.88217353775997j),(0.006190638471051729+0.006291681682476671j),(-21.006363062040815+63.716758274629186j),(0.11762516953594239+0.16192530029075064j),(44.7677174937921-44.993613573309275j),(-4.653490487696126e-15-1.4837656983913797e-15j),(20.931932940097322+2.4256072847148533j),(0.00010572929010135862-0.00015369687111115485j),(0.00040451074780370987-0.0007919342293276702j),(10.98177805754723+7.747925206958242j),(17.48751279851786+25.657272214558404j),(22.933342832819022+75.6162650714766j),(-1.891522667766374e-15+1.3325410519465657e-15j),(-119.27132289159407-12.471694567510085j),(-0.20603642575691347+1.6483716292484305j),(-1.331825573634664-2.3677818864873172j),(14.320553890984542+22.21035260205238j),(-40.9131780513187+19.908778579082103j),(-0.009751492829514413-0.00024096442277116723j)
1.79,(61.15768873911675-104.13848222533966j),(-47.66438935550141-64.30118724451155j),(0.007780841298910461+0.003875026284076001j),(-8.021812099233905+63.96267461178425j),(0.11522171916932458+0.11275996558792803j),(30.58238257510201-51.065397967973226j),(-7.846700751784956e-15-1.397824930978248e-14j),(21.19955838320985-4.093864245261869j),(4.544903917111956e-05-0.0001708601952327839j),(0.00019745017591927372-0.0006450760370107674j),(11.999011982426648+4.036394093966647j),(25.112365739475525+21.498456713570537j),(38.97725529692654+70.17875583010824j),(-3.193522815266561e-16+6.682353127384059e-16j),(-114.16953350481445+15.78905452501828j),(0.17543244853526518+1.437715214970592j),(-1.5074760095816235-1.7352715672426373j),(17.06890927597999+16.380287339930646j),(-35.0831417121983+32.35688174430622j),(-0.009316330128314522+0.0029617771766912186j)
1.8,(31.251417176328715-120.51905847376463j),(-57.62191729573382-48.499896228972666j),(0.00849861271986024+0.0010351215185750466j),(4.165579089451246+61.70962901261491j),(0.105536834482256+0.07330902451374553j),(16.143085321252016-53.21852203873544j),(8.552863768613496e-15-5.1089285224347853e-14j),(19.383247628868283-10.590992697510089j),(-1.580532909299533e-05-0.00016681341691354148j),(5.961122232730596e-05-0.0005011425047065761j),(11.891185807863973+0.36941854618364456j),(31.745762097592653+15.027412465877553j),(53.7995854660469+61.285522702569j),(3.2465152656652046e-17+2.1446227880096246e-16j),(-102.56396344046965+41.02210379417168j),(0.45173402864918977+1.1715457457434577j),(-1.5334120164183545-1.1706420347247315j),(18.174370717078194+10.645613062040105j),(-25.35496887395817+43.13394113411571j),(-0.0078073882685119585+0.005926249593237526j)
1.81,(-3.2349954137549517-128.19558314402815j),(-63.104760746244445-31.68287071927996j),(0.008214761740573803-0.0019146070725136622j),(15.126231702736826+57.300590156205956j),(0.09164944178972328+0.04316796079017864j),(2.4655975529207943-51.70106032238764j),(1.1498109067014855e-13-1.1700984242748477e-13j),(15.510821849547208-16.376925301178943j),(-7.062521637424474e-05-0.00014228265736315125j),(-2.3732953126780865e-05-0.00037134609668364513j),(10.761570774619177-2.930828558245457j),(36.66539616706696+6.481890821457418j),(66.63326222903505+49.179716816912006j),(4.3153657636406293e-17+3.7884443114331254e-17j),(-85.60786598076042+61.762579741987665j),(0.6245086436389155+0.883604237526068j),(-1.4471418437868722-0.695465881898407j),(17.8513522230843+5.391315763652958j),(-12.199118983137868+50.97649791277443j),(-0.005316957069771089+0.00827242510173901j)
1.82,(-39.70972686836089-125.81732189028142j),(-64.21513744175527-15.027063161207685j),(0.006916167103787972-0.004614135446829065j),(24.538419848093717+51.133823319669396j),(0.07602309830877418+0.02136216686825873j),(-9.576551285058333-47.01550018486718j),(4.924103090494793e-13-1.2247990377685113e-13j),(9.846978677702781-20.774870948734893j),(-0.0001120736054669485-0.00010070827316809864j),(-6.680751005286642e-05-0.00026187351322894673j),(8.802977190603476-5.596781797191653j),(39.20616970320998-3.6662796272761327j),(76.74646371318282+34.283057499704796j),(1.3575574809848282e-17-1.4705659177477461e-18j),(-64.77880381378206+76.93152780109831j),(0.7039882833302796+0.6024851152328606j),(-1.28565271644632-0.3193264708468691j),(16.38954931600675+0.9042380026335568j),(3.4883647306592365+54.75081146005399j),(-0.0020806854995518357+0.009651169968178766j)
1.83,(-75.1587785213771-112.82976900347867j),(-61.352393810190826+0.4049421443845844j),(0.004725081616990255-0.006701714032232037j),(32.187560236236926+43.633531043883366j),(0.06047820791027691+0.006584781327403676j),(-19.314604206282823-39.860812310165365j),(1.4808471734133612e-12+3.8097262719589517e-13j),(2.8893195334412507-23.205208853696107j),(-0.000134747268344372-4.802987782165355e-05j),(-8.225924822528936e-05-0.0001748777703059155j),(6.274663337006122-7.440008570800381j),(38.83928760401713-14.724919287575663j),(83.48719756393056+17.19710753976757j),(1.323521366317985e-18-2.5809254246197103e-18j),(-41.755431174945144+85.90651793790666j),(0.7063975538907196+0.34993587401755266j),(-1.0824427818039457-0.0416786977354936j),(14.119001832973657-2.637114409958486j),(20.420450357742578+53.602266854831306j),(0.0015314990771720023+0.009801647881746098j)
1.84,(-106.40023971359312-89.61442675985445j),(-55.160875697560186+13.738099914322095j),(0.0019002889906710196-0.007867517019856352j),(37.95846268338941+35.22498901191198j),(0.04622883526409077-0.002597630439175383j),(-26.325706941172367-31.059334173190656j),(3.4340070666885714e-12+2.8793834972080362e-12j),(-4.667656738772193-23.269541329891087j),(-0.00013574969894044722+7.972023803154393e-06j),(-8.052065821489426e-05-0.0001095847781126613j),(3.472577476742692-8.366665160066558j),(35.24808526283135-25.823189116400563j),(86.332193386115-1.3076744766999653j),(-3.62087392437091e-19-4.1488802085156885e-19j),(-18.279248448265975+88.55326280090894j),(0.6511905261394397+0.14015296102458083j),(-0.8654776058268605+0.14573953243991528j),(11.3757379770366-5.161545363977998j),(37.0084829366145+47.096133406696325j),(0.0050486749843476845+0.00860666021113781j)
1.85,(-130.3873567888061-57.543625743449134j),(-46.46008575784767+24.338258852614242j),(-0.0011841188509734385-0.00790840144841435j),(41.82304112628055+26.315516182549697j),(0.03396483870813359-0.0075840601225411995j),(-30.449006261418063-21.476198732696474j),(5.802156687222699e-12+1.1364159856070009e-11j),(-12.000391016904498-20.821053753751514j),(-0.00011537875512021101+5.87418924480967e-05j),(-6.957543609589262e-05-6.336779525495582e-05j),(0.6964275736306176-8.382091163854962j),(28.390223674420362-35.98045496268806j),(84.93635081255097-20.317791277102067j),(-7.816397235383874e-20+5.282530256355876e-20j),(3.9861627674319635+85.21518742390592j),(0.5584597814037605-0.020001768388367785j),(-0.6561063780530056+0.25629134889661886j),(8.471415949544392-6.694189066882206j),(51.50445339676626+35.32868784749406j),(0.007956350383271022+0.006135251925141541j)
1.86,(-144.5305495666767-18.932524252826006j),(-36.16422596284854+31.841479644481204j),(-0.0040831935781641335-0.006773985302434227j),(43.82605077801134+17.281560411965412j),(0.023959466553514858-0.00962749099199962j),(-31.775939600432174-11.939869742807426j),(3.94167334745002e-12+3.5048179034962966e-11j),(-18.250525268564484-16.008542036210837j),(-7.734726934113633e-05+9.6295394927067e-05j),(-5.50458452648713e-05-3.267974143226208e-05j),(-1.7824602663922091-7.58410800753021j),(18.536100902758342-44.197528168647324j),(79.17768007548096-38.81887107680558j),(1.0694496493889253e-20+1.0509306528829785e-20j),(23.58536980834423+76.66201600428434j),(0.4467866758091414-0.13004335135044698j),(-0.46886044074560873+0.3059314806389106j),(5.669651222952545-7.337854504841789j),(62.18590786284197+18.987950135834534j),(0.009773061683412883+0.002661552023943197j)
1.87,(-147.00170876585685+23.118490193926007j),(-25.199209317889547+36.1576218300784j),(-0.006345189654654375-0.004593691735246779j),(44.071102068413396+8.461180325072045j),(0.016184424806512256-0.009770955937790222j),(-30.616905435266965-3.1720698263043197j),(-1.9802219674277954e-11+9.251352327167497e-11j),(-22.634926087232323-9.28371656963856j),(-2.8413567847876932e-05+0.00011463357708087434j),(-4.050156410273373e-05-1.3777482201093098e-05j),(-3.748610533143217-6.14605269976844j),(6.2751630619558-49.561520401706716j),(69.19179521541012-55.753643190005064j),(4.1260960972207973e-22-2.30785036135867e-21j),(39.37857852441159+64.00262972116326j),(0.33170473376155113-0.1944110666244664j),(-0.3119690156453248+0.3110465683158004j),(3.170686288161481-7.24963134927168j),(67.56474343615234-0.6529646198339432j),(0.010135942488088877-0.001349205007517334j)
1.8800000000000001,(-136.98163717408707+64.98399517282233j),(-14.425292622941111+37.44922497006994j),(-0.0075867894067751206-0.0016759704660979236j),(42.70850740248874+0.1505234935683628j),(0.01041816135754003-0.008824393550260308j),(-27.449214348979663+4.2659318184697845j),(-1.180210506901191e-10+2.161510531199435e-10j),(-24.55652320329189-1.3659171696301922j),(2.2600617024607135e-05+0.00011095526467338439j),(-2.7887335850553256e-05-3.2159544738168317e-06j),(-5.061936597760044-4.291928961983135j),(-7.514766979768698-51.352344847620415j),(55.38993493753986-70.09290586330326j),(-2.5033717572312914e-22+3.134071712609952e-22j),(50.61642006283771+48.57119949535796j),(0.22484084426953307-0.22079005576879662j),(-0.1883756737240555+0.2867999781034431j),(1.104910519085064-6.615926726419595j),(66.5940919308657-21.819501427147504j),(0.008880625491390504-0.005291974002597624j)
1.8900000000000001,(-114.81453310046254+102.85468935297018j),(-4.572601809712479+36.089335422307016j),(-0.007566939946101846+0.0015252050511753439j),(39.92564251985143-7.397434705342987j),(0.0063377244476378256-0.007372567529940543j),(-22.85325393103013+10.005927974415702j),(-4.275440087538899e-10+4.5196474660229807e-10j),(-23.698815300472415+6.83527503488889j),(6.629904533773408e-05+8.639016263077398e-05j),(-1.7979894609208827e-05+1.8737226806272216e-06j),(-5.667197185451893-2.2670811646641114j),(-21.735293847939047-49.13717286611026j),(38.45537501689383-80.91423394257612j),(5.415636077669572e-23-7.031697758695224e-23j),(56.97553906815746+31.798440126684014j),(0.1336982956709472-0.21845763478493496j),(-0.09702430852249647+0.24604341474340116j),(-0.46537685724772476-5.628904448245483j),(58.84358024401697-42.39556773880552j),(0.006098517511564801-0.008508223635298375j)
1.9000000000000001,(-82.04213915071975+133.1246177154745j),(3.8049024326262657+32.60406261620882j),(-0.006244500828135895+0.004475576558529984j),(35.9396516618587-13.973503613659517j),(0.0035892636985483104-0.005803396497045873j),(-17.444871874409234+13.882333605676251j),(-1.2730398130150694e-09+8.409312144269624e-10j),(-20.08745975365995+14.331830658684384j),(9.446984979301553e-05+4.603074831750802e-05j),(-1.0807485806402075e-05+3.6832402089721845e-06j),(-5.592635422536972-0.30832577600643285j),(-35.167214551310764-42.83935400720213j),(19.314992948028188-87.48108677231589j),(-5.158944887306624e-24+3.108353021798856e-23j),(58.55275652515674+15.081343945314057j),(0.06196725671049355-0.19685301106663644j),(-0.03420242836872395+0.19877494468780532j),(-1.5374801195850127-4.466732661417909j),(44.613691907606636-60.14690049843274j),(0.0021554392109091355-0.01039699497324766j)
1.9100000000000001,(-41.30391612307514+152.78014501127944j),(10.353865943722566+27.60704037255971j),(-0.0038055192146041143+0.006649633123619323j),(30.991647440977516-19.41340151101349j),(0.001836305502650324-0.004346777863480624j),(-11.81193367546296+15.919723058070142j),(-3.3734449453866576e-09+1.349626920645409e-09j),(-14.106080861619377+20.189094928259284j),(0.00010177628042807945-1.8391107639959876e-06j),(-5.991694274680328e-06+3.7523788062852128e-06j),(-4.938576657554672+1.382583256612933j),(-46.59204959104574-32.77070303717613j),(-0.9145011853912237-89.31369996111485j),(-1.3133332671560676e-23-1.7698992202534795e-23j),(55.82019418194988-0.3353371804564702j),(0.010200885125662161-0.16449765866814528j),(0.005227137685061584+0.1520604133215293j),(-2.1552218402326613-3.27922746461762j),(24.965479006209215-72.98349412738082j),(-0.002339511095551285-0.010532801663091916j)
1.92,(3.893214110993256+159.74246039829086j),(14.923867044093711+21.733417393450317j),(-0.000649964781526461+0.00762893902225535j),(25.34124690503484-23.599868286687816j),(0.0007879484858267918-0.0031158301441242013j),(-6.461874387895166+16.302032707649673j),(-8.236239702417495e-09+1.682637723247078e-09j),(-6.4600181280009625+23.658230903662847j),(8.700257552800978e-05-4.7253247421413716e-05j),(-2.9958373903805987e-06+3.069183354548862e-06j),(-3.85812474035016+2.6589068285979236j),(-54.921098230409946-19.620373946337892j),(-21.002872296144027-86.24289764290367j),(3.349710297005204e-23+2.946227711740651e-24j),(49.54802564130325-13.454224899123687j),(-0.023319156810955-0.1283175077142754j),(0.02681849722294547+0.11029797167542474j),(-2.3936197536184647-2.1795558152605237j),(1.6522687366326352-79.2274329957504j),(-0.006617418413636516-0.008767315291688248j)
1.93,(49.51428341172203+153.11868510452564j),(17.54979656916787+15.580426966937484j),(0.002665110825113289+0.007190775399282361j),(19.260282767433917-26.46554243285211j),(0.00021092930973037608-0.0021448563132990687j),(-1.7850451696166036+15.329133158223716j),(-1.8885811799094622e-08+8.469495806306405e-10j),(1.9099699954867937+24.28835388539897j),(5.35248865433488e-05-8.056242006120284e-05j),(-1.2832860913451383e-06+2.2012440229179627e-06j),(-2.533091820706857+3.4401519477764344j),(-59.31603235893208-4.399281131644059j),(-39.69918595588091-78.43924050174553j),(-9.179779161817121e-23+5.174791202058839e-23j),(40.70497869186913-23.588628102109325j),(-0.041688743838156114-0.0933503111436461j),(0.035812779188218305+0.07569362167342383j),(-2.3435695689964056-1.2417770101250765j),(-23.046161862842375-77.84821982460141j),(-0.0098768242703972-0.005290852690721997j)
1.94,(91.40751907249575+133.32633586819148j),(18.418550730629722+9.660160437995954j),(0.005519870724108278+0.00536731236755398j),(13.024897407139784-27.99584402335937j),(-6.98107272383354e-05-0.0014207314276465709j),(1.9638939752262106+13.36746917035359j),(-4.117476849501219e-08-3.764624079372845e-09j),(9.953250575261908+21.999047287860602j),(8.814863233169222e-06-9.45254098684043e-05j),(-4.0112987621334385e-07+1.4262457357132627e-06j),(-1.1487703274220094+3.7138163454186417j),(-59.2851777120487+11.65487106901803j),(-55.832426606803836-66.41214036273071j),(4.396162656638104e-22-3.5021951818979526e-22j),(30.348722797533227-30.38960983493381j),(-0.048584167339653-0.06277139590927415j),(0.036688889173722435+0.048825321143317016j),(-2.098360175267233-0.5032875717578164j),(-46.57112324971686-68.62892782419623j),(-0.011434998574805764-0.0006343161034658732j)
1.95,(125.73899496154868+102.07153405574962j),(17.82576172338989+4.36806083362827j),(0.007348144826620004+0.0024592214310898406j),(6.905692027094414-28.23075051899232j),(-0.0001776118884580915-0.0009064625200028857j),(4.666884442992119+10.801422620063043j),(-8.609921598852236e-08-1.816341866205933e-08j),(16.656043085548223+17.099662358052225j),(-3.700964405322988e-05-8.602021375468537e-05j),(-9.81559002493094e-09+8.427050496075884e-07j),(0.12895979208949004+3.5282990443801325j),(-54.742566145197465+27.201248428797427j),(-68.40948454933614-50.976950304541944j),(-3.876914022285283e-21+1.2812412913476878e-21j),(19.518705453461703-33.836931735775394j),(-0.04764016299936527-0.03814282012092648j),(0.03295969186416189+0.029197477853387253j),(-1.74324062958243+0.02922300904016864j),(-66.38453337735308-52.23443429548468j),(-0.010874683493775732+0.004397732693173277j)
1.96,(149.3973232312225+62.18042466918761j),(16.12876491315884-0.03161886597112584j),(0.007753778296333707-0.0010043188348433179j),(1.1562725832212215-27.26430362588039j),(-0.00019393702046070435-0.0005571859088601105j),(6.328255450062103+7.991069782318134j),(-1.738268331138386e-07-5.5049206024555206e-08j),(21.18636929329631+10.250086656153165j),(-7.333988828490701e-05-5.6939129494265806e-05j),(1.20749416710118e-07+4.5290876390209973e-07j),(1.1713246558525738+2.9788363428528717j),(-46.02147499570419+40.93312824347132j),(-76.69954252758154-33.191893939874966j),(2.912975302277409e-20+1.675895325836932e-20j),(9.142856820496124-34.19815562757489j),(-0.04203410749858876-0.019785020541122925j),(0.027156227560400314+0.015719623252619434j),(-1.3485931516495586+0.37185939841704796j),(-80.28028293784561-30.16615876899448j),(-0.008154332694746561+0.008858186676849445j)
1.97,(160.31831805059403+17.30297705118369j),(13.701674273696256-3.4044549130164157j),(0.00660191327299931-0.0043562355662383955j),(-3.9989388512726265-25.24091604941248j),(-0.00016888530843269791-0.0003297851702718766j),(7.049575369296898+5.240366992687844j),(-3.406221246338987e-07-1.3950658052691738e-07j),(23.013876631888806+2.367647170971818j),(-9.149007069462381e-05-1.3982339133116566e-05j),(1.3171571997188836e-07+2.18092233354456e-07j),(1.8973155043442624+2.189157952470683j),(-33.84052027942063+51.711700523747204j),(-80.29515501685096-14.270657089290186j),(5.780793959109348e-20-2.7124428225241177e-19j),(-0.03304044311126475-31.96371755771032j),(-0.03426803883416573-0.007181887491605447j),(0.02093572329684642+0.007075116917381363j),(-0.9666630851108106+0.5551140020744648j),(-86.66347086355765-4.604626651312525j),(-0.0036533892167323933+0.011832870885117478j)
1.98,(157.68982718284275-28.474408608307357j),(10.897294210649065-5.73144339391872j),(0.004063120627105256-0.006918047916670215j),(-8.376326920834504-22.348033828584246j),(-0.0001307116464746005-0.0001876992528947028j),(6.998535798715933+2.7777963505226433j),(-6.506217900573108e-07-3.1836372343199316e-07j),(21.98465907074029-5.505749705599289j),(-8.681192731844719e-05+3.269219076055798e-05j),(1.0052470460927846e-07+9.053240009756451e-08j),(2.2766902230838935+1.2918989501217906j),(-19.22682907528975+58.679793006559215j),(-79.14282955305596+4.520247175378898j),(-2.1040699490718366e-18-5.023367893134396e-19j),(-7.488057483830726-27.76792668309425j),(-0.026113652208083333+0.0006473170560905885j),(0.015254049062477952+0.0019726043717127485j),(-0.6313307498537031+0.6161465272589338j),(-84.7565414546979+21.841359122121432j),(0.0018649955580771712+0.01262784418035385j)
1.99,(142.01312156555875-71.059386319525j),(8.018951373082619-7.085599879546853j),(0.0005967687918527723-0.00813786741017731j),(-11.842764822626282-18.8053444468576j),(-9.354050650073417e-05-0.0001024879190575767j),(6.376811556640806+0.7494857817005065j),(-1.215613521395754e-06-6.747356381466334e-07j),(18.338709252068334-12.355246275551897j),(-5.997403367313063e-05+7.172273438770732e-05j),(6.386671530868996e-08+2.8992243656369087e-08j),(2.3258937440598917+0.4106372338225379j),(-3.4064369791932405+61.342017969735664j),(-73.53969149134005+21.96833875367647j),(-7.57797321622859e-18+1.307501179047929e-17j),(-12.939671371545787-22.30649066613499j),(-0.01867255574687851+0.0048495902041148595j),(0.010555514732773476-0.0007081074016258094j),(-0.3601256506260839+0.5925427956533335j),(-74.70157422010423+46.44538392596115j),(0.007374845826360953+0.01092928242414784j)
2.0,(115.01661609975993-106.77404048802481j),(5.303551226801094-7.604047401075428j),(-0.00312742536004412-0.007710789209321502j),(-14.322105538906266-14.851188152959953j),(-6.307857882294133e-05-5.3481014126707e-05j),(5.3910355139646295-0.7768395519077695j),(-2.2277514271974707e-06-1.3492819695551582e-06j),(12.667302590740329-17.338799885493202j),(-1.703370511103652e-05+9.321419516963176e-05j),(3.529801103242187e-08+3.727420696166044e-09j),(2.098440183453394-0.35417168335229465j),(12.323600480526915+59.602530380761536j),(-64.09684187474505+37.014488578559224j),(4.8558260778265566e-17+8.079836157464443e-17j),(-16.3306008867814-16.26036634100375j),(-0.012502425065992487+0.0065292658541828965j),(0.006947759759805975-0.001853493942945034j),(-0.15758478889785804+0.5179288818872417j),(-57.54339309576608+66.69046335724151j),(0.011774101905371866+0.006898548540731679j)
