t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019
1.56,(3.2025095915821424-59.91161633055235j),(-158.02413628443384+42.43137614171188j),(0.010019586282911278-0.0039360081557897365j),(105.48420522827945+13.282223062186503j),(-0.10594939703889478-3.4123939289685565j),(-71.63579354521737-116.73418704107016j),(-1.567605901219789e-19-9.954495847516737e-19j),(10.87460244001296-2.3172439239919678j),(-0.00030565983352563497-0.00033120843227799394j),(-0.01672104642673495+0.025969470388675614j),(30.918915391828996-2.262821169662315j),(5.911502677585474-0.2031744378050382j),(60.19012193629801-22.980098417168858j),(2.234454480034411e-10-1.456753014264638e-10j),(-69.02682987078339+166.520066946876j),(10.972383550296646+4.8592660695986645j),(-14.859260545756293+19.031948430464734j),(95.91726904222641-52.60285033380427j),(-9.736828599633485+14.550255267437677j),(-0.004437977971624147+0.0077386244574088724j)
1.57,(-10.90258945818772-60.589004206345784j),(-143.5031957822581+73.80478199193692j),(0.009237960659787749-0.005513297034577175j),(105.24492258460339-8.936167148878106j),(-0.6384057242216915-3.09916409688934j),(-92.96305293707925-97.1542555959326j),(4.402593149935824e-19-3.5815533453445145e-19j),(10.26539906798102-4.99950031313635j),(-0.0003417275154314421-0.0002765422107452193j),(-0.011980084355473248+0.02548707050716775j),(28.8975657353658-9.0534009584686j),(6.2356160186331495-1.587125421185052j),(54.239629838906936-35.38313044571974j),(1.797203329705187e-10-1.1409838345084742e-10j),(-31.281953759572573+176.30348534156997j),(11.0580155317171+2.3138531897996053j),(-10.314296050212683+20.31212774122386j),(80.07978271071937-68.72875812800685j),(-6.280373289406117+17.019994459757562j),(-0.0030982027730903842+0.008452787909126423j)
1.58,(-25.234662589347064-57.93713177128873j),(-122.81275850126237+100.98911974293553j),(0.00817768596482105-0.006966519360817974j),(100.31417973644415-30.43535701641627j),(-1.0706262327858578-2.7212506202896893j),(-109.32288893700441-73.80786469272674j),(2.966814097695407e-19+1.4131752198510254e-19j),(8.984209569477706-7.541964088954787j),(-0.0003692970946576977-0.00021689424405850203j),(-0.007718898384041318+0.024392690348752622j),(25.419069004102003-15.077886658564584j),(6.244440756003652-3.1426406811229404j),(45.76510375262605-46.28492627632957j),(1.4154768556432998e-10-8.955289270771556e-11j),(7.523706515616013+177.58604267057547j),(10.618225471967023-0.05915675470861004j),(-5.862921386002295+20.628927729953947j),(61.78710310786511-80.69756371291483j),(-2.1684119581645183+18.686299363656442j),(-0.0016098350519280888+0.008935890406476205j)
1.59,(-39.014681983147796-51.86307027992881j),(-97.06105175751632+122.78408920303515j),(0.0068509750657976265-0.00824360504661864j),(90.99285759353869-50.222915769772854j),(-1.3991970394669824-2.3020937778818777j),(-120.07573217246185-47.893380708270065j),(-1.7659959430742373e-20+1.970917494747915e-19j),(7.056645743886103-9.77490540941427j),(-0.00038745941407756807-0.00015338882101615381j),(-0.00398673449915781+0.022803686835608024j),(20.71645409456891-20.0307127167256j),(5.872773417197759-4.803034529750981j),(35.13962804675116-55.184636227030396j),(1.0896984328818826e-10-7.028470570099966e-11j),(45.48846658446761+170.35030933915672j),(9.72454061712899-2.1614310281347335j),(-1.6891656370531134+20.06890409986162j),(42.047768865498604-88.20174194417697j),(2.4208504164593654+19.370064355942247j),(-8.546465703675285e-06+0.009151945183087165j)
1.6,(-51.42517152185035-42.452188262183085j),(-67.58842220491482+138.2666797257366j),(0.005280063359531885-0.009290489223307642j),(77.792318528494-67.40303336208676j),(-1.6253375325855783-1.8640347006135727j),(-124.86076814461975-20.714200639106032j),(-1.2369006224758825e-19+2.1731672051448857e-20j),(4.551181580782156-11.53052821045372j),(-0.00039538144152685364-8.737936381826263e-05j),(-0.0008135016075594847+0.0208369683130465j),(15.086195406223803-23.669267927375905j),(5.067301871270314-6.47986831842303j),(22.831608159999384-61.67280233739486j),(8.181661536341562e-11-5.5001546203399594e-11j),(80.74652386501069+155.0016846351387j),(8.46543661589277-3.915612627633628j),(2.052244809613862+18.75056529056816j),(21.891380919910024-91.16680953884442j),(7.259537439012653+18.928085766860704j),(0.0016604547604080347+0.009068495840871575j)
1.61,(-61.649265918489384-29.98333496382954j),(-35.90079388357209+146.8365041528013j),(0.003499018083564435-0.010052930034833655j),(61.40677489001633-81.2215055371249j),(-1.7544068478386325-1.4274913981950572j),(-123.613312068428+6.384315520650951j),(-2.8793270824457603e-20-8.032641541553156e-20j),(1.580524529516702-12.65365203415282j),(-0.0003923704107288203-2.047156498930156e-05j),(0.0017896506100748613+0.01860656845121925j),(8.872619409015954-25.827376809948767j),(3.7933027727227504-8.064103871030536j),(9.38272722612832-65.44833124536628j),(5.974643218229216e-11-4.276477843265931e-11j),(111.56163344853138+132.3544380292326j),(6.94098273310869-5.268112026200094j),(5.241009325036355+16.816572378608793j),(2.3161592586568007-89.74739960869336j),(12.07582203553806+17.266819113721027j),(0.003341861257069471+0.008659132537387544j)
1.62,(-68.91543289875881-14.936199237438437j),(-3.593871282728422+148.24571388453478j),(0.001555330165594137-0.010479108555154007j),(42.675844365889944-91.10335006907859j),(-1.7952665902122347-1.010267026303207j),(-116.56823162325385+32.08117899067065j),(5.758315619801532e-20-2.5992535345203678e-20j),(-1.6995730279111623-13.013447938684692j),(-0.00037795373609601063+4.546969012034807e-05j),(0.0038294448561252002+0.016221118958552043j),(2.449212801631484-26.425211324488025j),(2.0417201338405584-9.429174821996341j),(-4.6168070736858375-66.33022462844207j),(4.228856699181278e-11-3.290242802059316e-11j),(136.41728899531688+103.59696900563976j),(5.256999691655437-6.19060954186195j),(7.79450872616074+14.425131937626276j),(-15.76127391809614-84.31157653799897j),(16.563365589280952+14.35589925262281j),(0.004970296794124677+0.007906565412058766j)
1.6300000000000001,(-72.54660973999931+2.0111421341962696j),(27.728461610994785+142.61141542630426j),(-0.000488981349738766-0.010523057207149253j),(22.539141631294143-96.68082292727487j),(-1.7595297933774579-0.6270190947011569j),(-104.24859605731427+55.146345195585404j),(2.1186783658793323e-20+4.7400701593355344e-20j),(-5.094582170015589-12.515677834576692j),(-0.0003519717610936044+0.00010833628557936882j),(0.005329180181239269+0.013781305302218104j),(-3.8024220654927916-25.474820558458713j),(-0.16386736346950848-10.436309822634524j),(-18.554488687123932-64.2636986995612j),(2.8885040517561946e-11-2.4937985816166118e-11j),(154.09876612112305+70.23684133899678j),(3.519040508182793-6.680159934100027j),(9.66904467064068+11.741013610578806j),(-31.551186394980373-75.41402918447181j),(20.394840205469347+10.240484159606876j),(0.006471200730565713+0.0068061601513608695j)
1.6400000000000001,(-72.01184534005961+19.996443044444177j),(56.53752087265184+130.40924743053853j),(-0.0025570777538394605-0.010148886132316333j),(1.9853684945321959-97.81001904977299j),(-1.6607336209716999-0.28891171389810655j),(-87.43935502115043+74.50424738883703j),(-4.537331298320651e-20+1.632462888259729e-20j),(-8.378987151136924-11.11465313225762j),(-0.00031467798698453487+0.0001658225169050064j),(0.00632695937516508+0.011377426852827263j),(-9.51497345685095-23.080598953989266j),(-2.7610752810045813-10.942343188163196j),(-31.821913863326245-59.32066526967295j),(1.8931009275514983e-11-1.8531929122013436e-11j),(163.76232132604207+34.02720920999104j),(1.8265359913653851-6.757868562998955j),(10.85901671348428+8.926664518319452j),(-44.428532733803436-63.75943687037781j),(23.23970132211441+5.051235314578015j),(0.007762840041864127+0.005369743033771786j)
1.6500000000000001,(-66.97779947258343+38.000940599601826j),(81.46063896160001+112.44771842050142j),(-0.004558187501860078-0.009335665211212988j),(-18.00129293909665-94.57491886345247j),(-1.5134792944111677-0.003463585480249637j),(-67.14661400307034+89.29080853998767j),(-1.1049221355894153e-20-5.021140143152729e-20j),(-11.307844598775795-8.82392833700762j),(-0.0002668383924137015+0.0002155064997248809j),(0.006873417932592196+0.00908721031858537j),(-14.357968807311579-19.43423196750619j),(-5.64413517152916-10.810046189433544j),(-43.84016551173727-51.69478701939883j),(1.1812183575476351e-11-1.3434806316521981e-11j),(164.9871406590413-3.1226090982388115j),(0.26746251569628976-6.466200214554617j),(11.394109460977255+6.133904207771053j),(-53.960988522221975-50.157938199278085j),(24.78605184342884-0.9894475082968874j),(0.008759702791439087+0.0036293614120641265j)
