N,E [H]
1,-15.523362992843243
2,-15.530466821044268
3,-15.534141835438763
4,-15.534769889081543
5,-15.535773070608604
6,-15.537279304296074
7,-15.53994623580384
8,-15.540872701564656
9,-15.541541023729572
10,-15.544485093387364
11,-15.54467275617599
12,-15.544901967176449
13,-15.546069156224672
14,-15.548109365091372
15,-15.54874824494838
16,-15.550097118206619
17,-15.550337151651139
18,-15.550653214701136
19,-15.551072461716927
20,-15.551403423785791
21,-15.55276945471442
22,-15.553325133217884
23,-15.553561524506613
24,-15.554525307590124
25,-15.554759546989988
26,-15.555004006160043
27,-15.555131195680318
28,-15.555300261362596
29,-15.55547474723992
30,-15.555618833109817
31,-15.555691781880645
32,-15.55596541595856
33,-15.556125816133196
34,-15.556337223243458
35,-15.556903673477901
36,-15.557123402293952
37,-15.557367762431625
38,-15.557503346759734
39,-15.5575624440617
40,-15.55775285678492
41,-15.557986659572915
42,-15.55809205682632
43,-15.558127849154442
44,-15.558205900780436
45,-15.558317539857338
46,-15.55836629651711
47,-15.558435791518944
48,-15.558623932492772
49,-15.558718187071127
50,-15.558893136778828
51,-15.558952214934397
52,-15.558982872950585
53,-15.55901504227839
54,-15.55912128616595
55,-15.55919538078456
56,-15.559242058049401
57,-15.559284575323586
58,-15.55930523649162
59,-15.559329040010175
60,-15.559422807399123
61,-15.559485204777198
62,-15.559553958783447
63,-15.559564254203494
64,-15.559600413186665
65,-15.559620413635107
66,-15.55964005802367
67,-15.559666618215543
68,-15.559680673101216
69,-15.559702531515448
70,-15.559739620591428
71,-15.559762436943059
72,-15.55976832892502
73,-15.559775577783308
74,-15.559785232604286
75,-15.559800164957563
76,-15.55982970217835
77,-15.559840563514186
78,-15.559851959150652
79,-15.559856871558772
80,-15.559876971774909
81,-15.559887587756903
82,-15.559898760343591
83,-15.559919897409111
84,-15.559936242409266
85,-15.559951466868782
86,-15.559966061889664
87,-15.55999516974275
88,-15.560021357099782
89,-15.56003214587846
90,-15.56005464783926
91,-15.56005694121609
92,-15.560061171986328
93,-15.5600702992849
94,-15.560076331406094
95,-15.560081543557164
96,-15.56008480196826
97,-15.560101741084438
98,-15.56011969932862
99,-15.560154699007802
100,-15.560158733232877
101,-15.560169391528884
