N,E [H]
1,-147.28528139207083
2,-147.28738844175305
3,-147.28738992514383
4,-147.2946976992504
5,-147.29522310760265
6,-147.30140116718812
7,-147.3014369858504
8,-147.30273104365438
9,-147.30295162004606
10,-147.30373798165894
11,-147.30378753974287
12,-147.30381815173766
13,-147.3181433846371
14,-147.31931217208518
15,-147.3198155550031
16,-147.3198198538719
17,-147.31989031876932
18,-147.32012675678445
19,-147.32043370952195
20,-147.32099272615693
21,-147.3211955333357
22,-147.32155680036328
23,-147.32228612217514
24,-147.3223007630251
25,-147.32318608429915
26,-147.32382400621034
27,-147.32388838048436
28,-147.32449385731647
29,-147.324672795488
30,-147.32479683693222
31,-147.32509932347062
32,-147.3252640163682
33,-147.32567635285326
34,-147.32573776080866
35,-147.32649706525038
36,-147.3265718606708
37,-147.32758726474822
38,-147.32760545050004
39,-147.3277769132881
40,-147.32795803958552
41,-147.32803296871828
42,-147.32839392008847
43,-147.32978550037564
44,-147.32989773895915
45,-147.33047998726786
46,-147.33053525827287
47,-147.3306701150923
48,-147.33124959769313
49,-147.33384457683366
50,-147.33388271965762
51,-147.3340266752326
52,-147.33432775631832
53,-147.33437930323862
54,-147.33452660535733
55,-147.33457568297115
56,-147.33463230464557
57,-147.33465858847268
58,-147.33468720157109
59,-147.33497108912627
60,-147.33659645006585
61,-147.33694271122656
62,-147.33864093688194
63,-147.33878230699773
64,-147.3394724396374
65,-147.3396059990193
66,-147.339693163605
67,-147.3397578871315
68,-147.33980205517062
69,-147.33981358033634
70,-147.34066717570136
71,-147.34082673212006
72,-147.34121461002712
73,-147.34235133877687
74,-147.3437358885556
75,-147.34394617552687
76,-147.34395694091899
77,-147.34395815792342
78,-147.3445693039148
79,-147.347124667885
80,-147.3475727990713
81,-147.34765702575916
82,-147.34775225509975
83,-147.34799975841244
84,-147.34800257649766
85,-147.34810148060043
86,-147.3481405072233
87,-147.34860747308446
88,-147.34860773249375
89,-147.34863022335256
90,-147.34865789357863
91,-147.34878167044968
92,-147.34894002631458
93,-147.34907942498143
94,-147.34910713177624
95,-147.3494190199337
96,-147.34943905590106
97,-147.34959612110427
98,-147.34990146617716
99,-147.35004627437044
100,-147.35035323697272
101,-147.35054893501427
