t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B01_z_0000_00,B01_z_0001_00,B01_z_0002_00,B01_z_0003_00,B01_z_0004_00,B02_z_0000_00
0.36,(0.05306132825583266-0.4245043165942303j),(-0.512429268984224-0.7164334971110063j),(-0.485603529315181-0.6774520490822422j),(0.09899036133804999+0.05330963487262196j),(-0.10669565270497497+0.15786061632501078j),(0.7954147941326756+0.41605692433372027j),(0.3784918077154482+0.35709607018783684j),(-0.37957799863599906-0.21446552031483276j),(0.11679592926108269-0.39660601181821437j),(1.1439787383991664-0.38138787877913644j),(0.022805146886793477-0.5335466024865487j),(0.7904632282432225+0.40010436452375514j),(1.0772607343647267-0.09868094012967217j),(0.06956218604673542-0.4410015313296391j)
0.37,(0.054726407706643276-0.4306398807764643j),(-0.5095236689346964-0.7162425249289144j),(-0.4820619543073633-0.6768606695437631j),(0.09557530829914816+0.044513410385622565j),(-0.10775342531752824+0.15146733067721024j),(0.7926171495645211+0.41357997771565297j),(0.37536688118581+0.35293335873227777j),(-0.37530099215014456-0.2186429245714453j),(0.12047379347809285-0.4018676996985936j),(1.1372790332064564-0.3819293865173552j),(0.022320351286246768-0.5444834597070233j),(0.7856718520368006+0.39310778843544614j),(1.070584931864896-0.10128517405966497j),(0.0726382335121033-0.44856198658537827j)
0.38,(0.05633931313966842-0.4364800171695669j),(-0.5067613872540061-0.71615553006663j),(-0.47863939603811756-0.6763556208288747j),(0.09236701643340271+0.03574159531583481j),(-0.10880555363343584+0.1453236089178535j),(0.7898759360787209+0.4111379172770703j),(0.37231474287502114+0.348845746297719j),(-0.3712372696923645-0.22269130718355917j),(0.12421949456216846-0.4070118079986173j),(1.1300487786086861-0.3826153284733604j),(0.021932578175476346-0.5553134995371835j),(0.7806502995391513+0.385468838496666j),(1.0634093578441306-0.10420836328980425j),(0.07572916327411582-0.4558776928100954j)
0.39,(0.0578990596309871-0.442041289211831j),(-0.5041431080243373-0.7161687914733528j),(-0.47533574065523176-0.6759375900119154j),(0.08937787917315815+0.026987687909459327j),(-0.1098470225620292+0.1394262028500608j),(0.7871933452669672+0.40873337757833644j),(0.3693407376181349+0.3448368486814035j),(-0.3673788490440252-0.22661532435967632j),(0.12803129641874617-0.41204410637427574j),(1.1222746399769998-0.3834762892766582j),(0.021629530639356288-0.5660558336962512j),(0.775437645538169+0.37716212579099534j),(1.0557345353888776-0.10748786791541695j),(0.0788329274388504-0.462961866826852j)
0.4,(0.05940455408389019-0.44734146296840965j),(-0.5016685808313922-0.7162777886504869j),(-0.4721511678635082-0.6756061407395368j),(0.08661211530976415+0.018244344548415052j),(-0.11087712410306688+0.1337710850309162j),(0.7845675690448128+0.40636683687335845j),(0.36644429223972264+0.34090639049721855j),(-0.36371896556229527-0.23041443389039004j),(0.13191140585070554-0.41697301444146456j),(1.1139528138117114-0.3845387444749253j),(0.02139538370676577-0.5767267803295432j),(0.7700740771483996+0.3681755270914069j),(1.047568595143709-0.1111534599694073j),(0.08194777527857887-0.4698296930927989j)
0.41000000000000003,(0.06085477854615062-0.45239980076560105j),(-0.4993368320337573-0.7164777908422156j),(-0.46908760966456947-0.675360524605072j),(0.08406625952885924+0.009507780101856243j),(-0.11189656825949026+0.12835368605958122j),(0.7819927919258314+0.4040356518827715j),(0.36361761643849927+0.33704899733231664j),(-0.3602563052904267-0.23408057871148027j),(0.13586053472988552-0.4218086672817973j),(1.1050910412457444-0.38582627297117406j),(0.021215741368070914-0.5873465071935404j),(0.7645994179377175+0.3585108390374442j),(1.0389290437038945-0.11522724743237803j),(0.08507225924705861-0.47649758032178846j)
0.42,(0.06224936448765168-0.45723677611045294j),(-0.4971456472035516-0.7167650683633201j),(-0.4661452603086771-0.6752015143854966j),(0.08174071018274491+0.0007738981966671846j),(-0.112903633353634+0.12316686513380398j),(0.779465425019551+0.40173813862419017j),(0.36085586951671295+0.33326135257506223j),(-0.3569884332723854-0.2376135535899126j),(0.1398796732203461-0.42656459953098597j),(1.095704636401167-0.3873560347712986j),(0.021078463691186423-0.5979371307397062j),(0.7590505405970656+0.3481815573155499j),(1.0298387144357186-0.11972189807367992j),(0.08820525524615397-0.48298301057742j)
0.43,(0.0635880623552518-0.46187348833219577j),(-0.49509240918565584-0.7171362999285497j),(-0.46332351590870957-0.6751298823597114j),(0.07963496666433655-0.007962831417860666j),(-0.11389786748498276+0.11820264777234366j),(0.7769819177598952+0.39947289245678813j),(0.35815436669286577+0.32954062654638505j),(-0.3539119315944315-0.24101558823462194j),(0.14397031786032433-0.4312577990197147j),(1.0858162516227154-0.3891386133135947j),(0.02097354407596049-0.6085224782746421j),(0.7534612943745775+0.3372127473011597j),(1.0203255368345105-0.12464059510585557j),(0.09134596262583633-0.48930453927303974j)
0.44,(0.06487074157278457-0.46633166258224273j),(-0.4931740980977122-0.7175885726526217j),(-0.4606209744401623-0.6751464003085419j),(0.0777476294071635-0.016709372870028424j),(-0.11488008853017113+0.11345222581497066j),(0.7745387579051831+0.39723878808129887j),(0.35550857910171385+0.3258844764997803j),(-0.35102239938511964-0.2442913472965125j),(0.14813447156223403-0.4359087067736399j),(1.0754558774777943-0.39117801546875974j),(0.020893109254174785-0.6191280879600869j),(0.7478625050755785+0.32564104405870287j),(1.0104225365246442-0.12997703718463935j),(0.09449390418418398-0.49548179517174085j)
0.45,(0.06609739054105865-0.4706336498341897j),(-0.4913872913301243-0.7181193820502219j),(-0.4580354357411478-0.6752518395147384j),(0.07607639988536903-0.02547412416572996j),(-0.11585238414298374+0.1089059574224665j),(0.7721324715381293+0.3950349795400151j),(0.35291413379426717+0.3222910466213084j),(-0.34831445281529866-0.24744793036845783j),(0.15237537330308532-0.4405403294985541j),(1.0646598738529032-0.39347014163150407j),(0.020830160012220735-0.6297810657693566j),(0.7422826402110255+0.3135138193833318j),(1.000167082732921-0.13571485032264077j),(0.09764892616738216-0.5015354803863635j)
0.46,(0.0672681166378579-0.47480242688381524j),(-0.4897281635460576-0.7187266320360043j),(-0.45556390151239545-0.6754469707629766j),(0.07461808061371039-0.0342669171884518j),(-0.11681811175435515+0.10455336707662385j),(0.7697596230658438+0.3928609002167891j),(0.35036681373778955+0.3187589680295954j),(-0.34578172509811167-0.2504948719853007j),(0.15669796478572862-0.4451735712390322j),(1.0534678613882382-0.39600652665815217j),(0.020773219543708133-0.6405111757859334j),(0.7367462149852138+0.3008848851530239j),(0.9895979288716193-0.1418317874287497j),(0.10081119826972311-0.5074873703794948j)
0.47000000000000003,(0.06838314621794127-0.4788615963490806j),(-0.4881924866814386-0.719408634924591j),(-0.4532025753172517-0.6757325643398564j),(0.0733685751475587-0.04309901769927321j),(-0.11778189857236991+0.1003831455802466j),(0.7674168152198322+0.39071626283703254j),(0.34786255781579895+0.31528735877583247j),(-0.34341686648899616-0.25344414162385315j),(0.16110463954733323-0.4498312978491477j),(1.0419247155979081-0.3987868454509215j),(0.020712465045360656-0.6513514696391256j),(0.731269151083583+0.2878131019895269j),(0.9787564508083239-0.14830790595566315j),(0.10398121363360605-0.5133603139634686j)
0.48,(0.06944281319846121-0.48283537219350137j),(-0.48677562555025755-0.7201641105099343j),(-0.4509468771399679-0.6761093915721192j),(0.07232289331681956-0.051983088929422674j),(-0.11874963308785591+0.09638316124919673j),(0.7651006995768773+0.3886010515559075j),(0.34539746528069915+0.31187582568880273j),(-0.3412116127069173-0.256310061884622j),(0.16559930849726612-0.45453828198011675j),(1.030075929385687-0.40180648031408595j),(0.020638148637678908-0.6623356932020966j),(0.7258647263257447+0.2743583529908327j),(0.9676835738295207-0.15511944122585317j),(0.10715978878826628-0.5191782324896803j)
0.49,(0.07044671805280502-0.48674740440076086j),(-0.4854722071307144-0.7209922897395784j),(-0.44879289884352247-0.676578656735156j),(0.07147499620613473-0.060929341694757964j),(-0.11972669138655494+0.09254167277432208j),(0.7628080807316625+0.38651441455766106j),(0.3429665231931934+0.3085234231452619j),(-0.33916316380965794-0.2591018908795257j),(0.1701877772243705-0.45932098582087155j),(1.017967191690233-0.40505550396343054j),(0.02054021461576498-0.6734981312281854j),(0.7205440326127832+0.2605812171933412j),(0.9564194738243266-0.16223831184892484j),(0.11034800954269851-0.5249652401098456j)
0.5,(0.07139461111713298-0.490621510924249j),(-0.48427679636271176-0.7218932472829319j),(-0.4467370769677743-0.6771424177105894j),(0.07081655677057412-0.06994642127428691j),(-0.12071611872958031+0.088847568171231j),(0.7605337540513339+0.38445432590577006j),(0.34056016756456553+0.3052261632676566j),(-0.33727086263796624-0.2618276647064475j),(0.17487774599696582-0.46420756109806066j),(1.0056443874850907-0.408518679526252j),(0.020408299449322445-0.6848736073509063j),(0.7153159759272563+0.24654296957186067j),(0.9450035772844884-0.16963211972161618j),(0.11354731186169414-0.5307462709538553j)
0.51,(0.0722863619131842-0.49448167716446506j),(-0.48318442003143913-0.7228673188105105j),(-0.44477525628966896-0.6778025925902764j),(0.07033878740726329-0.07904503504126666j),(-0.12172141491267609+0.08528984093167169j),(0.7582723222115796+0.3824191149382453j),(0.33816874100812194+0.3019801848790546j),(-0.33553175645942945-0.26449812796995426j),(0.17967880976284778-0.4692278490760491j),(0.9931535977786883-0.41217546054135834j),(0.020231731782656363-0.6964974840839487j),(0.7101872763331951+0.2323055810396075j),(0.9334745613043834-0.1772641500277982j),(0.11675946172100618-0.536547298617909j)
0.52,(0.07312142442606631-0.4983514158521535j),(-0.48219042358142516-0.7239149391092164j),(-0.4429031428519825-0.6785608202148606j),(0.07003305773808563-0.08823702997539565j),(-0.1227468096322276+0.08185793132773088j),(0.7560190982143948+0.38040743351150713j),(0.3357837000780681+0.29878256253198915j),(-0.3339428650150777-0.2671238008416689j),(0.18460248253267125-0.47441331164763956j),(0.9805410574893421-0.41599992761306853j),(0.019999467824833358-0.708405743311611j),(0.7051626613354698+0.21793173060285503j),(0.9218703690870662-0.18509337223179514j),(0.11998648230763162-0.542394519362251j)
0.53,(0.07389883710425552-0.5022537670483039j),(-0.4812904711165377-0.7250366420823398j),(-0.4411163039633215-0.6794184601737726j),(0.06989089460968234-0.09753539266281344j),(-0.12379726248526153+0.0785417264118337j),(0.7537701053880824+0.37841825600038526j),(0.33339761526950895+0.2956313065084591j),(-0.3325011805193842-0.2697149790602709j),(0.18966051863454061-0.47979436515477114j),(0.967850293476548-0.41996715145951824j),(0.019698584549914955-0.7206388550675876j),(0.7002489604710799+0.2034793438735118j),(0.910227247278788-0.19308113465895457j),(0.12323065401981154-0.5483143521111712j)
0.54,(0.07461722285959661-0.5062112981441509j),(-0.480480545399984-0.7262330607495572j),(-0.4394101681981232-0.6803765928052289j),(0.06990398209345249-0.10695424929610087j),(-0.12487846296944582+0.07533156001674379j),(0.7515220773872526+0.37645087929811916j),(0.3310041710184484+0.2925253628199288j),(-0.3312036676602651-0.272281733931496j),(0.19485944475985778-0.4854033152279353j),(0.9551211486477227-0.4240727277892415j),(0.019318046304737536-0.733239504207147j),(0.6954426134520766+0.18899029823798566j),(0.8985763820563349-0.20120437277273684j),(0.12649451446703094-0.5543334384530044j)
0.55,(0.07527478906730292-0.5102461038611744j),(-0.47975694785431033-0.7275049272469326j),(-0.4377800253966551-0.6814360191962333j),(0.07006416148555294-0.11650886567427997j),(-0.12599683048308977+0.07221821275556325j),(0.749272458192823+0.37450492281635767j),(0.3285981657017899+0.2894646132073282j),(-0.3300472635990794-0.27483391232813636j),(0.20020670481246025-0.49127491294334547j),(0.9423921624093535-0.4283146293073848j),(0.018845920889195598-0.7462499526087967j),(0.6907382974880707+0.17450363804980729j),(0.8869474659800108-0.20944224062970115j),(0.129780858470019-0.5604786426401306j)
0.56,(0.07586932756595638-0.5143798062510991j),(-0.4791162985614024-0.7288530728269174j),(-0.43622102666501555-0.682597261182576j),(0.07036343130689843-0.12621564720281392j),(-0.12715951432514397+0.06919291202173262j),(0.7470194021120183+0.3725803284851594j),(0.3261755116373359+0.2864498751410528j),(-0.32902887797062924-0.2773811366900405j),(0.2057122935055324-0.4974452436552856j),(0.9297003802505914-0.43268828069218485j),(0.018267777533971217-0.759712963817692j),(0.6861338471460672+0.16005847332159084j),(0.8753696785025912-0.21777325210318943j),(0.13309273806074878-0.566777051588975j)
0.5700000000000001,(0.07639821465750747-0.5186335546958953j),(-0.47855553626248515-0.7302784278583494j),(-0.4347281843751333-0.6838605613488339j),(0.07079394730316149-0.13609213889360716j),(-0.12837439369520035+0.0662473319890309j),(0.7447617737783712+0.37067736075299224j),(0.3237332350837882+0.28348290182096364j),(-0.32814539288315964-0.27993280502411344j),(0.21138875636160534-0.5039517269961099j),(0.9170813537432502-0.4371865585949681j),(0.01756668690053407-0.773671803045637j),(0.6816302543504653+0.14569397972503434j),(0.8638716859693228-0.22617528088332628j),(0.13643346248243746-0.5732559748800078j)
0.58,(0.07685840543333274-0.5230280097812589j),(-0.47807196145888153-0.7317820552635714j),(-0.4332964151380096-0.6852259108040308j),(0.07134803866475814-0.14615690731133343j),(-0.129650024133734+0.06337361103401025j),(0.7424992147886483+0.36879663971614096j),(0.32126952488239396+0.280566490106054j),(-0.3273936925656335-0.2824980251587785j),(0.21725118971255686-0.5108331168762432j),(0.9045691405418069-0.44179979164015093j),(0.016723221081141427-0.7881702371710834j),(0.6772316683830586+0.13144939859091948j),(0.8524816416179243-0.23462556047701896j),(0.13980659818954616-0.5799429447577445j)
0.59,(0.07724602945239689-0.5275822618477853j),(-0.4776653099480753-0.7333664190089625j),(-0.43192260905487656-0.6866947074462082j),(0.07201878778796611-0.15642280724427524j),(-0.13099097805572488+0.060565691209312496j),(0.7402341490162629+0.36693995952967595j),(0.31878366116436135+0.277707398227864j),(-0.3267725832186851-0.2850809805280084j),(0.2233172406996117-0.5181295014841808j),(0.8921963043834016-0.4465157604252399j),(0.015715453598838133-0.8032525347391318j),(0.6729453958830346+0.11736403690911122j),(0.841227185578585-0.24310068420795766j),(0.14321596884778012-0.5868657161307461j)
0.6,(0.07755658591557467-0.5323144893737158j),(-0.47733423747730985-0.7350317834704196j),(-0.4306020583043138-0.6882678255311001j),(0.07279830455681632-0.1669056236606026j),(-0.13239856362537317+0.0578189894272646j),(0.7379632069614113+0.36510564440158594j),(0.3162669533712956+0.274901629430301j),(-0.3262807959015427-0.2876837422410696j),(0.22960661217172212-0.5258825756411157j),(0.8799938814478977-0.4513203385742058j),(0.014519396823234863-0.8189635901969402j),(0.6687811981816115+0.10347556695168143j),(0.8301351688038281-0.2515771648265345j),(0.14666564647284752-0.5940521995478383j)
0.61,(0.07778502976819643-0.5372419891783374j),(-0.4770780941983515-0.7367781562919817j),(-0.42933012006955795-0.6899455103063009j),(0.07367889068216624-0.1776234579006279j),(-0.1338745489536192+0.05512999741326064j),(0.7356818841345716+0.3632912748800433j),(0.3137103479278388+0.2721425577117908j),(-0.3259161588637129-0.29030779107016j),(0.23613112270249134-0.5341397808144823j),(0.8679920747366074-0.4562110988317783j),(0.013116187558336122-0.8353503573451636j),(0.6647366388653827+0.0897935449391003j),(0.8192283811106615-0.2600404856182543j),(0.15015986358650651-0.601529783630834j)
0.62,(0.07792560062958138-0.5423806472127463j),(-0.47689877735701686-0.7386068855853082j),(-0.4281040515651803-0.6917283424376038j),(0.07465384903789139-0.18859242172527527j),(-0.13542010881429886+0.05249676394908626j),(0.7333879606594021+0.36149548428671724j),(0.3111078270876694+0.26942662508155385j),(-0.3256765054612962-0.29295207807571394j),(0.24289969318206603-0.5429506601494859j),(0.8562225028208935-0.46119128367249623j),(0.011484964601326534-0.8524591661081908j),(0.6608052892215159+0.0763285298839331j),(0.8085316966515474-0.26847620631995783j),(0.15370308421636325-0.6093258645985479j)
0.63,(0.07797182279303763-0.5477449385598478j),(-0.47680073129317246-0.7405206599296794j),(-0.4269230100370865-0.693617238009001j),(0.07571748366088542-0.19982663731608066j),(-0.13703582464414352+0.04991889487291868j),(0.7310815012727409+0.3597179587167735j),(0.3084564089335019+0.2667533415596049j),(-0.3255596741569872-0.2956130246064017j),(0.24992283266407714-0.552367622389394j),(0.8447162821879768-0.46626212401014167j),(0.009600938658340927-0.8703363715064437j),(0.6569861208565729+0.0630965601747756j),(0.7980711166661427-0.27686819537889434j),(0.15730000412390835-0.6174678714552939j)
0.64,(0.07791650522586209-0.5533479274343568j),(-0.47679094744073497-0.7425235083719969j),(-0.42578805276251686-0.6956134485226835j),(0.07686509975106-0.21133823727519177j),(-0.13872168454278014+0.047397553079326686j),(0.7287648553246054+0.3579594370388744j),(0.30575614737708723+0.2641252851767533j),(-0.32556350852007476-0.29828452229912983j),(0.2572115377890246-0.5624469431375188j),(0.8335036263942431-0.47142403877168454j),(0.007436703455331201-0.8890288862976018j),(0.6532822320368511+0.050113661667309836j),(0.7878726319773062-0.2852003759827561j),(0.16095554045980545-0.6259831899152313j)
0.65,(0.07775174156934055-0.5592012671827968j),(-0.47687896432767135-0.7446208004267829j),(-0.4247021370500461-0.6977185608990413j),(0.07809300367134495-0.2231373646253681j),(-0.14047708327273117+0.044935458519270624j),(0.7264426567781934+0.35622171089517923j),(0.30301013215921235+0.261548101974603j),(-0.32568585722644156-0.30095793307904095j),(0.2647772927842774-0.573248764857218j),(0.8226138460652433-0.47667663489728285j),(0.004962235738066345-0.9085841809766025j),(0.6497008476883839+0.037395847684304j),(0.7779622229910976-0.2934567260596782j),(0.16467483176389128-0.6348991624023649j)
0.66,(0.07746891013874764-0.5653152002835009j),(-0.4770768675759984-0.7468192460761809j),(-0.42367012023958367-0.6999344974766633j),(0.07939850294768813-0.23523217280998093j),(-0.14230082225941462+0.04253688820010242j),(0.7241218242098822+0.3545076247013437j),(0.3002244888497007+0.2590305060055523j),(-0.32592457405856456-0.30362208915951394j),(0.2726302274896779-0.5848377139359499j),(0.8120753820189895-0.48202045148659045j),(0.002145982585982817-0.9290503391124466j),(0.6462514729940021+0.024957865987082883j),(0.7683665290632226-0.301622321366523j),(0.16846323796517546-0.6442430880505449j)
0.67,(0.07705867392334687-0.5716985583466114j),(-0.4773992899017832-0.7491268957699548j),(-0.42269875970237325-0.7022635160123372j),(0.08077990626905553-0.24762882569301342j),(-0.14419110959114398+0.040207676185565575j),(0.721811560809229+0.35282107564652027j),(0.2974083788474118+0.25658427933279393j),(-0.3262775179055148-0.30626329304216376j),(0.28076664922927136-0.5972827198605032j),(0.8019231732586899-0.4874564385336581j),(-0.0010413219304084252-0.9504765277063398j),(0.6429321037177639+0.01280913541752719j),(0.7591181095317239-0.3096741853945662j),(0.1723263403818407-0.6540422227034675j)
0.68,(0.07651098058639055-0.5783587621140795j),(-0.47786341111514297-0.7515531404254902j),(-0.4217967128409934-0.7047082096810497j),(0.08223652348743117-0.2603314975590603j),(-0.14614556001912835+0.03795521359579515j),(0.7195233543789707+0.35116701369335807j),(0.2945739993802414+0.2542242720303153j),(-0.32674255276295733-0.3088653175168416j),(0.2891735807506635-0.6106542841103023j),(0.7921958163691335-0.4929801749839117j),(-0.004631743637132108-0.9729126868616217j),(0.6397412820384247+0.0009599080000833593j),(0.750252450070512-0.3175818435026561j),(0.17626994172124275-0.6643237789146736j)
0.6900000000000001,(0.07581521454871903-0.5853012509074283j),(-0.47848893951686844-0.754110726712252j),(-0.4209766376360773-0.7072733387862091j),(0.08376709759960932-0.27334234750161374j),(-0.14816020110386044+0.035787321476777434j),(0.717267987446256+0.3495491334774383j),(0.29173121046106243+0.25196218515148494j),(-0.32731861615713437-0.31141099730557925j),(0.29783333659147904-0.6250263398413237j),(0.7829270711352428-0.4985882988320243j),(-0.008660946221548322-0.9964091971952571j),(0.6366884150960909-0.010577948020184927j),(0.7418048014926795-0.3253219355527116j),(0.18030007578154744-0.6751149826058511j)
0.7000000000000001,(0.07496012583216757-0.5925265645038049j),(-0.4793029142413488-0.7568258932586689j),(-0.4202625953248875-0.7099710444130907j),(0.08536501475268254-0.2866631896189544j),(-0.1502259719187867+0.03371387151113664j),(0.7150470839532733+0.3479667072970193j),(0.28887539200565787+0.2497920821661173j),(-0.32800764799210297-0.3138804043783556j),(0.3067235151771956-0.6404763489672538j),(0.7741456598857775-0.5042788011177207j),(-0.013168122160468714-1.0210168761453213j),(0.6337938692008063-0.02179103207962304j),(0.7338101521945125-0.33287864552763874j),(0.1844230277513798-0.6864431971668288j)
0.71,(0.07393335460402978-0.6000325503244625j),(-0.4803386944040481-0.7597327739763894j),(-0.41968265325938964-0.7128154793657605j),(0.08702489399841284-0.30029571170233865j),(-0.15233617729496618+0.03175034646707269j),(0.7128669302587619+0.34642539073862494j),(0.2860129130761863+0.24772080874829253j),(-0.3288119203692594-0.3162476776101094j),(0.3158092860565355-0.6570825756503282j),(0.7658803412296475-0.5100473894761905j),(-0.018192910143148448-1.046789543351695j),(0.6310819897859222-0.032665678469598544j),(0.7263068570140794-0.3402375292239295j),(0.188645299960882-0.6983357203372196j)
0.72,(0.07272243255190179-0.6078147061929621j),(-0.4816293719486232-0.7628738941975787j),(-0.41927211721228314-0.7158278506240389j),(0.08874002336066436-0.31423941756920326j),(-0.154487657689866+0.029909135872026645j),(0.7107336300807005+0.3449295575443849j),(0.2831492098674056+0.2457553711388255j),(-0.3297386246016839-0.31849402786260506j),(0.32502307190960444-0.6749097964632681j),(0.7581737134840805-0.5158682899235625j),(-0.023777634189321745-1.0737893995058998j),(0.6285782512451802-0.043184207043920966j),(0.7193430012093776-0.3473673665953319j),(0.1929736739915127-0.7108201362927274j)
0.73,(0.07131484270103847-0.615866106839332j),(-0.48320753001442535-0.7663004746190464j),(-0.41907396498549804-0.7190368715400617j),(0.09050202069190888-0.32849154439939277j),(-0.15668064980740687+0.028199043918001328j),(0.7086524479997762+0.34348164338105025j),(0.28028747876948495+0.24390145952776682j),(-0.33080019289887946-0.32060844284828244j),(0.3342884626419901-0.694012870463129j),(0.7510621256010408-0.5217130077950803j),(-0.02997065132122544-1.1020778096550645j),(0.6263246434797153-0.05332646861908599j),(0.7129651446233095-0.35425076083176427j),(0.19741521652839472-0.7239243493238927j)
0.74,(0.06969801941435338-0.6241774039000674j),(-0.4851052429364999-0.7700724313022472j),(-0.4191388464101951-0.7224787618382813j),(0.09230083367322589-0.3430470627351604j),(-0.15891878659796316+0.02662528946156126j),(0.7066278094593847+0.342082145839993j),(0.27742867636800506+0.24216344805440262j),(-0.3320142983667712-0.32258768713025693j),(0.3435272768620392-0.7144398058186074j),(0.7445695541920059-0.5275587940809832j),(-0.0368242147801037-1.1317129676408815j),(0.6243795719771486-0.06307245710471177j),(0.7072159344147604-0.3608938920762674j),(0.20197727936031548-0.7376765838360928j)
0.75,(0.06785934839241886-0.6327368259181307j),(-0.48735407624558685-0.7742583756732805j),(-0.41952508334676575-0.726197247615466j),(0.09412473981430257-0.3578986764811679j),(-0.16120909725836294+0.025189506023832662j),(0.7046633007656302+0.34072962443720656j),(0.2745715194439577+0.2405443948072547j),(-0.33340385500770703-0.32443630212231933j),(0.35264995927725784-0.736233844499759j),(0.7387144020514123-0.5333822175278468j),(-0.044391075139431135-1.1627581404020706j),(0.6228077417831639-0.07240434557711628j),(0.7021333743468833-0.36731511547400353j),(0.2066674993797267-0.7521053843495421j)
0.76,(0.06578616667346589-0.6415301783429512j),(-0.4899850866681201-0.7789356145228902j),(-0.4202986696848321-0.7302435613407005j),(0.0959603464534338-0.37303682290448525j),(-0.16356200723188793+0.02388974179050347j),(0.7027616690873255+0.3394207006133055j),(0.2717124849737461+0.23904604182408037j),(-0.3349970177204571-0.326166606088936j),(0.36154177868605264-0.7593565407423277j),(0.7335366956320082-0.5391382343965874j),(-0.0527492791781345-1.1952998030557604j),(0.6216982442939293-0.08128882572848296j),(0.6977773093900416-0.3735290068517883j),(0.2114938060242452-0.7672396461430647j)
0.77,(0.06346648227687643-0.6505401179237894j),(-0.4930265619626305-0.7841877929660054j),(-0.42152941853947085-0.7346758751803251j),(0.09779305908513125-0.38845182945491086j),(-0.1659919145675927+0.022717037509808646j),(0.7009230300057478+0.33814952861133224j),(0.2688421422669967+0.2376654750207004j),(-0.3368257914735049-0.32780101861769556j),(0.3701042906104595-0.7837496019497064j),(0.7290731064694275-0.544791682275835j),(-0.06197888100719433-1.2294117843006704j),(0.6211414686137711-0.0896957816404745j),(0.6942041065556972-0.3795657307182258j),(0.21646450207186685-0.7831089596717627j)
0.78,(0.06089188456787304-0.6597432310461685j),(-0.4964884188683247-0.7900915519783143j),(-0.4232718150258284-0.7395619902556416j),(0.0996029001212125-0.4041513427723794j),(-0.16852766860604523+0.021641010882280518j),(0.6991338094180516+0.3368994659063624j),(0.2659317605042242+0.23637884718014476j),(-0.33892197262765655-0.32939183876096195j),(0.3782641533240456-0.8093832731957857j),(0.725346354169622-0.5503283300892289j),(-0.07214249368480077-1.2651455142571875j),(0.6212052308370423-0.09761245148794709j),(0.6914486396547357-0.38547140241337574j),(0.22158822174281964-0.7997434466654871j)
0.79,(0.05805670335443034-0.669113312135913j),(-0.500376157830686-0.796719529962882j),(-0.42558064377623167-0.7449793434000794j),(0.10136495777258461-0.42015047895751634j),(-0.17120843237096606+0.020625552655117216j),(0.6973775526316788+0.3356427973608655j),(0.26295502803251747+0.23515655752412776j),(-0.3413199988569447-0.33100992327895j),(0.3859416329997811-0.836201078002217j),(0.7223763793604446-0.5557408835401232j),(-0.08330871962100138-1.3025668244277782j),(0.6219479227233576-0.10503054358474j),(0.6895448456653311-0.39129823305688965j),(0.22687401673324334-0.8171740905406696j)
0.8,(0.0549615640610438-0.6786196037230501j),(-0.5046976797826666-0.8041344501688673j),(-0.4285055815635284-0.7510044629747097j),(0.10306129497933252-0.4364642514973256j),(-0.17407204713620808+0.019621630382846544j),(0.6956382210835506+0.33434644953930964j),(0.25988105738103906+0.2339593328404704j),(-0.3440487283372668-0.33273454339021796j),(0.3931826045648323-0.864038900347064j),(0.7201936158015907-0.5610531671104626j),(-0.09561522569353528-1.3417783410596213j),(0.6234520659324455-0.11192866202420462j),(0.6885450208825526-0.3971191976219558j),(0.23233137960788797-0.835432830047319j)
0.81,(0.05161372844087525-0.6882265113986525j),(-0.5094629575620339-0.8123882849553574j),(-0.4320899017361637-0.757712326167601j),(0.10468163261071131-0.45310778679186015j),(-0.1771546343748939+0.018565995636197572j),(0.6938998308122221+0.3329721636989244j),(0.25667297120387655+0.23273712104595376j),(-0.34713069852322737-0.334653528238158j),(0.40005127128894646-0.8927649973028275j),(0.7188198690631211-0.5662910522659371j),(-0.10916412394050115-1.382849237951593j),(0.6257735692907517-0.11829797684214244j),(0.6884873771762272-0.40299612121364997j),(0.2379702438001137-0.854552559269021j)
0.8200000000000001,(0.04802709457575287-0.6978936038148382j),(-0.5146840359113714-0.821522255791367j),(-0.43637047421817987-0.765176358993819j),(0.10622334946514625-0.47009632415422203j),(-0.18049059575941567+0.017381184002100633j),(0.6921464524578829+0.3314764957897004j),(0.25328790228004244+0.2314290911863189j),(-0.35058212614813816-0.3368632648909968j),(0.4065045507239352-0.9222925169320071j),(0.718269910797308-0.5714464971184665j),(-0.12399017648528331-1.425827202107391j),(0.6289272206314035-0.12414219436837998j),(0.6894023521710668-0.40895116296531203j),(0.24380099903754496-0.8745671718952376j)
0.8300000000000001,(0.044222196876171155-0.7075756126847706j),(-0.5203750314780784-0.8315668332558386j),(-0.44137776550921654-0.7734684362954265j),(0.10769148227023273-0.4874452158105624j),(-0.18411261316143526+0.015975515083687327j),(0.6903622112623566+0.32981081645438953j),(0.24967699351347447+0.22996363343626708j),(-0.35441290722401786-0.3394686983417951j),(0.4126126495438768-0.9525319282412086j),(0.7185436163253212-0.57655719054714j),(-0.1401829614959999-1.470793626405689j),(0.6329151899756991-0.1294650017702746j),(0.6913172850625412-0.41502559971308045j),(0.2498345935189637-0.8955118608896322j)
