t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B02_A_0000
0.1,(0.8078367805895809-0.39171680035392115j),(3.82017666261673e-05-7.339171963839892e-05j),(-5.6985418343635616e-05+0.0001008577012067437j),(-0.000958123634488345-0.000991209962334132j),(0.00016890067222693133-0.0006006562420683664j),(4.187107578341149e-06-1.992331939102472e-06j),(5.419552418874504e-05+8.092104176030717e-05j),(-0.00012953886807934761+0.0001447108446601028j),(0.8082591320316217-0.39266828666792813j),(3.5101864357047813e-06+3.4648536332581005e-07j),(-0.0013024346350553485-0.000389202765152758j),(7.590336771142476e-06+5.0890489567809915e-06j),(1.6795757645036222e-06+8.251421058366013e-06j),(0.8069408967717081-0.39292278128836644j)
0.11,(0.7724292715055614-0.41906284832463814j),(5.060402077396053e-05-0.0001094859651718519j),(-7.663647513481156e-05+0.000150575681993903j),(-0.0013101291101099686-0.001122103312767932j),(0.00017810366010932127-0.0007561727247620392j),(5.346757686966818e-06-2.8797902011752205e-06j),(7.662788265819107e-05+9.92472668385556e-05j),(-0.00017952820719786442+0.00019681833906787358j),(0.7738720278013552-0.41997729297573894j),(3.941702942166383e-06+2.6239707946512587e-07j),(-0.0026919701389957087-0.0006290718376188934j),(8.625275087335125e-06+5.550859370916953e-06j),(2.1645344251479623e-06+9.210618622592502e-06j),(0.7711996265129349-0.4204156736231547j)
0.12,(0.7353973586421041-0.44362460651706587j),(6.595151960995713e-05-0.00015638468522123378j),(-0.00010134889902119862+0.00021523671190629178j),(-0.00173512611841788-0.0012161249747300099j),(0.0001762923189616779-0.0009358625359063426j),(6.632738739830469e-06-4.142476685764101e-06j),(0.00010615858749809239+0.00011767673904673336j),(-0.00024362851619797262+0.00025824653171881634j),(0.7392363469831611-0.44431012806106907j),(4.214120407780048e-06+1.2476455603103393e-07j),(-0.005558566310425098-0.0010297545080827247j),(9.349089945668341e-06+5.6911843088312486e-06j),(2.6591090750267854e-06+9.756954806696443e-06j),(0.7337726870487636-0.4450835260106443j)
0.13,(0.6970956495739893-0.46537198037489796j),(8.470221825501556e-05-0.00021572759838620726j),(-0.00013201661329238028+0.00029716622341688105j),(-0.0022333340850172073-0.0012569191623821444j),(0.00015931589437723732-0.0011408362970266451j),(7.98077030392853e-06-5.847100703629288e-06j),(0.0001434790488224172+0.00013477483538025165j),(-0.00032397080252889737+0.0003292984578564421j),(0.7061187170945691-0.46540772990271656j),(4.352613560333467e-06-7.524715016476345e-08j),(-0.011318651474559432-0.001806080132949358j),(9.831976696257716e-06+5.495372289990671e-06j),(3.2056692664033014e-06+9.933101207230127e-06j),(0.6950048505340115-0.4668762757919136j)
0.14,(0.6578654052958877-0.48430908119125743j),(0.00010739247842723022-0.00028906715412878786j),(-0.00016967613644955373+0.0003986192516611025j),(-0.0028026026297449215-0.001227704144215615j),(0.00012240841412736815-0.001371926362776552j),(9.300066667624789e-06-8.041257439094984e-06j),(0.0001888683633208781+0.0001488205767809359j),(-0.0004227417820944057+0.0004104708309566677j),(0.6773853406863317-0.48244718919230767j),(4.400624860793674e-06-3.337076421352064e-07j),(-0.0224959755209483-0.0037733782898190715j),(1.0169417132522976e-05+5.025476224457032e-06j),(3.825950359419661e-06+9.841722833029608e-06j),(0.6552307899163828-0.485778977765031j)
0.15,(0.6180345402223604-0.500474226108697j),(0.00013463706844193138-0.00037786853277334433j),(-0.00021550658220553004+0.0005217804344368492j),(-0.0034384115666698358-0.0011112722430512046j),(6.0188688161571415e-05-0.0016296868209379057j),(1.0473336840650417e-05-1.0753427950049426e-05j),(0.00024219331425893206+0.00015780662813702582j),(-0.0005421838792528071+0.0005024540427278156j),(0.6569530751937824-0.49282775476310264j),(4.440544672518529e-06-6.420602517082581e-07j),(-0.04267809089554888-0.009558642124504088j),(1.0518604632642766e-05+4.425736199771156e-06j),(4.551592071565372e-06+9.681561043467118e-06j),(0.6147750789364694-0.5018118041850546j)
0.16,(0.577917622187859-0.5139399381191991j),(0.0001671291632116855-0.0004835096455065991j),(-0.0002708296594847343+0.0006687640122044758j),(-0.004133870904092614-0.0008899898360391964j),(-3.333969139251964e-05-0.001914393492420788j),(1.1356784554103972e-05-1.3992979167944896e-05j),(0.0003029083714777808+0.0001594392982831755j),(-0.000684595226816954+0.0006061321631106144j),(0.6451275004681746-0.49254248147118634j),(4.6455582036490095e-06-1.0056372004708946e-06j),(-0.0718586758158409-0.023224703873911772j),(1.120175206409487e-05+3.9546962786757754e-06j),(5.497452990351197e-06+9.847899656232052e-06j),(0.5739521921277495-0.5150300447640329j)
0.17,(0.5378143882890329-0.5248105419708251j),(0.00020562399717147256-0.0006072766407677255j),(-0.00033708211693105885+0.0008416137764528011j),(-0.004879753644427815-0.0005461869096147486j),(-0.0001646721174752469-0.002225952769120304j),(1.1784076232548829e-05-1.774983399325926e-05j),(0.0003700785881509365+0.00015121581806929523j),(-0.0008522489521820099+0.0007225983629893195j),(0.6348975090983503-0.48207746570616394j),(5.162031801588841e-06-1.471490006976898e-06j),(-0.1027358793465887-0.044367853600978474j),(1.2504854011939152e-05+3.7804262325019315e-06j),(6.845421941627264e-06+1.0647195935352237e-05j),(0.5330665048165888-0.5255241066710047j)
0.18,(0.4979914329318021-0.5332064384317107j),(0.00025106992813258677-0.0007502157192367883j),(-0.0004159807647957766+0.0010421615789398978j),(-0.005663502453517485-6.331373902729418e-05j),(-0.0003407398721112715-0.002562807893802667j),(1.1611766239294719e-05-2.1952001079543348e-05j),(0.00044206686178645656+0.0001312891393668064j),(-0.0010474406075805997+0.0008536990656437829j),(0.6208672077585702-0.46517383092399955j),(5.995704225411907e-06-2.110369259459959e-06j),(-0.12964701041473864-0.06935250918118896j),(1.4450235646419569e-05+3.869728991635523e-06j),(8.729387849074038e-06+1.2057514537023558e-05j),(0.4924084640887115-0.5334107809042703j)
0.19,(0.45868762296284216-0.5392840213803066j),(0.0003048962173585466-0.0009131039812890313j),(-0.0005100052922269692+0.0012719328365690557j),(-0.0064675895925266885+0.000578543487155047j),(-0.0005702879326079718-0.0029221727764259364j),(1.071036986268847e-05-2.6446618053843785e-05j),(0.0005160808658779125+9.809841561827392e-05j),(-0.0012737501785612683+0.001002230731545021j),(0.6012023951615643-0.44410699629240413j),(7.156572519004792e-06-3.003751208494424e-06j),(-0.15051522022582045-0.09602657159473428j),(1.7050369846194924e-05+4.2346227262209525e-06j),(1.1293718299183383e-05+1.4075026412463211e-05j),(0.45222167579879946-0.5388012513792279j)
0.2,(0.4201121231977474-0.5432089133982044j),(0.00036839057718788637-0.0010966289264624767j),(-0.0006214860476555684+0.0015324026222449513j),(-0.007271521654042301+0.0013961173031311561j),(-0.0008612591247744435-0.0032997343849962067j),(8.984002444474985e-06-3.107500688541253e-05j),(0.000589316681523316+5.060509841296561e-05j),(-0.001534303876262633+0.0011713320417218417j),(0.5750765554298836-0.4204562276762843j),(8.668116577723514e-06-4.250125222374435e-06j),(-0.1642995785731776-0.12294928898032906j),(2.0327598759558123e-05+4.92918514531856e-06j),(1.4711157302399546e-05+1.6735125382355677e-05j),(0.412718904912306-0.5418567190810828j)
0.21,(0.3824423214714556-0.5451501770973701j),(0.0004426161097915247-0.0013014000168916498j),(-0.0007524762720382389+0.0018250211890965685j),(-0.008052105158979177+0.0024017871231696397j),(-0.0012203843734051173-0.0036895125770453055j),(6.377037205253921e-06-3.5679524827785596e-05j),(0.000659100787277155-1.158455932886342e-05j),(-0.001831487433381015+0.0013644420522373937j),(0.5418618678595837-0.39577252188346934j),(1.056846140146891e-05-5.967612725589551e-06j),(-0.17018658981341747-0.14872080124760445j),(2.430186933649096e-05+6.051262852158285e-06j),(1.9183689753053975e-05+2.011764430942664e-05j),(0.37408868038805854-0.5427438848721128j)
0.22,(0.3458238286382483-0.5452803151201433j),(0.0005284113071727662-0.0015279486773075836j),(-0.0009047520988573791+0.0021512139704772033j),(-0.008783446556580149+0.003603579241608843j),(-0.0016531827022797654-0.004083860099630795j),(2.874105244479647e-06-4.0103564418783106e-05j),(0.0007228900591503933-8.821950335597171e-05j),(-0.002166946104170441+0.0015853001941891715j),(0.5008001993651539-0.37179370138466705j),(1.2916818437919378e-05-8.292757735210299e-06j),(-0.1672573709404387-0.17175990157395324j),(2.8980834931480646e-05+7.751977084144053e-06j),(2.493657428595842e-05+2.4367795869475174e-05j),(0.3364939569879025-0.541627864381433j)
0.23,(0.3103704785717509-0.5437752701392381j),(0.0006263900511672988-0.0017767282950378123j),(-0.0010798125541211187+0.002512381579964455j),(-0.00943695222441602+0.005005166832856834j),(-0.002163961234163492-0.004473462589335961j),(-1.4999044595386994e-06-4.419155348050922e-05j),(0.0007782717706104707-0.0001784038780861299j),(-0.002541584664442639+0.0018379462737090095j),(0.4517594253612329-0.3507279667228846j),(1.5699087462316906e-05-1.1343466074426865e-05j),(-0.15524628424394993-0.19001862881466494j),(3.423003631795861e-05+1.0058812722757222e-05j),(3.2106906998066354e-05+2.9482720044478753e-05j),(0.3000721152767022-0.5386721880049951j)
0.24,(0.27616432816493264-0.5408144248577426j),(0.0007369416134431956-0.0020481142200063744j),(-0.0012788795563633201+0.002909899811360233j),(-0.009981328468385568+0.006605869951391398j),(-0.0027558151908067367-0.0048473385722698275j),(-6.679845049637233e-06-4.778895511935213e-05j),(0.0008229635925813023-0.0002805970266061217j),(-0.0029555674115670414+0.002126720471963083j),(0.3960365675232033-0.33490189750497906j),(1.8701433014220864e-05-1.5123897746568275e-05j),(-0.13534127150040823-0.20133117095569456j),(3.9714154671497384e-05+1.2649093985059678e-05j),(4.055346797387285e-05+3.5020476605376374e-05j),(0.2649349616223402-0.5340388009055884j)
