t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B02_A_0000
0.35000000000000003,(-0.014648605431919343-0.4538183955638622j),(0.0025295073727133123-0.006358230608275893j),(-0.004914175522328991+0.009786410068809877j),(-0.0016101201554762495+0.03349548744509144j),(-0.013571231174055653-0.005006969782280228j),(-8.447070809339144e-05-3.3867832409274545e-05j),(0.00032913854983506884-0.0016140000482091606j),(-0.009465177252305902+0.009084714262160424j),(-0.02561404709738232-0.29081181905323145j),(1.5207182629078746e-06-7.279020327214998e-05j),(-0.015879358922468865-0.12323814524911804j),(8.644069284818307e-05-2.68991491495258e-05j),(0.00014855908261814606-1.508561180205956e-05j),(-0.02659770742546727-0.41457042059838295j)
0.36,(-0.03418901123425451-0.4435957816613487j),(0.0026919130713031225-0.006831670511489186j),(-0.005314018667702253+0.010621631575987155j),(0.0008122272550822335+0.03623105393201429j),(-0.014699896409101892-0.004498658748888223j),(-9.056326350148676e-05-2.7729239629742737e-05j),(0.00020017859399378002-0.0017050470872132279j),(-0.010108184652532711+0.01015461332305612j),(-0.04487949115214892-0.28254466496492875j),(-5.386726911695756e-06-7.974140352623536e-05j),(-0.015867676341933114-0.11666172154960755j),(9.090367157587472e-05-3.616197361714941e-05j),(0.00016028027913567595-3.075842476281381e-05j),(-0.04479235811719415-0.4005262187436115j)
0.37,(-0.05280495451693891-0.4332428141734906j),(0.0028432820672523273-0.007309824966006913j),(-0.005709344078452883+0.011485399824392992j),(0.003517506229730988+0.038920988201138276j),(-0.01579852973121989-0.003901310112566461j),(-9.613663672857301e-05-2.0962712974098865e-05j),(6.109993398808826e-05-0.0017851383250654406j),(-0.010731511861737918+0.011301025220250607j),(-0.0625390987132809-0.27363701908538274j),(-1.357867521190598e-05-8.71394670386155e-05j),(-0.0162211354728135-0.11043678159883058j),(9.559292381357197e-05-4.655698013881e-05j),(0.00017255307955880617-4.8954178303882136e-05j),(-0.061768189267846274-0.3862983207461243j)
0.38,(-0.07054864839527925-0.42278224924738467j),(0.002981707028053079-0.007790188877476692j),(-0.006096479871167659+0.012375342590045644j),(0.006496652760509055+0.041546506905105356j),(-0.016853676655460274-0.003220121460788988j),(-0.00010114314351500938-1.3629369423480618e-05j),(-8.687093597497695e-05-0.0018534447070467847j),(-0.011327630832762507+0.012522003100243116j),(-0.07875256436831235-0.26418255423493886j),(-2.3272658457949393e-05-9.501971747768637e-05j),(-0.0168173274667444-0.10451668449842139j),(0.0001005636125337171-5.82409438314561e-05j),(0.0001854233991625191-7.00721064701249e-05j),(-0.07757817382164284-0.3719305846095491j)
0.39,(-0.08747078094913852-0.4122273436585805j),(0.003105602345867763-0.008270099796214094j),(-0.006471960849405762+0.013288787889877475j),(0.009737904238698218+0.044089745365255874j),(-0.017851783855569747-0.0024617444268504405j),(-0.0001055448729833026-5.793209069395279e-06j),(-0.00024244496091263697-0.001909275264609492j),(-0.011888740779669586+0.013814934721376982j),(-0.09364361584731933-0.2542632904945361j),(-3.4733129313186204e-05-0.00010341503336548689j),(-0.017569042204086702-0.09885927164644777j),(0.00010588103790359252-7.140188596518714e-05j),(0.00019893371343718163-9.459774551053852e-05j),(-0.09226470067321807-0.3574682403601993j)
0.4,(-0.10361615934207122-0.40158813778527025j),(0.003213517275763817-0.008747145278053797j),(-0.006832257743131471+0.014223191301441418j),(0.013228945753243303+0.04653676171819089j),(-0.018781086964993997-0.0016340269535062737j),(-0.0001093087296589961+2.484670288650822e-06j),(-0.00040438247213755925-0.0019520870752503313j),(-0.012408216038997508+0.015175426869479397j),(-0.1073149624297665-0.24394030021733137j),(-4.827516552260778e-05-0.00011235675765334912j),(-0.018407934157175-0.09343840187243915j),(0.0001116237413219727-8.62591351958771e-05j),(0.00021312675673543517-0.0001231082066472131j),(-0.10587146785959817-0.3429429248507718j)
0.41000000000000003,(-0.11902148851727457-0.39087067071826415j),(0.003303998758249067-0.009220247232542526j),(-0.007173423959898778+0.015177083595400407j),(0.016958817407568563+0.04887918367668908j),(-0.01963321979085826-0.0007460970210527438j),(-0.0001124062529638277+1.1150228900969163e-05j),(-0.0005716215708129719-0.0019814784768243674j),(-0.012881290088660142+0.016596017738891543j),(-0.11985202714631603-0.23326516701481131j),(-6.426817131831583e-05-0.00012186831089981313j),(-0.01928079040839046-0.08823236542756163j),(0.00011788036828739398-0.00010306716493096985j),(0.00022803470335721476-0.00015628000168457052j),(-0.1184406021208492-0.32838102884484777j)
0.42,(-0.13372049220063145-0.3800744137557968j),(0.00337594128206415-0.00968860277091589j),(-0.007491896482729127+0.016149111573563767j),(0.020915911731357883+0.051108652855777696j),(-0.02040042611338765+0.00019244210890492644j),(-0.00011481491717269527+2.0148754808248105e-05j),(-0.0007430811591142279-0.0019971009776091906j),(-0.013303201344761456+0.018068748951083825j),(-0.1313271593571976-0.222284269530513j),(-8.317799178697235e-05-0.00013194678503186102j),(-0.020144137580456987-0.08322132143424814j),(0.00012475328031124906-0.00012212883976624734j),(0.00024365030878851032-0.00019496110340765484j),(-0.1300104813419828-0.31380651072263643j)
0.43,(-0.1477420942773785-0.36919779023663346j),(0.0034285655371231365-0.010151375777880878j),(-0.0077846125158161136+0.017137826809831617j),(0.025088775442017694+0.053217373659653275j),(-0.02107594847369334+0.0011720554756493176j),(-0.00011651379823800968+2.9426578158053157e-05j),(-0.0009176627676788588-0.0019986420971974416j),(-0.013669765285971138+0.019585351043691912j),(-0.14179994388429468-0.21103868256909963j),(-0.0001055686917467868-0.00014256226613616621j),(-0.020963865518443984-0.07838749926321031j),(0.0001323587918849981-0.00014379592267689615j),(0.0002599258876192561-0.0002401739546011717j),(-0.14061573455295628-0.2992408964809749j)
0.44,(-0.16111041879210555-0.3582381755400707j),(0.00346141841451353-0.010607696911615859j),(-0.008049009484525473+0.01814168565019484j),(0.029466109444676807+0.055198113281681546j),(-0.021654028173772537+0.0021832764193507846j),(-0.00011748357378969464+3.8931071204826713e-05j),(-0.00109425055560657-0.0019858253664968104j),(-0.013977374453524554+0.021137243470516695j),(-0.1513172010111441-0.19956417709636082j),(-0.00013210255574751533-0.00015365783445909313j),(-0.02171522728976632-0.07371519853343875j),(0.0001408271704801686-0.00016846907501750705j),(0.00027677331354333004-0.00029311546804948707j),(-0.1502872419286725-0.28470327973332843j)
0.45,(-0.17384478994875605-0.3471918970859358j),(0.0034743730064962647-0.011056663603770576j),(-0.00828302503539509+0.01915904921273511j),(0.03403676883218655+0.057044201704397515j),(-0.0221299052765085+0.003216706581067476j),(-0.00011770652313518688+4.86106483098882e-05j),(-0.0012717113104592428-0.0019584103277300374j),(-0.014222998451222778+0.02271553460152432j),(-0.1599142525278757-0.18789138274425782j),(-0.00016355812268854726-0.00016512085683437338j),(-0.02238164197987185-0.06919132424628588j),(0.0001502980104231996-0.00019660044036351224j),(0.00029402051715264594-0.00035518384166389436j),(-0.15905213478897978-0.2702103217097903j)
0.46,(-0.18595973211062677-0.3360542343345872j),(0.0034676286065057093-0.011497340059466154j),(-0.008485097036134998+0.02018818338762489j),(0.03878976288512073+0.058749531699505385j),(-0.022499818605670543+0.004263015902745332j),(-0.00011716652725943599+5.841476594143404e-05j),(-0.0014488944482609351-0.0019161925344349134j),(-0.014404183945432584+0.02431102172284616j),(-0.16762276270575888-0.1760452191219575j),(-0.0002008757315148913-0.0001767668257132099j),(-0.022946668150831653-0.06480909540330299j),(0.00016092280631487625-0.00022870400434137607j),(0.00031139183208668834-0.0004280542874534809j),(-0.16693379559867222-0.25577625125708187j)
0.47000000000000003,(-0.19746496980036815-0.3248194187869141j),(0.003441710709149665-0.011928757257295095j),(-0.008654163575627372+0.021227258837127408j),(0.0437142550717756+0.060308558827878625j),(-0.02276100574591402+0.005312942627218078j),(-0.00011584906882490458+6.829392267453772e-05j),(-0.0016246320134978812-0.0018590035514642793j),(-0.014519054665086439+0.025914191036778857j),(-0.1744677541953468-0.16404669600763408j),(-0.0002451234247463275-0.0001884162148111848j),(-0.02339685713867505-0.060564694330378824j),(0.00017287789361730498-0.0002653578922660744j),(0.00032862763052192716-0.0005136442259114996j),(-0.17395185796748935-0.24141286483855226j)
0.48,(-0.2083654803913122-0.3134807054847033j),(0.0033974632976478064-0.012349927085436693j),(-0.008789652780682505+0.022274367607412443j),(0.048799579298522376+0.06171630691120083j),(-0.02291170996214387+0.00635730667324017j),(-0.00011374127516109429+7.819959440929034e-05j),(-0.0017977388450343887-0.0017867128445169674j),(-0.014566317600719593+0.027515217820196818j),(-0.18046812611162907-0.1519167901283623j),(-0.0002976026514873574-0.0001996645135750989j),(-0.02372213835583893-0.05645538876946061j),(0.00018632059364708463-0.0003072194960709107j),(0.00034513146072253113-0.0006142710758520699j),(-0.1801222102088866-0.22712953191478474j)
0.49,(-0.21866496790341725-0.3020365715251803j),(0.003335293525257848-0.012761173987704735j),(-0.008890606763075539+0.02332902946158445j),(0.05403742352421189+0.06296833194787971j),(-0.022952065129700747+0.007388202355710539j),(-0.0001108314308104897+8.807903688482242e-05j),(-0.001967012123005893-0.0016993132286875073j),(-0.0145458884986691+0.029104028171893108j),(-0.18563695046675277-0.13967663470685954j),(-0.0003598569787109868-0.0002098652067193549j),(-0.02391557945713621-0.05247958453433315j),(0.00020138614675226072-0.00035502663475712743j),(0.0003599440120208639-0.0007326650439639089j),(-0.18546037495155623-0.21294018000218443j)
0.5,(-0.22836162887998063-0.29048758291112303j),(0.003255362353232814-0.01316345024789663j),(-0.008956212233917491+0.024391361936878637j),(0.05942215090780014+0.06405891198503458j),(-0.022884055241673203+0.008398291362593511j),(-0.00010709833657563323+9.787801786792021e-05j),(-0.002131169404189794-0.0015966767348474706j),(-0.014458558888218481+0.03067060960300518j),(-0.18998147217002212-0.12734751946148654j),(-0.0004336720912587245-0.00021812977422595707j),(-0.023973386339755834-0.04863682551061896j),(0.0002181877123123248-0.00040959755439390474j),(0.00037174311481748284-0.0008719691248103281j),(-0.18997759087922106-0.19886209482173298j)
0.51,(-0.23745036464731886-0.2788348914792893j),(0.0031580174973456637-0.013557343793409456j),(-0.008986101344195249+0.025461206890431323j),(0.0649476186542617+0.06498148638840878j),(-0.02271015049795188+0.009380155449845953j),(-0.00010252120824934347+0.0001075396615422494j),(-0.002288847858739032-0.0014787179512172413j),(-0.0143052784369313+0.03220520680082005j),(-0.19350310902789883-0.11495089060624694j),(-0.0005210757918405825-0.00022332769134451145j),(-0.02389490314326277-0.04492779365577815j),(0.00023681636873821492-0.0004718309281183614j),(0.00037884374058114-0.001035739100829236j),(-0.1936815130782201-0.18491083559170818j)
0.52,(-0.24592561032020008-0.26708310425532256j),(0.003043541408185805-0.013943534021490558j),(-0.008979950736617595+0.026538717361789584j),(0.07060726897947132+0.06572909634415454j),(-0.022433358884345025+0.010326781513572608j),(-9.708392943185717e-05+0.00011700143446931839j),(-0.002438615837100085-0.0013455170982762284j),(-0.014087310031654672+0.03369833559738723j),(-0.19619753981136623-0.10250845329672864j),(-0.0006243272759563577-0.0002240670569676353j),(-0.023682576610032466-0.04135427157276777j),(0.0002573368424443466-0.0005427038944348195j),(0.00037916713495279777-0.00122792608345862j),(-0.1965802612241665-0.17110460107879533j)
0.53,(-0.2537813348018441-0.2552402834537516j),(0.0029121512711590956-0.01432279179923757j),(-0.008937481545615201+0.02762435757291128j),(0.07639412911020395+0.06629438485883289j),(-0.02205722617257849+0.011231561590026092j),(-9.077505153082927e-05+0.00012619514558847843j),(-0.0025789728700129693-0.0011973200287628675j),(-0.013806229778519266+0.035140782969518704j),(-0.1980594221182452-0.09004530714661109j),(-0.000745806124142941-0.00021814649322810862j),(-0.023339283646196404-0.037918923608261886j),(0.000279671654791344-0.0006232439666836202j),(0.00036939257843328967-0.001452698128214621j),(-0.19868241958194743-0.1574642295980872j)
0.54,(-0.2610110407839224-0.24331794647799054j),(0.002763999006487841-0.014695979463598399j),(-0.008858459397340635+0.02871890292816504j),(0.08230081128413469+0.06666959675941372j),(-0.021585835920295716+0.012088292855606904j),(-8.35877937613329e-05+0.0001350469462169235j),(-0.0027083496685112417-0.0010345382276746192j),(-0.013463927002939288+0.03652360703878894j),(-0.1990823383064336-0.0775860080268559j),(-0.0008888843347727548-0.0002032893166516874j),(-0.02286730752519625-0.03462830115161643j),(0.00030377147230358127-0.0007146754833723032j),(0.0003461992470741222-0.001715880715552033j),(-0.19999703700572413-0.14401319901308415j)
0.55,(-0.26760776474655806-0.23133106592033903j),(0.002599171269210797-0.015064050821371234j),(-0.008742694409668352+0.029823440014330273j),(0.0883195127498388+0.06684657869327576j),(-0.021023809471057753+0.012891177626863405j),(-7.552004314585943e-05+0.0001434773300496903j),(-0.002825108123921993-0.0008577488122679701j),(-0.013062604249612503+0.037838137071534876j),(-0.19925693836736075-0.06515823229660751j),(-0.0010571438190506866-0.00017622476852484573j),(-0.022271267373396055-0.03148926487587734j),(0.0003294005339821071-0.0008182954517215195j),(0.0003047819066859745-0.0020237005504900665j),(-0.200533626938932-0.13077762673569399j)
0.56,(-0.27356407695832596-0.21929806956198203j),(0.0024176894491831653-0.015428051149204543j),(-0.008590041192194706+0.030939366600597158j),(0.09444201576679181+0.06681677912820656j),(-0.020376305954343244+0.013634823360491847j),(-6.657435451431831e-05+0.00015140113315965833j),(-0.0029275413078658566-0.0006676945320584322j),(-0.012604777282520213+0.03907597347885595j),(-0.19857194253567795-0.05279506950122469j),(-0.0012540462679158947-0.00013222153164378433j),(-0.021558106693165675-0.028507709011679705j),(0.0003560314473809266-0.0009354168609458581j),(0.00023809977918923204-0.002382249379332903j),(-0.2003021674142805-0.11778626972623207j)
0.5700000000000001,(-0.27887208147625236-0.20724084037298982j),(0.0022195096710765977-0.015789117193597074j),(-0.008400398846237939+0.03206839163856665j),(0.10065968760536934+0.06657124835240256j),(-0.019649022285548434+0.014314242653336346j),(-5.675795050403725e-05+0.0001587275339975499j),(-0.0030138734722570002-0.00046528376882054275j),(-0.012093275084927274+0.04022898781661406j),(-0.19701414128925843-0.0405350223722805j),(-0.001482933152041806-6.50877303144307e-05j),(-0.020737093362880783-0.02568856134724775j),(0.00038284518860700164-0.0010673686822538458j),(0.00013687654261398632-0.002797483989669696j),(-0.1993131010537531-0.10507052449342123j)
0.58,(-0.28352349919264985-0.19518466238427204j),(0.002004517547757384-0.016148484636582295j),(-0.008173697765899367+0.03321254560951573j),(0.10696346134483911+0.06610061937570155j),(-0.0188481836178933+0.01492486657785801j),(-4.6082986243661795e-05+0.00016536044724294673j),(-0.003082268372341013-0.00025158728487801636j),(-0.011531224862835915+0.04128934219387642j),(-0.1945683953491974-0.028422006827562393j),(-0.0017470257218361155+3.2829069647559645e-05j),(-0.019819819636922878-0.023035783228394873j),(0.0004087311023202501-0.0012154958688479463j),(-1.0399668899962729e-05-0.003275226210374563j),(-0.19757733506860745-0.09266442709439188j)
0.59,(-0.2875158133479979-0.18315653997962789j),(0.0017719895028604584-0.01650796408764001j),(-0.007908850672917331+0.03437488052642295j),(0.11334304371717033+0.06539423365985507j),(-0.017980365187858775+0.015463082949051415j),(-3.458285468293432e-05+0.0001712130636307172j),(-0.0031312531413620276-2.783508612510925e-05j),(-0.010921332233769293+0.04225035304432941j),(-0.19121763567981195-0.016505351971071766j),(-0.002049425007440796+0.0001706418609168077j),(-0.018820202145679223-0.02055236955852354j),(0.00043228690173354747-0.0013811593559245655j),(-0.0002174762651031142-0.0038211629116066104j),(-0.1951062412593752-0.08060465313468168j)
0.6,(-0.29085021963399854-0.17119139496128302j),(0.0015205057111514113-0.016869494698435867j),(-0.0076040216141823195+0.03555891788127456j),(0.11978844885287435+0.06444229011426784j),(-0.01705380780878217+0.015924900125358903j),(-2.2298436997369503e-05+0.00017616547595080743j),(-0.0031591030292557817+0.00020395749605030923j),(-0.010267220819599483+0.04310459493350602j),(-0.18694342118437457-0.004840037133433611j),(-0.0023929750875560153+0.00035898121865213635j),(-0.01775421701840734-0.018240389598683262j),(0.0004518091538058352-0.0015657097542132352j),(-0.0005004042887594295-0.004440625333968442j),(-0.19191291640412736-0.06893014141385156j)
0.61,(-0.29353030894388127-0.15932744773246338j),(0.0012485296797548977-0.01723505781878572j),(-0.007257142070490419+0.036768408530077144j),(0.12628845182505694+0.06323567563694447j),(-0.016077288044303355+0.01630669218734525j),(-9.281121133098155e-06+0.0001800897805193349j),(-0.003164149824108739+0.0004414264203598698j),(-0.009572974663227398+0.04384462247791971j),(-0.1817333755657991+0.006510197526386j),(-0.002778854001687408+0.0006118051695162504j),(-0.016635597505203405-0.016102181102578078j),(0.0004649406578438719-0.001770207839389442j),(-0.0008800489936025585-0.005136337895396623j),(-0.1880242330864995-0.05767972820480591j)
0.62,(-0.29556449952496033-0.14760336300308952j),(0.0009543522672134971-0.017606921152006964j),(-0.006865578807114026+0.03800764629612989j),(0.13282964252983134+0.06176519895113853j),(-0.015059546147233174+0.016605823374575897j),(4.39771162797123e-06+0.00018286924885069114j),(-0.003145129117578145+0.000682075988702477j),(-0.008842510642716652+0.044463816284219616j),(-0.17557475138751405+0.01747386102936991j),(-0.0032073150589964684+0.0009469203871560862j),(-0.015479107677908244-0.014139554990083167j),(0.0004684441289916789-0.00199568449834434j),(-0.0013832034239759945-0.005909692895565192j),(-0.18347013663499587-0.0468947685910855j)
0.63,(-0.2969660369786349-0.1360582497897767j),(0.0006360916834877138-0.01798763875491851j),(-0.006426133873801836+0.03928146797002466j),(0.1393964256863185+0.06002159060535253j),(-0.014009286059553441+0.016820648085616934j),(1.8646686668152444e-05+0.0001843983276575417j),(-0.003101180304892032+0.0009232788461643075j),(-0.008079578471293555+0.04495638294919052j),(-0.1684604932571227+0.027967016784157264j),(-0.003673924742183472+0.0013845773130467956j),(-0.014300376251343554-0.012351788473087464j),(0.0004584408099184725-0.0022425768844452102j),(-0.0020403482551645835-0.006754694163156775j),(-0.17828406438914685-0.036615571128495616j)
0.64,(-0.29775299426038865-0.12473166141583492j),(0.00029169348995597487-0.01838005103784082j),(-0.005935044604778849+0.04059525330964596j),(0.14597102083664676+0.057995502973337956j),(-0.012935175412416948+0.01695051087803512j),(3.3354436033981524e-05+0.0001845826388508262j),(-0.003031846584849215+0.0011622759810188115j),(-0.007287760697347105+0.04531735505975289j),(-0.160391743846784+0.037892054742941036j),(-0.004168731001994231+0.0019474527333179078j),(-0.013114998061154964-0.010735550329935105j),(0.00043041966071916344-0.002510581234066241j),(-0.0028855481151566545-0.007656613191526938j),(-0.17250447142270506-0.026880670089339975j)
0.65,(-0.29794827167979004-0.11366359551126869j),(-8.106940058536698e-05-0.018787284764595878j),(-0.005387983618746368+0.04195492504017093j),(0.1525334623459521+0.055677510254095224j),(-0.011845845526147456+0.016995746468397865j),(4.8389598436216855e-05+0.00018333897953975818j),(-0.0029370749598192944+0.0013961767247267125j),(-0.006470472704428998+0.04554259119296283j),(-0.15137784389321257+0.0471376914014681j),(-0.004676263257220101+0.0026606497787533307j),(-0.011938534063812043-0.009284900905425449j),(0.0003792373589143573-0.0027986528665885236j),(-0.00395645158464402-0.008591989138704187j),(-0.16617483054364535-0.017726825462420708j)
0.66,(-0.2975795969004924-0.10289449401277734j),(-0.0004845967239220342-0.01921275305250721j),(-0.004780058818881997+0.04336694885406939j),(0.15906159940237802+0.05305810847187373j),(-0.010749891410239699+0.016957679732273242j),(6.360081924983913e-05+0.00018059532203182528j),(-0.0028172162357426546+0.001621958751936007j),(-0.005630962711253628+0.04562877591601214j),(-0.14144023275343084+0.05557959066894545j),(-0.005174560931888919+0.0035506481206468367j),(-0.010785938046676645-0.007991797776190405j),(0.00029918691145438295-0.003104783884376926j),(-0.005292262360664821-0.009527322372244303j),(-0.15934363229416487-0.009189022953038459j)
0.67,(-0.2966795249402337-0.09246524316375486j),(-0.0009214608644218269-0.019660155372399866j),(-0.004105813392839643+0.04483833341110378j),(0.16553109601707566+0.050127715476171814j),(-0.009655871763359377+0.016838625704229986j),(7.881675051405126e-05+0.00017629081383278917j),(-0.002673025022130464+0.001836468080481964j),(-0.0047723117716980765+0.04557341978622825j),(-0.13062221232261367+0.06307366144047248j),(-0.00562854845519995+0.004645232322995862j),(-0.00966999577421212-0.006848591439625851j),(0.00018323433933518853-0.0034254924342094328j),(-0.006933185423849157-0.010407855209599599j),(-0.15206438495068303-0.001300473982992295j)
0.68,(-0.29528543817083663-0.08241717351428988j),(-0.0013944068550346181-0.020133477548600443j),(-0.003359225812749519+0.046376630338329186j),(0.1719154310242036+0.04687667094173677j),(-0.008572308973343172+0.016641889577837483j),(9.384605093227845e-05+0.0001703757776466855j),(-0.0025056597320646757+0.0020364190713871256j),(-0.0038974337748021283+0.0453748593510743j),(-0.11899618195466509+0.06946014462709925j),(-0.005988918065771424+0.005968191950529148j),(-0.008602357772313659-0.0058464094142560135j),(2.3735687721124178e-05-0.0037557177902704368j),(-0.008912532257281523-0.011156988057133j),(-0.14439561452384142+0.005907384309420366j)
0.6900000000000001,(-0.2934397715948719-0.07279044368764868j),(-0.0019061532938978104-0.020636486600423037j),(-0.002534748915020685+0.04798850546105827j),(0.178186889328615+0.04329618410603206j),(-0.007507352400515633+0.016371647980390994j),(0.00010849113254328326+0.00016282120139687303j),(-0.002316615506920825+0.002218651335155741j),(-0.0030093196155376993+0.04503356167228493j),(-0.1066797992073828+0.07457575579007925j),(-0.006192480971178448+0.007530540884453333j),(-0.007592542317344546-0.004974554150286775j),(-0.00018604028019133785-0.0040880407744637946j),(-0.011241554596829-0.011679487414259178j),(-0.13640103239601306+0.012406365229899099j)
0.7000000000000001,(-0.29119646957867995-0.06361636318109229j),(-0.0024581168371405056-0.021173228085652394j),(-0.0016289811543866678+0.04968033030249469j),(0.18431727186709856+0.03937893097686852j),(-0.006467747462956429+0.016032345548745768j),(0.00012255898096431248+0.0001536524087771935j),(-0.002108156716228566+0.0023806605061641364j),(-0.0021089816579392354+0.04455483207552231j),(-0.09383656254974715+0.07825401791021996j),(-0.006162134408431808+0.009330262744281052j),(-0.0066478728553963015-0.004220524618799068j),(-0.0004518729567463072-0.004412652556020618j),(-0.0139089882864747-0.01186150793669755j),(-0.1281505859048936+0.018180597348059845j)
0.71,(-0.2886187860161755-0.05492296815262405j),(-0.003050728868712616-0.021749213926184542j),(-0.000637776824722421+0.05146235822633755j),(0.19027567977114757+0.03511608346937375j),(-0.005459834509687107+0.01562935766501617j),(0.0001358129264061483+0.00014291350910189472j),(-0.0018834980234832465+0.002519757719756612j),(-0.0011944693676981958+0.043944352696215404j),(-0.08068264585459047+0.08034018622472815j),(-0.005808965585308679+0.011345751432184257j),(-0.0057734859239226095-0.0035715988275017495j),(-0.0007782756742975087-0.004717472864158568j),(-0.016872341468632993-0.01157610381906644j),(-0.1197169557805379+0.023220788586112803j)
0.72,(-0.28577189602872605-0.0467348254967402j),(-0.0036835531727196858-0.022367516700411344j),(0.0004392481886856597+0.0533392105364562j),(0.19603424007628129+0.03050229931880082j),(-0.004488716749608193+0.015169196174828863j),(0.00014803893086129237+0.0001306802747669242j),(-0.0016458633332297298+0.0026339569076637205j),(-0.0002646484229159307+0.04321254086276351j),(-0.06751570961867337+0.08071436523671324j),(-0.00502811032083368+0.013518726990363671j),(-0.004972989665416844-0.0030168942899137007j),(-0.001167829302501666-0.004987715459372515j),(-0.02003228122562461-0.01068433054481954j),(-0.1111733534562717+0.02752437867855557j)
0.73,(-0.28272266327489337-0.039072786774720196j),(-0.004355264359691602-0.02302855264969886j),(0.001598399194111315+0.05530931315479122j),(0.20156845728452444+0.025536047707682183j),(-0.003558180598924908+0.014659497308876283j),(0.0001590501282395928+0.0001170620545553264j),(-0.0013984408148594028+0.0027220458189286516j),(0.0006806192443554668+0.04237490593998086j),(-0.05467913432989567+0.07933581064647496j),(-0.00372637886975791+0.015751786171048783j),(-0.00424799215276306-0.0025452911125242754j),(-0.0016184092642804269-0.005207264470708275j),(-0.023241268492436268-0.009078245891447647j),(-0.10259349497920986+0.031095963528358733j)
0.74,(-0.2795396399504336-0.0319539882146264j),(-0.005063647866582621-0.023730081678387346j),(0.002831902693388467+0.057364896621354494j),(0.20685721336440732+0.02021960926582946j),(-0.0026706956811471142+0.014109021682916664j),(0.0001686868243682446+0.00010220177363724233j),(-0.0011443829026101665+0.0027835860199072397j),(0.0016404754481131904+0.041452049329096664j),(-0.04254808226741042+0.07626206291039161j),(-0.0018337430564680712+0.017907293634209353j),(-0.003597768811424839-0.002145477329496873j),(-0.002122265465108919-0.005359324503941825j),(-0.02630662369950408-0.006698404729382399j),(-0.09405160101025598+0.03394729520696611j)
0.75,(-0.2762930667882973-0.025391850711304044j),(-0.0058055999567713625-0.024467207353791265j),(0.004127906381911208+0.05949199609422919j),(0.2118827677509659+0.014559076070333469j),(-0.0018274148270893322+0.01352765429777401j),(0.00017681649699178973+8.627593356990962e-05j),(-0.0008868062955664363+0.0028189128942679624j),(0.0026130657484037265+0.04046966446775505j),(-0.03150688677036849+0.07165484068300804j),(0.0006879258645990536+0.019811543838790798j),(-0.0030197337522187575-0.0018067718207132142j),(-0.0026666271915564282-0.0054277641730561986j),(-0.029003194477882598-0.003540288981765854j),(-0.08562239682410253+0.03609728195429472j)
0.76,(-0.27305487305862935-0.019396079826381384j),(-0.006577127720060809-0.025232376906199293j),(0.005470479148633797+0.06167045134956977j),(0.21663075734574166+0.008564351645564225j),(-0.001028174074870737+0.01292640453933812j),(0.00018333379577211686+6.949461229766252e-05j),(-0.0006287919576591445+0.00282913564299194j),(0.003595539451322842+0.0394585368300151j),(-0.02188486320156314+0.06583339658782131j),(0.0038071887436883388+0.02125268256735019j),(-0.002511498042926388-0.0015208256590581812j),(-0.0032322015964400524-0.005399418153948046j),(-0.031093832472372906+0.00030067214771926313j),(-0.07738075074139522+0.037572294143665405j)
0.77,(-0.2698986148258889-0.013972704640472768j),(-0.007373492268587173-0.026015545332797818j),(0.006840528854468571+0.0638746699060761j),(0.22109006428717606+0.0022511074984341963j),(-0.00027140705938602164+0.012316733249885678j),(0.00018816041287157893+5.208728821737803e-05j),(-0.00037324131725400845+0.0028158957556284696j),(0.00458511895358026+0.038453181168665376j),(-0.013892509839910624+0.05919040546377411j),(0.007419069771477555+0.022035670254697735j),(-0.002069588664767098-0.0012799170747969865j),(-0.003795996409887746-0.005266455836775245j),(-0.032387246729395976+0.0046565221061084456j),(-0.06939444958781336+0.03841071080300218j)
0.78,(-0.2668994050195145-0.009122335684770687j),(-0.008191674129702576-0.026802432686896412j),(0.008221434402096326+0.06606725943368409j),(0.22526237948748906-0.004339250583206732j),(0.00044555052940325893+0.011707830937454677j),(0.0001912784213163916+3.4251804794973036e-05j),(-0.00012221898966266605+0.0027808056393269155j),(0.005575718948189723+0.03748347404422026j),(-0.007598997616698036+0.05215200776145712j),(0.011347549681087133+0.022005477678909577j),(-0.0016888065278614312-0.001076639363496208j),(-0.004333368478470094-0.0050277490720615345j),(-0.032763157310305074+0.009304505109024485j),(-0.06172325799872834+0.03865841220648438j)
0.79,(-0.26412932711510456-0.004838336590355728j),(-0.00902970969798277-0.027574497000187704j),(0.009597981683220118+0.06819476295267182j),(0.22916076006023098-0.011144481640928273j),(0.0011253901530321867+0.01110923494705744j),(0.00019273656608265695+1.6208682868514377e-05j),(0.00012252255256693754+0.0027265297819174146j),(0.006551867132690457+0.03657592629147232j),(-0.0029350842933044312+0.04515146202967334j),(0.015356638415897112+0.021060332129686492j),(-0.001363093380546378-0.0009045654720204091j),(-0.004819236985147803-0.004688766922600441j),(-0.03217388057228086+0.013982375865588561j),(-0.054420885492408616+0.038365889046761234j)
