N,E [H]
1,-15.541477075293612
2,-15.545292039645672
3,-15.546631494582046
4,-15.547010244559736
5,-15.548447115626644
6,-15.549858621867255
7,-15.550271316637716
8,-15.55027724387363
9,-15.550740921913947
10,-15.553053505036464
11,-15.554627640335426
12,-15.554884804694485
13,-15.555284780791197
14,-15.555414112970801
15,-15.555950665783135
16,-15.556370234769194
17,-15.556386147450219
18,-15.556529911694566
19,-15.556764424937425
20,-15.556942901077948
21,-15.557203754022371
22,-15.55730112943298
23,-15.557301469263194
24,-15.557696097932013
25,-15.557762323651092
26,-15.557932125395672
27,-15.560417510087214
28,-15.560787355029326
29,-15.560909279024521
30,-15.561468055727506
31,-15.562419333395864
32,-15.562541149403668
33,-15.563017394531611
34,-15.56311845504636
35,-15.563155204068035
36,-15.56316299865847
37,-15.563191878677811
38,-15.563244532823814
39,-15.564676742678627
40,-15.565436718595771
41,-15.565546528354558
42,-15.565627522699403
43,-15.566707282101515
44,-15.56673997241537
45,-15.566773730952711
46,-15.56684199321351
47,-15.567069241783221
48,-15.567176467359317
49,-15.56721777949199
50,-15.567220588247329
51,-15.56723026756302
52,-15.567520338499834
53,-15.567905625601863
54,-15.56791719575256
55,-15.569325475706561
56,-15.569584301803484
57,-15.569587440976067
58,-15.569719418105429
59,-15.569908797999297
60,-15.570783028372162
61,-15.57080358294545
62,-15.571043796542291
63,-15.571099224776624
64,-15.571371396576703
65,-15.57156221269096
66,-15.571646753820039
67,-15.571709638356376
68,-15.57185116811064
69,-15.572149861779325
70,-15.572187600379625
71,-15.572456548003522
72,-15.57247032945275
73,-15.572481582001451
74,-15.572573089394208
75,-15.572618162241996
76,-15.572838945832219
77,-15.57283907533801
78,-15.572885262587679
79,-15.572974860109944
80,-15.573479586559477
81,-15.573482329828817
82,-15.573504332878366
83,-15.573521518820586
84,-15.57354587594157
85,-15.573563740694773
86,-15.57387534305506
87,-15.573903736772149
88,-15.57394305471178
89,-15.57418066486341
90,-15.574228928203778
91,-15.574233325891095
92,-15.574236134841767
93,-15.574571183679605
94,-15.574640368531025
95,-15.575138350075964
96,-15.575149926401874
97,-15.575168223322251
98,-15.57522237284389
99,-15.57522822827763
100,-15.575273126786708
101,-15.575343147903919
