N,E [H]
1,-107.42162436498378
2,-107.43294083354081
3,-107.43399627054595
4,-107.435261579585
5,-107.44590340501415
6,-107.44599174508977
7,-107.45080091911554
8,-107.45178098646257
9,-107.45186489198406
10,-107.45221974691785
11,-107.4525391242584
12,-107.45254929177344
13,-107.45439969653258
14,-107.45521501941958
15,-107.45527989707139
16,-107.45686859728849
17,-107.4573200107132
18,-107.45745063925727
19,-107.45765405605437
20,-107.45794524662823
21,-107.45899373325082
22,-107.46316246654817
23,-107.46522559033271
24,-107.46743539621644
25,-107.467738825404
26,-107.46777046133823
27,-107.46970292098587
28,-107.47718000290303
29,-107.47719307124328
30,-107.4783333875938
31,-107.4822083459456
32,-107.48245652429954
33,-107.48646816498336
34,-107.49477108178158
35,-107.49518455035994
36,-107.49696624299943
37,-107.49750738704574
38,-107.49819465633612
39,-107.4984018467224
40,-107.49906065260569
41,-107.49929509063281
42,-107.49938789121263
43,-107.49993908618653
44,-107.5001071689491
45,-107.50027224728191
46,-107.50323235789953
47,-107.50326435588445
48,-107.50332781556122
49,-107.50343941768563
50,-107.50369318084763
51,-107.50507075796072
52,-107.50520023890618
53,-107.50520296871989
54,-107.5052713314486
55,-107.5064563573136
56,-107.50668646906311
57,-107.50672903867698
58,-107.50748079020752
59,-107.50756029377197
60,-107.50974329824129
61,-107.50996102568261
62,-107.51040073565542
63,-107.51046626042593
64,-107.51136372104493
65,-107.51150569962986
66,-107.51165566909934
67,-107.51169500929372
68,-107.51282568797818
69,-107.51282615886258
70,-107.5128351672639
71,-107.51288899090022
72,-107.51297064897554
73,-107.51297468101144
74,-107.51328426721612
75,-107.51378463392936
76,-107.51533965371779
77,-107.51571105058231
78,-107.51585577204195
79,-107.51598028971853
80,-107.51606051465573
81,-107.51641436496003
82,-107.51766116681165
83,-107.5176689412918
84,-107.51773011518564
85,-107.5179420790228
86,-107.51888738520437
87,-107.5200380462459
88,-107.52026730585764
89,-107.52146111338251
90,-107.52218421637801
91,-107.52255528808946
92,-107.52318033414058
93,-107.52361059199349
94,-107.5237658796524
95,-107.52379028243966
96,-107.5259065053625
97,-107.52593200193657
98,-107.52607466296517
99,-107.5271197984405
100,-107.52713799226125
101,-107.52868622107366
