t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B02_A_0000
0.38,(0.0035105411474457833+0.00294823113993802j),(0.004725205394973368+0.0014979882094166065j),(-0.00044604831926348414-0.00011561877201735871j),(2.998730433744586e-07+7.029440680268839e-07j),(4.406288002468946e-06-4.0738270127163146e-05j),(-7.026796919332482e-05+0.00033444423378706933j),(5.8597299776029144e-08-4.461085637944375e-07j),(-0.0014847721981531847+0.004103744559317049j),(0.0028911542975411644+0.0018723812818005044j),(-0.002559108854406873-0.00890542325150973j),(4.672064917927362e-06+2.5011882615210366e-06j),(0.0003891443643786338-3.613599840717835e-05j),(-6.964911193345385e-08-1.390828464304177e-07j),(1.6655891352211085e-11+7.332673995159353e-06j),(1.798606996831774e-07+4.392156183863366e-06j),(-1.0466801839115907e-05+1.7602249198795878e-06j),(5.9478762547922716e-05-0.0004617843717855789j),(7.29175806568887e-06+6.64121408550121e-06j),(-1.7687258313101813e-05+3.6670653836281074e-06j),(0.00011871483549004044+8.262291938025609e-05j),(-0.003745023946788278+0.0022360182436809276j),(1.1624835927805184e-05-1.7191881864099914e-05j),(-0.00020910841266493055-7.95384200165928e-05j),(-3.29310016861783e-05-1.7526789153715205e-05j),(-1.4068282715846312e-08+1.3596899922516437e-07j),(-0.004047456498509536+0.00046940802641010516j)
0.39,(0.003998507702039859+3.660722949675626e-05j),(0.005209815417169397-0.0016056116981419191j),(-0.00041916912717755836+0.00011250578154824335j),(7.379885872605251e-07+4.036473590636516e-07j),(-3.3788142959891223e-06-4.165549564672948e-05j),(6.182679317998765e-05+0.00027978400414279883j),(-1.5486302133686167e-07-5.391510835352437e-07j),(0.0012537271889130133+0.004615439054033685j),(0.003735218693954564-0.00021254850945854242j),(-0.008128446245388112-0.006236821379352557j),(7.185767899460014e-06-2.213405410318911e-07j),(0.000327568608464866-0.00026041962487016854j),(-1.433848872532087e-07-5.860639765499603e-08j),(4.359231263715244e-06+6.409749627817235e-06j),(2.9639506386129992e-06+3.634939613222144e-06j),(-8.843119723383044e-06+5.920339915833095e-06j),(-0.0001299211590435527-0.00046652214491145857j),(9.723790040758545e-06+7.664497728834337e-07j),(-1.4721266468261607e-05+1.6597137844624008e-05j),(0.00016174270113513602+9.564929992872295e-07j),(-0.001643698154858491+0.003172257795558342j),(-3.195031502375113e-06-2.110383355460063e-05j),(-0.0001872566356706584+1.2248769495853777e-06j),(-3.8847550927432814e-05-3.7197798105986657e-06j),(7.250327424036354e-08+1.1640450220709424e-07j),(-0.002639540931898117+0.001983870294323451j)
0.4,(0.0027054358784324387-0.002193287348259123j),(0.00359283968846512-0.00468826275340956j),(-0.00028305658598797235+0.00028502930223905395j),(8.863299756986406e-07-1.4838446486701975e-07j),(-1.282570569400889e-05-4.119626254204371e-05j),(0.00013720436474591688+0.000195334802083255j),(-5.175814401468833e-07-5.477273501244339e-07j),(0.004024297180970542+0.00321760080272161j),(0.003075591856623718-0.002550214184824968j),(-0.011209076191338976-0.00014524984318769075j),(8.014658153358061e-06-4.526453478359192e-06j),(0.00013522722733365564-0.0004173244675410609j),(-1.4560855738329757e-07+4.815775565809891e-08j),(7.561581249647285e-06+3.1297276178717388e-06j),(4.806788811561215e-06+1.236592690616693e-06j),(-5.53151240464787e-06+9.05191471112032e-06j),(-0.0003138787056110278-0.00039524832797920164j),(8.001383071760914e-06-5.212693180316378e-06j),(-2.104807492974571e-06+2.5760161482969138e-05j),(0.0001500418890250615-9.908497302454942e-05j),(0.00018007500714450826+0.0028899659863115415j),(-1.7366828475891158e-05-1.419763090357697e-05j),(-0.00014803070610339483+6.197590589179361e-05j),(-3.8718350453552474e-05+1.2062436144453641e-05j),(1.2871289858924093e-07+4.698025630928024e-08j),(-0.001043218214201901+0.002435311509369527j)
0.41000000000000003,(0.0005973772145370642-0.0029590010582198323j),(0.00016707623226870356-0.0063142317232652186j),(-8.627039643319935e-05+0.0003543072088606023j),(6.407442225904963e-07-6.980346534994684e-07j),(-2.4031877747119455e-05-3.731954057015565e-05j),(0.00016485841798993044+0.00010987085891788468j),(-9.772312237318653e-07-2.990632975260856e-07j),(0.0054419566101844745+0.0001461903371204633j),(0.001002447768928431-0.004101928740863296j),(-0.009789944797791956+0.0072316946831998494j),(6.181610671635815e-06-9.458831705575467e-06j),(-0.0001226309684392901-0.00043744050186868836j),(-7.870689669471951e-08+1.2830355449549144e-07j),(8.48285831603309e-06-1.548001401760166e-06j),(4.854986648762262e-06-1.965623095647502e-06j),(-1.0998026335058787e-06+1.043149079790252e-05j),(-0.000462881208238997-0.0002528198716934534j),(3.0188293494825202e-06-8.759052246046585e-06j),(1.5686652542754252e-05+2.52681260106767e-05j),(7.883735906608451e-05-0.00018481168853036242j),(0.0013045634548794144+0.0019208573356538448j),(-2.4172001387378183e-05+7.24760404630313e-07j),(-9.766632903467949e-05+9.880892714435419e-05j),(-3.175875748260201e-05+2.6783806940131723e-05j),(1.3089646728341297e-07-4.1927760564200844e-08j),(0.00022080019969849225+0.002095528340440127j)
0.42,(-0.0012307341022464043-0.002298880285671054j),(-0.0038352423313674196-0.005517757304996752j),(0.00010422543868050165+0.0003082840454222257j),(7.38005052839595e-08-9.887689360839684e-07j),(-3.4543327133185196e-05-2.8363204143362953e-05j),(0.00015882782262988384+3.925409822417783e-05j),(-1.3172858487935534e-06+3.2059528987938744e-07j),(0.00462446669433548-0.0033660456797793238j),(-0.0017392625285870614-0.004073127103054573j),(-0.0036535452130805526+0.012624479752511374j),(1.4622787675561738e-06-1.3333413082241979e-05j),(-0.0003558802105969471-0.00030210216663256436j),(2.0875384770897202e-08+1.4547174455315811e-07j),(6.645870622675441e-06-6.136901248041734e-06j),(2.872943313455578e-06-4.683272570425142e-06j),(3.486077272768757e-06+9.645111533949663e-06j),(-0.000550105911568123-5.438456080531542e-05j),(-2.9108062144663747e-06-8.396650444415492e-06j),(3.188871837751148e-05+1.317544954603631e-05j),(-4.2786475924810094e-05-0.00022234728197692268j),(0.0016559256147477353+0.0008107814082354298j),(-1.969591797072248e-05+1.7295365220539005e-05j),(-4.338919464200251e-05+0.00011415383278349305j),(-1.9001948441411335e-05+3.762220666475631e-05j),(7.709402853433746e-08-1.135957040211481e-07j),(0.0009437168778470146+0.0013630103208009969j)
0.43,(-0.0020710833885065776-0.0008395981688672017j),(-0.006655135464125621-0.002262162186002054j),(0.00022796355526127503+0.00017353158293460956j),(-5.5770453744805e-07-8.438609560257926e-07j),(-4.203578342400473e-05-1.3936513094863628e-05j),(0.00013546427277078254-1.0044757028111341e-05j),(-1.2431135089422342e-06+1.2445161531504485e-06j),(0.0016007944066104194-0.005667857925304441j),(-0.0039433790117057825-0.0023002938867507598j),(0.005080408698082942+0.013065735254471033j),(-5.374984752609125e-06-1.4705758145016319e-05j),(-0.00046502184776273374-5.520573427501878e-05j),(1.0571456246951767e-07+9.665158219649353e-08j),(2.5440671818868246e-06-9.126495861397797e-06j),(-4.870070503158066e-07-5.7182404301959645e-06j),(7.161699332945176e-06+6.854240270569173e-06j),(-0.0005540495452831737+0.00017390245519065733j),(-7.092675401252117e-06-4.52648643379584e-06j),(3.841932913828664e-05-8.287642176202796e-06j),(-0.00017503839397045015-0.00018089019330816408j),(0.0014430469596259342-8.304440758558269e-05j),(-5.255703747205472e-06+2.8110990781823433e-05j),(6.548256623020271e-06+0.00010839882333372741j),(-2.861411219707559e-06+4.1926897892733145e-05j),(-8.752732582886404e-09-1.3756449467799065e-07j),(0.0011470437806388619+0.0005940945753146025j)
0.44,(-0.001811781976997883+0.0005826196032394301j),(-0.0070171157556254485+0.0022300271195642126j),(0.0002505390319753692+5.168519922894236e-06j),(-9.815994765693604e-07-3.2860682653186914e-07j),(-4.2520263235080495e-05+2.9308648782389226e-06j),(0.0001049108543833106-4.0372624942463067e-05j),(-5.216623707900084e-07+2.1432172906689404e-06j),(-0.0023067673589067432-0.005627754715373159j),(-0.004667855221876609+0.0005306344072166153j),(0.012741132669560028+0.007770359790959052j),(-1.3001662812751329e-05-1.2487283332459937e-05j),(-0.00041833506049603086+0.00021347092665806894j),(1.3896855920913672e-07+8.35543171565819e-09j),(-2.7365674008001307e-06-9.500463548112683e-06j),(-3.944318686428369e-06-4.486518731111915e-06j),(9.028514561710722e-06+2.7778893174718755e-06j),(-0.0004639514282199166+0.0003986188455033808j),(-7.802799696649916e-06+8.440407607016113e-07j),(3.2522143943036545e-05-3.237522982650296e-05j),(-0.00027968062902340534-5.854601449622424e-05j),(0.0009555834335388461-0.0005915338111310295j),(1.3690046499152188e-05+2.7732746044445664e-05j),(4.67031218006708e-05+8.522326255708338e-05j),(1.348234007640924e-05+3.910827525715785e-05j),(-9.167052513417997e-08-1.0277565894121163e-07j),(0.000994799838741635+1.447193181780917e-06j)
0.45,(-0.0008451533861876842+0.0013689317033619124j),(-0.004483242612739107+0.006117046477183237j),(0.00017560301574394855-0.000133417135260238j),(-9.752526366592433e-07+3.403358069115666e-07j),(-3.573665230959283e-05+1.9194288033034567e-05j),(7.557711509699705e-05-5.547082417612113e-05j),(8.169503881562709e-07+2.574621424037823e-06j),(-0.005378554792115374-0.003029689039477793j),(-0.00347836907017907+0.0032237661984596475j),(0.015595511256277953-0.0015511420525189676j),(-1.964619989576522e-05-6.605670558348606e-06j),(-0.0002268902528217701+0.00039761122827818485j),(1.1172881192880282e-07-7.873043803834051e-08j),(-7.54310746242774e-06-7.0170887375377755e-06j),(-6.048581086416195e-06-1.3293934728656905e-06j),(8.759792026979692e-06-1.5142437131489333e-06j),(-0.0002827776547169109+0.000580198645710214j),(-5.060720708144864e-06+5.084319260721667e-06j),(1.2650277817836122e-05-5.089036584104582e-05j),(-0.0002954967874658781+0.00011648796083662405j),(0.00043319428922180273-0.0007433783066748006j),(2.9422210574165666e-05+1.560375249857431e-05j),(7.174090151208735e-05+5.0837047740121265e-05j),(2.6530699232085642e-05+2.9978700000884124e-05j),(-1.3612457445711996e-07-2.5089022003066068e-08j),(0.0006791792165848984-0.0003366041571653598j)
0.46,(0.00021540560413656803+0.0013336919128861778j),(-5.995587734898664e-05+0.007799236694152042j),(4.1664377087826946e-05-0.00019383729256746454j),(-5.587653095708131e-07+8.669883352762156e-07j),(-2.3080704876112596e-05+3.0311685188598203e-05j),(4.9986044647953593e-05-6.0177221574429e-05j),(2.420842404611574e-06+2.127462659812389e-06j),(-0.00619177820175331+0.0009322407564697512j),(-0.0009021170788972591+0.0046838797074045535j),(0.012072710140026751-0.011081192115922404j),(-2.3711108689319474e-05+2.487350159647166e-06j),(2.756935071080906e-05+0.0004436053089151748j),(3.8437210066104605e-08-1.291465144157466e-07j),(-1.0483698420865129e-05-2.2137839969827444e-06j),(-5.848316809247375e-06+2.5881312970747263e-06j),(6.610320113268198e-06-4.944120152271571e-06j),(-2.924012943267218e-05+0.0006815772593446901j),(-6.207640736018106e-07+6.3600129860778436e-06j),(-1.5346994943019447e-05-5.833014006002847e-05j),(-0.00020413450184644062+0.00029439342273619593j),(3.4293969190581e-05-0.0006529488522992053j),(3.513136417797167e-05-4.290923555200037e-06j),(7.880469768704864e-05+1.2225033610628656e-05j),(3.428002139517161e-05+1.6948743792902978e-05j),(-1.2268145410523632e-07+6.401894914656862e-08j),(0.00035028224579382804-0.0004496871206015997j)
0.47000000000000003,(0.0008807249402142156+0.0007149559834139774j),(0.004528310563235625+0.0064937744438456225j),(-9.264506852345086e-05-0.00016005588569097267j),(9.486052544183493e-08+1.013385997944348e-06j),(-7.854046121627113e-06+3.4961704371027867e-05j),(2.976061337466569e-05-5.846677768908507e-05j),(3.7079492451084735e-06+6.831038482052236e-07j),(-0.004329037662880839+0.004553018214916229j),(0.002005418047666238+0.0042790834967144425j),(0.0032194891568748975-0.016619772080154794j),(-2.3984559456080068e-05+1.3571086245829974e-05j),(0.00025225707234015625+0.0003388223820694159j),(-4.885602425014297e-08-1.260175479293243e-07j),(-1.0530412737712852e-05+3.572754800044307e-06j),(-3.293535689078236e-06+5.685238857181713e-06j),(3.339176950611914e-06-6.816505331224955e-06j),(0.0002610370218902296+0.0006729833651612265j),(3.0744633564338126e-06+4.570539175830034e-06j),(-4.522024521702972e-05-5.0852429786027304e-05j),(-9.577691743153623e-06+0.0003982339060877787j),(-0.00019491701137261343-0.00044860392287707424j),(2.8058350189642266e-05-2.457086291955959e-05j),(6.88059140985842e-05-2.2863288174843063e-05j),(3.589889543630834e-05+2.976432823220117e-06j),(-5.761001902081833e-08+1.2649822116924984e-07j),(9.637331371368236e-05-0.0004128899114593113j)
