t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B02_A_0000
0.0,(0.03124999999999893-8.604228440846967e-16j),(6.722053469411693e-18-9.107298248880359e-18j),(-8.95117313604241e-16-2.099665927235917e-15j),(-2.541098841763493e-21-2.943439491709379e-20j),(1.2053278839431502e-18-3.8794108984255993e-19j),(-5.014435047746626e-19-4.319868030997938e-19j),(-7.18283939271814e-19-4.777265822515367e-19j),(3.9464959078481557e-17-2.3852447794686653e-17j),(-9.540979117874661e-18+2.602085213965817e-18j),(4.8572257327361914e-17+1.387778780781769e-17j),(-3.0154372922260117e-19-1.5178830414800598e-18j),(-7.047314121157421e-19-1.3552527156071962e-18j),(5.042493014124431e-21-5.505714157154235e-21j),(-8.809142651446776e-20+2.9815559743358315e-19j),(-1.6263032587286356e-19-1.6940658945089952e-20j),(-4.184342759437218e-19-2.3378109344224135e-19j),(-8.825405684034062e-17+3.341511095601103e-16j),(-2.541098841763493e-20+6.776263578035981e-21j),(-2.9815559743358315e-19-2.7105054312143924e-20j),(-8.673617379886056e-19+5.204170427931634e-18j),(0.03125+9.64939933512099e-18j),(-8.407331397090965e-19-2.9771619909212555e-18j),(2.710505431213761e-20+5.421010862427522e-20j),(-1.406207041340147e-23+5.1285197978287716e-23j),(-1.0587911840678754e-22-4.235164736271502e-22j),(0.03125+0j)
0.01,(0.028229200337089456-0.01935060573716976j),(4.997013763065811e-06+4.815124921385474e-06j),(2.6648007121668192e-06+3.611268296437572e-05j),(5.730649455584561e-10+1.3758316335678252e-09j),(-2.8382037622032015e-07-5.629071879024289e-08j),(-8.92257909693446e-08-5.117471802478346e-07j),(9.241991816449902e-08-7.784148841749418e-09j),(-1.189660680164943e-05+1.0004981057641753e-06j),(-6.955242942521498e-06+1.3300197725077933e-05j),(3.286511352114649e-05-2.2435255084747935e-05j),(-5.497469859745659e-07+7.03743671651978e-07j),(-2.15158961891357e-07+7.861979952201269e-07j),(-6.054295161162983e-10-5.574057405731871e-09j),(4.899204536227149e-07-2.096831042358e-07j),(4.98514851795269e-08+2.735057317160495e-07j),(-2.1342189753532203e-07-1.3745155457498558e-07j),(4.948263719818694e-06+3.026772882655658e-05j),(1.6710364075786793e-08+5.5661000132155984e-08j),(1.3936246388435867e-06-2.1758756622925387e-06j),(7.357472746435773e-06+5.804862020725975e-06j),(0.02947817446453454-0.01802149447272654j),(6.311276840275827e-11+1.1739099001551207e-07j),(7.822272410915786e-06-1.3321995481197945e-05j),(3.940157739514148e-08-8.939416965728292e-08j),(1.487738081153719e-08+2.9322210940532603e-08j),(0.02945806654066635-0.018076582475747074j)
0.02,(0.012997183825525317-0.034542062197814596j),(1.4059898025780468e-05+4.320771823900636e-06j),(3.5413892642817e-05+5.883433904327898e-05j),(-1.658504417818158e-09-1.4367535532030558e-09j),(-5.639712426042468e-07+1.2350281535027116e-07j),(-6.981983790347491e-07-8.619241736693566e-07j),(1.5255957478867301e-07-1.1314493287587332e-07j),(-2.3548668887036294e-05+1.0373114865011913e-05j),(-2.9713167918321394e-06+3.368592241798061e-05j),(4.396135071871775e-05-7.534663006506538e-05j),(-7.659878600955343e-07+1.4715637931915106e-06j),(1.9474805618673708e-07+1.6668397571858231e-06j),(-4.281470049057223e-09-1.0029378842042495e-08j),(6.253010720106614e-07-7.951525504455128e-07j),(3.4808793236528783e-07+3.7625443969653055e-07j),(-4.901968846417407e-07-8.857881810401296e-08j),(3.194143446032726e-05+4.916145917564603e-05j),(2.9825151161851674e-08+5.430674712320476e-08j),(4.0801240080491856e-07-5.294822379290995e-06j),(9.56075718344041e-06+1.9218936117074944e-06j),(0.016908811389179206-0.033889181062258814j),(1.185003100873283e-07+1.9227753267146482e-07j),(2.6316077583324456e-07-3.1188633209940604e-05j),(1.2654183119404105e-08-2.0582276483533505e-07j),(5.899548241642366e-08+3.126942590109163e-08j),(0.016870117344249834-0.03393957514775021j)
0.03,(-0.00983925998171432-0.03814643189549673j),(2.1562465929401348e-05-3.538895808777009e-06j),(8.008138844060296e-05+4.994160821681293e-05j),(-9.956691929756716e-09-4.230002122016899e-11j),(-6.813984876394153e-07+4.821546860513512e-07j),(-1.6418423427153788e-06-6.133212140716806e-07j),(1.1441000213119467e-07-2.6273573299468165e-07j),(-3.0502640501607386e-05+2.6357365261437814e-05j),(1.5872726852963146e-05+5.245509867364453e-05j),(1.5847163704848325e-05-0.00013672400850885623j),(-6.995208702296916e-07+2.2227547258175504e-06j),(1.12091939251464e-06+2.184104339725431e-06j),(-9.402197672720246e-09-1.3038802310479642e-08j),(2.4244227490136083e-07-1.3877522318104163e-06j),(6.760564703961053e-07+1.8385147801448306e-07j),(-6.948017395673249e-07+1.5542379517021757e-07j),(6.908397453161291e-05+4.427870373265032e-05j),(3.4990467383644387e-09+4.7905620328123355e-08j),(-3.149172408893939e-06-7.232961728233531e-06j),(3.7245133269455098e-06-3.1449279226678876e-06j),(-0.004170267037201877-0.04100222821602405j),(2.6740303963395184e-07+1.3278992265540455e-07j),(-2.3341889301491007e-05-4.342680730403549e-05j),(-9.421173746987384e-08-3.076808399085095e-07j),(9.917555975636138e-08-1.0776960083954662e-08j),(-0.004233908886165243-0.04101026631923574j)
0.04,(-0.031592098876010825-0.026807084508228163j),(2.3202014490750965e-05-1.6936416547616758e-05j),(0.00011397800898052584+1.0197676546197304e-05j),(-1.598888139658691e-08+1.153516499088389e-08j),(-5.568638334372109e-07+9.301201616888838e-07j),(-2.5146402854799856e-06+4.265746518829979e-07j),(-4.592677802396894e-08-3.8626146836821877e-07j),(-3.143267197262448e-05+4.7837654497166685e-05j),(5.0891836182621636e-05+6.197693367098165e-05j),(-5.8144546855673427e-05-0.00018946686600145737j),(-3.4389672337193627e-07+2.8454913592097302e-06j),(2.4892682269130585e-06+2.1605066847208128e-06j),(-1.735936066668176e-08-1.3381742682055032e-08j),(-5.664519812151868e-07-1.632356196464519e-06j),(7.963188309040042e-07-2.5703572994873963e-07j),(-7.475614746863763e-07+5.221323483870016e-07j),(0.00010099393774613667+1.56162745483127e-05j),(-3.114771258835774e-08+8.518801403086722e-08j),(-8.277185577292898e-06-6.402896567080636e-06j),(-7.237503289842458e-06+7.762459270549171e-08j),(-0.027626527893750853-0.03472775093868738j),(3.2752475830958627e-07-5.418951040988772e-08j),(-5.8649659573072036e-05-3.942113852212366e-05j),(-2.735069765868816e-07-3.545538561954238e-07j),(1.0104048262769105e-07-8.532222053407919e-08j),(-0.027746543590867458-0.034731388579858455j)
0.05,(-0.04309474262151458-0.003480862993409415j),(1.6207244248294407e-05-3.202633161445426e-05j),(0.00011957360391177308-4.799837211619212e-05j),(-9.62468993656525e-09+2.740044009746956e-08j),(-1.421718764391301e-07+1.3189143248777502e-06j),(-2.799102115524137e-06+2.2488764849566784e-06j),(-3.100707204094187e-07-4.0104044582601226e-07j),(-2.483718955255816e-05+7.161836577663374e-05j),(9.903117120332784e-05+5.172751473367383e-05j),(-0.00018061186154881738-0.00020872109059295453j),(2.336404551729227e-07+3.1293075631590574e-06j),(4.130728801581592e-06+1.2566304433669338e-06j),(-2.6354817005894523e-08-7.215561355999523e-09j),(-1.4896182385021323e-06-1.2542347587767744e-06j),(5.368752471995152e-07-7.376447702998144e-07j),(-6.020649785413461e-07+9.222977460487483e-07j),(0.00011538805110183521-3.065097359760282e-05j),(-2.5818136544017965e-08+1.6008590901242071e-07j),(-1.2986964911927236e-05-1.9000437242613709e-06j),(-1.3484932872614282e-05+1.4919642200518093e-05j),(-0.04500427373612031-0.015011124523519118j),(1.987188498016895e-07-2.610232794691024e-07j),(-9.690611189278884e-05-1.2313528601270725e-05j),(-4.971739301210097e-07-3.0651321664962274e-07j),(4.64420035641118e-08-1.5816724324435879e-07j),(-0.045097084231566706-0.015053783020649192j)
0.06,(-0.03834795229121914+0.02307553536453705j),(-6.809464318977305e-08-4.357115065562412e-05j),(9.015211533342226e-05-0.00010390024782218015j),(1.0496525543559906e-08+3.37568127435397e-08j),(5.217363224519656e-07+1.4701440385843142e-06j),(-1.9216253665729583e-06+4.550045888310654e-06j),(-6.001807291254791e-07-2.2753379593597326e-07j),(-1.0353156369615621e-05+9.46104677706262e-05j),(0.0001491931815698517+9.794297341487635e-06j),(-0.00033833074654926427-0.00015677194865504367j),(8.277971482870109e-07+2.942825283282595e-06j),(5.477549503213711e-06-9.39942759549215e-07j),(-3.0319507131069105e-08+6.99377296366004e-09j),(-2.0210573922398023e-06-2.306728030057036e-07j),(-8.139845225378756e-08-9.270558228983448e-07j),(-2.5489728928228437e-07+1.251672334762989e-06j),(0.00010498801633027381-8.322936869131597e-05j),(4.83641982954459e-08+2.346393710958092e-07j),(-1.4685176560621308e-05+5.865290313718782e-06j),(-3.917952836778908e-06+3.464776628852274e-05j),(-0.04856410712799844+0.012761728850194574j),(-1.0744257126253211e-07-3.063008035905213e-07j),(-0.00012461939291912168+4.198822210854149e-05j),(-7.174401868188966e-07-1.3736928839290846e-07j),(-5.57194647680586e-08-1.8675595705314445e-07j),(-0.04872943419609541+0.012845168861013221j)
0.07,(-0.017641216517679536+0.04226853019646348j),(-2.387848406931202e-05-4.675468846427262e-05j),(3.3661323004377465e-05-0.00013762990069711821j),(3.442538628392983e-08+2.2135253267112456e-08j),(1.2822985093216258e-06+1.2735042586190343e-06j),(5.294979932899679e-07+6.753993123558314e-06j),(-7.829027629809932e-07+1.5476857881798933e-07j),(9.757399129646663e-06+0.00011732049385528007j),(0.00018217475435500357-7.064077210805904e-05j),(-0.0004918997840156754+3.52788828193672e-06j),(1.1176626143216928e-06+2.406935245851507e-06j),(5.525626085566957e-06-4.465442298283705e-06j),(-2.3666650767074973e-08+2.4124130384505517e-08j),(-1.7311813834356703e-06+1.0478057602472247e-06j),(-7.628095605467541e-07-5.834355712560829e-07j),(2.4578099055990255e-07+1.4244662113168719e-06j),(6.96786884123336e-05-0.00012920324032824284j),(1.984173636221876e-07+2.679973923827827e-07j),(-1.1523140233616396e-05+1.4870468619870227e-05j),(2.4274913827373058e-05+4.5359880777517995e-05j),(-0.035067929037388895+0.03931751549309978j),(-4.2737429779334394e-07-5.238103757913625e-08j),(-0.00012532171281547187+0.00012272541522670406j),(-8.779230464324968e-07+1.5501737032548036e-07j),(-1.7005394516303458e-07-1.440859856609584e-07j),(-0.03536374197429442+0.03944145478077656j)
0.08,(0.011012575546603412+0.045439607490609435j),(-5.056966257962114e-05-3.710989577612838e-05j),(-3.3943937840966775e-05-0.00013817401855016428j),(4.43026344891067e-08-6.1525343996160255e-09j),(1.922408762001821e-06+6.663588484590448e-07j),(4.652030020659367e-06+7.93489038761024e-06j),(-6.976732290460761e-07+6.603640173740776e-07j),(3.549614776766052e-05+0.0001323936712122525j),(0.0001687565909783957-0.00017823409115337422j),(-0.0005618732285345245+0.0002781648847357105j),(9.425356104654006e-07+1.779913983523698e-06j),(3.083949121809834e-06-8.343638281875099e-06j),(-3.4775866897479024e-09+3.5280925171775756e-08j),(-5.777285455190297e-07+1.9143734949787174e-06j),(-1.0558026447053218e-06+2.2330557975294724e-07j),(8.115648367420979e-07+1.3769451038167032e-06j),(1.3452645318310533e-05-0.00015733475919422278j),(3.981907619660844e-07+1.990521507883813e-07j),(-2.9711931553139285e-06+2.1621592657132573e-05j),(6.019655816612384e-05+3.169307321777871e-05j),(-0.007796630457005092+0.054272320609142964j),(-4.96075941138589e-07+4.957318654035245e-07j),(-7.998605492812031e-05+0.00021793953436340119j),(-9.135794405107685e-07+5.47011475648922e-07j),(-2.44115344496672e-07-3.257297807485117e-08j),(-0.007967899082440279+0.054618583194572363j)
0.09,(0.03626546292013304+0.03002824580760194j),(-7.44439300070386e-05-1.1129449806391869e-05j),(-9.214787812438526e-05-0.00010520115711877499j),(3.122452010251756e-08-3.8184544931151916e-08j),(2.273326901901879e-06-2.2243345920495054e-07j),(1.0254028395251001e-05+7.165704657990267e-06j),(-2.711672848142987e-07+1.1047660019907643e-06j),(6.474357831408904e-05+0.00014804542516604841j),(8.469385211645312e-05-0.00028422308468294025j),(-0.00045702165158370935+0.0006200296611755863j),(2.9396740416833645e-07+1.5129748515282564e-06j),(-2.4916796318839607e-06-1.0645711802846791e-05j),(2.259053049030733e-08+3.0354961953567583e-08j),(1.0047338473687286e-06+1.7998199718954687e-06j),(-6.645723108596941e-07+1.1148480950784124e-06j),(1.3405149619133987e-06+1.1071218403410764e-06j),(-5.293419752047295e-05-0.0001592623314219148j),(5.866078687746713e-07-3.592169875122424e-08j),(9.404256507903156e-06+2.337808485541333e-05j),(8.363290108368505e-05-8.942212210543832e-06j),(0.024501637960123626+0.050901771382345105j),(-8.249447936022987e-08+1.1130800056647692e-06j),(3.221977755417448e-05+0.0003043431877571956j),(-7.76809275645014e-07+9.89106336905982e-07j),(-2.3813257797893446e-07+1.1313602676803986e-07j),(0.024422606921165105+0.05151871697547472j)
0.1,(0.04729886866526661+0.0024766027638425843j),(-8.601685164945117e-05+2.8985603343496916e-05j),(-0.00012695042372754044-4.945598695416319e-05j),(-2.6924934852280154e-09-5.3683701386074004e-08j),(2.1738812077972123e-06-1.232637002802493e-06j),(1.6352683413029982e-05+3.685348537445346e-06j),(4.3283816474214874e-07+1.2426196233024923e-06j),(9.671429999413057e-05+0.00015251247814053248j),(-6.561844319254414e-05-0.0003410501320082461j),(-0.00013893776241816512+0.0009126210038101407j),(-4.3606665892191025e-07+1.8436947037929958e-06j),(-9.963194661194445e-06-9.242858446885133e-06j),(4.242291204912919e-08+7.036318302081952e-09j),(2.1905437200392628e-06+6.391761455747605e-07j),(3.041440329697746e-07+1.5337699620448687e-06j),(1.7427571407641106e-06+6.748765873744974e-07j),(-0.00011707813125306631-0.00013115219688705963j),(6.34923935423165e-07-4.3559010329963214e-07j),(2.1857564853369083e-05+1.8018815191443912e-05j),(7.647795937855005e-05-6.278122045450015e-05j),(0.04985355999283246+0.029267986579482416j),(8.598827389431298e-07+1.4153530492037981e-06j),(0.0002167060628258791+0.0003407404064991507j),(-4.3382173697756517e-07+1.4023257256333263e-06j),(-1.4469108300197784e-07+2.3294971034498475e-07j),(0.05015279379739093+0.02991882962885692j)
0.11,(0.039108735400605076-0.026222548725561894j),(-7.519682718142687e-05+7.977571128036481e-05j),(-0.0001303578369150942+1.3413795131382626e-05j),(-3.960671115560747e-08-4.133557499656275e-08j),(1.6729457200645642e-06-2.1499880380777786e-06j),(2.2244742548900273e-05-3.158189905727053e-06j),(1.195792497710145e-06+9.176249297040411e-07j),(0.0001319094312678362+0.0001548557377835293j),(-0.00025196879996200623-0.00030244184425316036j),(0.0003684564946612654+0.0010108000433077982j),(-8.45936407853392e-07+2.8614246571790486e-06j),(-1.6639483956393624e-05-2.1856155144739455e-06j),(4.1696897464462896e-08-2.7792173605675198e-08j),(2.3628667988148846e-06-1.16550512074895e-06j),(1.4235666167703394e-06+1.1632418317300877e-06j),(1.9919717504113513e-06+1.348466898204408e-07j),(-0.00016555923709216374-7.715359745288671e-05j),(3.983589208809112e-07-9.169712399042517e-07j),(3.099654688993903e-05+6.1558285317608396e-06j),(3.342500786026544e-05-0.00010596654216353365j),(0.05841322494132396-0.0038076428506376783j),(2.077556683676175e-06+9.996305147962358e-07j),(0.00045828069122310093+0.00026458134089647474j),(1.1340092833829069e-07+1.700059102425688e-06j),(5.996569050073645e-09+2.753583763999514e-07j),(0.059181677827969396-0.003170712466497895j)
0.12,(0.015597209996369092-0.04402593741321688j),(-3.604480568018772e-05+0.00012725360970011255j),(-0.00010609932009067439+6.703836491498436e-05j),(-5.924327875933974e-08-7.851574502757196e-09j),(8.146182353195068e-07-2.812760677033966e-06j),(2.643850202964914e-05-1.3034335738008606e-05j),(1.6893525798190295e-06+1.2798471819343324e-07j),(0.00016964357419169503+0.00014465943097159524j),(-0.0004130329481247345-0.000155384503443666j),(0.0009288818723776208+0.0008134172675846174j),(-5.554419477669192e-07+4.168961866387589e-06j),(-1.8786547966717885e-05+9.354477112681805e-06j),(1.6180740420082927e-08-5.5584948517627295e-08j),(1.2713296503887993e-06-2.738361620268933e-06j),(2.0764941772559957e-06+6.033701472452212e-08j),(2.113506336090534e-06-4.390686782444282e-07j),(-0.00018765014324892702-6.472634584075346e-06j),(-1.8441565187947034e-07-1.2582184329337001e-06j),(3.311771483107355e-05-9.673820830465959e-06j),(-3.2633851698488256e-05-0.00011582395941325573j),(0.04647013106136945-0.03619722588444624j),(3.033338630670307e-06-3.2817460584869735e-07j),(0.000694103820638174+2.2986773363014402e-05j),(8.261552227766564e-07+1.7831730948492873e-06j),(1.5139546123458884e-07+2.2220684642977273e-07j),(0.04763601264448675-0.03594539845611368j)
0.13,(-0.013548690681613088-0.043833648560079416j),(3.292083655168784e-05+0.0001539909041406991j),(-6.38593223695415e-05+0.00010094367558852761j),(-4.916173732238211e-08+2.6078170933190622e-08j),(-2.3289833393114153e-07-3.1232354410329523e-06j),(2.8270090497787634e-05-2.6324463156087444e-05j),(1.6471293559792382e-06-9.099231397017568e-07j),(0.0002081135056968216+0.0001249966031364002j),(-0.0004810883029996222+8.136632597424795e-05j),(0.0013573615326185032+0.00029244394750839366j),(5.899263715990115e-07+5.409783573893123e-06j),(-1.292326187222962e-05+2.2348885451527715e-05j),(-2.5578904832263792e-08-5.897291149743594e-08j),(-7.302725888646302e-07-3.338114570287075e-06j),(1.8557018060392308e-06-1.3232362715665675e-06j),(2.1083437266194282e-06-1.0684768329265772e-06j),(-0.0001795612590145356+6.876766178828853e-05j),(-1.0184174718556318e-06-1.202651052540693e-06j),(2.7016037188839532e-05-2.576178456924349e-05j),(-9.506329945624517e-05-8.213940003067035e-05j),(0.017798001277578614-0.055879684028999725j),(3.0574937763850487e-06-2.357344419019219e-06j),(0.000799329921080206-0.0004116406516078305j),(1.6251061359329151e-06+1.5717795679254365e-06j),(2.3365888692311858e-07+9.590408088352922e-08j),(0.019299484099042606-0.05629239928291999j)
0.14,(-0.03617378756159145-0.026547395393240587j),(0.00011829966814769638+0.00014187057044813252j),(-1.6969771463323033e-05+0.00011209445157471568j),(-2.185256332348332e-08+3.788008111242227e-08j),(-1.3594840527308459e-06-3.0658630899963267e-06j),(2.6356503902009423e-05-4.174596123016536e-05j),(9.611962912024942e-07-1.815003039785366e-06j),(0.00024687514656082323+9.012949422282525e-05j),(-0.00041577447736437984+0.00034364542230408033j),(0.0014734244702294366-0.0004411340640700498j),(2.391232275807957e-06+6.095842694793032e-06j),(8.308236101460942e-07+3.1312779035298484e-05j),(-6.075396783620887e-08-3.042760871945111e-08j),(-2.83255382384696e-06-2.513849071826586e-06j),(7.332704779830685e-07-2.3349954657844953e-06j),(1.9874997647459082e-06-1.7729364850518667e-06j),(-0.00014233285961468643+0.0001350995445237828j),(-1.7986473950522421e-06-5.753658913229644e-07j),(1.3228456116036363e-05-3.769950802897657e-05j),(-0.00012741042465583353-1.4546811369288507e-05j),(-0.016831382194046632-0.05554103302500159j),(1.6819535342993846e-06-4.375550853306086e-06j),(0.0006331041463615142-0.0009711402524689612j),(2.389560171196837e-06+1.0070041343533322e-06j),(2.2546527203023873e-07-4.571511768098647e-08j),(-0.01538983921159251-0.0568551604463166j)
0.15,(-0.043503663843866905+0.00019075115057409775j),(0.00019678581007653184+8.007979818950497e-05j),(2.4990908087297228e-05+0.00010554698927001434j),(-2.1042568691318308e-09+2.048968726657896e-08j),(-2.417981537944837e-06-2.646294862942915e-06j),(1.9945897949551703e-05-5.9773619260287334e-05j),(-2.0560994538071416e-07-2.2040205649280204e-06j),(0.0002771509928739063+4.061980406321069e-05j),(-0.00020962386397682838+0.0005518349262771923j),(0.0011727234428059571-0.001194010731623335j),(4.596949440481982e-06+5.939136493758783e-06j),(1.9681339883513095e-05+3.1215725388989725e-05j),(-6.669667276788617e-08+1.8484534855912063e-08j),(-4.115164505965686e-06-4.4033171929644524e-07j),(-8.740789773650302e-07-2.43498211530655e-06j),(1.6379850814005545e-06-2.5660761963862914e-06j),(-8.127482032116474e-05+0.0001833660374178837j),(-2.111695648497026e-06+5.509462353313303e-07j),(-5.560865597320137e-06-4.2110050372563795e-05j),(-0.00011286471431961036+6.0397594635651535e-05j),(-0.04454246139134342-0.0352944758861414j),(-9.89735093340792e-07-5.359510028261197e-06j),(7.432075567234317e-05-0.0014656997219057446j),(2.9699122572763695e-06+8.281483161071117e-08j),(1.3955930294451635e-07-1.446529238105775e-07j),(-0.04376115887468346-0.037663928547863254j)
0.16,(-0.03354204430317767+0.025108597012934213j),(0.00024011650288475398-2.5646812693279255e-05j),(5.778393324500657e-05+8.858789587927481e-05j),(-1.2192068688849043e-08-7.561633094982073e-09j),(-3.348704330446541e-06-1.9449300869228935e-06j),(7.773047927656452e-06-7.824774774491037e-05j),(-1.466278999875809e-06-1.8438559921940045e-06j),(0.00029753561912295405-2.4238123722286743e-05j),(9.310549100074962e-05+0.0006352477067014668j),(0.0004854785739777361-0.0017329487002990037j),(6.760618385376147e-06+4.8556659909011885e-06j),(3.754829292087179e-05+2.0079383548539485e-05j),(-3.428305247977657e-08+6.102450171463116e-08j),(-3.917419019621988e-06+2.169594431778562e-06j),(-2.2830039175461945e-06-1.4765612236392473e-06j),(9.56834060403977e-07-3.4098862915382036e-06j),(-5.414723135544622e-06+0.00020581557095394494j),(-1.6517742639871406e-06+1.8022341656716501e-06j),(-2.50575627990315e-05-3.736333813796313e-05j),(-5.623810187360584e-05+0.00011352058336043665j),(-0.05523228789258734-0.003335082102962496j),(-4.042522777660206e-06-4.495792126950786e-06j),(-0.0008433760128526712-0.001636506521569746j),(3.198129034778947e-06-1.1527034896917469e-06j),(2.3435954983025838e-08-1.6834564438540576e-07j),(-0.055799718946499426-0.006433199712099727j)
0.17,(-0.011506072995493864+0.03839355744535315j),(0.00022345144823400324-0.0001535460026626652j),(8.417827647200643e-05+6.681191061397987e-05j),(-5.3052140725594915e-08-1.2644975914677958e-08j),(-4.076851840771437e-06-9.947117758610658e-07j),(-1.165739471129475e-05-9.674559092283957e-05j),(-2.3500010371573095e-06-7.850165670917436e-07j),(0.00029823859033572896-0.00010094051765930624j),(0.00041808621171078244+0.0005507341116868912j),(-0.0004400810435605711-0.0018647669362293175j),(8.4808036650481e-06+2.8603333466052283e-06j),(4.7919231492251136e-05-6.958869778883564e-07j),(2.24375022151108e-08+6.882245922887545e-08j),(-2.1357661062772123e-06+4.28713892779325e-06j),(-2.8251082686224856e-06+2.071733163942342e-07j),(-1.853793123340144e-07-4.116625658227884e-06j),(7.657854187860842e-05+0.00019827651379846205j),(-4.3181910583149963e-07+2.6261871214701115e-06j),(-4.085565563649566e-05-2.388851644281851e-05j),(1.9505617697773665e-05+0.00012324785039356703j),(-0.045366464591286966+0.028054445103229873j),(-6.088604260164489e-06-1.8228798737400917e-06j),(-0.0019109440578582704-0.001225729213139458j),(2.921707172906092e-06-2.5668464296150106e-06j),(-6.963221935931797e-08-1.1898507085111193e-07j),(-0.04798156410356782+0.025110339779875437j)
0.18,(0.013017919868519202+0.035764558831578495j),(0.0001370780666016404-0.0002711275117267956j),(0.0001076686778224731+4.011048857083561e-05j),(-9.637034490844808e-08+2.9304486811599612e-08j),(-4.6088098332765844e-06+1.347957846408859e-07j),(-3.9183042402384244e-05-0.00011291563233198799j),(-2.496671888922373e-06+6.437323466139577e-07j),(0.0002746073044809485-0.00018651926996657807j),(0.0006780630248001863+0.0002992644916085764j),(-0.0013725402217507278-0.0014990740771195269j),(9.402372753504748e-06+1.980045953903818e-07j),(4.628752082136609e-05-2.624584019203682e-05j),(7.216098714136933e-08+3.133205133776959e-08j),(6.890615352092464e-07+5.027275921878966e-06j),(-2.1996609325074833e-06+1.935630128181214e-06j),(-1.8141856285996962e-06-4.425128109606869e-06j),(0.00015379356877227081+0.00015929733400614157j),(1.1621335762391658e-06+2.592505629260033e-06j),(-4.9258090511860636e-05-4.561661493600691e-06j),(8.590922425858767e-05+8.706068088680462e-05j),(-0.019840621885429018+0.04719099918581399j),(-6.094660379765044e-06+1.500348500372359e-06j),(-0.002774626270940789-0.0001641799113527554j),(2.018692303853436e-06-3.960861798103457e-06j),(-1.0524723178977253e-07-3.294000270120033e-08j),(-0.024464884238689595+0.045636101118772504j)
0.19,(0.029991994760938525+0.0198122166844243j),(-1.1823646932654933e-05-0.0003394165787208807j),(0.00012818607999261854+2.8371210322092116e-06j),(-9.485953683613711e-08+1.1174579975367967e-07j),(-4.925850706261623e-06+1.433469562153015e-06j),(-7.68912059917248e-05-0.00012274669930178414j),(-1.8034954894979334e-06+1.942609611767069e-06j),(0.0002227740569452809-0.00027582760632243017j),(0.0007871234799445098-7.416471637105307e-05j),(-0.0020438170576885985-0.0006653214986349985j),(9.257660403475742e-06-2.7944237127915645e-06j),(3.088839941612727e-05-4.940176136383327e-05j),(8.136152476923556e-08-3.4761580575168864e-08j),(3.5316176560521652e-06+3.973850814724123e-06j),(-6.203328118827899e-07+2.940193137817009e-06j),(-3.7503989607628855e-06-4.0228418418752556e-06j),(0.0002137109561079755+8.973411121847629e-05j),(2.5273920894389775e-06+1.6179399101729651e-06j),(-4.840739631494323e-05+1.674077004390059e-05j),(0.00011900552830873231+2.135705007641848e-05j),(0.010937931962853547+0.047500320048178266j),(-4.234727597523321e-06+3.889819634745797e-06j),(-0.0030490249359456955+0.001436094502374746j),(4.663747195547534e-07-5.061320169786896e-06j),(-7.680945755981419e-08+4.447081754538262e-08j),(0.005158593987545295+0.04885480783866766j)
0.2,(0.0336382071959362-0.0019519905740105021j),(-0.00019743047398628505-0.00032492102154651976j),(0.00013898407854371112-4.9967239689105374e-05j),(-2.1105954488087723e-08+1.9212296198722592e-07j),(-4.98760469048243e-06+2.9180715603464494e-06j),(-0.00012587934788925293-0.00012318834138256424j),(-4.788003038992073e-07+2.6519408115001292e-06j),(0.00012927538219517778-0.0003544275814493215j),(0.0006869628021452046-0.00048538629487162774j),(-0.0022226392064110343+0.0004740427275009484j),(7.863938550255022e-06-5.650024745745705e-06j),(3.5739633086345796e-06-6.312708085097146e-05j),(3.763061329435306e-08-9.356587568919241e-08j),(5.317947728283881e-06+1.3765134324640151e-06j),(1.293289701070346e-06+2.7536931719079756e-06j),(-5.631968858679547e-06-2.6670947298102252e-06j),(0.00024411373496538224-4.485530371278476e-06j),(3.1549752708961276e-06-2.6583320025987226e-08j),(-3.856406734067101e-05+3.5547146603742096e-05j),(0.00010780285788592137-4.99536629738939e-05j),(0.035068645778164736+0.03037025505298748j),(-1.903433498440704e-06+4.4501650134331136e-06j),(-0.0024961603368261398+0.0032501150722249513j),(-1.6683574633654078e-06-5.561427210853344e-06j),(-1.0815121275251837e-08+7.806746209493593e-08j),(0.0298225989162837+0.035265924298532245j)
