t,B00_z_0000_00,B00_z_0000_01,B00_z_0001_00,B00_z_0001_01,B00_z_0002_00,B00_z_0002_01,B00_z_0003_00,B00_z_0003_01,B00_z_0004_00,B00_z_0004_01,B00_z_0005_00,B00_z_0005_01,B00_z_0006_00,B00_z_0006_01,B00_z_0007_00,B00_z_0007_01,B00_z_0008_00,B00_z_0008_01,B00_z_0009_00,B00_z_0009_01,B00_z_0010_00,B00_z_0010_01,B00_z_0011_00,B00_z_0011_01,B00_z_0012_00,B00_z_0012_01,B00_z_0013_00,B00_z_0013_01,B00_z_0014_00,B00_z_0014_01,B00_z_0015_00,B00_z_0015_01,B00_z_0016_00,B00_z_0016_01,B00_z_0017_00,B00_z_0017_01,B00_z_0018_00,B00_z_0018_01,B00_z_0019_00,B00_z_0019_01,B01_z_0000_00,B01_z_0000_01,B01_z_0001_00,B01_z_0001_01,B01_z_0002_00,B01_z_0002_01,B01_z_0003_00,B01_z_0003_01,B01_z_0004_00,B01_z_0004_01,B02_z_0000_00,B02_z_0000_01
0.52,(-1.0885368542139064+0.5925122243842659j),(-0.835506807274991+0.9362970048828012j),(0.2795853824128669+1.7213183215862435j),(0.18099400157423573+0.04310216104226497j),(-0.26958654299659796-0.38573356448934043j),(-0.09977879902355728-0.9313705985197529j),(2.532840663695598+1.516467218962863j),(-0.6297703834319525-1.69269448086952j),(0.14053476844199048+1.8123994055973418j),(0.8526760473114113+1.7129520409195298j),(1.1088119973554844+0.6950467882401318j),(1.028624777535428+1.7842694047608356j),(-1.4369703043585451-0.7011261956415231j),(1.3754136578729075-0.684222121981651j),(-0.05848043932061245+1.518484192672702j),(-0.14799502969720857+0.11105257519998865j),(0.8345599997938541+1.5679910299322235j),(0.15789336914076377-0.42408030963697385j),(0.4970137099105296+1.3340101362734134j),(-0.02567628599182475-0.26000943969750434j),(0.2619383270598405+0.7974373818485635j),(1.567963375083145+0.5833432155635785j),(0.7176874876492197+2.12733853111528j),(0.6397865476893475-0.4044359089253284j),(0.21800318131624258-0.46325283597808675j),(-2.838250895670227+0.31650969406738355j),(0.1622787674934141+0.5521023236670545j),(1.3636901808279085-1.7506966356255393j),(0.0010949376108389747+1.3727328300849395j),(0.7532207523650838-1.9547130399433883j),(1.1634213311796056-1.7703282868911736j),(0.8900140203478044+0.957709257546236j),(0.009789537211536695-0.8227798684269142j),(0.5798993044431879-0.5003580183238443j),(1.0807929039577178-1.6133772448725041j),(-0.17105304979803598+0.691614286405643j),(0.7735534620184835+1.9441434420599033j),(-0.19180815146411329+0.5662810841942582j),(0.8221017120578588+0.8931266725920972j),(0.17683039922117327-0.8286978935810141j),(-0.30040845334007643+1.3358809731491534j),(-0.09547639603270669+1.8511683211149432j),(-0.9982602163730185-0.36533655708317925j),(-0.21128641896578831-0.38960677621207357j),(0.61528022534308+0.8459632696469837j),(-0.6625769540202802+1.8237319343850054j),(1.186590328659314-0.8134731158011681j),(1.591485886963694+0.7236192292792563j),(1.4777659520644832+1.9272340472473048j),(0.1422474372092273-1.899131576637096j),(-0.007445771210814557+1.4459048190414907j),(-0.031417495819285685+1.8836765464360712j)
0.53,(-1.1171971512974475+0.5480355046886225j),(-0.8723644458852936+0.9166241840557122j),(0.2985536328898618+1.7193725481731272j),(0.14690213926960352+0.06163763254360499j),(-0.2669613791582516-0.3843103404486265j),(-0.09967618540534351-0.9313018192523186j),(2.537345375119408+1.5170180590509605j),(-0.6228852324740729-1.6793277409336471j),(0.13664680311285382+1.799157794946203j),(0.8854076049345372+1.7415842837803097j),(1.0927363053533727+0.7265139652343243j),(1.1331102681112877+1.7877646685021304j),(-1.4292818098542523-0.7035059295371188j),(1.377956013355458-0.6915903873055768j),(-0.0493135050546684+1.5187958620609399j),(-0.196162056083145+0.0943142220693667j),(0.8303142036577366+1.568899610406581j),(0.14035568067878454-0.4059939891155155j),(0.4858844458903523+1.3314102036605333j),(-0.051954979283664424-0.24595016704575076j),(0.26753636382706536+0.8362922608593223j),(1.553037525082792+0.559602542531016j),(0.7230202857138438+2.1149101689121754j),(0.6390118409786871-0.392877114746807j),(0.21212548338967482-0.4643072018185731j),(-2.8375836607748557+0.3141037298341359j),(0.1658187206282616+0.5596475183392197j),(1.3418599312445683-1.7579432468752372j),(-0.0057116894787848736+1.374949785514705j),(0.7414583583632898-1.950777984465991j),(1.1424558629514863-1.7881162506111659j),(0.8816460562878601+0.9732162907407093j),(0.004760796996445945-0.8052079297168468j),(0.5859548824400082-0.4882328363141875j),(1.0813679294477587-1.613758987352048j),(-0.17083326402209104+0.6916852148799437j),(0.8166671727794116+1.9418555194274083j),(-0.2093602382120967+0.581757855870551j),(0.8224732051614801+0.8952990097811313j),(0.16566650156797585-0.8106914283305147j),(-0.32315232793761783+1.3799196025045453j),(-0.06771051919646283+1.947574707515269j),(-0.998165717078155-0.3653838956726262j),(-0.21118179085842753-0.389405416984181j),(0.550129478181008+0.8240733771937487j),(-0.6592865138502381+1.897097572232376j),(1.1762203879425701-0.8114856973421652j),(1.651826660202651+0.7195093120331876j),(1.4785302560939328+1.927152073931874j),(0.14234919235974264-1.898089532915642j),(-0.014624431229099127+1.5033884826372352j),(0.013948320207992297+1.9799764024018691j)
0.54,(-1.1399656599138015+0.5044884443300763j),(-0.9014991243032636+0.8914974237719903j),(0.3163074767157059+1.7197255614188212j),(0.11184619994339012+0.07934646306493051j),(-0.2643460053950564-0.38274665431908833j),(-0.099902329002711-0.9309936097831515j),(2.5402788221248005+1.5149016249548104j),(-0.6151304474025767-1.6684634639227427j),(0.1311377209839277+1.7830799868261575j),(0.9213193416152171+1.7698758676292623j),(1.0790411142092586+0.7681398658115012j),(1.2377088175347268+1.7811376885371053j),(-1.422209656945337-0.7068576589951996j),(1.3793697641694753-0.6987527274031083j),(-0.04424120063309153+1.5221632722971568j),(-0.23764657266190786+0.07411722930046576j),(0.8242363689257272+1.5697902412954492j),(0.12547354007644557-0.3893101104953445j),(0.4724239368938851+1.330154080304132j),(-0.07724248213964985-0.23422565048915378j),(0.2680084909486055+0.8755950979295016j),(1.5423453329759564+0.5367936983930162j),(0.7259631406666202+2.1014688254464677j),(0.6384549068123644-0.3831001978551717j),(0.20598140508981946-0.4664402639065211j),(-2.836690891831425+0.31154813923910624j),(0.16969097553381976+0.5625872816000066j),(1.320851311878804-1.7657365116507557j),(-0.01386665672200979+1.3733824470415876j),(0.7286904754562719-1.9495633764039162j),(1.1238854904965743-1.8032466781209484j),(0.8726069061057244+0.9838016316670719j),(0.0015395455902101644-0.7861814070616752j),(0.5904355695348174-0.4758936743587454j),(1.0827065774380085-1.614539698730522j),(-0.17052345853374085+0.6924355874864949j),(0.8521615564777817+1.9386068058541994j),(-0.2318978153829776+0.5957213134842084j),(0.8260872795780785+0.8972648721304275j),(0.15449724981589788-0.7960884957763715j),(-0.34634323289541413+1.4272949065647693j),(-0.03466065484437515+2.0480459865495226j),(-0.9980797310669267-0.36542827219460894j),(-0.21106103181608502-0.38923979351383897j),(0.4831072015593639+0.816128778540356j),(-0.6456549421360853+1.9814804020186512j),(1.165421159157917-0.8073515558248121j),(1.7138015620383433+0.7076255939903751j),(1.4794264058433018+1.9270372286158324j),(0.14252342338663693-1.8969049066963755j),(-0.019635893778740508+1.5672284526104827j),(0.06991925916155878+2.082326485510279j)
0.55,(-1.162801407719712+0.46295836645026056j),(-0.9316591672002914+0.868305281167491j),(0.3339827268605743+1.72165339413743j),(0.07759254155058486+0.09603276454905915j),(-0.2616900687718772-0.38106188202684893j),(-0.10049240120728777-0.9305096611320471j),(2.542822092288225+1.509982127173901j),(-0.6057431336942285-1.659487244524141j),(0.12352221154750519+1.7683520745792523j),(0.9609100395003258+1.7982403346391957j),(1.0709777772010607+0.8178701698939701j),(1.3419329256364871+1.7666122166247078j),(-1.4161513179631438-0.710477261866089j),(1.3795730005009366-0.705677234852201j),(-0.03808836114415673+1.5274980109868792j),(-0.2772238064398837+0.05088318666811063j),(0.8193485628503009+1.5739645856674573j),(0.10910888902881777-0.37109371941297986j),(0.4590009052383476+1.3307244065323798j),(-0.10214968528257681-0.22424938141504885j),(0.26355108572146063+0.914741824336113j),(1.5358730984843783+0.5151479504776492j),(0.728613902605159+2.0856319535186816j),(0.639303557974055-0.37438595482314563j),(0.19973660941825674-0.469234571562022j),(-2.835557007173191+0.30899426065087177j),(0.17648754019167734+0.5621076228460922j),(1.3007292912165611-1.7737353848045099j),(-0.021146444394656072+1.3690736099805727j),(0.7170108107327576-1.949600755661616j),(1.1073963955717885-1.8166640194815564j),(0.8630646668471348+0.990258284577108j),(0.0001430199459610715-0.7660234394048524j),(0.5932656643062597-0.46342983883808736j),(1.0840655582675196-1.6155925692381816j),(-0.17056703569608725+0.6943295320374923j),(0.8820408024849967+1.9317899204044986j),(-0.26588764340234344+0.6081496219610508j),(0.8323272443620935+0.8987547973281949j),(0.14408864396181417-0.7832081565316494j),(-0.36882969869814125+1.479048680357354j),(0.0070643121913152584+2.1551928743430517j),(-0.9979804215427225-0.3654618272859926j),(-0.21095106212965622-0.3890629895697263j),(0.40168211392582864+0.8009738434279253j),(-0.634444208950834+2.067784994950558j),(1.153802938698489-0.7998614351335006j),(1.7751166500353548+0.6887938939316924j),(1.4802558103528585+1.9268620540278645j),(0.14285846124945534-1.8959668789243234j),(-0.022965038796184455+1.6347417603917667j),(0.13584591555106346+2.1862420724454052j)
0.56,(-1.182604286362877+0.42286107143361723j),(-0.954691212670074+0.8415008600865742j),(0.34958751361735246+1.7259134020319777j),(0.04372862119399093+0.11187169486339374j),(-0.2590309044550524-0.37933265240218145j),(-0.10159344350674807-0.9299521375720224j),(2.544879108968532+1.5014645323220768j),(-0.5940790023631423-1.6529455458784568j),(0.1122614156312702+1.7537962250783705j),(1.002277929699633+1.8244219721153478j),(1.070105685980032+0.8744126946642307j),(1.4454173950944056+1.745385641846166j),(-1.4116853806629237-0.7140654502610153j),(1.3785624253361028-0.7121651258314105j),(-0.03646161880451745+1.5344201786114953j),(-0.30663341604850036+0.02691452919579703j),(0.8151519986650649+1.576738382280184j),(0.09791281488142921-0.35174493962966424j),(0.4433745153186042+1.331856705935114j),(-0.12290597931712954-0.21559338526723343j),(0.252153573615995+0.9525605966395961j),(1.534139816833165+0.49424490771865j),(0.731318058868124+2.0695164442499614j),(0.6393824089211139-0.36533376153329467j),(0.1937471768859835-0.4731009794131587j),(-2.8341290510410952+0.30648078652019206j),(0.18694688945536594+0.5589824140085338j),(1.281451188769009-1.7816401231686902j),(-0.027539159179628417+1.3619506614805663j),(0.7057489848646535-1.9507505868146615j),(1.0932485055099515-1.82747449793852j),(0.853511432391775+0.9924880979833991j),(0.0008491262608196007-0.7451129115213818j),(0.5942250508718069-0.45061008176979295j),(1.0850104913671137-1.6172387761681533j),(-0.1716689113292656+0.6975155448459504j),(0.9051942208711896+1.9193305852257039j),(-0.3047916224515305+0.6169638166807936j),(0.8424029378711282+0.899348703488256j),(0.134447665935772-0.7706635048512043j),(-0.39092035804274583+1.534624169125097j),(0.05392294246311246+2.2643405692862815j),(-0.9978993021558838-0.3654904290136074j),(-0.2108516537340879-0.38893288482898813j),(0.32646326337321213+0.7936431528182419j),(-0.6103283230117796+2.163290664494985j),(1.1431939682758618-0.7894711219979733j),(1.8363128224465277+0.6619748263381542j),(1.4812869491102743+1.9266869370556396j),(0.1432606996881387-1.8947328087774262j),(-0.021155660935483503+1.713822603687305j),(0.21867040180986078+2.300802924886966j)
0.5700000000000001,(-1.2030628840284117+0.38333892139057224j),(-0.9774214238722516+0.8151643734458766j),(0.3643641646879566+1.7326775462636836j),(0.01209067712901802+0.12652500451651122j),(-0.2563545686444449-0.3775831367839715j),(-0.10324396390240058-0.9293900102445403j),(2.546846671076339+1.4895793453988573j),(-0.5800640944216999-1.648647098376891j),(0.09888522492187593+1.7414894849034985j),(1.0447431287662752+1.848110452450662j),(1.077724861553055+0.9349604703238664j),(1.549404444053772+1.7192726273142227j),(-1.409067969473122-0.7169958605236236j),(1.3763937738998133-0.7184453183512276j),(-0.03488988918256632+1.5423453182253248j),(-0.3296311010531973+0.003380664919320313j),(0.8155976344114297+1.5807677593559715j),(0.08909044360640359-0.32773316265655156j),(0.4282575669560084+1.3344317101771712j),(-0.13982925229994347-0.2075900069019547j),(0.23445922642050343+0.9867834010227433j),(1.5360523027840502+0.47471341142100437j),(0.7352853676949043+2.054110221623983j),(0.638319519766831-0.35561033483882204j),(0.18832487232265552-0.47759626295947j),(-2.832451571957979+0.3041806945343219j),(0.2030109353340076+0.5550160840387336j),(1.262634398995466-1.7889709632701492j),(-0.03111914867327145+1.353254497344143j),(0.6966375892968149-1.951943218676277j),(1.0808354186467841-1.836074789511246j),(0.8445926039917424+0.9918102175934822j),(0.0037212878357842333-0.7240580896209656j),(0.5933702856964028-0.437194799487706j),(1.0850572125568076-1.6195633856827956j),(-0.17417213720060817+0.7018498619864963j),(0.9227872870201608+1.9002293991496904j),(-0.35009807419379274+0.623717495132723j),(0.8557472034573714+0.8991401257922365j),(0.12653078689213829-0.7557652950507155j),(-0.41104684741868397+1.5946486309325443j),(0.1121493721111322+2.3797629611211386j),(-0.9978083024811598-0.36551219296382687j),(-0.2107570236938405-0.38880363545584246j),(0.23576429684521483+0.7878549852763134j),(-0.5874589115364705+2.266413260604502j),(1.132584285403665-0.7749583205394485j),(1.8957027728310871+0.629371073341154j),(1.4822856266749636+1.9265004045877154j),(0.14391566420567928-1.8936728759441848j),(-0.01503379506973633+1.8007263629361558j),(0.3168365567619591+2.419729555152542j)
0.58,(-1.222939010873929+0.3457028789888674j),(-0.999538190605918+0.7876594825997726j),(0.37961260290827914+1.7425760846989111j),(-0.016471429892020523+0.14060970775554288j),(-0.25365600889344037-0.37584321960404565j),(-0.1055328094350698-0.928881066832694j),(2.5487385402717875+1.4750261247107679j),(-0.5643049669773552-1.6461014010371056j),(0.08435351724619869+1.7315198207767593j),(1.0873989309614345+1.8682238556429545j),(1.094503284140161+0.9980400484429514j),(1.6547131548734575+1.6889674859434514j),(-1.4082630169332253-0.7189181474199465j),(1.3733020472260813-0.7246658151979453j),(-0.03296249031937425+1.5511751919929342j),(-0.34458246606442827-0.01969531110189556j),(0.8215683471384593+1.5838347501027608j),(0.08609247282844862-0.2986979340886991j),(0.41469868697339174+1.3384232829529845j),(-0.15185251593908208-0.19996594596900857j),(0.21043902701673411+1.014914192928824j),(1.5410459018236256+0.45694109491114887j),(0.74078121650932+2.041853117576746j),(0.6347199381082421-0.3447013719864009j),(0.18344516583061152-0.4825116471129468j),(-2.830578407324081+0.3021458749036029j),(0.22509219497483193+0.552128313192689j),(1.2436580416349867-1.795786950462194j),(-0.03168098150033099+1.34397100795963j),(0.6898534329460994-1.9525382119325545j),(1.0698458073633441-1.8421975081184696j),(0.8371484190397156+0.9892265899315336j),(0.00880454642956901-0.7036666004168896j),(0.5909710901419375-0.4228030553127366j),(1.0840609733111737-1.6229196284845062j),(-0.1783379893429069+0.7069526338378728j),(0.9343393853289862+1.874550063583863j),(-0.39878633830274857+0.6293930388433847j),(0.8727724186641902+0.8978801258794926j),(0.12062572481474311-0.7356281474923826j),(-0.4293629094341972+1.659214083055668j),(0.17713721148976158+2.4951726508435588j),(-0.9977316241441989-0.36552807779106555j),(-0.21068690148862518-0.38870931525100294j),(0.14784088595311642+0.7817164577335248j),(-0.554096499647648+2.374845777193055j),(1.123982019281263-0.7568361945120003j),(1.9529903117365155+0.5901928057100405j),(1.483479637169811+1.926366272390659j),(0.1446050172718578-1.8922543590294154j),(-0.007430975918912425+1.8881710729463268j),(0.4245628507632916+2.5325951069739667j)
0.59,(-1.244672707431325+0.301514116434171j),(-1.0139745464373762+0.7600823478935618j),(0.3955912371057856+1.7557309369647858j),(-0.04083795774408034+0.15372981759053636j),(-0.2509902562621499-0.3742723226183768j),(-0.10861025596788268-0.9286497534260602j),(2.550152427366813+1.4570315017297846j),(-0.5464843479141751-1.6469184850516352j),(0.06887243819080058+1.7245414675544346j),(1.1263878114903507+1.8838371191506724j),(1.1197900211101726+1.061087319740333j),(1.7612788837645197+1.6537817004093438j),(-1.4096101469215145-0.719313964153968j),(1.3696470893670065-0.7308750604402133j),(-0.03149758070921431+1.5602971165351938j),(-0.35131119802682576-0.035837953144186516j),(0.8324914908285327+1.5849615155258103j),(0.09096741118885154-0.2655461267565285j),(0.4034081385431488+1.344565541213479j),(-0.15863753617839468-0.19179503839486534j),(0.18172170737958132+1.0332286204716368j),(1.5477528322132434+0.4416229526139721j),(0.7474590057632221+2.039347761573199j),(0.6251915983863956-0.3316923404516893j),(0.1795599577592051-0.4877123180226764j),(-2.8286380458218883+0.3004491810474176j),(0.25265067861392865+0.5532278522469574j),(1.2233769428043482-1.8019031772725242j),(-0.02860783311586074+1.3358105133240032j),(0.6859879527706952-1.9519250686655998j),(1.0597675795788823-1.8457128288422304j),(0.831683765991921+0.9858330005954343j),(0.0158954656943193-0.684762568502686j),(0.5873059780556456-0.40692832494314174j),(1.08207221355637-1.6271301745845042j),(-0.18399177201913958+0.7122961484137125j),(0.9391810442389588+1.843390577889559j),(-0.4472840762277466+0.6354052438692417j),(0.8927361725962261+0.8958764664018385j),(0.11567334794219267-0.7065464372015788j),(-0.4441951083145568+1.728279163003296j),(0.2531785505332025+2.611236622685762j),(-0.9976626069098935-0.3655419824009974j),(-0.21063190662548784-0.3886471538124932j),(0.05598662877011426+0.7768967859415378j),(-0.5153068742615406+2.490118039731874j),(1.1178895221568768-0.7353459731642146j),(2.0084790503041616+0.544857309286294j),(1.484760725621787+1.9263247845751847j),(0.14540351625187456-1.8906416850695624j),(0.012976097681372539+1.9949064482084469j),(0.563398758784649+2.65940920933045j)
0.6,(-1.2650923009419133+0.26221822150040247j),(-1.035196984695914+0.7317234782049111j),(0.4163586481456048+1.7697788106573478j),(-0.0614041900214514+0.1679784090151841j),(-0.24832458829194595-0.37279237325932246j),(-0.11241269842461574-0.9286195437439273j),(2.5507629062323396+1.4386583460857025j),(-0.5289558412086466-1.6493016517496129j),(0.0567747493467933+1.7211606688432552j),(1.1659302225004062+1.8952771753383821j),(1.1539762443268216+1.1244153339492449j),(1.8694278229563877+1.6138602600020906j),(-1.4126013701097875-0.7181201338309672j),(1.3660577940835081-0.736977552656746j),(-0.02499264082544046+1.5699178084079686j),(-0.35378929302929657-0.05209770750340983j),(0.8483715281368445+1.583157775544914j),(0.10123541250015416-0.22977737432245138j),(0.3982539135342764+1.3515146654169312j),(-0.16207277486667396-0.18269989076143167j),(0.15184410183692856+1.0397940044449343j),(1.5558610915880156+0.42855212549212623j),(0.7561856508828925+2.0490070328013084j),(0.6091680259314719-0.31612722656540326j),(0.17556869161861136-0.49305739302290924j),(-2.826718864212465+0.2990236980580247j),(0.2826443431395852+0.5592719253759332j),(1.2010631059054426-1.808404476223108j),(-0.024056047200849112+1.3295961770055866j),(0.6841010309318736-1.9504785353512815j),(1.0497581237488545-1.84688510204763j),(0.8286252767640858+0.9832678160485439j),(0.024594194273321133-0.668265335722994j),(0.5834238683051319-0.38957767168148255j),(1.0792452821908467-1.632456294296984j),(-0.19072819685331963+0.7173164266331261j),(0.9373468693349477+1.8098326218488305j),(-0.4962313321538763+0.6443623966633047j),(0.9126452469412124+0.893840826086375j),(0.1123508918849319-0.6673494048225501j),(-0.45423390792527746+1.8015202632424014j),(0.3429042751234995+2.727358624148103j),(-0.9975923352695636-0.3655543480074771j),(-0.21058356633083722-0.3886061027221578j),(-0.0454013493524303+0.7759654692063249j),(-0.4724298909707338+2.615874899337533j),(1.1142930480763453-0.7101619944470587j),(2.061404515763569+0.49411018200955786j),(1.4861174955531402+1.9264468301709063j),(0.1463052271820114-1.8887803658421294j),(0.04420520579107549+2.115036903847434j),(0.7285252089001604+2.790934572447756j)
0.61,(-1.2856218488950442+0.21318060343836553j),(-1.0460656611204486+0.7018086708071205j),(0.43646476777163357+1.7824127334992734j),(-0.0793479519178599+0.18316413834424086j),(-0.24564862989536956-0.37164676501071553j),(-0.11705349556403537-0.9293271123931061j),(2.550757690107234+1.4175772111578657j),(-0.5085246522079773-1.6551108794182294j),(0.045755784757760196+1.7225238658589235j),(1.1999346550348635+1.9033287732129995j),(1.1956805909275234+1.1854086666336188j),(1.9768262411598014+1.5684659091577349j),(-1.417529836019461-0.7149059462983584j),(1.3630761057839913-0.7431520090102403j),(-0.019146595005563323+1.5784769574769206j),(-0.35238313883940736-0.0563562718002768j),(0.8657781840723923+1.5778481685629204j),(0.1128215396175049-0.19475651059783908j),(0.3960608770860901+1.3578757503253598j),(-0.16243260115292393-0.16994665366615763j),(0.1238217526601017+1.0335641415278518j),(1.5638269762227388+0.41744939514514134j),(0.770701938700955+2.0772650888715956j),(0.5839917873561138-0.2923726807902292j),(0.1720575605743073-0.4986286390166712j),(-2.8250006217797+0.29776782169449434j),(0.3129464025331452+0.5720057497607938j),(1.1753495132025407-1.8148358199250765j),(-0.018330842711046486+1.3265726551604031j),(0.6835839550703589-1.9482281128921735j),(1.0392189702453296-1.8460319521587298j),(0.8271108801051954+0.9821883859050337j),(0.034169574150725565-0.6546820306399014j),(0.5799044862277462-0.3703624296759426j),(1.0756957770056337-1.6378919628933346j),(-0.19784924874330168+0.7223027635967815j),(0.9310210079240334+1.775659035576157j),(-0.5389167143590307+0.6537748823787942j),(0.9280644299256406+0.8927629114875045j),(0.10947450773179364-0.6189695800512209j),(-0.45986827307684724+1.8818913794127217j),(0.4407681298920335+2.83747415548595j),(-0.9975411088826858-0.3655631657678691j),(-0.21056650844648642-0.38859921471734876j),(-0.14141896122585615+0.7627114269516713j),(-0.42186130213783796+2.7331048750031077j),(1.11531310417731-0.6829784104179287j),(2.1114525484791686+0.43736021028478317j),(1.4876099992635319+1.9267159857835376j),(0.14691396084515643-1.8864106427418945j),(0.07613339137159253+2.227744283658846j),(0.8978896606543434+2.901066199084563j)
0.62,(-1.3046030424580353+0.17067739561532155j),(-1.06650395031483+0.6709604286026803j),(0.4569286601581872+1.7936145439117341j),(-0.09896802451544676+0.19917747717570472j),(-0.24301118215452702-0.3706424171082651j),(-0.12226539489923793-0.9305791662959049j),(2.552731602022617+1.3978167086691053j),(-0.4864952933566866-1.656874050311087j),(0.04166211566039849+1.7286827159178044j),(1.234611902841611+1.9089854325548234j),(1.2450765753305217+1.2454926561194624j),(2.0836768622429362+1.518697573435926j),(-1.4238052390038036-0.7095606537100779j),(1.3611323796632235-0.7492491296236322j),(-0.01033166892520673+1.586558131149627j),(-0.3510293426574502-0.059189465883805054j),(0.8868210899728561+1.5698230862724307j),(0.11704174050706574-0.1614798520676487j),(0.39869483097168695+1.3622061257847995j),(-0.1639379426079182-0.1548226669339316j),(0.1022589455864173+1.0180397707419004j),(1.5720275403743769+0.4072314249989566j),(0.7930460146675534+2.113584706565201j),(0.5548783802885007-0.2597581149087084j),(0.16821749552192197-0.5048742214738542j),(-2.823379065543626+0.2966547083043076j),(0.3408560719149883+0.5898706690274858j),(1.1467687786482443-1.8221100001072887j),(-0.013462606771148838+1.3263245291118884j),(0.6836740423859481-1.9465826817214924j),(1.027509283908595-1.8438777880954684j),(0.8264559172974197+0.9832192478763944j),(0.04409162711509497-0.644303039877693j),(0.5780694408857359-0.34976038340406496j),(1.0715214101082122-1.644261700867253j),(-0.20558141252590922+0.7271244265537152j),(0.9218811243598448+1.7417574374416023j),(-0.5790827398949376+0.6642132426503432j),(0.93694754009174+0.8903909448925048j),(0.11106507967254385-0.5640234150175085j),(-0.460110988357157+1.9628045650591193j),(0.5549548186403237+2.9408061793772275j),(-0.9974864982123347-0.36557803120275867j),(-0.210548908434549-0.3886259521953072j),(-0.25071346749684287+0.7581979838697439j),(-0.36978236657556407+2.864089097360925j),(1.1207393163385022-0.6537539472205556j),(2.1588645794581662+0.37426658348847647j),(1.489067106299583+1.9272834620239947j),(0.14753437613071563-1.8838108603450416j),(0.11438972660578825+2.3452627488035622j),(1.0831699783933928+3.0023839948877766j)
0.63,(-1.3190358262968078+0.11801420284159006j),(-1.0774390513147696+0.6367064841936715j),(0.4721604104803348+1.8068874281348803j),(-0.11907749608947164+0.21499874421856427j),(-0.24026167818038738-0.3699905147680534j),(-0.12797088834073844-0.9330782264411616j),(2.556282075144569+1.378473875456173j),(-0.46305843497514415-1.655816857592438j),(0.041289397182564025+1.7425866563484769j),(1.2657178207868292+1.9141675220909458j),(1.2995050169225681+1.3019943951786248j),(2.188262015593599+1.4631673188171317j),(-1.431428767685125-0.7019083837056965j),(1.3601653529088231-0.7557096999535639j),(-0.0034589666978456896+1.5945690357721034j),(-0.3504818677737639-0.05203260768069308j),(0.9089637283425939+1.5614498893296727j),(0.1144178530366966-0.12889378325499845j),(0.4017535378291388+1.3663630059696583j),(-0.1660683127174366-0.1362336508850188j),(0.08902606134214532+0.9969877753963379j),(1.578403691859735+0.3969881043342797j),(0.8237133006607559+2.154484342098599j),(0.5243424144093451-0.2171850154630668j),(0.16439614702243308-0.5116377902330055j),(-2.822078323284794+0.2954586773465065j),(0.365379153189259+0.6123315838182288j),(1.1155913005664633-1.8287005933858298j),(-0.00944959315890686+1.329211024519959j),(0.6832834049851197-1.9448191925219742j),(1.0142331464592427-1.8413803236299182j),(0.8251019945745363+0.9860149993978079j),(0.05353201502811437-0.6368846584670412j),(0.5787816789436518-0.32768386318168047j),(1.0670577969155983-1.6507075712075017j),(-0.2138755815889347+0.7321563442975223j),(0.9113093862557753+1.7068634850383273j),(-0.6141442923363581+0.6732542937574004j),(0.9419103726048785+0.8873155696393394j),(0.1143177216029034-0.5050196886540952j),(-0.45270395307466427+2.0543000753133254j),(0.681181705540155+3.0401978482230363j),(-0.9974426004145588-0.36558840151315924j),(-0.2105451731591546-0.3886707315895458j),(-0.3550187047889059+0.7371080657302267j),(-0.31294456797340386+2.9769741554837363j),(1.130872733038636-0.6242446004812686j),(2.2018302875942557+0.30505291918978483j),(1.490551255129842+1.9280714347661627j),(0.14760639749249563-1.880690145316555j),(0.14747282388941488+2.4535274221217698j),(1.2609545616125841+3.0817581231111566j)
