N,E [H]
1,-195.57945802744868
2,-195.59779656059118
3,-195.59822371872085
4,-195.60019767182814
5,-195.6007403081166
6,-195.6023357849779
7,-195.9458929782243
8,-195.94649801663678
9,-195.95022943303178
10,-195.950379424864
11,-195.9503953124197
12,-195.95053722756322
13,-195.9514132105582
14,-195.9520027324388
15,-195.9520939965897
16,-195.95572465774384
17,-195.95948750916747
18,-195.96196603521307
19,-195.96262983622205
20,-195.96365219953506
21,-195.96555368844156
22,-195.96575675420587
23,-195.96616865876703
24,-195.96797601517014
25,-195.97139663611586
26,-195.97149987935595
27,-195.97150152521132
28,-195.97196068115892
29,-195.9722154184534
30,-195.9722342832602
31,-195.9722574049454
32,-195.97232028484294
33,-195.9723417076099
34,-195.9723918275126
35,-195.97258171012092
36,-195.97260699436663
37,-195.97267589670298
38,-195.97268084666334
39,-195.97268157511397
40,-195.97269404912234
41,-195.97270552075213
42,-195.97274333005993
43,-195.9727695522806
44,-195.97294504577943
45,-195.97295332504837
46,-195.97303390410096
47,-195.97307708550792
48,-195.97310299437407
49,-195.97320883141558
50,-195.97326607617381
51,-195.97328117963343
