t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010
0.56,(0.13524360185701834-0.20279532834802155j),(0.012358749322174508-0.06400453390064172j),(0.015986619520885495+0.0529703672361182j),(-0.0007183607082251459+0.0019959331273829524j),(-0.46371755985728924+0.39072833041611754j),(0.11059042079900497-0.01781939329086509j),(-0.04015740790551499-0.21932122754498895j),(0.013705906064307327-0.019918219642402413j),(-2.4859044096405157e-05+1.0862496008405734e-05j),(-0.0069013204960645955+0.0027747329332390705j),(0.0025878475907853008-0.00946346258039108j)
0.5700000000000001,(0.12959962347425574-0.1961942831310433j),(0.012855272628915265-0.0634350496830054j),(0.016631236296772517+0.05333315560349131j),(-0.0006825370539986527+0.002023553147796638j),(-0.45652817201428075+0.40096875466926135j),(0.11177651381306221-0.019538547180814284j),(-0.04132278255407629-0.21957399462340343j),(0.013417351534011447-0.02104265541580158j),(-2.496581647367739e-05+1.2228348009986438e-05j),(-0.006950484710463331+0.0028456859189052303j),(0.002350933703834117-0.009707475853734967j)
0.58,(0.12426359763458346-0.18961661156413553j),(0.013386361579156156-0.06289849536509218j),(0.0172925109915638+0.05367703749290251j),(-0.0006452934224022587+0.002050436015548857j),(-0.44878110480949823+0.4110062416220578j),(0.11297089739239799-0.021348811096384784j),(-0.04240630082694831-0.21979322794617404j),(0.013061714735665537-0.022209256353952836j),(-2.4988600990450946e-05+1.3651796488820255e-05j),(-0.006999531979378165+0.002917325484252338j),(0.002095800137050704-0.009947218018895445j)
0.59,(0.1192263577212952-0.18307188935359275j),(0.013950159710464392-0.062396904416019985j),(0.01797094488895348+0.05400117807429137j),(-0.000606547564494935+0.002076561556587385j),(-0.4404745058166446+0.4208203341773506j),(0.11417011782503854-0.023259015451459114j),(-0.043412939531288025-0.21998500109061067j),(0.012632511019871312-0.023416569124107077j),(-2.492023063671299e-05+1.5129388592433134e-05j),(-0.00704862020183122+0.0029899931291155722j),(0.0018218373813892802-0.01018170026915249j)
0.6,(0.11447819236794501-0.17657050260319254j),(0.014544699380873856-0.06193228987991473j),(0.018666794690050677+0.05430459856805183j),(-0.0005662134675349673+0.0021018964078525j),(-0.4316085161107988+0.43038858152291587j),(0.1153697458462839-0.025278180829011947j),(-0.044348425700078666-0.2201547057243532j),(0.01212282098671755-0.024662273386383403j),(-2.4753272106652743e-05+1.665665801233784e-05j),(-0.007097889075953488+0.003064064861181637j),(0.0015284989347558913-0.010409786181569215j)
0.61,(0.11000884545834716-0.17012364781419526j),(0.015167901768885151-0.061506644375910365j),(0.019380072513379542+0.05458617624503216j),(-0.0005242013549799558+0.0021263940172769843j),(-0.4221852702684156+0.4396865391314626j),(0.1165643766387078-0.02741551798111011j),(-0.04521923659212973-0.22030705160537145j),(0.011525290485780075-0.025943181793769147j),(-2.4480025798661533e-05+1.822812498403401e-05j),(-0.007147460098984826+0.0031399511959887653j),(0.0012153013020083986-0.010630191716991871j)
0.62,(0.10580751612657598-0.16374333188534418j),(0.015817576873465578-0.061121940098148864j),(0.02011054589487922+0.054844644426535j),(-0.00048041768648681414+0.002149994643786122j),(-0.4122088963673256+0.44868776876063265j),(0.11774762983215782-0.02968042782891265j),(-0.04603259969207701-0.22044606658196525j),(0.01083213061612176-0.027255239992119897j),(-2.4092525815332758e-05+1.9837296287008145e-05j),(-0.007197436567273962+0.0032180971569267178j),(0.0008818239949564873-0.010841485220049853j)
0.63,(0.10186285875696607-0.15744237211286538j),(0.01649142351404914-0.06078012881578021j),(0.02085773778790389+0.0550785924843173j),(-0.0004347651579117702+0.002172625357297703j),(-0.4016855159867352+0.45736383845300066j),(0.11891214950375525-0.03208250146267078j),(-0.04679649271038257-0.22057509659276428j),(0.010035117726292526-0.028593526620159467j),(-2.358253996346191e-05+2.1476665244733597e-05j),(-0.007247903576278492+0.003298982275236783j),(0.0005277095323616577-0.011042087419155692j)
0.64,(0.09816298298411226-0.15123439619046786j),(0.01718702933053655-0.06048314187296243j),(0.021620926563222738+0.05528646584059038j),(-0.0003871427013103665+0.0021942000387220177j),(-0.39062324420722644+0.4656843225360742j),(0.12004960417789518-0.03463152014172789j),(-0.04751964358333473-0.22069680566672834j),(0.009125593414329346-0.02995225330947991j),(-2.2941569754046557e-05+2.3137711724670585e-05j),(-0.007298928020564882+0.003383120590011777j),(0.00015266343993723154-0.011230271426505064j)
0.65,(0.09469545369286957-0.14513384220934333j),(0.017901870783295214-0.06023289018886154j),(0.02239914600901996+0.05546656596801992j),(-0.0003374454849374587+0.002214619379961861j),(-0.37903218961075746+0.47361680162229347j),(0.12115068682624641-0.037337455294519574j),(-0.04821153047304813-0.2208131759231471j),(0.008094464527756239-0.031324764684541505j),(-2.2160850402286355e-05+2.4810902138266177e-05j),(-0.007350558593808464+0.003471060648196044j),(-0.00024354574965165104-0.01140416273807678j)
0.66,(0.09144729101835314-0.13915595865816663j),(0.01863331315315924-0.06003126425765161j),(0.023191185330894766+0.05561705038972592j),(-0.0002855649132472174+0.002233770883912531j),(-0.366924454280662+0.4811268626090316j),(0.12220511486775158-0.040210468518573565j),(-0.04888238176746365-0.22092550757164017j),(0.006932203163584277-0.032703538362672785j),(-2.123135082758305e-05+2.6485689440954313e-05j),(-0.007402825788793442+0.0035633855045854564j),(-0.0006610864967880265-0.011561739233632785j)
0.67,(0.08840497034593846-0.13331680442309518j),(0.019378610541429454-0.059880134148514716j),(0.023995589151861393+0.05573593267928274j),(-0.00023138862689312662+0.0022515288644618294j),(-0.35431413380164967+0.4881780986785944j),(0.12320163016862704-0.043260911580509806j),(-0.04954317608034847-0.2210344189121572j),(0.005628846668311574-0.03408018495407049j),(-2.0143773653540455e-05+2.8150513132155784e-05j),(-0.007455741897412885+0.003660712721827414j),(-0.0011000642549031147-0.011700831176718182j)
0.68,(0.08555442231126108-0.1276332487877695j),(0.02013490586987337-0.059781349505640964j),(0.024810657512349073+0.05582108246071909j),(-0.00017480050272798513+0.002267754446490061j),(-0.3412173172598061+0.4947321092982206j),(0.12412799904236294-0.046499326416040425j),(-0.05020564225129603-0.2211398463349778j),(0.004173997637923305-0.03544544806179964j),(-1.888855520796449e-05+2.9792799255278228e-05j),(-0.007509301010668733+0.0037636943704208448j),(-0.0015605214704763172-0.011819121214661197j)
0.6900000000000001,(0.08288103280021683-0.1221229714333128j),(0.020899230880725213-0.05973673954822846j),(0.025634445870202062+0.05587022540851802j),(-0.00011568065380390495+0.0022822955658700324j),(-0.32765208724259226+0.5007485002200817j),(0.12497101224972317-0.0499364451299697j),(-0.050882259345726044-0.22124104432071146j),(0.0025568239178916825-0.03678920428179345j),(-1.7455865522863136e-05+3.139896039771619e-05j),(-0.007563479018671791+0.0038730170287162033j),(-0.0020424375830352115-0.011914144378573202j)
0.7000000000000001,(0.08036982872800287-0.11680367901927816j),(0.021668499160889258-0.05974813940552471j),(0.02646483158284027+0.055880984734927364j),(-5.390458726468828e-05+0.00229498532201174j),(-0.3136386073283395+0.5061858744691522j),(0.12571635010110482-0.05358321151639183j),(-0.05158578617064202-0.22133664904570255j),(0.0007666403884969849-0.03810045624159776j),(-1.5835863959371323e-05+3.295447165693913e-05j),(-0.007618218351946623+0.003989388664127446j),(-0.0025457322678796336-0.01198333142512841j)
0.71,(0.07801141115993772-0.11166430608484779j),(0.022438702889683797-0.05981829710111918j),(0.0273013075094528+0.05585187119923707j),(1.0643615709476567e-05+0.0023055047084348554j),(-0.2992075668866189+0.5110316715908835j),(0.1263392002948226-0.05744877721597112j),(-0.052313436868587-0.22142563829594533j),(-0.001191017983206799-0.03936471593513803j),(-1.4028686167550402e-05+3.444220994098592e-05j),(-0.007672752070830301+0.004113118333676183j),(-0.0030699720214148922-0.012024817046089422j)
0.72,(0.07579357197011741-0.10669545519529602j),(0.0232042266043123-0.059949490466972045j),(0.0281412827034678+0.055780021490434276j),(7.79390557942348e-05+0.0023133352575714704j),(-0.2844052955658895+0.5152550971125537j),(0.1268031208728089-0.061533203139963945j),(-0.05306719462519532-0.22150255028638646j),(-0.003324271410884189-0.040560386651865586j),(-1.2036963748733939e-05+3.5833084536220655e-05j),(-0.007725998172141252+0.004244671134268813j),(-0.003613377504822844-0.012034661086663965j)
0.73,(0.07370181795190303-0.10189796770942082j),(0.02395915084428393-0.0601430353720542j),(0.028980844946974303+0.055662332462060475j),(0.00014787586539868013+0.00231798013088817j),(-0.2692802084380104+0.5188150789687319j),(0.12707328386628766-0.0658313816573459j),(-0.053854926220274546-0.22156002031454347j),(-0.005646592843493807-0.04166446719294818j),(-9.86361658530751e-06+3.709705943732003e-05j),(-0.0077769882915118375+0.004384587396753957j),(-0.0041735196647635035-0.012008513447459608j)
0.74,(0.07172236367496213-0.09727219917254051j),(0.024697398315737522-0.06039963975364848j),(0.029815961231984316+0.055496303588274974j),(0.00022029529434453704+0.002318978502075183j),(-0.2538816082463412+0.52167713976185j),(0.1271167642015521-0.07033435850666162j),(-0.05468321942710053-0.22159027425418618j),(-0.008166225956772607-0.04265353224881885j),(-7.515279464244953e-06+3.82063439324786e-05j),(-0.007824709999006635+0.004533267336805706j),(-0.004747527362927703-0.011942591406480497j)
0.75,(0.06984213148526862-0.09281801931649403j),(0.025412733891441556-0.0607194036173497j),(0.030642477760432846+0.05528003696385484j),(0.0002949857098661603+0.0023159055570463813j),(-0.23825968540574205+0.5238133967622026j),(0.1269025396999649-0.07502933279602478j),(-0.05555738301241736-0.22158512855533657j),(-0.010886185153235861-0.043503732399175876j),(-5.002302077108369e-06+3.913539260340882e-05j),(-0.007868106799122433+0.004690971054923634j),(-0.005332087376037086-0.011833679619127343j)
0.76,(0.06804875150510295-0.08853481205964073j),(0.02609876461079418-0.06110181903706458j),(0.03145611994417787+0.055012237304194925j),(0.00037168259661053487+0.002308372493939282j),(-0.22246551800257383+0.525202561907947j),(0.1264014910779581-0.07989965700311802j),(-0.056481446736437395-0.2215359902442689j),(-0.013804255562177153-0.044190794112982795j),(-2.338749020048141e-06+3.986090532534097e-05j),(-0.007906078130788231+0.004857818536432784j),(-0.005923444395844113-0.01167913011819743j)
0.77,(0.06633056163305197-0.08442147550686052j),(0.026748939679823194-0.061545770155011836j),(0.03225249240500037+0.05469221194530788j),(0.0004500685566372763+0.0022960265231150444j),(-0.20655107179469798+0.525829941805103j),(0.1255864019470331-0.08492483697519304j),(-0.057458161352841264-0.2214338569235096j),(-0.016912993039668388-0.0446900197484684j),(4.5760020619708993e-07+4.0361827267023224e-05j),(-0.007937479367365247+0.005033789651483679j),(-0.006517401029132054-0.011476862313884615j)
0.78,(0.06467660754400899-0.08047642194955384j),(0.027356550471186056-0.062049533181722114j),(0.03302707897460428+0.05431987084382412j),(0.0005297733094186297+0.0022785508671584716j),(-0.19056920021147658+0.5256874377275534j),(0.12443195881376076-0.09008053192907048j),(-0.058488998608777834-0.22126931677183725j),(-0.02019972416855978-0.04497628755312676j),(3.365251196300386e-06+4.061934889072161e-05j),(-0.007961121816646906+0.005218724155052315j),(-0.007109317797714995-0.011225362993779324j)
0.79,(0.06307664268917373-0.07669757786564158j),(0.027914730524169876-0.062610776396038j),(0.03377524269461654+0.05389572657699185j),(0.0006103736918394708+0.002255664760878011j),(-0.17457364435377237+0.5247735456170435j),(0.12291475107978127-0.09533855445114006j),(-0.05957415124486424-0.22103254854428284j),(-0.023646546258479853-0.045024051663717174j),(6.358994640346566e-06+4.061690595222001e-05j),(-0.007975772720858849+0.005412321686940164j),(-0.0076941131384378305-0.010923686322868551j)
0.8,(0.06152112829605244-0.07308238391956517j),(0.02841645554469143-0.06322656014511405j),(0.03449222581658707+0.05342089434267706j),(0.0006913936581973056+0.0022271234513057533j),(-0.15861903299394856+0.5230933560831812j),(0.12101327104180423-0.10066687049736042j),(-0.06071253299518588-0.2207133215721294j),(-0.02723032734583547-0.0448073421062642j),(9.409906323832157e-06+4.034017950082017e-05j),(-0.007980155256658931+0.0056141417717741745j),(-0.008266263403176273-0.010571453843535868j)
0.81,(0.06000123336845774-0.06962779496228655j),(0.028854543405297143-0.06389333684441674j),(0.035173149801988775+0.05289709195936351j),(0.0007723042802022704+0.0021927181976974324j),(-0.14276088257586933+0.5206585544034372j),(0.11870791389160863-0.1060295993932593j),(-0.061901778587296404-0.2203009957629122j),(-0.030922706193811766-0.04429976479605767j),(1.2485347127665415e-05+3.977709587934171e-05j),(-0.007972948535137215+0.005823603819006769j),(-0.008819802858836844-0.010168854475561408j)
0.8200000000000001,(0.0585088346865087-0.06633028003128816j),(0.0292216541451631-0.06460695097772454j),(0.035813015322217534+0.05232663986615277j),(0.0008525237469771313+0.002152276271532427j),(-0.12705559721489917+0.517487420523145j),(0.11598097771604285-0.11138701383393336j),(-0.06313824374221773-0.2197845216004188j),(-0.034690092292372236-0.04347450153765267j),(1.5548963028166334e-05+3.891782672412212e-05j),(-0.007952787601815982+0.006039987122915846j),(-0.009348323687356878-0.009716644516121883j)
0.8300000000000001,(0.05703560208937189-0.06318570309584108j),(0.029510125375538213-0.06536290676129368j),(0.03640753434433249+0.05171213408458829j),(0.0009314676277606295+0.0021056575789869677j),(-0.11155242227731826+0.5136028161134791j),(0.11281494213589333-0.11670019831928372j),(-0.06441842001701943-0.2191530443210397j),(-0.038494630253005716-0.042306429628332184j),(1.856177531377944e-05+3.775499076250885e-05j),(-0.007918244380032755+0.006262539446019735j),(-0.009845554622163301-0.009216016998947616j)
0.84,(0.05556658878023154-0.060187622301511916j),(0.02971125203435372-0.06615778609875526j),(0.03695949406736734+0.0510529451722574j),(0.0010089000774891365+0.0020527790105659524j),(-0.09622991718867277+0.5090064623460214j),(0.10918244611662115-0.12196305071923776j),(-0.06574960742416708-0.21839977349031695j),(-0.04230343497810386-0.04079380941404208j),(2.149391168524449e-05+3.6290562660331684e-05j),(-0.007867734786724255+0.006491072132309232j),(-0.01031048595408679-0.008667968331138967j)
0.85,(0.05409963505123976-0.057329276473716065j),(0.02981966603984372-0.06698309327926073j),(0.037461794198397985+0.05035077597234938j),(0.0010839062401982755+0.0019937552062346034j),(-0.08115830014884572+0.5037089209751676j),(0.10508719132847412-0.12710506534222138j),(-0.067120731749226-0.21750913660161078j),(-0.0460728971194028-0.03892274662753443j),(2.430835204062129e-05+3.453739961226021e-05j),(-0.007800075529801562+0.006723482001367062j),(-0.010736517736556409-0.008076335879961975j)
0.86,(0.05263548219903762-0.054604274292111954j),(0.02983124062104519-0.06782898653076189j),(0.037905606866858274+0.04960821432672057j),(0.0011554806648075462+0.0019287948571009557j),(-0.06642460165037922+0.49772847135803416j),(0.10054407073890217-0.1320453381672338j),(-0.06851628865895643-0.21646435830515237j),(-0.049756947643239485-0.03668008407134434j),(2.6968059666799635e-05+3.25114349295569e-05j),(-0.007714324056520793+0.006957226674168592j),(-0.011116086795530954-0.007445838576490263j)
0.87,(0.05117404755371261-0.05200633511930959j),(0.029742353412002896-0.06868547340526664j),(0.038283652304909745+0.04882767082736904j),(0.0012227352273878594+0.00185817733775319j),(-0.052101474738063286+0.4910855427504878j),(0.0955718605345223-0.13671185721877985j),(-0.06992193363118611-0.21525003113792707j),(-0.0533105799153349-0.03406063343192482j),(2.9439676255989887e-05+3.0231240207931958e-05j),(-0.007609699945572504+0.007189804786028202j),(-0.011442799849032315-0.0067814778375966155j)
0.88,(0.04971442447879873-0.04952928900087058j),(0.029549886451769404-0.06954241077883898j),(0.0385901988474416+0.04801137881643465j),(0.0012848991311615386+0.0017822527062596346j),(-0.038247195008936016+0.48380271430714483j),(0.0901932201211186-0.14104150256686995j),(-0.07132448195481035-0.2138521155236743j),(-0.05668984970079401-0.03106717527964671j),(3.1693521905723e-05+2.7718025327543317e-05j),(-0.007485584907081686+0.00741875598659928j),(-0.011711433507145468-0.006088537565952979j)
0.89,(0.048254882371276446-0.04716707666530811j),(0.029251226184405066-0.070389504851599j),(0.03882106293207073+0.04716139438619901j),(0.0013413189065023179+0.0017014417041687655j),(-0.024905660612283553+0.4759047150813717j),(0.08443469212364241-0.1449800463270202j),(-0.07271190872979197-0.2122579397728877j),(-0.059851875164105714-0.027710459068798765j),(3.370359511885048e-05+2.499563845299669e-05j),(-0.0073415227826077656+0.0076416609398742225j),(-0.011917934272018475-0.005372584150030463j)
0.9,(0.04679286666157268-0.044913749524086985j),(0.02884426345897803-0.07121631114772287j),(0.03897360909914169+0.04627959637908552j),(0.0013914584109353423+0.0016162357565092066j),(-0.012106392249640122+0.4674184240252847j),(0.07832670238621206-0.1484821526602521j),(-0.0740733488671613-0.210456200082815j),(-0.06275483686914292-0.024009203137587566j),(3.5447572803544384e-05+2.209056603334553e-05j),(-0.0071772195451446094+0.007856141324184437j),(-0.012059418537862491-0.004639466464099347j)
0.91,(0.04532499881356085-0.04276346967162359j),(0.028327393529564232-0.07201223451544286j),(0.039046749991726706+0.04536768638765933j),(0.0014348988291371686+0.0015271969717897283j),(0.00013546682521195508+0.45837286998975j),(0.07190355997211316-0.15151137777309298j),(-0.07539909708901622-0.20843696053745808j),(-0.06535797777916247-0.01999009470813762j),(3.690681027329737e-05+1.903193280209105e-05j),(-0.006992543299120521+0.008059859832200337j),(-0.012134172590951751-0.0038953158682290753j)
0.92,(0.04384707632456083-0.04071050988528589j),(0.027699516055247404-0.07276652912704734j),(0.0390409463556257+0.04442718875462736j),(0.0014713386729357646+0.0014349581419992492j),(0.011819150806242268+0.4487992317243838j),(0.06520345716379831-0.15404016991757552j),(-0.07668060792852216-0.20619165310757298j),(-0.0676216032568052-0.015687789886491266j),(3.8066341246922604e-05+1.5851501777182204e-05j),(-0.006787524280398238+0.008250520170931353j),(-0.012141652609623585-0.003146546208288253j)
0.93,(0.04235407272533897-0.03874925362539347j),(0.02696003510011907-0.07346829847888076j),(0.03895820703936624+0.0434594505728383j),(0.001500593781310509+0.0013402227426068348j),(0.022958271335172475+0.43873083787755207j),(0.058268469462887336-0.1560498693912382j),(-0.07791049572991202-0.20371307765066984j),(-0.06950708106409592-0.011144913662608724j),(3.891487784855387e-05+1.2583674261015708e-05j),(-0.0065623548562749375+0.008425867061725913j),(-0.012082484664278404-0.002399853815944651j)
0.9400000000000001,(0.0408401375801081-0.036874195035217536j),(0.02610885913327854-0.07410649539134365j),(0.038802088994203586+0.04246564168528262j),(0.001522597320392192+0.0012437649325616985j),(0.03358081750147593+0.42820316699637084j),(0.05114455559016716-0.15753070853712486j),(-0.07908253464848626-0.200995401911013j),(-0.0709768413624434-0.006412059910368119j),(3.9444810607645485e-05+9.265489840436032e-06j),(-0.006317389525482232+0.008583686240271466j),(-0.011958464717379715-0.001662217508665212j)
0.9500000000000001,(0.03929859648652753-0.03507993894098081j),(0.025146401028832928-0.07466992200889265j),(0.038577697274120665+0.04144675468509253j),(0.0015373997834630159+0.001146429554293201j),(0.043729155842378103+0.417253847526706j),(0.04388155748559186-0.15848181174378517j),(-0.0801916586506129-0.1980341615196209j),(-0.07199437671264036-0.001547791387565417j),(3.965220845897233e-05+5.936626386735387e-06j),(-0.006053144918186173+0.008721804456594458j),(-0.011772558623454103-0.0009408985897160337j)
0.96,(0.03772294117429086-0.03335745827668485j),(0.02407818251898473-0.07514407958242961j),(0.038286387655176744+0.04040224454355383j),(0.0015450909082403094+0.0010490727962082017j),(0.05342530961073497+0.40589867397770946j),(0.03652644700274282-0.15891231769682337j),(-0.08121850369061738-0.19482135784644924j),(-0.07252895005382402+0.0033943608822840686j),(3.9535771939454266e-05+2.6363636139482846e-06j),(-0.005770734008901815+0.008837675212433454j),(-0.011530074137858474-0.00024208142980810914j)
0.97,(0.03611644988980568-0.031686015863440505j),(0.022925958991500822-0.07550447679507861j),(0.037905845686962675+0.039325902030123226j),(0.0015453749518724688+0.0009522015294818784j),(0.06252391504758961+0.3940535048245251j),(0.02909990575032552-0.15881452799053544j),(-0.0820855079862668-0.19132619625278893j),(-0.07257933813620814+0.00840875067182267j),(3.909878936870048e-05-6.1221756134849e-07j),(-0.005473378904388518+0.008926965340764615j),(-0.011239283711893778+0.0004334848730982192j)
0.98,(0.03448549487650173-0.030071479367750658j),(0.021681153187595524-0.0757489940582436j),(0.03744015104808382+0.03821932032586907j),(0.0015382495785231582+0.0008564376977439911j),(0.07103191382053871+0.3817686694926356j),(0.02166072881310867-0.15813860049671044j),(-0.08280986813427328-0.1875413004338056j),(-0.07213435871733757+0.013414959619084838j),(3.836069263541085e-05-3.777492024288211e-06j),(-0.005162251940911086+0.008987690502287057j),(-0.010898200776130844+0.0010774994020696434j)
0.99,(0.03283510347304012-0.02852054901126813j),(0.020334801146261697-0.07587608382038691j),(0.036895835498871044+0.037084394032711056j),(0.001523851268459141+0.0007624280825596401j),(0.07897565833689804+0.3691042869680728j),(0.014272042427638253-0.1568440109690809j),(-0.08341254920220056-0.1834620330903051j),(-0.07118702334567141+0.018328244161059482j),(3.734254528508131e-05-6.8281145757825584e-06j),(-0.004838618795574145+0.009018260105251244j),(-0.010505215369902699+0.0016815685090151118j)
1.0,(0.031169282086122657-0.027036378879880273j),(0.018882808023389635-0.07588107537784353j),(0.03627662115002886+0.03592186371841824j),(0.001502392427796601+0.0006707994050561962j),(0.08636822796760424+0.3561051804471275j),(0.006994362929872107-0.15490411662188375j),(-0.0839013567412263-0.17908172938642175j),(-0.06973862795433788+0.023073238475927554j),(3.6065304692628707e-05-9.73562306595372e-06j),(-0.00450428316690377+0.009017055744636678j),(-0.010060664393620465+0.00223864824101766j)
1.01,(0.02949101619049184-0.025618576923708954j),(0.017325948091767043-0.07575617487482113j),(0.03558342046263545+0.03473131591660905j),(0.0014741613885011426+0.0005821583259232995j),(0.09320942904721471+0.3428008773363497j),(-0.00011440324482008685-0.1523061561298602j),(-0.08427093678614211-0.17439169694961823j),(-0.06779875286113449+0.027583954483062105j),(3.454982206239078e-05-1.2474438394134423e-05j),(-0.0041615867748474806+0.00898243120215189j),(-0.009566831608773349+0.0027430443403344143j)
1.02,(0.027802270328930845-0.024263204957110564j),(0.01566986474107905-0.07549046530340005j),(0.03481433624814264+0.033511183126751276j),(0.0014395224083877903+0.0004970914454128593j),(0.09948579487390771+0.32920560925254816j),(-0.006998959561656755-0.1490512496282559j),(-0.08450277585535358-0.1693812158706856j),(-0.0653852627685279+0.03180378184302822j),(3.281684242812619e-05-1.5021864508867905e-05j),(-0.003813409360774241+0.008912712446234447j),(-0.009027947637928656+0.003190412244396593j)
1.03,(0.026103988112263533-0.022962778658676037j),(0.013925070477908206-0.07506990650353333j),(0.03396466166837593+0.03225874381416206j),(0.0013989156711209897+0.0004161653033390552j),(0.10517058570948234+0.3153183120227909j),(-0.013606619386444488-0.1451543987128207j),(-0.08456520095088017-0.16403753870374338j),(-0.06252430676365402+0.03568548795758305j),(3.0887004653014496e-05-1.7358088407907946e-05j),(-0.0034631686874744627+0.008806197632050946j),(-0.00845018996473178+0.0035777570858094975j)
1.04,(0.024396092219354452-0.021706267571230807j),(0.012106946925734467-0.07447733516304664j),(0.03302688023553446+0.030970122410007912j),(0.0013528572862146061+0.00033992637907833583j),(0.11022378877935846+0.3011226256844049j),(-0.019887305985577995-0.14064448643980898j),(-0.08441337955835537-0.15834589046623943j),(-0.05925031831831797+0.039191217969675826j),(2.878084142965616e-05-1.946618013821883e-05j),(-0.0031148205391600017+0.008661157101497024j),(-0.007841682933906207+0.0039034336923525264j)
1.05,(0.02267748439710883-0.020479095101834852j),(0.010235744824935222-0.07369246481763836j),(0.031990665812191024+0.029640289311304704j),(0.001301939289031926+0.00026890109156941947j),(0.11459211827257682+0.2865868944849761j),(-0.02579355252604014-0.13556427732597937j),(-0.08398931964702654-0.15228946863895j),(-0.0556060152889941+0.04229249476344783j),(2.651877928007256e-05-2.1332092795975377e-05j),(-0.002772858721464162+0.008475833383197342j),(-0.007212497751253516+0.004167146586979163j)
1.06,(0.020946045460472577-0.01926313852178267j),(0.008336584032785272-0.07269188585087952j),(0.030842882611292092+0.02826306088091767j),(0.001246829640785656+0.00020359579931329415j),(0.11820901534179891+0.2716641668823494j),(-0.03128050207540192-0.12997041734859488j),(-0.083221869669755-0.1458494431659797j),(-0.05164239991682594+0.04497021896423239j),(2.412113855570596e-05-2.294466252656292e-05j),(-0.002442315061441689+0.008248441192505607j),(-0.0065746524836533754+0.004369949987816982j)
1.07,(0.019198635292432303-0.018036728966603275j),(0.006439453523456845-0.07144906549421383j),(0.02956758519615777+0.026831099447561416j),(0.0011882722285379227+0.0001444968003732176j),(0.12099464810330716+0.2562921955446289j),(-0.03630590760182245-0.12393343394542286j),(-0.08202671856301606-0.13900495645476169j),(-0.047418758827626244+0.047214668938554916j),(2.160813343741954e-05-2.4295608524577337e-05j),(-0.002128759407568777+0.007977167431504546j),(-0.005942112059063547+0.004514247808167645j)
1.08,(0.017431092844015277-0.016774651436060217j),(0.0045792113880195745-0.0699343478269577j),(0.02814601848048183+0.025335913305799884j),(0.001127086865200274+9.207033237471703e-05j),(0.12285591163700472+0.2403934373501776j),(-0.040830131974049014-0.11753773601473498j),(-0.08030639574689892-0.13173312337605736j),(-0.043002663031877+0.0490255007941329j),(1.899987193549739e-05-2.537953303382502e-05j),(-0.001838299629743064+0.00766017118900593j),(-0.005330788266519884+0.004603793656506909j)
1.09,(0.015646901841599368-0.015464499503115335j),(0.002791336416366397-0.0681321226532723j),(0.026566602699414518+0.023781240237418642j),(0.001064017383511114+4.665289410472063e-05j),(0.12369685882317631+0.2239809748268235j),(-0.04480775924362725-0.11083872110225666j),(-0.07798497450790422-0.12404951443767961j),(-0.038454316468419326+0.05038491661171417j),(1.6321055342188414e-05-2.618838775135748e-05j),(-0.001576953835397423+0.007297167515325919j),(-0.004749692040922579+0.0046427559310061265j)
1.1,(0.01385850795254498-0.014130087893595706j),(0.0010857585173392674-0.06604462710061519j),(0.024824967721178908+0.02218215619005315j),(0.0009995161858285181+8.108487933476173e-06j),(0.12346281298000089+0.20720195444513162j),(-0.04817302210838108-0.10378733366074411j),(-0.07503881302222001-0.11597636486224226j),(-0.033800129682026614+0.0512191295210922j),(1.3612382709626935e-05-2.670915633067063e-05j),(-0.00134991439977401+0.0068914225833651786j),(-0.004188259236257824+0.004631176575177164j)
1.11,(0.012058678754402958-0.0127672871318348j),(-0.0005281628216087207-0.0636339105124565j),(0.022890353578579187+0.0205230159224638j),(0.0009342980735669326-2.373610900656745e-05j),(0.12208935576796874+0.18997057479030469j),(-0.05087433178755439-0.09640522063474039j),(-0.07136665814732054-0.10742573978082676j),(-0.02909278310394904+0.05150513893365414j),(1.091036029191952e-05-2.694563441287853e-05j),(-0.001163417187181384+0.006444460347244174j),(-0.003650466505004695+0.004569048509587736j)
1.12,(0.010247139969962377-0.011368994123588747j),(-0.002024667852080759-0.06087274178647496j),(0.020737315075482782+0.01880257749503478j),(0.0008690814769914061-4.9084501987285825e-05j),(0.11948535392621579+0.17225839998533726j),(-0.05286479404086028-0.08873626609008368j),(-0.06686381136469229-0.09836902740333944j),(-0.024390243298681624+0.051230769546140566j),(8.249123093992156e-06-2.690485218634354e-05j),(-0.0010232809759077727+0.005959277179158775j),(-0.0031409763784538934+0.0044580856732759425j)
1.1300000000000001,(0.008431812591434315-0.009926900294725628j),(-0.003361524819609143-0.057747021526852654j),(0.01834717526267239+0.017035999146465385j),(0.0008045715975789591-6.817828960270557e-05j),(0.11553333386637549+0.15410870637106644j),(-0.05410137517023437-0.08084233494685829j),(-0.061426366729179886-0.08884373321761675j),(-0.019754149377111736+0.050391787206274026j),(5.660820976048057e-06-2.65963500432259e-05j),(-0.0009348304227022706+0.0054405277482714j),(-0.0026641753981147555+0.004301698165975205j)
