N,E [H]
1,-72.80964935637977
2,-72.81296633189248
3,-72.81319988837213
4,-72.81329732893734
5,-72.81446866475333
6,-72.81484890333174
7,-72.81494750464009
8,-72.8150650885218
9,-72.81511999267704
10,-72.81584961564673
11,-72.8159741150956
12,-72.81597499737455
13,-72.81599875269045
14,-72.81601051153716
15,-72.81601773033923
16,-72.81602406197224
17,-72.81604659503593
18,-72.81613741434441
19,-72.81658432754756
20,-72.81660088525994
21,-72.8166167922563
22,-72.81668416659429
23,-72.81668434256363
24,-72.81673381463156
25,-72.81674247869859
26,-72.81699929534514
27,-72.81729992926549
28,-72.81730645543553
29,-72.81730941167561
30,-72.81731092525243
31,-72.81738414178874
32,-72.81739139986665
33,-72.81742220098397
34,-72.81784107167657
35,-72.81786253394044
36,-72.81787465875318
37,-72.81788690667356
38,-72.81790141246562
39,-72.81791281671524
40,-72.8179179554569
41,-72.8180584388909
42,-72.81812055317069
43,-72.818154266103
44,-72.81816728770248
45,-72.81822537851548
46,-72.81823269035684
47,-72.81829065449445
48,-72.81831617779983
49,-72.81848890837857
50,-72.81853820607763
51,-72.81855118550557
52,-72.81856410976177
53,-72.81862890287778
54,-72.81870887550444
55,-72.81871759967106
56,-72.81874137106506
57,-72.8187548391001
58,-72.81875758368835
59,-72.81876141173994
60,-72.818827819937
61,-72.8188416920313
62,-72.81886941379913
63,-72.81888054552961
64,-72.81888105269837
65,-72.81888933384471
66,-72.81889731263274
67,-72.81895227060743
68,-72.81896140979529
69,-72.81898780494458
70,-72.81903514749477
71,-72.81910731293634
72,-72.81912991445523
73,-72.81918101628207
74,-72.81923315144142
75,-72.81924284112718
76,-72.81925561662466
77,-72.819285354454
78,-72.81930096245911
79,-72.8193500368412
80,-72.81936096131854
81,-72.81936311090325
82,-72.81936914908675
83,-72.81937881135558
84,-72.81946447322755
85,-72.81946528952508
86,-72.81949380620539
87,-72.81953352475335
88,-72.81955486180311
89,-72.8195599007459
90,-72.81957664074446
91,-72.81957910281953
92,-72.81962657927305
93,-72.81963482628436
94,-72.81966015205813
95,-72.81966645556864
96,-72.81967154467364
97,-72.8196739357948
98,-72.81968042521036
99,-72.81968073200687
100,-72.81970054259895
101,-72.81970254134343
