N,E [H]
1,-14.619961334087733
2,-14.629015440021288
3,-14.639378347356423
4,-14.640077321671319
5,-14.640204300455974
6,-14.640257411187228
7,-14.64027365350055
8,-14.640276985258348
9,-14.640296687076885
10,-14.640300796335346
11,-14.640301697047262
12,-14.640306106565115
13,-14.640307145424888
14,-14.64030837830512
15,-14.640308629045842
16,-14.640309253244384
17,-14.640309587607856
18,-14.640311817234926
19,-14.640316065897707
20,-14.64032417294052
21,-14.640328938202652
