t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,A_0011,A_0012,A_0013,A_0014
0.05,(0.28686199212629704-0.07565467491051141j),(0.0016092752284813268-0.0035641431888913727j),(-0.03739073678242368+0.00970367963229989j),(-1.117905641896539e-08+1.5866118844798362e-07j),(-0.00017093899344490412-0.0007884748174358579j),(0.015725899477542243-0.059117073772652434j),(2.8968228062885774e-05+6.408437193302288e-05j),(0.002125661040889688-0.012401180200889058j),(0.001063741111178331-0.004739458781889836j),(-0.00012648093854815553+3.961760691127957e-05j),(1.9310181098212232e-05-1.0712972460688343e-06j),(1.89229097338027e-05-1.8245891048833733e-06j),(0.0018816877548569703-0.0034803681198737465j),(1.6764676727046382e-06-1.1326037323586411e-06j),(-1.4330297008603579e-06+3.22817179242066e-05j)
0.055,(0.2927511065537005-0.08512143218537377j),(0.0015040495140258116-0.004005782687628047j),(-0.04010589256063317+0.012206920456044146j),(4.534451241546798e-09+1.7918621950773675e-07j),(-0.00023970844988842877-0.0009666770481110343j),(0.016013321402589983-0.06892078787755154j),(3.481983855868578e-05+7.555675919235081e-05j),(0.0027664440672127933-0.013740833661189491j),(0.0013394653493764607-0.00564382685407422j),(-0.00015459309132348219+5.67285875331159e-05j),(2.3345878626704976e-05-2.05823506870483e-06j),(2.1492867962281993e-05-4.853610439682368e-06j),(0.0020189384388519505-0.004310340303318875j),(1.8128752499966646e-06-1.5600876636317376e-06j),(2.1924280932558435e-06+3.956790184759905e-05j)
0.06,(0.2977265971761563-0.09472313798222622j),(0.0013392594227425998-0.004433227697553644j),(-0.04249464209446385+0.01491680600381061j),(2.424587357972011e-08+1.9818574083968034e-07j),(-0.0003293381015007938-0.0011705478536873882j),(0.015790300597217647-0.07938727252872868j),(4.1491557512580724e-05+8.808915784078565e-05j),(0.0035003375165301802-0.015090258928725104j),(0.0016536971428229418-0.006660012517773254j),(-0.00018621627427161+7.900010228021413e-05j),(2.7874856541148255e-05-3.4099156993877006e-06j),(2.3748607908573375e-05-8.632573061317527e-06j),(0.0020983056257074845-0.005262355982111192j),(1.8915662239300373e-06-2.0590274250014526e-06j),(7.462140750039864e-06+4.747314075323029e-05j)
0.065,(0.30173862155643555-0.10441791119028046j),(0.0011178270597718475-0.004838935110721035j),(-0.044538277781528336+0.01779547013014358j),(4.773092603351896e-08+2.149946990668714e-07j),(-0.0004429107831732836-0.0014023345190343798j),(0.015010377309281418-0.09046972810332216j),(4.897970913422701e-05+0.0001017110173976949j),(0.0043268754315146304-0.016433346001178746j),(0.0020133895904606226-0.0077920822554238935j),(-0.00022147668075811773+0.0001072854537070946j),(3.2920903574711936e-05-5.171038305348367e-06j),(2.5531059781927947e-05-1.3139761998962488e-05j),(0.0021042106042566187-0.006340812205394299j),(1.8954958690525413e-06-2.6241706889245104e-06j),(1.4658992654848959e-05+5.582568583626752e-05j)
0.07,(0.3047345305222621-0.11416882027309187j),(0.0008446727077906793-0.00521565712340595j),(-0.04622447800876735+0.02079887934496681j),(7.46010215323724e-08+2.2896104741662736e-07j),(-0.0005835540465792506-0.0016642308480324045j),(0.013637384176394565-0.10210992102262453j),(5.7253864579541446e-05+0.00011644762500141594j),(0.005244380195279601-0.017749242103943838j),(0.0024269033531851736-0.009042545326719602j),(-0.00026044972878632984+0.00014247008060413866j),(3.8504163715778045e-05-7.382671470567754e-06j),(2.6671234548520155e-05-1.8322727729692078e-05j),(0.00202022509330312-0.007548035214917381j),(1.8070920914821602e-06-3.246902291685294e-06j),(2.4064458540735467e-05+6.440025787662044e-05j)
0.075,(0.30677155896047376-0.12386070090037743j),(0.0005208379128970208-0.005554736585895722j),(-0.0475356540727062+0.023903158030746302j),(1.0458261788532752e-07+2.3927691190578726e-07j),(-0.0007600442758037085-0.0019545764836315094j),(0.011564591710661725-0.11426635071941542j),(6.662394365850793e-05+0.00013223561501495273j),(0.006264876377207739-0.019075138965407173j),(0.0028755538543600656-0.010439153200898303j),(-0.0003022498056513808+0.00018602749180864924j),(4.4588844842239957e-05-1.0191352291859335e-05j),(2.700192647475656e-05-2.4127802328602083e-05j),(0.0018159884145544198-0.008884291471303759j),(1.60799816471589e-06-3.915880895156164e-06j),(3.595531983540789e-05+7.281893396347071e-05j)
0.08,(0.30786015669597694-0.13342049623058205j),(0.00015061424340590847-0.005849173023686498j),(-0.04846550867729088+0.027074607655552564j),(1.37112080484826e-07+2.453106689490577e-07j),(-0.000979102215366652-0.002274994445533576j),(0.008724032937591763-0.12687821294844442j),(7.722287739693562e-05+0.0001490780171209909j),(0.007391567963425717-0.02041239542862914j),(0.0033597338365622485-0.011996656839607961j),(-0.00034658749900328464+0.00023946471009652395j),(5.1179731489267717e-05-1.3698878406921806e-05j),(2.63432351460914e-05-3.0428827536494964e-05j),(0.0014650145180910056-0.010350443509101576j),(1.278520611876691e-06-4.612712381486861e-06j),(5.0674536948439274e-05+8.064027669860362e-05j)
0.085,(0.30798634817815407-0.14280357532834764j),(-0.00025938268462489525-0.006093485176077619j),(-0.04901425275213413+0.03027300580973749j),(1.7146903000207675e-07+2.466138559137228e-07j),(-0.001246507663594088-0.002627086719852773j),(0.005077144752241443-0.1398698281876964j),(8.909103386690143e-05+0.0001669798597784951j),(0.008622225318402305-0.021744687336972508j),(0.003885904182082219-0.01372295350885831j),(-0.00039313560791714194+0.0003041462962690314j),(5.8278500462879485e-05-1.798123943774868e-05j),(2.4541977951931178e-05-3.705875290752022e-05j),(0.000943874446101208-0.011942942847750215j),(8.031792163252536e-07-5.3151021995108974e-06j),(6.847891353142212e-05+8.737209904323384e-05j)
0.09,(0.3071523133171716-0.15196375761491024j),(-0.0007021761821777389-0.006283056657650934j),(-0.04918394646267922+0.03346004339026572j),(2.068921171309003e-07+2.4285682788454774e-07j),(-0.0015691086976147523-0.003010428336268388j),(0.0005871308116841469-0.1531602494601586j),(0.00010231115364389477+0.0001859055230696785j),(0.009954821764305425-0.023062303756867745j),(0.004454377133055085-0.015628985811702984j),(-0.0004410921298846984+0.0003814219047129253j),(6.585660963070837e-05-2.3127280327199188e-05j),(2.148207743262465e-05-4.3827938086129764e-05j),(0.00022783139060356052-0.013652686632046274j),(1.7167365811845452e-07-5.997974490686605e-06j),(8.950474147073103e-05+9.244657788235243e-05j)
0.095,(0.30537638748398027-0.1608533128681002j),(-0.001170428487275088-0.006414135958270798j),(-0.048978499210200005+0.036599324600714675j),(2.425790225877291e-07+2.3382875766377892e-07j),(-0.0019548216733601114-0.003422567368024829j),(-0.004781038464990187-0.16666326233382095j),(0.0001170083498068179+0.0002057787387000029j),(0.011387533581002161-0.024362146977812995j),(0.005059316291460577-0.017728741688239548j),(-0.0004891802608143448+0.0004726262834004461j),(7.385529792200258e-05-2.9238701338998392e-05j),(1.7084561279462762e-05-5.0524152807078046e-05j),(-0.0007091593065532116-0.015465017632143578j),(-6.21116485990651e-07-6.6334720890971445e-06j),(0.00011376780088752311+9.522025402472683e-05j)
