N,E [H]
1,-14.63176602598313
2,-14.633561224858116
3,-14.633700207794337
4,-14.63849183242142
5,-14.643055066031954
6,-14.646356841753494
7,-14.649303330540123
8,-14.649373078760993
9,-14.650776483633232
10,-14.651273536431304
11,-14.651983943297871
12,-14.652729314193966
13,-14.653479917570953
14,-14.653814246016912
15,-14.654294816199409
16,-14.656261971227057
17,-14.656321853434022
18,-14.656415542198022
19,-14.658199158128202
20,-14.658349807105495
21,-14.658368233540305
22,-14.658477493223295
23,-14.658523903777079
24,-14.658543513262234
25,-14.658543807836919
26,-14.658702070031898
27,-14.658711137962868
28,-14.658747141382687
29,-14.659565394655026
30,-14.659568009067348
31,-14.659575572137536
32,-14.659577320679968
33,-14.659590863835337
34,-14.659627511876488
35,-14.659638635652305
36,-14.659646201094818
37,-14.659656529186448
38,-14.659764390856388
39,-14.659764848658797
40,-14.659876905716517
41,-14.659879721546977
42,-14.65988556999993
43,-14.659894914930637
44,-14.6598965963916
45,-14.659905287605097
46,-14.659929053000461
47,-14.659931614736559
48,-14.659963278818442
49,-14.659976431476585
50,-14.659979693069843
51,-14.659985426822109
52,-14.659988334689391
53,-14.659988888369158
54,-14.65999461262313
55,-14.659994684795427
56,-14.66003992544083
57,-14.66003998372211
58,-14.660044032371271
59,-14.660047245883538
60,-14.660049818877974
61,-14.660052237898908
62,-14.660071102871289
63,-14.66007484738034
64,-14.660084513456498
65,-14.660085353782266
66,-14.66008642829748
67,-14.66008664085704
68,-14.660091446258392
69,-14.66009210707812
70,-14.660092549612392
71,-14.6600957830263
72,-14.660097028633997
73,-14.660105134979124
74,-14.660106647817917
75,-14.660109047766738
76,-14.660110191663401
77,-14.660113085592636
78,-14.66011317833397
79,-14.660113229401952
80,-14.66011352840327
81,-14.660116796909652
82,-14.660120619004141
83,-14.660122284896268
84,-14.66012518093335
85,-14.660127185526974
86,-14.660127758863757
87,-14.660131531635448
88,-14.66013575557031
89,-14.66013909227016
90,-14.660139961691508
91,-14.660147110232813
92,-14.660149404021727
93,-14.66014948640365
94,-14.660151383699947
95,-14.660152007225369
96,-14.660166222841484
97,-14.660172723313936
98,-14.660179933883766
99,-14.660183007057443
100,-14.66018495417579
101,-14.660188807449499
